,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.04403760204283781 +/- 0.03156452577631748,0.06724181783489407 +/- 0.03479419938376842,0.06028604201098523 +/- 0.024320720077860347,0.05750476954732179 +/- 0.02106265743719976
Lymphatic Metastasis,0.0 +/- 0.0,0.027258243738840025 +/- 0.05451648747768005,0.03753596144158541 +/- 0.053237846154521505,0.04678883419713743 +/- 0.0498206777366753
"Condition, Preneoplastic",0.013359023741301435 +/- 0.02671804748260287,0.013359023741301435 +/- 0.02671804748260287,0.022407252395802095 +/- 0.034701912417007034,0.022407252395802095 +/- 0.034701912417007034
Alzheimer's Disease,0.11006351245404127 +/- 0.08698595295773542,0.1150716009195755 +/- 0.09504434375661548,0.12360467236875487 +/- 0.09001087407611494,0.12360467236875487 +/- 0.09001087407611494
Ovarian Mucinous Adenocarcinoma,0.014071360647941433 +/- 0.028142721295882862,0.014071360647941433 +/- 0.028142721295882862,0.014071360647941433 +/- 0.028142721295882862,0.030244774599261788 +/- 0.042855600930770385
Female infertility,0.013571344484088402 +/- 0.027142688968176808,0.06466189024236287 +/- 0.044435219676931044,0.08695330158317262 +/- 0.0853433555108997,0.08695330158317262 +/- 0.0853433555108997
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.009221052623310279 +/- 0.011302378100997837,0.013029386740316515 +/- 0.017219786363087908
"Hearing Loss, Extreme",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Stomach Neoplasms,0.019809550461297686 +/- 0.025518150414204153,0.027207402780843153 +/- 0.023624796419765833,0.04205028102430713 +/- 0.028801606764361134,0.05572237905179713 +/- 0.0377243060182072
Pneumonitis,0.11716314601596593 +/- 0.040999582059828725,0.12642064227420288 +/- 0.028237590614146147,0.16094040292145984 +/- 0.04013801917629697,0.16094040292145984 +/- 0.04013801917629697
Malignant neoplasm of prostate,0.19802885626116676 +/- 0.060705563881311826,0.16047974376907334 +/- 0.03940414509121225,0.11291242233192844 +/- 0.017470137265431132,0.10847798768804814 +/- 0.013422759080416062
Neuroblastoma,0.02586728930460746 +/- 0.031748475544910136,0.061179395221368435 +/- 0.05491278050310324,0.06831825286524247 +/- 0.04843309436710272,0.06831825286524247 +/- 0.04843309436710272
