,Top 25,Top 50,Top 100,Top 200
Psoriasis,0.008 +/- 0.016,0.008 +/- 0.01,0.004 +/- 0.005,0.003 +/- 0.002
Liver carcinoma,0.08 +/- 0.051,0.076 +/- 0.02,0.05 +/- 0.02,0.031 +/- 0.015
"Liver Cirrhosis, Experimental",0.04 +/- 0.044,0.028 +/- 0.027,0.038 +/- 0.007,0.034 +/- 0.006
"Diabetes Mellitus, Non-Insulin-Dependent",0.032 +/- 0.016,0.02 +/- 0.013,0.018 +/- 0.004,0.009 +/- 0.002
Papillary Renal Cell Carcinoma,0.008 +/- 0.016,0.008 +/- 0.01,0.014 +/- 0.012,0.011 +/- 0.007
Malignant neoplasm of ovary,0.056 +/- 0.032,0.044 +/- 0.023,0.032 +/- 0.017,0.017 +/- 0.007
Steatohepatitis,0.032 +/- 0.039,0.02 +/- 0.018,0.01 +/- 0.009,0.007 +/- 0.004
Disproportionate short stature,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004
Stomach Neoplasms,0.024 +/- 0.032,0.032 +/- 0.027,0.032 +/- 0.02,0.023 +/- 0.015
Pneumonitis,0.088 +/- 0.03,0.048 +/- 0.01,0.034 +/- 0.01,0.017 +/- 0.005
"Heart Failure, Right-Sided",0.024 +/- 0.02,0.012 +/- 0.01,0.008 +/- 0.007,0.006 +/- 0.005
"Alcoholic Intoxication, Chronic",0.04 +/- 0.044,0.02 +/- 0.022,0.012 +/- 0.01,0.01 +/- 0.004
"Osteoporosis, Senile",0.024 +/- 0.02,0.012 +/- 0.01,0.012 +/- 0.01,0.008 +/- 0.009
Parkinson Disease,0.008 +/- 0.016,0.004 +/- 0.008,0.006 +/- 0.005,0.007 +/- 0.006
"Hepatoma, Novikoff",0.0 +/- 0.0,0.004 +/- 0.008,0.02 +/- 0.009,0.012 +/- 0.005
Malignant neoplasm of prostate,0.136 +/- 0.048,0.116 +/- 0.029,0.076 +/- 0.008,0.048 +/- 0.006
Pneumonia,0.088 +/- 0.03,0.048 +/- 0.01,0.034 +/- 0.01,0.017 +/- 0.005
Carcinomatosis,0.032 +/- 0.016,0.02 +/- 0.0,0.018 +/- 0.012,0.014 +/- 0.007
"Dermatitis, Allergic Contact",0.008 +/- 0.016,0.004 +/- 0.008,0.004 +/- 0.005,0.002 +/- 0.002
Atrial Fibrillation,0.008 +/- 0.016,0.008 +/- 0.01,0.008 +/- 0.007,0.006 +/- 0.006
Craniofacial Abnormalities,0.032 +/- 0.039,0.024 +/- 0.023,0.014 +/- 0.012,0.01 +/- 0.005
Skin Neoplasms,0.016 +/- 0.02,0.012 +/- 0.01,0.008 +/- 0.004,0.009 +/- 0.004
Malignant mesothelioma,0.04 +/- 0.025,0.032 +/- 0.027,0.018 +/- 0.013,0.012 +/- 0.008
Tonic - clonic seizures,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.001 +/- 0.002
"Adenocarcinoma, Basal Cell",0.024 +/- 0.02,0.028 +/- 0.01,0.034 +/- 0.008,0.019 +/- 0.004
"Seizures, Auditory",0.0 +/- 0.0,0.0 +/- 0.0,0.004 +/- 0.005,0.003 +/- 0.004
Alzheimer's Disease,0.064 +/- 0.041,0.036 +/- 0.027,0.022 +/- 0.013,0.011 +/- 0.007
"Epilepsy, Cryptogenic",0.032 +/- 0.03,0.02 +/- 0.018,0.01 +/- 0.009,0.006 +/- 0.005
Peripheral Nervous System Diseases,0.0 +/- 0.0,0.008 +/- 0.01,0.006 +/- 0.005,0.003 +/- 0.002
Allodynia,0.024 +/- 0.032,0.012 +/- 0.016,0.012 +/- 0.007,0.008 +/- 0.005
Insulin Sensitivity,0.024 +/- 0.032,0.012 +/- 0.016,0.008 +/- 0.007,0.006 +/- 0.004
Chromophobe Renal Cell Carcinoma,0.008 +/- 0.016,0.008 +/- 0.01,0.014 +/- 0.012,0.011 +/- 0.007
Anaplastic carcinoma,0.032 +/- 0.016,0.02 +/- 0.0,0.018 +/- 0.012,0.014 +/- 0.007
Spontaneous abortion,0.024 +/- 0.032,0.024 +/- 0.02,0.014 +/- 0.01,0.007 +/- 0.005
Manic Disorder,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002,0.0 +/- 0.0
Cocaine Abuse,0.036 +/- 0.02,0.024 +/- 0.012,0.013 +/- 0.007,0.019 +/- 0.009
Acute Cerebrovascular Accidents,0.024 +/- 0.02,0.014 +/- 0.01,0.007 +/- 0.005,0.022 +/- 0.018
Brain Ischemia,0.02 +/- 0.013,0.018 +/- 0.007,0.01 +/- 0.003,0.02 +/- 0.012
"Hyperalgesia, Primary",0.012 +/- 0.016,0.012 +/- 0.007,0.008 +/- 0.005,0.01 +/- 0.009
Nonsyndromic Deafness,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002,0.002 +/- 0.005
Vertiginous seizure,0.0 +/- 0.0,0.004 +/- 0.005,0.003 +/- 0.004,0.004 +/- 0.005
Non-Convulsive Status Epilepticus,0.004 +/- 0.008,0.004 +/- 0.005,0.002 +/- 0.002,0.003 +/- 0.006
Amphetamine Addiction,0.0 +/- 0.0,0.002 +/- 0.004,0.004 +/- 0.005,0.003 +/- 0.005
"Carcinoma, Cribriform",0.028 +/- 0.01,0.034 +/- 0.008,0.019 +/- 0.004,0.029 +/- 0.007
Mouth Neoplasms,0.024 +/- 0.02,0.016 +/- 0.015,0.008 +/- 0.007,0.022 +/- 0.018
Amyotrophic Lateral Sclerosis,0.02 +/- 0.018,0.012 +/- 0.012,0.006 +/- 0.006,0.017 +/- 0.015
Ovarian Serous Adenocarcinoma,0.004 +/- 0.008,0.002 +/- 0.004,0.004 +/- 0.004,0.009 +/- 0.017
"Condition, Preneoplastic",0.008 +/- 0.01,0.008 +/- 0.01,0.004 +/- 0.005,0.007 +/- 0.009
Mycoplasma-Induced Stevens-Johnson Syndrome,0.016 +/- 0.008,0.008 +/- 0.004,0.004 +/- 0.002,0.028 +/- 0.014
Respiratory Hypersensitivity,0.016 +/- 0.008,0.008 +/- 0.004,0.004 +/- 0.002,0.018 +/- 0.022
"Hyperglycemia, Postprandial",0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Primary microcephaly,0.02 +/- 0.018,0.012 +/- 0.007,0.007 +/- 0.005,0.036 +/- 0.034
"Necrotizing encephalopathy, infantile subacute, of Leigh",0.056 +/- 0.034,0.028 +/- 0.017,0.02 +/- 0.01,0.067 +/- 0.045
Disorder of eye,0.048 +/- 0.027,0.03 +/- 0.015,0.015 +/- 0.008,0.014 +/- 0.007
Childhood Acute Lymphoblastic Leukemia,0.008 +/- 0.01,0.006 +/- 0.008,0.005 +/- 0.006,0.008 +/- 0.009
