,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.01 +/- 0.008,0.03 +/- 0.016,0.048 +/- 0.02,0.063 +/- 0.023
Lymphatic Metastasis,0.0 +/- 0.0,0.08 +/- 0.16,0.12 +/- 0.16,0.17 +/- 0.154
"Condition, Preneoplastic",0.011 +/- 0.022,0.011 +/- 0.022,0.032 +/- 0.044,0.032 +/- 0.044
Alzheimer's Disease,0.089 +/- 0.055,0.099 +/- 0.068,0.12 +/- 0.067,0.12 +/- 0.067
Ovarian Mucinous Adenocarcinoma,0.029 +/- 0.057,0.029 +/- 0.057,0.029 +/- 0.057,0.09 +/- 0.117
Female infertility,0.033 +/- 0.067,0.18 +/- 0.128,0.26 +/- 0.278,0.26 +/- 0.278
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.02 +/- 0.024,0.03 +/- 0.04
Stomach Neoplasms,0.01 +/- 0.014,0.028 +/- 0.023,0.055 +/- 0.035,0.079 +/- 0.05
Pneumonitis,0.202 +/- 0.065,0.222 +/- 0.042,0.316 +/- 0.098,0.316 +/- 0.098
Malignant neoplasm of prostate,0.028 +/- 0.01,0.048 +/- 0.012,0.063 +/- 0.006,0.079 +/- 0.01
Neuroblastoma,0.042 +/- 0.052,0.124 +/- 0.12,0.147 +/- 0.104,0.147 +/- 0.104
