,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.023 +/- 0.018,0.05 +/- 0.024,0.055 +/- 0.022,0.053 +/- 0.018
Lymphatic Metastasis,0.0 +/- 0.0,0.015 +/- 0.029,0.008 +/- 0.015,0.008 +/- 0.007
"Condition, Preneoplastic",0.009 +/- 0.019,0.006 +/- 0.012,0.013 +/- 0.016,0.007 +/- 0.009
Alzheimer's Disease,0.083 +/- 0.059,0.053 +/- 0.038,0.03 +/- 0.022,0.016 +/- 0.012
Ovarian Mucinous Adenocarcinoma,0.012 +/- 0.025,0.007 +/- 0.014,0.011 +/- 0.015,0.008 +/- 0.007
Female infertility,0.039 +/- 0.032,0.029 +/- 0.027,0.027 +/- 0.026,0.014 +/- 0.013
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.007,0.002 +/- 0.004
Stomach Neoplasms,0.01 +/- 0.012,0.03 +/- 0.022,0.043 +/- 0.026,0.036 +/- 0.023
Pneumonitis,0.123 +/- 0.041,0.085 +/- 0.016,0.069 +/- 0.014,0.038 +/- 0.01
Malignant neoplasm of prostate,0.049 +/- 0.011,0.07 +/- 0.015,0.069 +/- 0.007,0.06 +/- 0.006
Neuroblastoma,0.023 +/- 0.028,0.034 +/- 0.03,0.026 +/- 0.019,0.015 +/- 0.01
