,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.012 +/- 0.008,0.021 +/- 0.011,0.03 +/- 0.017,0.055 +/- 0.015
Lymphatic Metastasis,0.0 +/- 0.0,0.08 +/- 0.16,0.08 +/- 0.16,0.08 +/- 0.16
"Condition, Preneoplastic",0.011 +/- 0.022,0.011 +/- 0.022,0.052 +/- 0.032,0.082 +/- 0.059
Alzheimer's Disease,0.077 +/- 0.077,0.077 +/- 0.077,0.077 +/- 0.077,0.077 +/- 0.077
Ovarian Mucinous Adenocarcinoma,0.033 +/- 0.067,0.062 +/- 0.076,0.062 +/- 0.076,0.124 +/- 0.11
Female infertility,0.04 +/- 0.08,0.187 +/- 0.22,0.26 +/- 0.278,0.293 +/- 0.274
Single Seizure,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
Stomach Neoplasms,0.014 +/- 0.007,0.014 +/- 0.007,0.034 +/- 0.024,0.072 +/- 0.04
Pneumonitis,0.165 +/- 0.066,0.24 +/- 0.04,0.353 +/- 0.071,0.371 +/- 0.059
Malignant neoplasm of prostate,0.031 +/- 0.008,0.045 +/- 0.014,0.063 +/- 0.012,0.088 +/- 0.004
Neuroblastoma,0.042 +/- 0.052,0.064 +/- 0.088,0.064 +/- 0.088,0.131 +/- 0.109
