,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.217 +/- 0.113,0.217 +/- 0.113,0.317 +/- 0.097,0.317 +/- 0.097
alzheimer disease,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067,0.033 +/- 0.067
amino acid metabolism inborn errors,0.04 +/- 0.049,0.198 +/- 0.211,0.335 +/- 0.191,0.465 +/- 0.111
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.09 +/- 0.111,0.19 +/- 0.185,0.29 +/- 0.191,0.29 +/- 0.191
anemia hemolytic,0.313 +/- 0.168,0.347 +/- 0.185,0.347 +/- 0.185,0.347 +/- 0.185
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.133 +/- 0.125,0.2 +/- 0.125,0.2 +/- 0.125,0.2 +/- 0.125
arterial occlusive diseases,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05,0.069 +/- 0.09
arteriosclerosis,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05,0.05 +/- 0.061
arthritis rheumatoid,0.022 +/- 0.044,0.069 +/- 0.09,0.069 +/- 0.09,0.069 +/- 0.09
asthma,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05
basal ganglia diseases,0.067 +/- 0.054,0.067 +/- 0.054,0.067 +/- 0.054,0.067 +/- 0.054
behcet syndrome,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
bile duct diseases,0.029 +/- 0.057,0.029 +/- 0.057,0.029 +/- 0.057,0.029 +/- 0.057
blood coagulation disorders,0.6 +/- 0.094,0.625 +/- 0.079,0.625 +/- 0.079,0.675 +/- 0.1
blood platelet disorders,0.5 +/- 0.155,0.54 +/- 0.233,0.54 +/- 0.233,0.613 +/- 0.221
breast neoplasms,0.1 +/- 0.094,0.125 +/- 0.079,0.15 +/- 0.094,0.225 +/- 0.146
carbohydrate metabolism inborn errors,0.247 +/- 0.096,0.259 +/- 0.092,0.31 +/- 0.09,0.35 +/- 0.076
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cardiomyopathies,0.227 +/- 0.122,0.327 +/- 0.116,0.349 +/- 0.126,0.349 +/- 0.126
cardiomyopathy hypertrophic,0.23 +/- 0.204,0.46 +/- 0.376,0.46 +/- 0.376,0.46 +/- 0.376
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.087 +/- 0.072
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.022 +/- 0.044,0.022 +/- 0.044
charcot-marie-tooth disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
colitis ulcerative,0.018 +/- 0.036,0.018 +/- 0.036,0.018 +/- 0.036,0.018 +/- 0.036
colorectal neoplasms,0.05 +/- 0.061,0.075 +/- 0.061,0.122 +/- 0.079,0.167 +/- 0.058
coronary artery disease,0.067 +/- 0.082,0.067 +/- 0.082,0.067 +/- 0.082,0.133 +/- 0.125
crohn disease,0.028 +/- 0.034,0.028 +/- 0.034,0.056 +/- 0.053,0.085 +/- 0.029
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.013 +/- 0.027,0.013 +/- 0.027,0.027 +/- 0.033,0.055 +/- 0.053
dwarfism,0.0 +/- 0.0,0.04 +/- 0.08,0.04 +/- 0.08,0.04 +/- 0.08
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.0 +/- 0.0,0.0 +/- 0.0,0.057 +/- 0.07,0.086 +/- 0.07
hypothalamic diseases,0.21 +/- 0.128,0.21 +/- 0.128,0.21 +/- 0.128,0.21 +/- 0.128
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
leukemia myeloid,0.069 +/- 0.057,0.114 +/- 0.122,0.114 +/- 0.122,0.136 +/- 0.163
lipid metabolism disorders,0.14 +/- 0.049,0.22 +/- 0.16,0.26 +/- 0.185,0.28 +/- 0.183
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.04 +/- 0.08
lung diseases obstructive,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05,0.025 +/- 0.05
lupus erythematosus,0.027 +/- 0.033,0.027 +/- 0.033,0.04 +/- 0.053,0.067 +/- 0.073
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.05 +/- 0.1
lysosomal storage diseases,0.422 +/- 0.13,0.467 +/- 0.191,0.467 +/- 0.191,0.467 +/- 0.191
macular degeneration,0.092 +/- 0.084,0.114 +/- 0.07,0.183 +/- 0.116,0.231 +/- 0.148
metabolic syndrome x,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.033 +/- 0.067,0.033 +/- 0.067
multiple sclerosis,0.029 +/- 0.035,0.043 +/- 0.035,0.1 +/- 0.073,0.114 +/- 0.097
muscular dystrophies,0.21 +/- 0.152,0.21 +/- 0.152,0.21 +/- 0.152,0.238 +/- 0.151
mycobacterium infections,0.22 +/- 0.129,0.22 +/- 0.129,0.22 +/- 0.129,0.22 +/- 0.129
myeloproliferative disorders,0.0 +/- 0.0,0.117 +/- 0.145,0.117 +/- 0.145,0.167 +/- 0.139
nutritional and metabolic diseases,0.012 +/- 0.01,0.024 +/- 0.006,0.055 +/- 0.004,0.109 +/- 0.021
peroxisomal disorders,0.75 +/- 0.0,0.85 +/- 0.122,0.85 +/- 0.122,0.85 +/- 0.122
psoriasis,0.0 +/- 0.0,0.02 +/- 0.04,0.056 +/- 0.074,0.056 +/- 0.074
purine-pyrimidine metabolism inborn errors,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
renal tubular transport inborn errors,0.152 +/- 0.106,0.152 +/- 0.106,0.152 +/- 0.106,0.152 +/- 0.106
sarcoma,0.04 +/- 0.08,0.08 +/- 0.16,0.08 +/- 0.16,0.12 +/- 0.16
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.05 +/- 0.1,0.05 +/- 0.1,0.1 +/- 0.2,0.1 +/- 0.2
tauopathies,0.029 +/- 0.057,0.057 +/- 0.07,0.057 +/- 0.07,0.057 +/- 0.07
uveal diseases,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133,0.067 +/- 0.133
