,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.0031878371750858267,0.006866110838646395,0.01348700343305542,0.03187837175085827
Lymphatic Metastasis,0.011235955056179777,0.02247191011235955,0.033707865168539325,0.05617977528089888
"Condition, Preneoplastic",0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Alzheimer's Disease,0.003015075376884422,0.007370184254606366,0.01407035175879397,0.03283082077051926
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.18181818181818185
Female infertility,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Single Seizure,0.0,0.0,0.0,0.0
Stomach Neoplasms,0.024390243902439025,0.028455284552845524,0.0508130081300813,0.08333333333333333
Pneumonitis,0.02662229617304493,0.04658901830282862,0.07154742096505824,0.10149750415973376
Malignant neoplasm of prostate,0.005,0.010294117647058823,0.020588235294117647,0.04264705882352941
Neuroblastoma,0.007492287351256059,0.013221683561040106,0.0251211987659762,0.04495372410753636
