,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.025 +/- 0.008,0.033 +/- 0.008,0.044 +/- 0.009,0.059 +/- 0.015
Lymphatic Metastasis,0.0 +/- 0.0,0.16 +/- 0.196,0.16 +/- 0.196,0.2 +/- 0.179
"Condition, Preneoplastic",0.0 +/- 0.0,0.0 +/- 0.0,0.033 +/- 0.046,0.082 +/- 0.05
Alzheimer's Disease,0.034 +/- 0.028,0.034 +/- 0.028,0.055 +/- 0.033,0.109 +/- 0.068
Ovarian Mucinous Adenocarcinoma,0.0 +/- 0.0,0.097 +/- 0.122,0.13 +/- 0.113,0.297 +/- 0.19
Female infertility,0.08 +/- 0.16,0.113 +/- 0.157,0.253 +/- 0.203,0.287 +/- 0.226
Single Seizure,0.02 +/- 0.024,0.02 +/- 0.024,0.03 +/- 0.024,0.04 +/- 0.037
Stomach Neoplasms,0.01 +/- 0.014,0.028 +/- 0.028,0.041 +/- 0.03,0.055 +/- 0.041
Pneumonitis,0.073 +/- 0.068,0.184 +/- 0.079,0.28 +/- 0.07,0.371 +/- 0.059
Malignant neoplasm of prostate,0.018 +/- 0.011,0.028 +/- 0.014,0.046 +/- 0.008,0.068 +/- 0.006
Neuroblastoma,0.02 +/- 0.04,0.064 +/- 0.088,0.104 +/- 0.13,0.171 +/- 0.144
