,Top 25,Top 50,Top 100,Top 200
Colorectal Carcinoma,0.006374298827129016,0.01198368179500255,0.023202447730749615,0.042580316165221815
Lymphatic Metastasis,0.024096385542168683,0.04819277108433735,0.09036144578313253,0.1566265060240964
"Condition, Preneoplastic",0.0,0.0,0.0,0.0
Alzheimer's Disease,0.00822481151473612,0.01644962302947224,0.030157642220699114,0.058259081562714185
Ovarian Mucinous Adenocarcinoma,0.0,0.0,0.0,0.0
Female infertility,0.125,0.25,0.25,0.25
Single Seizure,0.0,0.0,0.0,0.0
"Hearing Loss, Extreme",0.0,0.0,0.0,0.0
Stomach Neoplasms,0.03319502074688797,0.06639004149377592,0.11203319502074688,0.16804979253112035
Pneumonitis,0.018581081081081082,0.04222972972972973,0.08108108108108109,0.14358108108108109
Malignant neoplasm of prostate,0.007725587144622991,0.015451174289245985,0.029666254635352288,0.05469715698393078
Neuroblastoma,0.009541117673784644,0.017264879600181738,0.033166742389822805,0.058155383916401626
