rank	node	rank_score
1	CNST	176.6995
2	KIAA1429	157.696
3	GJA3	139.8
4	FOXO1	138.175
5	CIC	117.898
6	FOXO3B	113.178
7	HDAC4	95.64349999999999
8	YWHAB	95.3955
9	FOXO3	94.3795
10	YWHAG	93.697
11	FOXO6	93.065
12	ESR1	91.569
13	YWHAH	91.39
14	FOXO4	91.2625
15	SPATA13	90.885
16	YWHAZ	90.2885
17	CLASP1	89.793
18	YWHAQ	87.488
19	FAM53B	86.884
20	SAMSN1	81.482
21	CBY1	81.3845
22	MARK2	79.59049999999999
23	LPIN2	78.099
24	C5orf17	77.197
25	CDC25B	76.163
26	YWHAE	75.99249999999999
27	HECTD4	75.194
28	FAM53C	74.661
29	GAB2	73.5565
30	CDCA7	73.3875
31	RFX7	72.991
32	SFN	72.7785
33	SRGAP2	72.26050000000001
34	KSR1	72.2595
35	DENND4C	71.6575
36	JAKMIP3	71.2945
37	CRTC1	71.083
38	GRID2IP	70.795
39	KIAA0930	70.78150000000001
40	KIAA1804	70.449
41	PPM1H	70.35799999999999
42	NADK	70.2585
43	PFKFB2	69.2935
44	PLEKHA7	68.962
45	SIPA1L1	68.75450000000001
46	MAP3K3	68.686
47	AGAP1	68.559
48	SH3PXD2A	68.55699999999999
49	TESK2	68.25550000000001
50	XPO1	67.57050000000001
51	SPIRE1	67.077
52	PFKFB3	66.691
53	RALGPS2	66.64200000000001
54	MAPKAP1	66.25399999999999
55	DENND1A	65.853
56	PDE7B	65.68350000000001
57	KIF1C	65.0515
58	ZBTB21	65.051
59	MARK3	64.8725
60	CAMSAP2	64.566
61	CDK16	64.556
62	FAM110B	63.254999999999995
63	PHLDB2	62.95
64	RTKN	62.8445
65	RASAL2	62.548
66	DCLK1	62.0495
67	ANKRD34A	61.645
68	CTNNB1	61.510000000000005
69	TIAM1	61.347500000000004
70	KIF13B	60.3535
71	INPP5E	60.2525
72	ZNF395	60.174
73	CGN	60.052
74	MAGI1	59.4485
75	MAST3	58.24400000000001
76	CDC25C	57.443000000000005
77	LRFN1	57.342499999999994
78	SYDE1	57.246
79	GIGYF1	57.2395
80	JUN	56.4935
81	MAP3K2	56.38250000000001
82	HDAC1	56.173500000000004
83	SRSF12	55.9415
84	NF1	55.647000000000006
85	ZNF638	55.346500000000006
86	KCTD3	55.24549999999999
87	HIST1H4A	54.985
88	SH3BP4	54.6505
89	TFEB	54.496500000000005
90	EIF4E2	54.041
91	RB1	53.561
92	USP21	53.4405
93	OSBPL6	53.434000000000005
94	CEBPB	53.079499999999996
95	KLF5	52.884
96	CLASP2	52.673500000000004
97	EP300	51.88250000000001
98	NCOR2	51.67
99	TBC1D25	51.638999999999996
100	CREBBP	51.586
101	FAM110A	51.54
102	LPIN3	51.538
103	LIMA1	51.3375
104	CEBPA	51.1635
105	DENND4A	51.035000000000004
106	CEP112	50.383500000000005
107	AKT1S1	50.015499999999996
108	SH3RF3	49.937
109	GIGYF2	49.338499999999996
110	MELK	49.236000000000004
111	ARHGEF2	48.668
112	PIAS1	48.589
113	NCOR1	48.3875
114	SMAD3	48.282
115	UBE2I	48.2815
116	AR	48.0655
117	FOS	47.746500000000005
118	NAV1	47.632999999999996
119	STARD13	47.536500000000004
120	PML	46.8765
121	TANC2	46.834500000000006
122	RAB3IP	46.032
123	HDAC3	45.965999999999994
124	PTPN14	45.933499999999995
125	SP1	45.476
126	MLLT4	44.832499999999996
127	HDAC7	44.1355
128	DEPDC1B	43.8315
129	PTPN13	43.63
130	ATF3	43.451
131	MYB	43.379
132	EDC3	43.3305
133	SMARCA4	43.2745
