rank	node	rank_score
1	HSP90AA1	179.699
2	SRC	178.3985
3	PIK3R1	177.3
4	MKRN2	176.3995
5	ARNT	176.3965
6	STAT3	176.297
7	STAT1	173.9975
8	SNCA	173.898
9	RXRA	173.496
10	GRIN1	171.695
11	PTK2B	170.49349999999998
12	MAPT	169.89249999999998
13	SYK	169.693
14	RB1	167.594
15	SHC1	166.0955
16	JAK2	165.59099999999998
17	CALM1	165.1915
18	ERBB2	163.99200000000002
19	PLCG1	163.9895
20	RET	161.189
21	ABL1	160.59
22	PTK2	160.1885
23	IRS1	160.0875
24	CBL	157.58800000000002
25	JAK1	156.686
26	HAX1	156.1945
27	EGFR	155.9835
28	PTPN11	154.685
29	IGF1R	154.28400000000002
30	SH2B1	153.183
31	PIK3R2	150.9865
32	IRS2	149.981
33	AR	149.3845
34	SOCS1	148.882
35	STUB1	148.1855
36	SHC4	147.6825
37	RASA1	147.4815
38	HSPA8	144.68699999999998
39	KIT	142.3795
40	MATK	142.07649999999998
41	PLCG2	141.179
42	GAB2	140.98
43	SHB	140.778
44	ZAP70	135.9755
45	SOCS3	135.87849999999997
46	CRK	135.7745
47	LCK	133.877
48	LCP2	133.77
49	NCK1	133.07049999999998
50	GAB1	132.873
51	ITK	132.7685
52	CSF1R	132.374
53	LYN	131.97150000000002
54	SOS1	131.07350000000002
55	YWHAZ	130.57750000000001
56	ABL2	130.071
57	KHDRBS1	129.369
58	FRS2	126.4725
59	DOK1	126.268
60	PIK3R3	125.1695
61	ARRB1	123.8615
62	TNK2	123.4675
63	TEC	123.4665
64	CSK	123.06599999999999
65	SH2D2A	122.172
66	CRKL	121.46549999999999
67	INSR	121.263
68	HCK	120.56700000000001
69	VAV1	119.86399999999999
70	NEDD4	118.88050000000001
71	EPOR	118.5635
72	CBLB	117.1645
73	IL6ST	116.66199999999999
74	YES1	114.56500000000001
75	BLNK	110.86100000000002
76	PECAM1	110.5625
77	GHR	110.16
78	BTK	109.5605
79	STAT5A	108.8595
80	NUFIP1	108.79249999999999
81	BCR	108.45599999999999
82	PXN	106.55699999999999
83	IL2RB	105.175
84	CDC37	104.95900000000002
85	SQSTM1	104.75349999999999
86	RAF1	102.05850000000001
87	LRRK1	101.955
88	SH3BP2	100.848
89	NCK2	99.8545
90	TRAF6	97.9495
91	FLT3	97.65650000000001
92	FGR	95.25550000000001
93	WAS	94.95750000000001
94	VAV3	94.3515
95	STAT5B	93.85799999999999
96	SLA	92.75399999999999
97	RPS6KA1	92.64349999999999
98	FASLG	91.7525
99	HSP90AB1	91.4455
100	EPHA2	90.953
101	HSH2D	89.251
102	LAT	89.1485
103	HIF1A	88.245
104	FCGR2B	86.949
105	PRRG4	86.8445
106	BLK	84.34700000000001
107	FES	84.2505
108	EPHB2	82.05199999999999
109	KRAS	81.238
110	HSPA4	80.242
111	MAP3K11	78.941
112	HSPB1	77.4375
113	CREBBP	76.4405
114	HDAC6	75.237
115	BAIAP2	74.95
116	PRKCD	74.24600000000001
117	INPP5D	74.04650000000001
118	CDK4	71.144
119	RAC1	70.9385
120	CDK1	69.22200000000001
121	CDK6	68.44300000000001
122	PTK6	68.23400000000001
123	RPS6KA3	68.0365
124	HSPA5	67.9345
125	BCL2L1	67.0165
126	PARK2	66.61949999999999
127	MDM2	66.13550000000001
128	MAP3K5	64.839
129	PPARG	63.936
130	DAB1	59.74249999999999
131	APP	59.533500000000004
132	JUP	58.217000000000006
133	MAPK8IP1	57.03150000000001
134	CDKN2A	56.939499999999995
135	SMAD3	54.04
136	CDKN1A	52.92100000000001
137	GAPDH	52.416
138	MAP2K3	50.932
139	MAP2K5	50.13
140	SOS2	48.7355
141	TUBB	47.2175
142	CDKN2B	46.5325
143	NF2	46.4305
144	YWHAQ	45.515499999999996
145	UCHL1	45.114
146	FLT1	43.933
147	HSPA6	42.722500000000004
148	MAP2K1	41.3125
149	TERT	40.528999999999996
150	CBLC	40.241499999999995
151	PAK1	37.619
152	MDM4	37.524
153	MYOD1	36.9905
154	STK11	35.927499999999995
155	CAD	35.911
156	PDGFRA	35.528499999999994
157	CD44	35.527
158	CDH1	35.4145
159	EPAS1	35.331
160	MYH9	34.7285
161	FGFR4	33.1265
162	MAP2K6	32.726
163	E2F1	31.2185
164	HGF	31.0255
165	GLIS2	30.3245
166	LATS2	29.9235
167	CDKN2C	28.325
168	CCNE1	28.121500000000005
169	RASSF1	26.723000000000003
170	BRAF	26.418
171	SH2B3	26.375999999999998
172	GRIP1	25.814999999999998
173	GRAP2	23.737000000000002
174	GNB2L1	23.405
175	IRS4	22.6045
176	PRKDC	22.403
177	C11orf52	22.0475
178	KDELR2	20.919999999999998
179	ARAF	20.7115
180	PRKCG	20.708
181	UBASH3B	18.1385
182	YWHAG	16.109
183	RPS6KB1	15.728
184	ILKAP	15.532499999999999
185	MST1R	15.3005
186	PRKCZ	14.910500000000003
187	PPID	13.710500000000001
188	SFN	12.202
189	CSNK2A1	12.0305
190	TEAD2	12.0205
191	SH2D1A	11.834999999999999
192	SIRPA	11.328999999999999
193	PRKCE	11.3015
194	KAT5	10.711
195	DNAJA1	10.508500000000002
196	CDK3	9.812999999999999
197	YWHAB	9.7035
198	RHOB	9.0305
199	ERRFI1	8.903
200	INPPL1	8.8225
201	HSP90AB3P	8.4115
202	EZR	8.3295
203	KAT2A	7.3135
204	CSNK1A1	6.5055000000000005
205	TP73	6.11
206	DGUOK	6.089
207	PARD3	5.5024999999999995
208	HRAS	5.1095
209	FOXO3	5.1015
210	PKM	5.0215000000000005
211	EPHA3	4.7299999999999995
212	TSC1	3.806
213	MAP3K3	3.8034999999999997
214	MAPK7	3.707
215	PAK6	3.7039999999999997
216	UBE2I	3.408
217	IQGAP1	3.307
218	LRRK2	3.004
219	EP300	2.73
220	ATP5A1	2.7064999999999997
221	YAP1	2.3015
222	PAK4	2.2009999999999996
223	TIAM1	2.1065
224	CTNNA1	1.7120000000000002
225	IKBKB	1.7045000000000001
226	BAD	1.5015
227	MAP3K2	1.403
228	PDPK1	1.3025
229	MLLT4	1.1005
230	BCL3	0.71
231	VHL	0.6075
232	CDC25A	0.5025000000000001
233	SMARCA4	0.20750000000000002
234	ILK	0.041999999999999996
235	FER	0.031
236	PRKACA	0.0295
237	ERBB2IP	0.028499999999999998
238	CTNND1	0.028000000000000004
239	CEBPB	0.027000000000000003
240	MSN	0.016
241	GAREM	0.0125
242	CDKN1B	0.0085
243	PHACTR4	0.007000000000000001
244	ARHGAP21	0.0035000000000000005
245	SH3KBP1	0.0025
246	AURKA	0.0025
247	ESRRB	0.0025
248	DDX5	0.002
249	YWHAH	0.0015
250	AXL	0.001
251	SAMSN1	0.001
