rank	node	rank_score
1	PTGS2	180.1
2	COPS3	178.6995
3	COPS7A	176.898
4	COPS7B	175.69850000000002
5	COPS8	175.69650000000001
6	COPS2	175.695
7	MYEOV2	173.19549999999998
8	GPS1	172.89749999999998
9	ERCC8	172.2945
10	COPS4	171.997
11	DDB2	171.496
12	DCAF11	167.7925
13	COPS6	167.0935
14	DDB1	166.69099999999997
15	FBXO17	166.19400000000002
16	SKP1	164.899
17	CUL5	164.59300000000002
18	RFWD2	164.3915
19	DET1	163.6905
20	UBE2M	163.69
21	LRR1	163.092
22	DDA1	161.6895
23	NEDD8	159.988
24	VPRBP	159.789
25	DCUN1D1	157.9865
26	CUL4B	157.5875
27	TCEB2	157.286
28	DCAF4	157.087
29	CRBN	156.8885
30	DTL	153.185
31	ANKRD39	152.4835
32	PHIP	152.2855
33	FEM1B	150.984
34	CUL2	150.5845
35	FBXW4	149.683
36	CUL3	147.78199999999998
37	IGHV3OR15-7	146.88150000000002
38	BTBD2	146.5825
39	BTBD1	145.18099999999998
40	RPL36AP37	144.4805
41	ASB6	144.478
42	KLHL18	144.27849999999998
43	DCUN1D2	142.879
44	RPL7AP27	142.0795
45	UBXN7	139.17649999999998
46	KLHDC3	138.677
47	TCEB1	137.776
48	RPL7AP9	137.28
49	RNF7	136.9755
50	DCUN1D3	135.375
51	SKP2	135.37449999999998
52	RPSAP12	133.7775
53	LRRC14	132.574
54	DCAF4L2	132.472
55	KLHL42	131.473
56	GLMN	130.17350000000002
57	DCUN1D4	130.17249999999999
58	CAND1	126.27000000000001
59	RPL7P32	125.56949999999999
60	DCAF8	124.37150000000001
61	RPSAP55	124.269
62	SNRPD1	124.2665
63	RPL10P16	122.8685
64	RPL21P16	121.468
65	RPL21P19	120.36749999999999
66	ARIH1	119.571
67	QPCT	118.26599999999999
68	RPL29P30	118.2655
69	ASB2	114.6645
70	HNRNPA2B1	112.86500000000001
71	KLHL13	112.26700000000001
72	FBXL5	112.17049999999999
73	HNRNPK	111.36300000000001
74	DDX5	110.5635
75	HSP90AA1	108.15950000000001
76	NPM1	107.45149999999998
77	UBE2D1	106.4625
78	BTRC	105.76199999999999
79	CDKN1A	103.55799999999999
80	DCUN1D5	103.16399999999999
81	VHL	101.6575
82	HIST1H2AL	101.3615
83	HSPA1B	101.252
84	KLHL10	100.159
85	UBC	98.9565
86	MDM2	98.356
87	FBXW2	97.461
88	NCL	94.55
89	ARIH2	94.451
90	HNRNPD	93.7525
91	RPS26P54	92.1605
92	FUS	89.6495
93	HSPA5	86.94800000000001
94	PCBP1	84.6465
95	DHX9	84.5475
96	HNRNPA1	84.447
97	PABPC1	84.244
98	FBXL15	84.15299999999999
99	HNRNPAB	82.44449999999999
100	GNB2L1	81.45349999999999
101	HNRNPF	81.34549999999999
