rank	node	rank_score
1	DNMT3L	180.0
2	ATF3	178.799
3	JUNB	178.49949999999998
4	CEBPB	177.3985
5	ATF2	176.398
6	DDIT3	174.797
7	CREBBP	174.49650000000003
8	SRA1	173.9975
9	JUN	172.89600000000002
10	FOSL1	171.895
11	ATF4	171.5955
12	CEBPA	169.6945
13	CEBPG	169.494
14	BATF	167.99349999999998
15	BATF3	167.293
16	ATF7	166.7925
17	CEBPE	165.79149999999998
18	JDP2	165.092
19	NFATC1	164.38899999999998
20	FOSL2	162.5905
21	ATF1	162.4895
22	DBP	160.5885
23	TRIB1	159.69
24	BATF2	159.58800000000002
25	CREB5	159.19099999999997
26	ETS1	157.3875
27	PML	154.58499999999998
28	SP1	153.48600000000002
29	HDAC1	153.3865
30	SPI1	152.7845
31	RUNX1	152.68400000000003
32	NCOR2	151.3835
33	NCOR1	150.88299999999998
34	ETS2	146.8825
35	NFE2L2	146.78199999999998
36	PPARG	146.7795
37	KLF5	145.97899999999998
38	EP300	145.2815
39	HDAC3	144.07999999999998
40	GATA1	143.881
41	RELA	142.2765
42	RXRA	141.9785
43	NFKB1	141.877
44	VDR	140.476
45	NCOA6	140.3775
46	BCL6	138.0805
47	RARA	137.878
48	YY1	137.8725
49	NCOA1	137.37550000000002
50	NCOA3	136.775
51	SRF	135.87449999999998
52	SMAD2	135.07
53	NR1H2	133.9735
54	PPARGC1A	130.673
55	CIITA	129.571
56	TBP	126.77150000000002
57	HNF4A	124.86749999999999
58	NCOA2	124.6665
59	NR1I2	124.56599999999999
60	RB1	123.7705
61	NR0B2	123.76700000000001
62	STAT3	122.274
63	KAT2B	121.86949999999999
64	MYOD1	120.869
65	PPARD	120.072
66	SIRT1	119.26849999999999
67	UBE2I	119.2645
68	NR1H3	119.263
69	RXRG	118.2615
70	PIAS1	118.1635
71	MDM2	117.768
72	STAT1	115.2625
73	NRIP1	115.05850000000001
74	PPARA	113.3605
75	THRB	111.65599999999999
76	CEBPD	111.221
77	ZBTB16	108.96
78	TP53	108.05900000000001
79	PGR	107.2655
80	HIF1A	107.165
81	AR	106.86100000000002
82	E2F1	106.258
83	KAT5	103.75699999999999
84	EPAS1	103.4855
85	SP3	102.054
86	SMARCA2	100.162
87	TDG	99.936
88	TP73	99.7365
89	HDAC2	97.65450000000001
90	SIN3A	97.0595
91	ZBTB7A	96.9515
92	SMAD4	96.63250000000001
93	SMARCB1	94.155
94	SMARCC1	92.35650000000001
95	SMARCE1	89.4555
96	ETV1	89.064
97	NR4A1	88.95750000000001
98	CARM1	88.1535
99	SMARCC2	85.353
100	ARID1A	84.852
101	SS18L1	83.35249999999999
102	FLI1	81.651
103	GPS2	80.137
104	SMARCD3	79.9505
105	SS18	78.85
106	SMARCD2	77.6485
107	SMARCD1	77.049
108	ACTL6A	76.1495
109	DPF1	74.5475
110	ARID1B	74.248
111	DNMT1	73.63199999999999
112	BCL3	73.4395
113	ARID2	72.747
114	DPF3	71.6465
115	GLTSCR1	70.546
116	NR1H4	69.7375
117	RELB	69.1405
118	BRD9	69.045
119	CTBP1	68.934
120	BCL7A	68.74449999999999
121	SUMO1	68.7265
122	PBRM1	68.6455
123	PHF10	68.34400000000001
124	TBL1XR1	68.34
125	GTF2I	67.3255
126	BCL7C	66.2435
127	DPF2	65.343
128	STK11IP	64.74249999999999
129	BCL7B	63.54200000000001
130	EZH2	62.1345
131	BRCA1	62.12950000000001
132	SS18L2	61.741499999999995
133	ESR1	61.635000000000005
134	TEX13B	61.241
135	PIAS2	60.528499999999994
136	PLAGL1	57.525999999999996
137	ING1	57.435500000000005
138	THRA	56.721500000000006
139	CTNNB1	56.43150000000001
140	PARP1	55.528999999999996
141	NFATC2	54.5385
142	FOXO1	54.129999999999995
143	TBL1X	53.93299999999999
144	SUV39H1	53.3235
145	RFWD2	52.287
146	AKT1	52.230999999999995
147	FHL2	49.7305
148	E2F4	49.427499999999995
149	HIST1H4A	48.525
150	MED1	48.222
151	MAPK8	47.838
152	CCND1	47.617000000000004
153	TP53BP1	47.027
154	KDM1A	46.6245
155	RARB	44.539
156	SOX2	42.222500000000004
157	GRIP1	41.3525
158	NR2C1	41.123000000000005
159	KAT2A	39.5205
160	SETD7	34.8195
161	TAF6	33.119
162	CDKN1A	30.924
163	KPNA1	28.72
164	SKI	25.95
165	RBBP4	25.216
166	MYC	24.3145
167	MYB	22.9125
168	KMT2A	21.315
169	ASH2L	20.314
170	HDAC7	19.728
171	CIC	19.5155
172	HIST1H3A	19.412
173	AHR	18.3185
174	CHD7	18.313
175	RBBP5	18.211000000000002
