#rank	DIAMOnD_node	p_hyper
1	AR	2.856294394977022e-18
2	HSPA5	5.526916476191312e-17
3	RELA	1.8568099571979784e-16
4	ESR1	6.113649774853567e-16
5	SP1	2.5132534089752e-16
6	HDAC2	1.7138543120182458e-16
7	HDAC3	2.2289142239189278e-16
8	IGF1R	8.539001393575954e-17
9	JUN	1.2150437674293234e-16
10	HSP90AA1	1.1371666047393236e-16
11	HDAC1	7.892294658147991e-16
12	NR4A1	3.857257554269397e-16
13	SMARCA4	2.8033588414836814e-16
14	NCOR2	3.4982541960961226e-17
15	STAT1	7.608371219907432e-17
16	CREBBP	3.0798927453221286e-16
17	E2F1	1.343206047436255e-16
18	PPARG	3.037844047089012e-16
19	KIAA1429	3.8095474207807665e-16
20	NFKB1	1.6315995983188011e-16
21	HSPA8	2.0215929903662094e-16
22	HSPA4	1.0447821704173978e-16
23	VHL	2.118457075170829e-17
24	XRCC5	2.492687730274268e-17
25	BRD4	1.2142046245177763e-17
26	SUMO2	1.3156056038921126e-17
27	XRCC6	9.559743987454693e-18
28	NCOA6	5.005493372572058e-18
29	SMAD3	5.387704522077065e-18
30	KLF5	1.1167199324298633e-18
31	EP300	1.0888983014078276e-18
32	CEBPB	7.802154726572958e-20
33	RB1	4.35392365466071e-19
34	UBE2I	1.9515815244894525e-18
35	TFAP2A	1.4986751951351793e-19
36	HIST1H4A	3.0103532307467247e-19
37	SP3	6.482229810352828e-19
38	PIAS1	4.453657799222561e-19
39	PPARGC1A	6.064565690704041e-20
40	DDX5	2.4931124300992397e-19
41	KAT2B	1.1414705822690236e-18
42	RARA	6.543492463756065e-19
43	GTF2I	1.874324139739082e-19
44	MAPK1	4.976721192263888e-19
45	CDK2	1.0807298627476693e-18
46	POU2F1	2.3224749579035156e-18
47	PGR	1.1340667242670792e-18
48	SRF	2.5674754325012627e-18
49	ABL1	4.047895563650089e-18
50	CREB1	6.536566274317578e-19
51	HIST1H3A	1.4931659036947536e-18
52	KAT5	1.6273198098165762e-18
53	UHRF2	3.7634603834122715e-19
54	TP73	6.789610649808314e-19
55	SUMO1	2.5029588183649897e-19
56	PCNA	3.0352346109377887e-19
57	RAD51	7.794887524401868e-20
58	YAP1	3.5816094202704745e-19
59	POLR2A	4.540264767854329e-19
60	CSNK2A1	4.60250178543083e-19
61	FOS	3.4693774418943447e-19
62	SMARCC2	1.9975322441760036e-19
63	SMARCC1	1.0819840355676342e-19
64	CEBPA	2.5947322387489513e-19
65	SMARCA2	6.393014141000573e-20
66	ATF2	7.825454120511376e-20
67	SOX2	1.8770177227420693e-19
68	SMARCA5	5.695171288718378e-20
69	TOP2B	5.29735066930977e-19
70	MTA2	9.668223764934669e-20
71	ERCC6	1.794909436554194e-20
72	SFPQ	3.9803443819786366e-20
73	HMGB1	1.900261969845879e-19
74	MRE11A	1.80868526394025e-19
75	MSH2	3.883408169554486e-20
76	RPA1	1.1560257450372785e-20
77	CHD4	4.1803935373530633e-20
78	DDX17	8.166468879759612e-21
79	HNRNPK	1.603212823421699e-20
80	WDR5	2.209252143646893e-20
81	FUS	7.282891527603334e-21
82	DHX9	2.0981876192835445e-21
83	H2AFX	7.965709685155956e-21
84	SMARCE1	4.4326836166680046e-21
85	SIN3A	1.3803013890541374e-21
86	SMARCB1	2.850358487460834e-22
87	RBBP4	2.8962120965609386e-22
88	SUZ12	1.1359629979095737e-22
89	MTA1	1.706784142911342e-23
90	HIST1H2BB	6.351684427056232e-23
91	TRIM28	8.295786628604563e-23
92	HCFC1	1.001632489179311e-23
93	NR2C1	3.907240723204011e-24
94	EED	1.8411224309819788e-23
95	MBD3	1.743751020049461e-23
96	KMT2A	2.9674807230657766e-24
97	MDC1	2.491597732945557e-23
98	NCL	2.1080090475518214e-23
99	DDB1	3.2649102004879037e-23
100	H2AFY	1.9449828811072283e-23
101	FANCD2	2.5438685599564057e-23
102	RPA2	5.924864592335891e-24
103	RBBP7	1.0536686207678632e-23
104	H3F3A	2.4683451113840283e-24
105	PPP1CA	1.2018373713892952e-23
106	HNRNPD	2.541470792598293e-24
107	ATRX	1.5437705599609572e-24
108	SSRP1	2.3139513010534154e-24
109	RNF4	1.3352612700491413e-23
110	USP11	1.2451264096966085e-23
111	PKM	2.1097708553440417e-24
112	CDKN1A	1.4572304948307585e-24
113	NONO	3.9939342498197345e-24
114	CIC	1.2593848527963446e-24
115	CHEK2	1.410009737614643e-25
116	PRPF8	3.3579742566066763e-25
117	EFTUD2	1.8246133409766253e-25
118	HNRNPM	5.67862158285014e-26
119	LMNA	9.362723888599883e-26
120	RPA3	9.176323542033729e-26
121	MATR3	3.523780346546495e-26
122	RANBP2	1.3156997876110802e-26
123	RAD50	1.2212572140085946e-26
124	NFATC2	1.6661787566936127e-26
125	TP53BP1	9.893898054372802e-27
126	NUMA1	1.9087356602149282e-26
127	SMC3	5.199982212592617e-27
128	WDR76	1.5966460496209993e-27
129	MSH6	4.188122954262178e-28
