#rank	DIAMOnD_node	p_hyper
1	RASSF1	3.1047751961331794e-10
2	TEAD2	3.0695247033444726e-09
3	SOX3	7.041173403734427e-11
4	WHSC1L1	4.367831871884815e-10
5	GLIS2	3.626001728332526e-11
6	AKT1	6.206834102563526e-12
7	EPHA2	1.0432330165698434e-12
8	CDKN2B	3.0811321968214837e-14
9	LATS2	1.6526160819888175e-15
10	FGFR4	5.711473176494518e-16
11	HGF	1.0336278782344485e-16
12	MAP2K5	2.842464346032461e-18
13	CCND2	3.3872113083316024e-19
14	NF2	1.5479605420142335e-20
15	CDK6	7.609714172257877e-21
16	STK11	3.3982156519959526e-22
17	CBLC	1.492733670633384e-23
18	RAF1	2.6295370585373195e-23
19	ARNT	1.4938078471512248e-24
20	MAP2K3	7.14991046094233e-26
21	CDK4	4.4870523090779215e-26
22	CD44	2.2241724016112295e-27
23	GRM1	3.0535525394531847e-28
24	ERBB2	5.610151142994329e-29
25	CDKN2C	9.55375513156135e-29
26	PDGFRA	5.17435607603101e-28
27	KDELR2	1.5144156102902269e-29
28	BECN1	1.2116751830069628e-29
29	CCNE1	3.627221893995061e-27
30	ARAF	8.609289741040099e-25
31	MAP2K6	3.207989463150721e-22
32	MAP3K5	1.3652863044557852e-23
33	TSC1	1.60383749590933e-21
34	KAT2A	6.715038541560944e-20
35	MDM4	4.375870942492509e-19
36	FZR1	5.029785324778877e-18
37	HIF1A	4.558557463376992e-19
38	HSP90AA1	8.712697581478525e-18
39	MAPK14	5.640608982703569e-18
40	TP53	3.435551662861578e-17
41	SOX4	4.476564359461018e-19
42	HSP90AB1	3.28584853398249e-17
43	BRAF	3.098355191749838e-17
44	TTYH2	9.338184764628364e-17
45	IGF1R	1.9560300932592338e-17
46	CDC37	2.875314061690599e-17
47	CTNNB1	1.1413125194183628e-16
48	YWHAZ	3.9698745377667245e-17
49	YWHAE	3.003120890362899e-17
50	HSPA1A	6.234727605507648e-17
51	MAP2K1	1.847173306796864e-17
52	RELA	8.350242855216163e-17
53	GLIS1	1.0552275730317826e-18
54	NFIC	4.3138446365673006e-19
55	STUB1	1.466412090937319e-17
56	HSPA4	2.525588121511728e-17
57	IRS4	3.478398403784459e-18
58	PPP2R1A	2.8515616333020607e-18
59	SRC	6.873989247883988e-18
60	MDM2	2.206376276583362e-18
61	HSPA8	7.555906830360069e-19
62	TUBB	1.8550925596597114e-18
63	EEF2	3.681955972824668e-18
64	CDKN1A	1.690198418139987e-17
65	GNB2L1	5.515786509444101e-17
66	USP11	1.443845186633875e-16
67	HSPA9	4.748240856816937e-17
68	TUBG1	2.7379135213204912e-17
69	AR	4.718103266668386e-17
70	GAPDH	9.613224277678513e-18
71	MAPK1	3.50644024203247e-18
72	PKM	4.1609433499055992e-19
73	BRCA1	9.420658894236974e-20
74	PTEN	3.3731070890200837e-19
75	JUP	3.3104130960900566e-20
76	CAD	5.379825665325776e-20
77	SHC1	1.2707773371298987e-20
78	PIK3R1	7.28193238530779e-21
79	HSPB1	1.0467790336781879e-20
80	MAPK7	2.084667948864276e-20
81	GRB10	2.6677664936816108e-20
82	ABL1	1.3547389583772041e-20
83	EGFR	3.551846161426157e-21
84	SOCS1	3.3159659836471884e-22
85	TUBB4B	3.0515843625648815e-22
86	PRKCZ	3.1231114922263446e-22
87	DNAJA1	3.1574657513119697e-22
88	PARK2	5.325204123944583e-23
89	HSPA5	3.348268860144715e-23
90	HDAC6	5.44153164633617e-24
91	HSPA6	1.129554599304168e-24
92	DNAJA2	6.378986746601698e-25
93	LCK	3.1587079129465643e-25
94	HSPH1	1.005352581361608e-24
95	CSK	1.0056239288677026e-24
96	RASA1	3.651999854001183e-25
97	CBL	9.62764127818448e-25
98	PXN	3.9789779666094047e-25
99	PTK2	1.6479339368559259e-24
100	BAG2	4.813523310004234e-25
101	GRB2	8.677291247984328e-25
102	NPM1	5.485925290429869e-25
103	HSPA1L	7.905811117773212e-25
104	RIN3	3.7540227192101007e-25
105	EEF1A1	2.1646746917659076e-25
106	ATP5A1	8.56462702700431e-26
107	TUBA1C	9.753060999543702e-26
108	CRK	1.190528149006299e-26
109	YWHAQ	5.567128483491458e-27
110	ESRRB	1.0301343331818673e-26
111	SLC25A3	1.4874183045007573e-27
112	HUWE1	1.9287858410515678e-27
113	PHB	3.0344749349077213e-28
114	ATXN3	1.3225924128756633e-28
115	VCP	9.305406227104971e-29
116	PRPF8	6.150651305089834e-28
117	SLC25A5	5.319976988148616e-28
118	MCM2	2.590925353848305e-28
119	TCP1	7.708631380099704e-29
120	RPS3	1.9000641321499118e-29
121	FAF1	2.1986171794525168e-29
122	CYLD	3.172411800210599e-29
123	TARDBP	2.9296025775012236e-29
124	CUL2	3.203459689351364e-30
125	FUS	5.611416339811646e-30
126	FASN	2.251532641331006e-30
127	UBC	6.530059205240159e-31
128	METTL3	4.705891658014985e-31
129	CCT2	2.61201289835646e-31
130	UBE2M	2.2940931039870534e-31
131	CCT4	7.04573611393745e-32
132	EFTUD2	5.044190367952313e-32
133	CCT8	7.09014736657508e-33
134	NME1	4.266450424701144e-33
135	RUVBL1	3.6729516545478755e-33
136	AAR2	1.2823524052812516e-33
137	TRIM28	2.1816524587866283e-34
138	CCT5	2.2049641150851133e-35
139	CCT6A	4.449188972443962e-36
140	PSMA3	3.043871449797473e-36
141	CCT3	1.2644542975703345e-36
142	HEXIM1	3.4405168278800176e-37
143	CCT7	7.167800397911375e-38
144	PPP6C	1.5699975826552935e-38
145	TUBB6	2.425228337647504e-38
146	NOS2	2.770818384188339e-38
147	METTL14	1.095063093013468e-37
148	EEF1G	6.195106679476809e-38
149	HDAC5	4.322373700636267e-38
150	RBM39	8.46231066071086e-38
151	TUBA1A	1.2504661762861867e-38
152	TUBA1B	6.14888709427369e-39
153	TUBA4A	1.614045455457985e-39
154	PCBP1	8.449557991460609e-39
155	SPRTN	8.0925382240027e-40
156	RPS4X	9.941951586806824e-40
157	RPS6KB2	4.858314756440555e-40
158	RUVBL2	4.80068635744651e-40
