rank	node	rank_score
1	FGG	174.7965
2	HP	164.18800000000002
3	P2RX6	162.083
4	ALB	158.97449999999998
5	THBS1	156.6975
6	FN1	154.395
7	GOT1	148.3555
8	AGPAT1	148.2825
9	SARAF	148.196
10	SERPINA1	147.792
11	HSP90AA1	147.19
12	TF	146.1865
13	FGB	145.1835
14	CP	142.98600000000002
15	KLK10	142.7895
16	HPX	140.68400000000003
17	GC	140.285
18	ORM1	140.0905
19	FNDC1	139.79149999999998
20	GNG8	138.587
21	MBNL1	136.1945
22	SERPINA3	135.082
23	BGN	132.69850000000002
24	EGFL8	132.4725
25	SNX27	132.0815
26	PLG	131.3775
27	GDPD1	131.279
28	C3	130.87849999999997
29	PRR4	130.1805
30	UBE2U	128.8795
31	HBB	128.6845
32	PHF11	125.981
33	SCGB1D1	125.9675
34	SERPING1	125.775
35	ST6GALNAC6	125.46900000000001
36	CIR1	124.87100000000001
37	IGHG2	124.87049999999999
38	PDE6D	123.665
39	CCR1	123.4695
40	PPP2R2B	121.46700000000001
41	APOA4	120.077
42	CFH	118.97550000000001
43	IGHG1	118.5685
44	SERPINE1	118.49949999999998
45	IGLL5	118.273
46	YWHAQ	117.7935
47	MATN2	117.674
48	STATH	117.17999999999999
49	IGKC	116.564
50	STX17	116.072
51	RHBDD1	114.16300000000001
52	MMP2	113.49099999999999
53	IGHG3	113.06599999999999
54	AHSG	109.6605
55	CFB	109.27649999999998
56	ITIH4	108.976
57	SSUH2	108.7645
58	IGHM	108.6655
59	LCN1	107.97350000000002
60	ITLN2	107.56199999999998
61	IGLC2	106.06649999999999
62	DDX31	105.96100000000001
63	A2M	105.2635
64	IGHG4	105.2585
65	HCN1	100.8575
66	C18orf21	100.4525
67	TTR	99.459
68	CERS3	98.06
69	PLA2G4D	98.053
70	LCN2	97.65799999999999
71	ITIH1	97.3715
72	APP	95.2955
73	SFXN4	93.4595
74	FNDC5	92.5565
75	ANXA8	91.3505
76	ORM2	89.968
77	SERPINB3	89.74600000000001
78	GOT1L1	89.1865
79	IGHA1	88.14750000000001
80	DDX19B	87.0625
81	CLU	86.578
82	IVL	86.3545
83	OR2A4	85.4465
84	TYMP	84.4485
85	RIPPLY3	82.95349999999999
86	EVPL	82.654
87	DSG3	82.45
88	CALML5	82.3415
89	SULT2B1	81.64200000000001
90	ENDOU	81.3515
91	C4A	81.25699999999999
92	EBF2	80.2435
93	SDR16C5	79.748
94	PAPL	79.043
95	POF1B	78.852
96	TREX2	77.6495
97	APOC3	75.799
98	PINK1	75.63550000000001
99	IL36RN	75.133
100	IL36G	74.73949999999999
101	THBS2	74.289
102	SERPINB4	73.745
103	CDK15	73.144
104	PPL	72.9425
105	LGALS7B	72.749
106	LCP1	72.124
107	SSBP2	71.339
108	PIGT	70.9385
109	A2ML1	70.851
110	RNF115	70.4405
111	AKR1B10	69.725
112	NDRG2	69.6365
113	NRSN1	67.6285
114	PTDSS1	66.741
115	SERPIND1	66.38550000000001
116	KLHL11	62.8375
117	S100A7A	62.737
118	HAL	62.134
119	CA8	61.8615
120	SERPINB7	61.53099999999999
121	GSDMA	60.4265
122	SLC25A6	59.5345
123	F10	59.1
124	ALDH3A1	58.0215
125	GM2A	57.93050000000001
126	TBC1D22B	57.6315
127	ELAVL1	56.998000000000005
128	SERPINB2	56.609500000000004
129	COL11A1	56.568000000000005
130	HPR	55.7875
131	TRIM29	55.428
132	TGM1	53.336
133	SERPINB5	52.92049999999999
134	LTF	52.355999999999995
135	SLC37A4	52.129
136	MMP9	52.092499999999994
137	NCCRP1	51.8255
138	KLK6	49.433499999999995
139	GABPA	49.03
140	FANCD2	48.109
141	PLA2G4E	47.955
142	S100A7	47.438
143	AZGP1	46.212
144	CALML3	45.6445
145	GUCY1A3	45.327
146	ALOX12B	44.214999999999996
147	KLK7	41.6195
148	ACPP	41.419
149	SDR9C7	41.132
150	KIR3DS1	41.017
151	BPHL	40.5125
152	C1orf35	38.926
153	HRG	38.769999999999996
154	CASP14	38.722
155	S100A9	38.047000000000004
156	ZSCAN20	37.832499999999996
157	SERPINB13	37.8295
158	GPR78	37.6905
159	ZC3HC1	37.51649999999999
160	PKP1	37.42100000000001
161	FLG	36.7145
162	ELANE	35.552499999999995
163	IGLC6	35.402
164	MOGAT3	34.318
165	S100A8	34.235
166	TGM3	33.915499999999994
167	APCS	33.366
168	TMEM176B	32.64
169	FCF1	32.607
170	HSPA5	31.698
171	CPA4	30.2115
172	FTH1	29.023000000000003
173	APTX	27.913999999999998
174	CPB2	27.8975
175	SBSN	27.4065
176	HMOX1	27.1185
177	TMEM40	24.822499999999998
178	UGT1A10	24.419999999999998
179	SH2D3A	23.9085
180	SUSD3	23.8155
181	ITIH2	23.5535
182	PRSS16	23.505000000000003
183	HMGCS1	21.619999999999997
184	GJB5	21.450499999999998
185	FCGBP	20.802
186	LRRC10	20.701
187	PDGFC	20.0
188	ERCC3	19.803
189	YWHAE	19.7955
190	DCN	19.794999999999998
191	ATP6AP2	19.213
192	CTSV	19.017500000000002
193	UPK1A	18.916
194	NUDT3	18.911
195	SLC9A5	18.0945
196	ESR2	17.9915
197	SNORA12	17.8995
198	COL2A1	17.3965
199	ZNF154	17.31
200	CCNC	17.2055
201	KIAA1429	16.9925
202	TFPI	16.594
203	PI4KAP1	16.204500000000003
204	RNASE7	15.806000000000001
205	APOA2	15.478
206	GPR18	15.413499999999999
207	FRMD1	13.123500000000002
208	JMJD7-PLA2G4B	13.045499999999999
209	CAPNS2	12.0075
210	PDE4DIP	11.624500000000001
211	ALDH1A1	11.504000000000001
212	PRKX	11.013
213	ZIC1	10.4035
214	BPI	9.862
215	IFNA4	8.9015
216	ZDHHC19	7.200999999999999
217	SRRT	5.924
218	EPPK1	5.7045
219	STK11	5.0245
220	OR13C3	5.018
221	GDPD3	4.9045000000000005
222	TSPAN6	4.3105
223	E2F6	4.3095
224	COA5	4.2085
225	RBM24	3.7135
226	ARG1	3.4025
227	JUP	3.1055
228	SERPINB8	3.1005
229	TEFM	2.804
230	CTSH	2.6005000000000003
231	ADH1C	2.008
232	CRABP2	1.8010000000000002
233	CCNYL1	1.522
234	PCP4	1.2025000000000001
235	ZNF185	1.0390000000000001
236	ZSCAN12	0.706
237	GLUL	0.3105
238	LY86	0.0985
239	EBF4	0.098
240	REM1	0.0975
241	PTGIS	0.0975
242	MT1X	0.097
243	FBXO6	0.097
244	LMNA	0.0955
245	LGALS3	0.095
246	SGK3	0.0945
247	DDX3X	0.094
248	SNORA41	0.0935
249	PDE7B	0.093
250	DRAM2	0.093
251	MARCH9	0.092
252	C1S	0.091
253	C1QA	0.0905
254	KCNK17	0.09
255	TGFB2	0.0895
256	FLNA	0.089
257	MKX	0.0885
258	ITGB1	0.0875
259	ILK	0.087
260	TMSB4XP8	0.08549999999999999
261	PCBP1	0.08549999999999999
262	COL18A1	0.08399999999999999
263	ITGA5	0.08349999999999999
264	WHSC1	0.08349999999999999
265	MPV17L	0.08299999999999999
266	TGM2	0.08199999999999999
267	COL4A1	0.08149999999999999
268	COL6A1	0.081
269	C1QC	0.08
270	BTF3	0.079
271	MET	0.0785
272	EIF3F	0.0775
273	SLC25A5	0.077
274	COL5A1	0.076
275	CTNNB1	0.0755
276	YAP1	0.075
277	C1QTNF1	0.0745
278	ATP5A1	0.074
279	HNRNPA1	0.0735
280	KRT9	0.073
281	DDX1	0.072
282	LAIR2	0.0715
283	COL4A2	0.071
284	PLOD3	0.0705
285	FUS	0.06999999999999999
286	HSP90AB1	0.06949999999999999
287	KLK9	0.06949999999999999
288	PGK1	0.06899999999999999
289	CYLD	0.0685
290	PLOD1	0.0675
291	RPS4X	0.067
292	DDX5	0.0665
293	PON1	0.0665
294	METTL14	0.0655
295	COLGALT2	0.065
296	COL1A1	0.0645
297	HNRNPU	0.064
298	HSPB1	0.0635
299	NPM1	0.063
300	EEF1B2	0.0625
301	EEF2	0.062
302	SRRM2	0.0615
303	COL13A1	0.061
304	HNRNPA2B1	0.0605
305	PHB	0.06
306	SPRR4	0.0595
307	KRT1	0.0595
308	KRT10	0.059
309	SMIM8	0.059
310	RBM39	0.058499999999999996
311	VCAM1	0.057999999999999996
312	EEF1A1	0.057499999999999996
313	PSMA3	0.056999999999999995
314	KRT17	0.056499999999999995
315	ANKRD22	0.05600000000000001
316	FAF1	0.05600000000000001
317	RPS6KB2	0.05550000000000001
318	PKM	0.05500000000000001
319	GAPDH	0.05450000000000001
320	MYC	0.054000000000000006
321	TARDBP	0.053500000000000006
322	EEF1D	0.053000000000000005
323	HNRNPK	0.052500000000000005
324	PARK2	0.052000000000000005
325	ITGA4	0.051500000000000004
326	EFTUD2	0.051000000000000004
327	VCP	0.0505
328	HPGD	0.05
329	PPIA	0.05
330	HDAC6	0.0495
331	SNRPD1	0.049
332	AAR2	0.0485
333	ABCF2	0.048
334	HSPD1	0.0475
335	PCBP2	0.047
336	PIH1D1	0.0465
337	MCM2	0.046
338	AGR2	0.0455
339	CD4	0.045
340	PTBP1	0.0445
341	DDX17	0.044
342	CFL1	0.0435
343	ENO1	0.043
344	EEF1G	0.042499999999999996
345	MCM5	0.041999999999999996
346	COL12A1	0.041499999999999995
347	GRB2	0.040999999999999995
348	PRPF8	0.0405
349	NCL	0.04
350	COPS5	0.0395
351	RPL9	0.039
352	RPS7	0.0385
353	UBE2M	0.038
354	HEXIM1	0.037
355	RPS3	0.0365
356	CUL1	0.036
357	RPS17	0.0355
358	DHX9	0.034999999999999996
359	RPS25	0.034499999999999996
360	ACTG1	0.034
361	RPS23	0.0335
362	BRD4	0.033
363	RPL21	0.0325
364	WWP2	0.032
365	RPL12	0.0315
366	FZR1	0.031
367	RPSA	0.0305
368	DHX15	0.03
369	RPS3A	0.0295
370	RPS18	0.028999999999999998
371	RPS21	0.028499999999999998
372	RPS15A	0.028000000000000004
373	FAM227B	0.027500000000000004
374	RPL6	0.027500000000000004
375	RPL24	0.027000000000000003
376	RPS5	0.026500000000000003
377	CAND1	0.026000000000000002
378	RC3H1	0.025500000000000002
379	RPL5	0.025
380	RPL7	0.0245
381	RPLP2	0.024
382	RPS2	0.0235
383	RPS8	0.023
384	CBR1	0.023
385	RPL23	0.0225
386	RPS28	0.022
387	RPS11	0.0215
388	RPL18	0.020999999999999998
389	RPL22	0.020499999999999997
390	RPS9	0.02
391	RPS20	0.0195
392	RPS13	0.019
393	RPS16	0.0185
394	RPS27	0.018
395	RPL11	0.017499999999999998
396	RPS14	0.017
397	RPS19	0.0165
398	RPL10A	0.016
399	RPL38	0.0155
400	RPL27	0.015
401	RPL27A	0.014499999999999999
402	RPS12	0.014000000000000002
403	RPL23A	0.013500000000000002
404	RPL31	0.013000000000000001
405	RPL36	0.0125
406	RPS26	0.012
407	RPL7A	0.0115
408	CD207	0.0115
409	RPLP1	0.011
410	MEPCE	0.010499999999999999
411	RPL14	0.01
412	RPLP0	0.0095
413	RPL34	0.009
414	HMGCLL1	0.009
415	ALDH1A3	0.0085
416	RPS6	0.0085
417	RPL10L	0.008
418	PI4KA	0.008
419	RPL30	0.0075
420	FBP1	0.007000000000000001
421	NAGK	0.007000000000000001
422	MPO	0.007000000000000001
423	ITFG1	0.006500000000000001
424	RPL13	0.006
425	DDX39B	0.006
426	RPL8	0.0055
427	NFX1	0.005
428	RPL4	0.0045
429	LOC101929876	0.004
430	NT5C1A	0.004
431	RPS24	0.0035000000000000005
432	PAGE4	0.003
433	RPL18A	0.0025
434	C21orf59	0.0025
435	RPS15	0.002
436	RPS10	0.0015
437	RPL3	0.001
438	ST7	0.001
439	IGLC7	0.0005
440	RPL19	0.0005
441	GMCL1	0.0005
