rank	node	rank_score
1	HSP90AA1	180.1
2	RNF32	178.899
3	MAST1	177.9985
4	FBXL12	176.698
5	CYP2C8	175.9975
6	ECSIT	174.997
7	GCDH	174.2965
8	EXOC6	172.696
9	IFIT3	172.19549999999998
10	IFIT5	171.095
11	CDC37	171.09449999999998
12	CDK5	170.993
13	ELAVL3	169.794
14	PRAM1	168.49349999999998
15	PRDX2	166.89249999999998
16	MGEA5	166.392
17	EXOSC1	165.6915
18	STAMBPL1	164.19
19	STUB1	163.791
20	LOXL4	162.6905
21	HSPA5	160.6895
22	SNCA	153.9855
23	IRS1	151.8835
24	AKT1	151.484
25	HSPA4	150.68
26	EGFR	148.2845
27	FYN	145.381
28	GRB10	144.8805
29	SRC	144.2815
30	RET	143.8995
31	PTPN11	142.083
32	AP1M2	140.68800000000002
33	RAB3A	140.1875
34	PTK2	136.98250000000002
35	ERBB2	135.779
36	JAK2	135.778
37	DNAJB1	135.08499999999998
38	CTNNB1	135.028
39	GRB2	134.977
40	CSK	134.3795
41	CBL	132.776
42	SHC1	131.7765
43	PIK3R1	131.37550000000002
44	SOCS1	130.67000000000002
45	ITK	129.374
46	MET	129.175
47	SYK	128.87449999999998
48	PLCG1	126.57350000000001
49	HSP90AB1	126.35349999999998
50	ERBB3	124.273
51	ERBB4	124.17150000000001
52	HSPB1	123.542
53	ZAP70	120.97200000000001
54	KIT	120.56949999999999
55	LCP2	117.57249999999999
56	MATK	117.47849999999998
57	FKBP4	117.181
58	ABL1	117.06700000000001
59	DOK1	116.668
60	RASA1	116.4675
61	AR	115.85900000000001
62	SHC4	114.269
63	PTK2B	113.86449999999999
64	LCK	113.46100000000001
65	CBLB	112.965
66	BLK	110.65299999999999
67	CRKL	110.4635
68	PTPN6	109.96399999999998
69	SOCS3	109.9615
70	VAV1	108.86599999999999
71	GAB1	107.96199999999999
72	CRK	107.4595
73	HCK	106.9585
74	NTRK2	106.5705
75	BLNK	106.16300000000001
76	PIK3R2	105.66
77	SOS1	104.26050000000001
78	YES1	104.15799999999999
79	TRAF6	104.12
80	SH2B1	102.771
81	TNK2	102.7565
82	EPOR	102.0625
83	SHB	101.7665
84	TEC	100.3655
85	NCK1	98.356
86	HSPA1A	97.7775
87	ABL2	97.55550000000001
88	CSF1R	97.0575
89	PDGFRB	96.05499999999999
90	PIK3R3	93.8545
91	SLA	93.85249999999999
92	LYN	93.75699999999999
93	HSPA8	93.54249999999999
94	SH3BP2	93.46849999999999
95	FGFR1	93.354
96	PXN	92.9465
97	PTK6	91.852
98	FES	91.244
99	IGFBP7	89.5875
100	CYP2C18	89.189
101	VAV3	88.845
102	CYP2C9	88.6885
103	HSPA9	87.5435
104	STAT3	86.548
105	WAS	86.051
106	SH3KBP1	85.4505
107	PECAM1	84.832
108	SH2D2A	84.64750000000001
109	FGR	84.45
110	MAP3K11	84.38199999999999
111	BTK	83.9515
112	KHDRBS1	82.1485
113	INPPL1	80.549
114	HSP90AB3P	80.3495
115	LAT	78.5405
116	NCK2	78.147
117	FLT3	77.74549999999999
118	JAK1	76.546
119	LONP1	71.59
120	GAB2	71.041
121	BCR	69.53999999999999
122	LRRK1	69.0395
123	SH2D1B	68.3445
124	GRAP2	67.039
125	IKBKB	66.38199999999999
126	SOCS2	66.1345
127	HSH2D	66.043
128	CHUK	65.88050000000001
129	GHR	65.735
130	SKAP2	63.7355
131	DOK2	63.338499999999996
132	RAF1	62.9415
133	SH2B2	62.9365
134	TXK	59.33299999999999
135	IL6ST	58.033500000000004
136	PTPN12	56.8375
137	KDR	56.637
138	HSPA6	54.838
139	FLT1	54.427
140	SH2D1A	54.1315
141	RAB3D	52.087
142	IRS2	51.524
143	AXL	50.9325
144	PIK3CA	50.9245
145	NEDD9	50.034000000000006
146	FASLG	49.3235
147	ASAP1	48.129
148	CDH1	47.429500000000004
149	NTRK1	46.6225
150	FRS2	46.231
151	BCAR1	46.136
152	ARHGAP32	45.427499999999995
153	PAG1	44.426
154	BMX	43.2305
155	SIRPA	41.3285
156	EEF2	38.289
157	NEDD4	37.322
158	CAV1	36.6255
159	PAK2	35.6205
160	RAD23A	34.9885
161	PRKCD	34.9165
162	FARSA	34.788
163	BAG6	34.286500000000004
164	FAF2	33.786
165	MAPK3	31.682
166	EPHA2	31.323
167	SHC3	31.1195
168	STAT5A	31.03
169	TEK	30.325
170	STAT1	29.921000000000003
171	IL2RB	28.821500000000004
172	IRS4	28.118000000000002
173	PIK3CB	27.7185
174	ALK	27.619
175	MAPK1	26.817500000000003
176	ITGB3	26.226499999999998
177	YWHAZ	24.911
178	PAK1	24.5085
179	HDAC6	23.7055
180	HSPH1	22.9115
181	VAV2	20.7155
182	RPS6KA3	20.313
183	JUP	19.812
184	MAP4K1	18.7255
185	GAPDH	18.702
186	KRAS	18.615000000000002
187	CTNND1	17.9135
188	GUCY1B3	17.686500000000002
189	GSAP	17.5875
190	STIP1	16.9705
191	FKBP5	16.503999999999998
192	PPP5C	16.102
193	DNAJA1	15.806000000000001
194	TNS3	14.813999999999998
195	HDAC4	14.4085
196	ILKAP	14.01
197	BRAF	14.007
198	CSF2RB	13.3075
199	FGFR2	12.8125
200	YWHAE	12.3065
201	FER	12.2175
202	RPS6KA1	12.2105
203	STAT5B	11.817
204	TNFRSF1A	10.6175
205	EPHB2	10.2145
206	CD247	9.616499999999998
207	CLTC	8.7045
208	TUBB	8.7005
209	CAD	8.203999999999999
210	PRRG4	6.7095
211	MAP2K1	6.6049999999999995
212	PHACTR4	6.308
213	PRKCE	5.3015
214	STAP2	4.728
215	MAP2K3	4.503
216	ARAF	4.2035
217	PTPRA	4.109
218	UBASH3B	3.8205
219	SLA2	3.008
220	YWHAQ	3.001
221	SORBS1	2.6125
222	PTEN	2.009
223	ATP5A1	1.205
224	MAP2K2	1.004
225	SQSTM1	0.9045
226	MST1R	0.8025
227	BAG2	0.303
228	PRKCZ	0.302
229	MAPK7	0.1025
230	IFNA8	0.087
231	BLMH	0.08549999999999999
232	HSP90B1	0.08399999999999999
233	CDC37L1	0.08199999999999999
234	AHSA1	0.08149999999999999
235	PARK2	0.08
236	PRKCG	0.0765
237	PPID	0.076
238	JAK3	0.016
