rank	node	rank_score
1	DLG4	180.1
2	GRIN1	178.099
3	TFAP2A	177.6995
4	NETO1	176.69850000000002
5	LPPR3	176.6975
6	CITED4	173.8945
7	GNAO1	173.597
8	TMEM223	172.49650000000003
9	A2M	171.596
10	GRIN3A	170.7895
11	HSF1	149.998
12	TNK2	146.88899999999998
13	HSP90AA1	141.3875
14	CTNNB1	136.988
15	UGT3A2	133.8955
16	STAT3	128.88400000000001
17	MAPK1	124.4245
18	GPRASP1	115.295
19	RPS6KA5	111.4915
20	SIAH2	109.083
21	RELA	99.806
22	CHUK	99.181
23	ABL1	95.7865
24	AKT1	95.42699999999999
25	HSPA4	94.5195
26	STUB1	93.2165
27	HSP90AB1	92.94800000000001
28	PRKCD	92.186
29	YWHAZ	91.192
30	BCL3	88.86449999999999
31	SIAH1	88.488
32	PLCE1	88.287
33	MAPT	86.217
34	NCOA6	85.976
35	TP73	82.986
36	UBE2I	80.7695
37	PKM	80.3905
38	CREBBP	80.27799999999999
39	SP1	79.483
40	CEBPB	79.1825
41	TP63	78.885
42	ETS1	78.093
43	NCOR2	77.2785
44	GSK3B	77.274
45	KAT5	76.7585
46	SRC	76.5835
47	PGR	76.377
48	TDG	76.149
49	PIAS1	75.269
50	JUN	74.982
51	PML	74.874
52	SRF	74.7755
53	PRDX2	74.593
54	GJA4	74.49
55	GHSR	73.89349999999999
56	NCOR1	73.084
57	KLF5	73.079
58	PPARG	72.47999999999999
59	NCOA3	72.0835
60	RXRA	71.8795
61	STAT1	71.505
62	NCOA1	71.2765
63	VDR	70.47749999999999
64	RARA	69.2745
65	SIRT1	69.0815
66	PPARGC1A	67.373
67	NR1H4	66.7715
68	HIF1A	66.46849999999999
69	NCOA2	66.071
70	HDAC3	65.6735
71	HNF4A	65.1725
72	NR1I2	64.97200000000001
73	RUNX2	63.36800000000001
74	SMAD3	62.975
75	NR1H2	62.366
76	THRB	62.27049999999999
77	HDAC1	61.86
78	NR1H3	61.367
79	FOS	60.77
80	KAT2B	60.76649999999999
81	PLAGL1	60.75699999999999
82	NR0B2	60.165499999999994
83	PIAS2	59.643499999999996
84	CEBPA	59.2605
85	RB1	58.761
86	RXRG	58.664
87	PPARD	58.3635
88	ATF3	57.6645
89	SMARCA4	57.663
90	SUMO1	57.4405
91	PPARA	56.962
92	NRIP1	56.5595
93	MYOD1	56.257999999999996
94	SP3	56.247
95	GLRB	55.893499999999996
96	RUNX1	55.65650000000001
97	THRA	55.6505
98	GP1BB	54.590999999999994
99	MDM2	54.459
100	CSNK2A1	54.1845
101	NR4A1	54.161500000000004
102	HDAC4	53.86749999999999
103	POU2F1	53.753499999999995
104	TBP	53.45450000000001
105	TYRO3	52.779999999999994
106	DAXX	52.7395
107	PIAS3	51.0835
108	FES	50.981
109	SPI1	50.3555
110	E2F1	50.152499999999996
111	ZBTB16	50.043
112	NR3C1	49.644999999999996
113	CARM1	48.444
114	MAP3K5	48.209500000000006
115	SNAI2	47.8365
116	HIPK2	47.339
117	ETS2	47.2415
118	NR3C2	47.14
119	CDC37	47.04
120	CIITA	46.8515
121	PRKDC	45.45
122	CBL	45.187
123	ATF2	43.656
124	FOXO1	43.454
125	GRB2	43.2805
126	CCND1	43.150999999999996
127	ESRRA	42.957499999999996
128	PLCG1	42.8795
129	ZBTB7A	42.6495
130	NFATC1	42.1475
131	ITK	41.9775
132	DNMT1	41.948
