rank	node	rank_score
1	MAST1	175.38899999999998
2	RNF32	174.8875
3	GSAP	172.893
4	CYP2C8	171.292
5	PRDX2	170.68400000000003
6	CDC37	165.9955
7	HSPA5	165.796
8	HSP90AA1	163.2965
9	EGFR	160.2745
10	IRS1	159.899
11	PTPN11	156.3835
12	IGFBP7	150.7995
13	AKT1	149.195
14	PRAM1	149.1925
15	ECSIT	147.2865
16	CDK5	147.09300000000002
17	FBXL12	145.1905
18	ERBB2	139.78699999999998
19	DNAJB1	137.0915
20	PTK2	135.5725
21	GRB2	134.978
22	SNCA	133.95149999999998
23	FYN	133.4625
24	SRC	132.4785
25	PIK3R1	132.172
26	CSK	130.5805
27	CYP2C18	129.0895
28	GRB10	128.269
29	MATK	128.155
30	ELAVL3	127.9855
31	RET	127.497
32	SHC1	127.47350000000002
33	IFIT5	127.38600000000001
34	JAK2	127.276
35	STUB1	126.0885
36	GAPDH	123.87150000000001
37	IFIT3	121.6825
38	SGK3	121.194
39	CBL	121.1795
40	HSPA4	116.28099999999999
41	ERBB3	115.85900000000001
42	ABL1	112.25399999999999
43	CHKA	110.4985
44	HSPA1A	109.9695
45	MET	109.86300000000001
46	YWHAZ	109.65950000000001
47	HSP90AB1	108.87100000000001
48	PLCG1	108.15799999999999
49	SYK	107.96199999999999
50	HSPA8	106.99099999999999
51	SOCS1	106.36599999999999
52	ITK	105.2485
53	ERBB4	102.25
54	SH2B1	101.5125
55	KIT	101.1465
56	AR	98.974
57	LCK	97.3535
58	PKM	96.36749999999999
59	CTNNB1	96.28450000000001
60	ZAP70	96.24300000000001
61	SOCS3	95.437
62	DOK1	94.84700000000001
63	CBLB	93.3425
64	HSPA9	93.0775
65	LCP2	92.852
66	HSPB1	92.47
67	NTRK1	91.4055
68	RASA1	90.95750000000001
69	PTK6	89.76050000000001
70	NTRK2	89.3115
71	PTK2B	89.133
72	GCDH	88.192
73	GAB1	87.14099999999999
74	CRKL	86.6415
75	HCK	86.55699999999999
76	SLA	86.44
77	CRK	85.965
78	BLK	85.96000000000001
79	EXOC6	85.3835
80	PIK3R2	84.7505
81	PTPN6	83.1385
82	SHC4	81.06
83	YWHAE	80.968
84	YES1	80.6395
85	SOS1	79.039
86	TRIM25	77.78299999999999
87	TNK2	77.32849999999999
88	SH2B3	77.216
89	HNRNPL	77.15299999999999
90	EPOR	77.1315
91	IRS2	76.71849999999999
92	INPPL1	76.551
93	APH1B	75.393
94	TEC	75.23400000000001
95	VAV1	74.63550000000001
96	FLT3	74.56649999999999
97	FES	73.8475
98	ABL2	73.546
99	FGFR1	72.2235
100	STAT3	72.1585
101	JAK1	72.13250000000001
102	LYN	71.628
103	PDGFRB	71.52950000000001
104	SHB	70.61949999999999
105	RAB3A	69.995
106	NCK1	69.9275
107	CSF1R	69.6345
108	BTK	68.9365
109	BLNK	68.473
110	PXN	68.356
111	FGR	68.14200000000001
112	ACTB	67.39750000000001
113	AP1M2	66.3885
114	TUBB	66.1645
115	MGEA5	65.978
116	KHDRBS1	65.744
117	PIK3R3	63.730500000000006
118	GAB2	62.3165
119	LINC01485	61.388999999999996
120	SH3BP2	60.825
121	HDAC6	59.3635
122	RAF1	59.268499999999996
123	STIP1	58.585
124	SH2D1B	58.221500000000006
125	SH3KBP1	58.140499999999996
126	BCR	58.025999999999996
127	SH2D2A	53.92999999999999
128	TRAF6	53.7375
129	HSPA6	52.048
130	WAS	52.032
131	FER	51.136
132	TP53	51.118
133	JUP	51.109500000000004
134	PECAM1	50.7335
135	VAV3	50.0255
136	LRP1	49.482
137	STAMBPL1	49.077
138	LRRK1	48.319
139	YWHAQ	48.0255
140	VCP	46.7765
141	CAD	45.335
142	FKBP4	43.4775
143	ATP5A1	42.607
144	NCK2	42.3155
145	PRKCZ	42.054500000000004
146	MYC	40.876999999999995
147	HSP90AB3P	40.0225
148	PARK2	39.9495
149	HSPH1	38.6755
150	CRHR2	38.0875
151	ELAVL1	36.9945
152	TEX101	36.584500000000006
153	IFNA8	35.7855
154	MAPK7	35.714999999999996
155	PIK3CA	35.001
156	CDKL2	34.694
157	CDH1	34.6045
158	EXOSC1	34.3895
159	KIAA1429	34.335
160	AAK1	33.878
161	LRRK2	33.027
162	FRS2	32.542
163	SSH1	32.368
164	MAPK3	32.315
165	LANCL1-AS1	31.871500000000005
166	EWSR1	31.788999999999998
167	DNAJB12	31.478999999999996
168	LAT	31.241500000000002
169	SH2D1A	31.1145
170	VAV2	31.029000000000003
171	DNAJA1	29.9565
172	PLEKHA4	29.807
173	KDR	29.8065
174	CLTC	28.910000000000004
175	PPP5C	28.675
176	SH2B2	28.617
177	BCAR1	27.921000000000003
178	NOX5	27.782
179	NEDD4	27.624000000000002
180	PAK1	27.3205
181	EEF1A1	27.1455
182	PTPN12	26.9015
183	FKBP5	26.872000000000003
184	RPS6KA1	26.7815
185	HDAC4	26.512
186	MUC4	25.7625
187	IL6ST	25.316
188	HSH2D	24.7115
189	MAP2K3	24.244999999999997
190	FLT1	23.44
191	SOCS2	22.6245
192	CAV1	22.604499999999998
193	CSF2RB	21.313499999999998
194	EEF2	21.304
195	DOK2	20.9025
196	MST1R	20.8035
197	IRS4	20.7035
198	ARAF	20.3105
199	ARRB1	20.119999999999997
200	HSP90B1	19.9905
201	BMX	19.964
202	BRAF	19.8005
203	SDF2L1	19.7975
204	TMPRSS11B	19.7
205	MIR23B	19.589
206	UBASH3B	19.423000000000002
207	TEK	18.956
208	MAP2K1	18.808500000000002
209	SQSTM1	18.525
210	TNS1	18.41
211	CTNND1	18.301
212	TMPRSS2	17.697499999999998
213	GHR	17.645999999999997
214	LOC613266	17.595
215	IL17REL	17.381
216	CSF3R	16.814
217	GRAP2	16.4075
218	KCNQ4	16.3655
219	PAK2	16.107
220	MAP3K11	15.4785
221	MAPK1	15.4165
222	PTEN	15.361500000000001
223	ASAP1	15.301999999999998
224	GUCY1B3	15.080000000000002
225	SLC25A5	14.7135
226	MTCP1	14.5815
227	STAP1	14.4435
228	RPS6KA3	13.8185
229	HNRNPA1	13.645499999999998
230	SIRPA	13.467000000000002
231	GAB3	13.322
232	RIN3	13.144499999999999
233	SLC6A4	12.634
234	LTK	12.583
235	MAP2K5	12.512
236	SLC12A3	12.190000000000001
237	PPID	12.049
238	SLA2	11.738
239	AXL	11.331
240	SPRR2A	11.022499999999999
241	ELK1	10.802
242	SKAP2	10.7065
243	DNAJA2	10.609
244	TUBA1B	10.513
245	ARHGAP32	10.2245
246	TARDBP	10.2015
247	CD5	10.137
248	NEDD9	10.112
249	IL2RB	10.0235
250	TLN1	9.9215
251	CYLD	9.8325
