rank	node	rank_score
1	HRH3	180.1
2	CLIC6	179.1995
3	MAP2K6	177.998
4	STUB1	177.499
5	GPR37	176.4985
6	MAP2K4	175.197
7	MAP3K5	170.395
8	RAF1	162.98899999999998
9	CDKN2B	162.68800000000002
10	CDK4	162.0865
11	ARRB1	161.296
12	GRM1	160.887
13	TERT	160.286
14	MAP2K3	159.3885
15	CCND2	158.7855
16	FGFR4	157.58499999999998
17	RASSF1	157.4845
18	GLIS2	156.18400000000003
19	CDKN2C	155.9875
20	TEAD2	154.9835
21	MAPK1	154.29000000000002
22	HGF	153.1825
23	CDK6	152.582
24	STK11	152.2815
25	CDKN2A	151.083
26	LATS2	150.6805
27	EPHA2	149.881
28	BECN1	149.38
29	MAPK8	148.592
30	JUN	147.49099999999999
31	ARNT	146.7795
32	PDGFRA	146.079
33	NF2	145.4785
34	KDELR2	144.678
35	CD44	142.97750000000002
36	MET	142.777
37	ERBB2	142.2765
38	CBLC	141.176
39	CCNE1	140.77550000000002
40	HIF1A	138.57350000000002
41	MAPK14	137.575
42	KAT2A	137.1745
43	TTYH2	136.874
44	PPP3CA	136.1975
45	MDM4	135.371
46	ABCB5	135.273
47	MAPK9	135.09650000000002
48	TSC1	134.3725
49	MAPK10	133.5955
50	MYC	132.372
51	GLIS1	131.47150000000002
52	ARAF	131.2705
53	FZR1	128.469
54	TP53	127.97
55	HSP90AA1	127.9695
56	AURKA	126.66749999999999
57	MAPK8IP3	126.5945
58	CDC37	124.968
59	MAP2K7	124.894
60	HSP90AB1	124.3665
61	MDM2	123.06199999999998
62	BRAF	121.76500000000001
63	MAPK3	120.86599999999999
64	IGF1R	120.86399999999999
65	MAP3K1	120.59049999999999
66	HSPA1A	120.46549999999999
67	MAP2K1	119.9645
68	SRC	118.5635
69	GSK3B	118.5615
70	HSPA4	117.6625
71	HSPA8	114.561
72	NFIC	113.8685
73	SOX3	113.867
74	MAP3K11	112.09349999999999
75	CTNNB1	111.8605
76	MAPK8IP1	111.49300000000001
77	SP1	111.46
78	MAPK8IP2	110.8925
79	RB1	110.65950000000001
80	ABL1	107.25750000000001
81	AR	106.857
82	PTK2	98.35900000000001
83	HSPA9	95.346
84	HSPB1	94.25550000000001
85	MAPT	92.458
86	YWHAZ	92.056
87	MAP3K2	90.154
88	EGFR	89.15650000000001
89	CSK	88.95450000000001
90	YWHAE	86.85499999999999
91	TUBB	85.549
92	HSPA6	82.5405
93	IKBKB	82.263
94	SHC1	80.9485
95	CBL	80.1495
96	GRB2	79.44800000000001
97	SOCS1	76.94449999999999
98	FOXO3	75.953
99	MAPK7	75.8535
100	GAPDH	75.14750000000001
101	RASA1	75.14500000000001
102	PTPN11	74.444
103	LCK	72.74300000000001
104	HDAC6	72.5395
105	PRKCZ	71.3465
106	PIK3R1	71.2435
107	FKBP5	69.7585
108	DNAJA2	69.107
109	CRK	68.7415
110	HSPA5	67.739
111	ELK1	67.6385
112	ERBB3	67.041
113	YWHAQ	65.751
114	SOX4	65.2735
115	DNAJA1	65.14
116	CAD	65.1375
117	CHUK	63.9525
118	PRKDC	63.6515
119	PIK3CA	63.0425
120	ZAP70	61.7355
121	PXN	61.236000000000004
122	PTK6	60.130500000000005
123	IRS4	58.44200000000001
124	PIK3R2	58.133500000000005
125	GRB10	57.938
126	TUBB4B	57.9105
127	IRS1	57.64549999999999
128	PTEN	56.825
129	MATK	56.234500000000004
130	FYN	53.2365
131	ERBB4	51.934000000000005
132	JAK2	50.737
133	PLCG1	49.9325
134	SYK	47.632999999999996
135	KIT	47.432
136	MAP2K2	45.906
137	PTK2B	45.528999999999996
138	SOCS3	44.1315
139	PLCG2	44.13
140	VAV1	43.9285
141	CBLB	43.429500000000004
142	HCK	43.327999999999996
