rank	node	rank_score
1	PABPC4	180.1
2	DDX5	178.8995
3	CUL1	177.799
4	SKIV2L2	177.29850000000002
5	RPA2	175.998
6	RPA3	175.6975
7	PABPC1	173.296
8	RBM39	169.6935
9	SYNCRIP	169.09449999999998
10	CELF1	167.9925
11	RPA1	165.99200000000002
12	HNRNPUL1	148.9755
13	RBM45	145.9955
14	HNRNPR	145.094
15	CAND1	140.99099999999999
16	DDX17	139.597
17	DHX15	138.99650000000003
18	PCBP1	138.5905
19	HNRNPK	136.695
20	CUL3	134.9785
21	SNRNP70	134.1835
22	HNRNPA3	133.29149999999998
23	KHDRBS1	133.193
24	DHX9	132.89000000000001
25	U2AF2	132.2895
26	ELAVL1	130.481
27	HNRNPU	130.1865
28	HNRNPDL	130.186
29	HNRNPD	130.0855
30	HNRNPAB	129.7875
31	ILF2	128.78199999999998
32	HNRNPA2B1	128.18800000000002
33	HNRNPA0	128.18699999999998
34	ILF3	126.88899999999998
35	SRSF3	125.2825
36	HNRNPC	122.47999999999999
37	PHB	121.18050000000001
38	HNRNPM	119.1815
39	RALY	118.5845
40	SFPQ	118.1885
41	PTBP1	114.98400000000001
42	CUL2	114.579
43	CUL7	114.285
44	CUL5	113.478
45	CUL4B	112.077
46	CHD4	110.28299999999999
47	XRN2	109.874
48	HNRNPF	109.57750000000001
49	HNRNPH3	109.47649999999999
50	COPS5	108.97350000000002
51	SRSF1	108.873
52	RBMX	107.575
53	HIST1H4A	107.376
54	STAU1	104.752
55	RECQL4	100.4745
56	CHD3	100.0725
57	ZC3H18	99.97
58	DDX3X	98.9325
59	EFTUD2	98.1655
60	EED	97.772
61	SF3A2	97.46900000000001
62	BRD4	96.9715
63	CDC5L	96.571
64	RC3H1	96.136
65	PRC1	95.56800000000001
66	PRPF8	93.2695
67	EIF4A3	93.2665
68	WWP2	93.2385
69	YBX1	92.5625
70	SNW1	92.1705
71	SNRNP200	90.76849999999999
72	SRRM2	90.5675
73	UFL1	89.95750000000001
74	SRSF7	89.066
75	FZR1	88.549
76	NCL	87.85799999999999
77	WDR5	86.6535
78	SF3B1	86.2645
79	SNRPD2	86.2635
80	SNRPD1	86.064
81	TMPO	85.867
82	RIOK1	84.1485
83	OBSL1	84.061
84	SNRPD3	83.1615
85	HNRNPH2	82.174
86	SART1	81.8595
87	SF3B3	81.263
88	PRPF19	81.26
89	SNRPA	80.9585
90	NR2C2	80.35650000000001
91	FANCD2	79.85900000000001
92	SF3A1	79.1605
93	KIF20A	78.365
94	CIT	76.662
95	U2AF1	74.2495
96	SNRPA1	74.15450000000001
97	SRRM1	73.857
98	MEPCE	72.8465
99	RBM14	72.5525
100	PRPF6	72.55
101	KIF14	72.043
102	KIF23	71.4505
103	DDRGK1	70.053
104	RC3H2	69.7125
105	BIRC3	69.151
106	SF3B2	68.5515
107	TOP1	68.3555
108	PRPF40A	68.15599999999999
109	SNRPB	66.548
110	NONO	65.35499999999999
111	NEDD8	63.8755
112	NUPR1	63.644000000000005
113	SF3B4	63.447500000000005
114	SNRPE	63.447
115	XRCC6	63.153999999999996
116	ALYREF	62.845000000000006
117	HNRNPH1	61.765499999999996
118	HEXIM1	61.445499999999996
119	THRAP3	59.44449999999999
120	SNRPC	57.7735
121	RBM10	57.1905
122	LARP7	55.8405
123	TRA2B	53.6375
124	SRSF9	52.94200000000001
125	SRSF6	52.9365
126	PPIE	52.335
127	SRSF5	51.638
128	ARIH2	50.905
129	NTRK1	50.533
130	LARP1	50.3305
131	DCUN1D1	48.4745
132	SF3A3	48.346
133	PRPF3	47.4425
134	EP300	45.3415
135	PRPF4	45.2435
136	SNRPB2	44.641
137	RPL6	43.434000000000005
138	RPL7	42.5345
139	RNF2	42.339
140	PUF60	39.94
141	TRA2A	39.737
142	RNPS1	38.0355
143	RPS3A	37.6295
144	SRSF2	37.23350000000001
145	RPS4X	36.730000000000004
146	RPS7	36.528999999999996
147	FAM120A	36.4905
148	RPS8	35.927499999999995
149	MAGOH	35.2315
150	RPL18	34.327
151	RPL9	33.7285
152	METTL14	32.7795
153	PLRG1	31.532
154	RPS2	30.7235
155	RPL19	30.721000000000004
156	RPS9	30.427999999999997
157	RPL12	30.424500000000002
158	RPS20	30.307499999999997
159	RPLP0	29.924
160	RPS13	29.3265
161	RPS5	27.825499999999998
162	RPL24	27.825
163	RPLP2	26.821500000000004
164	RPL31	26.522000000000002
165	RPL15	25.922500000000003
166	ZFR	25.4355
167	RPL8	25.1195
168	RPL18A	24.323
169	RPS19	23.72
170	RPS3	22.6135
171	SREK1	22.428
172	RPL27	22.119
173	RPL23A	21.2165
174	BTF3	20.6205
175	PRRC2A	19.7955
176	RPL21	19.6185
177	FUBP3	19.294999999999998
178	RPSA	19.218
179	RPS23	19.015
180	RPS14	18.8155
181	YTHDF2	18.692500000000003
182	CAPRIN1	18.4915
183	G3BP2	18.392
184	YTHDF3	18.191
185	IGF2BP1	18.0895
186	TDRD3	17.990000000000002
187	HNRNPUL2	17.931
188	DAZL	17.889
189	YTHDF1	17.7885
190	CPEB4	17.688
191	DDX1	17.670499999999997
192	FAM120C	17.5875
193	LSM12	17.4855
194	LSM14A	17.386000000000003
195	RBMS1	17.2865
196	RPL10A	17.216
197	PUM1	17.1845
198	R3HDM1	17.087
199	IGF2BP2	16.985
200	G3BP1	16.8825
201	PRRC2C	16.7835
202	ZC3H7A	16.684
203	CSDE1	16.582
204	LARP4B	16.483
205	OTUD4	16.3815
206	SECISBP2	16.28
207	FMR1	16.180500000000002
208	UBAP2L	16.081
209	RPS16	16.017000000000003
210	PRRC2B	15.979499999999998
211	MEX3B	15.878499999999999
212	ALG13	15.7775
213	SMG7	15.678
214	EIF4ENIF1	15.577000000000002
215	TOP3B	15.479
216	R3HDM2	15.376499999999998
217	MKRN2	15.276
218	RBM47	15.175
219	RPL22	15.112
220	RPS10	15.110500000000002
221	UPF1	15.0755
222	RPL27A	14.813999999999998
223	MEX3A	14.773500000000002
224	RPS11	14.717500000000001
225	AGO2	14.672999999999998
226	HELZ	14.5725
227	TNRC6B	14.472
228	ZFP36	14.371500000000001
229	ZC3HAV1	14.270500000000002
230	PATL1	14.1695
231	MOV10	14.069999999999999
232	DDX6	13.969
233	SMAP2	13.871
234	AGO1	13.7685
235	RPS25	13.714499999999997
236	RQCD1	13.668000000000001
237	PUM2	13.5675
238	SF3B6	13.539499999999999
239	CNOT1	13.466
240	RPL3	13.411000000000001
241	CEP85	13.366499999999998
242	SMG5	13.267
243	ANKRD17	13.1655
244	CNOT2	13.065000000000001
245	UNK	12.964500000000001
246	RNF214	12.863999999999999
247	CNOT3	12.7635
248	RPL5	12.709999999999999
249	TNRC6A	12.663
250	CNOT10	12.5625
251	AGO3	12.462
252	KIAA0355	12.3615
253	RPS24	12.3115
254	CNOT7	12.261
255	KIAA0430	12.16
256	FXR2	12.0595
257	SAMD4B	11.958499999999999
258	FAM195A	11.8605
259	FXR1	11.759
260	PAIP2	11.658
261	RPL7A	11.613
262	TNRC6C	11.557500000000001
263	ZCCHC11	11.456999999999999
264	CNOT6L	11.355500000000001
265	XAB2	11.331
266	LARP4	11.156
267	SERBP1	11.055
268	USP10	10.9545
