rank	node	rank_score
1	CDK2	176.198
2	PARK2	175.6995
3	PCBP1	173.69850000000002
4	HSP90AA1	167.4915
5	CTNNB1	162.8865
6	HSP90AB1	160.897
7	MCM2	157.19400000000002
8	PGK1	155.9925
9	RBM39	155.286
10	MYC	154.2825
11	PRPF8	153.3845
12	RPS27	152.8955
13	HEXIM1	151.49
14	BRD4	151.195
15	RPL12	149.0905
16	AAR2	149.08499999999998
17	EEF1A1	148.09449999999998
18	EEF2	145.379
19	RPS4X	144.49099999999999
20	RPS15A	143.387
21	GNB2L1	139.8965
22	GAPDH	136.49200000000002
23	EFTUD2	133.584
24	STUB1	132.0985
25	LDHA	131.193
26	NPM1	127.55149999999999
27	RPS3	125.68800000000002
28	ALDOA	123.498
29	RPS3A	123.277
30	RPL7	122.5885
31	UFL1	119.94300000000001
32	YAP1	119.482
33	RPS23	117.2855
34	RPL5	117.1795
35	RPL21	115.9875
36	RPL24	114.28
37	RPSA	113.86749999999999
38	RPS9	112.87150000000001
39	RPS11	111.28150000000001
40	RPS7	110.77550000000001
41	RPS18	110.4835
42	PIH1D1	110.17249999999999
43	BTF3	108.68050000000001
44	RPL38	108.47449999999999
45	RPL10A	108.078
46	RPL23	107.86800000000001
47	TARDBP	106.42999999999999
48	SLC25A5	106.3365
49	RPS25	106.07649999999998
50	RPL9	105.17049999999999
51	RPLP2	104.57849999999999
52	RPS5	104.476
53	HSPA8	104.28400000000002
54	RPS2	103.86399999999999
55	RPLP0	103.575
56	RPS26	102.883
57	RPL27A	102.2775
58	RPS13	101.373
59	RPS12	100.481
60	RPS16	99.57000000000001
61	RPL14	99.4645
62	RPL18	98.46700000000001
63	HUWE1	97.775
64	RPS8	96.563
65	CUL1	95.2595
66	RPL23A	95.166
67	RPL27	94.874
68	RPL22	94.4695
69	RPS17	94.05699999999999
70	NCL	93.447
71	VCAM1	93.2265
72	RPL30	93.171
73	RPL11	92.46549999999999
74	RPS20	90.5685
75	RPL18A	89.369
76	VCP	88.093
77	RPL8	87.262
78	UBE2M	86.4965
79	RPL34	86.3605
80	LOC101929876	86.061
81	RPLP1	85.2585
82	RPS21	85.1635
83	RPS6	84.26
84	RPL7A	82.5625
85	PSMA3	82.486
86	RPL15	82.3735
87	CAND1	80.84549999999999
88	RPL10L	80.172
89	RPL37A	79.954
90	RPL4	79.35650000000001
91	ITGA4	79.332
92	METTL14	79.277
93	RPS24	76.7535
94	RPS15	76.66499999999999
95	RPS28	75.758
96	UBL4A	74.449
97	RPS10	72.5505
98	HNRNPU	72.546
99	RPL13A	72.0525
100	RPLP0P6	71.8615
101	ACP1	71.589
102	RPL31	71.351
103	RPL19	70.556
104	U2AF2	70.176
105	RPS19	70.053
106	FBXW7	69.829
107	RPL13	69.75
108	FANCD2	69.019
109	RPL36	68.3555
110	PRDX6	68.186
111	RPL17	67.75450000000001
112	TUBB	67.172
113	MEPCE	67.045
114	TPI1	66.589
115	BRCA1	65.928
116	BIRC3	64.61
117	RPL32	63.959
118	CYLD	63.0475
119	TXN	62.966499999999996
120	RPL35	62.6495
121	YWHAE	62.3755
122	AGR2	61.3815
123	CDK9	61.340999999999994
124	FASN	61.2765
125	CFL1	60.497
126	PAN2	60.043499999999995
127	ATP5A1	58.980500000000006
128	RPL10	58.6485
129	PINK1	58.35699999999999
130	RPL35A	58.355
131	RPS27L	58.25750000000001
132	RECQL4	57.76649999999999
133	DUX4	57.744499999999995
134	WWP2	56.8395
135	YARS	55.996
136	ITFG1	55.552
137	PRDX1	55.0745
138	RIN3	54.1105
139	KIAA1429	52.661500000000004
140	WDR5	51.855
141	ILF3	50.2405
142	VRK1	50.0465
143	TFCP2	48.556
144	HMGB1	46.7425
145	FUS	46.7085
146	YWHAQ	46.4975
147	RPS27A	46.14149999999999
148	REST	45.648
149	RPL26	45.542
150	RPL29	45.44
151	CHD3	45.144
152	LARP7	45.038
153	CHMP4C	45.025
154	RPL28	44.739
155	ZC3H18	42.626999999999995
156	RIOK1	42.531
157	SNRNP70	41.036
158	PCBP2	40.859500000000004
159	CUL7	40.2575
160	TUBB4B	39.251999999999995
161	MSN	38.6495
162	CUL2	38.609
163	HNRNPM	38.0345
164	ILF2	38.023
165	PPIA	36.6905
166	PABPC1	36.6385
167	ARIH2	35.621
168	CALR	34.778999999999996
169	CHD4	33.82
170	JUP	31.552
171	PPP1CC	30.9355
172	NFX1	30.6375
173	FBP1	30.5255
174	LDHB	30.087
175	EIF4A1	29.858000000000004
176	PHGDH	29.778
177	DDX39B	29.682499999999997
178	COPS5	29.014999999999997
179	HDAC6	28.883500000000005
180	HSPH1	28.574
181	EEF1B2	28.360000000000003
182	HSPA9	27.969
183	HSPA5	27.958500000000004
184	NR2C2	27.0115
185	DDX21	26.2275
186	CAD	26.1715
187	HSPB1	25.866999999999997
188	ATXN3	25.774
189	STAU1	25.2235
190	MYBBP1A	25.0325
191	DDRGK1	24.9135
192	KIF23	24.022
193	PRC1	23.7335
194	RRS1	22.537
195	RPL26L1	22.333
196	ANLN	22.1185
197	GRWD1	20.1205
198	BAIAP2	20.0
199	SP1	19.999000000000002
200	MYOD1	19.8975
201	KRAS	19.799
202	FZR1	19.7095
203	ANXA2	19.684
204	NOP56	19.6195
205	MDM2	19.393
206	MYOC	19.285
207	NOP2	19.2245
208	FUBP1	18.9955
209	ECT2	18.6295
210	RSL1D1	18.6215
211	CFTR	18.3565
212	PRDX3	17.561
213	CDKN1C	17.396
214	RPS29	17.234
215	GNL3	17.008
216	SOD1	16.9955
217	PARK7	16.7865
218	TAGLN2	16.688
219	CCT2	16.47
220	HSPA1A	16.1605
221	MTHFD1	15.870500000000002
222	MYH9	14.379499999999998
223	HSPA4	14.288499999999999
224	BRIX1	13.918000000000001
225	TRIM25	13.895
226	NME1	13.6565
227	DDX18	13.611
228	RC3H2	13.2055
229	FBL	13.026
230	HNRNPK	12.863499999999998
231	PAGE4	11.9315
232	HIST1H4A	11.8285
233	CIT	11.0075
234	CUL3	10.4225
235	EBNA1BP2	10.213
236	GTPBP4	10.1155
237	CNBP	10.0015
238	AHSA1	9.9705
239	DHX9	9.924000000000001
240	FTSJ3	9.6095
241	LARP1	9.409
242	SRSF6	8.6175
243	NIFK	8.303999999999998
244	YBX1	8.117
245	KIF20A	7.9125
246	SRSF5	7.816
247	AURKB	7.730500000000001
248	MATR3	7.116499999999999
249	DDX24	6.812
250	EIF4A3	6.506
251	RC3H1	6.203
252	ZC3HAV1	6.014
253	CTCF	5.735
254	PRKRA	5.4235
255	LYAR	5.3045
256	CHMP4B	5.210500000000001
257	KRR1	5.1049999999999995
258	NKRF	2.7145
259	SNAI1	2.4045
260	KIAA0020	2.4035
261	SRSF1	2.1005000000000003
262	KIF14	1.5070000000000001
263	BMS1	1.504
264	HIST1H1E	1.3094999999999999
265	DHX30	0.9025000000000001
266	NHP2L1	0.702
267	RPL7L1	0.3065
268	RBM28	0.205
269	ERBB2	0.1
270	RDX	0.0995
271	HDAC2	0.0985
272	EZR	0.098
273	NMT2	0.097
274	MGMT	0.097
275	CDKN2A	0.0965
276	OLA1	0.096
277	HSPE1	0.095
278	PPP5C	0.0935
279	NQO1	0.0935
280	COTL1	0.0925
281	C6orf132	0.0925
282	ANXA11	0.0925
283	DUT	0.092
284	LINC01485	0.091
285	PTMA	0.091
286	ARAF	0.0895
287	EEF1G	0.0885
288	DSTN	0.088
289	WDR1	0.087
290	HDAC4	0.08499999999999999
291	GSTP1	0.08449999999999999
292	NSF	0.08449999999999999
293	PFKP	0.08199999999999999
294	AR	0.08149999999999999
295	MCM3	0.08149999999999999
296	HNRNPAB	0.081
297	PDIA3	0.08
298	SUMO2	0.079
299	TALDO1	0.0785
300	EP300	0.073
301	HIST1H2AA	0.073
302	PAICS	0.0725
303	ACO2	0.0715
304	EPB41	0.071
305	XRCC6	0.0705
306	PA2G4	0.06949999999999999
307	NTRK1	0.0595
308	PCMT1	0.059
309	STIP1	0.056999999999999995
310	HSP90B1	0.054000000000000006
311	HNRNPD	0.053500000000000006
312	METTL3	0.053000000000000005
313	CDC73	0.052500000000000005
314	CCT8	0.0505
315	NAA40	0.05
316	DDX50	0.015
317	TSR1	0.007000000000000001
318	SPRTN	0.0055
319	MAGEB2	0.005
320	NOP58	0.0035000000000000005
321	DDX27	0.003
322	DKC1	0.003
323	DDX56	0.002
324	EIF6	0.001
325	NAT10	0.0005
