rank	node	rank_score
1	PPARGC1A	155.198
2	EP300	141.589
3	KIAA1429	123.48499999999999
4	COPS5	119.8975
5	YWHAZ	116.29549999999999
6	UBE2I	107.596
7	PPARG	99.19
8	MDM2	93.17
9	FUS	87.2215
10	XCL2	78.498
11	PLEKHA4	77.59349999999999
12	HIST1H4A	76.8475
13	BRD4	69.05
14	TRIM28	66.08099999999999
15	MYC	61.488
16	ESR1	61.293000000000006
17	TBP	60.2925
18	VHL	60.192499999999995
19	MEGF6	59.9
20	NR0B2	56.999
21	CXCL5	56.294000000000004
22	NCOA1	55.387
23	HDAC2	54.76649999999999
24	SUZ12	54.629
25	RXRA	54.5875
26	NR1I2	54.481500000000004
27	NCOR1	53.79
28	NCOA2	53.583000000000006
29	NCOA3	52.890499999999996
30	NCOA6	51.98
31	NCOR2	51.5865
32	DDX5	51.335
33	SP1	51.076499999999996
34	JUN	50.7845
35	CREBBP	50.6785
36	HNF4A	50.374
37	NR3C1	49.6935
38	SNRNP70	49.660000000000004
39	VDR	49.481
40	AR	49.379
41	RARA	49.072500000000005
42	NR1H2	47.467
43	SIRT1	47.263999999999996
44	NR4A1	47.065
45	SMG1P1	46.477999999999994
46	TRIM25	46.092
47	KLF5	45.885000000000005
48	CEBPB	45.7755
49	PPARD	45.6835
50	HDAC1	45.5735
51	NR1H4	45.573
52	NFKB1	45.286
53	PML	45.189
54	NR1H3	44.688
55	NRIP1	44.6565
56	SMARCA2	44.5685
57	HIF1A	44.269
58	STAT3	43.576
59	E2F1	43.559000000000005
60	HDAC3	43.371
61	RELA	42.9745
62	FOS	41.965999999999994
63	SRF	41.944
64	MAPK1	41.7995
65	HNRNPA1	41.778999999999996
66	CEBPA	41.6635
67	KAT2B	41.662
68	SRSF7	41.3735
69	ETV1	41.144999999999996
70	SMAD3	41.0775
71	SMARCA4	40.7795
72	CHD4	40.327
73	RB1	40.263
74	RXRG	40.033
75	SMARCC1	39.768
76	CHD3	39.633500000000005
77	ETS1	39.277
78	MRPS23	38.37949999999999
79	RUNX1	38.3655
80	ESRRA	38.2825
81	SIN3A	38.0915
82	MRPS11	37.867
83	SMARCE1	37.7855
84	PLAGL1	37.6235
85	PARP1	37.56
86	SF3B1	37.531
87	MRPS22	37.484
88	LOC644961	37.3925
89	SRSF1	37.3865
90	TAF15	37.3765
91	SF3B3	36.922000000000004
92	MRPS18C	36.773
93	KAT5	36.7505
94	PGR	36.2645
95	MRPS27	36.076
96	MRPS15	36.0755
97	XRCC6	36.075
98	TRMT10B	35.872
99	CARM1	35.658
100	MRPS6	35.5695
101	ROBO4	35.2885
102	MRPS25	35.274
103	MED1	35.2615
104	PTCD3	35.189499999999995
105	BCL3	34.842
106	MRPS14	34.769
107	MRPS28	34.666
108	NR2C1	34.477999999999994
109	MRPS2	34.371
110	MRPS18B	34.2805
111	STAT1	34.270500000000006
112	ATF3	34.253
113	ERAL1	34.159000000000006
114	MRPS31	33.6725
115	MTFMT	33.602
116	ZBTB7A	33.445499999999996
117	BRCA1	32.959500000000006
118	MRPS35	32.878499999999995
119	MRPS9	32.8775
120	MRPS5	32.791
121	SMARCB1	32.7605
122	THRB	32.6845
123	MRPS16	32.658500000000004
124	MRPS33	32.466499999999996
125	LRPPRC	32.456
126	MCAT	32.28
127	MRPS24	32.0685
128	DAP3	31.877
129	MYOD1	31.8585
130	HNRNPM	31.474
131	MRPS34	31.471500000000002
132	MRPS26	31.464
133	HDAC4	31.455000000000002
134	MRPS17	31.3625
135	MRPS10	30.768
136	HNRNPL	30.753499999999995
137	TFAP2C	30.4885
138	SLIRP	30.052
139	MRPS7	29.870500000000003
140	TDG	29.572000000000003
141	ICT1	29.357
142	RUNX2	29.261000000000003
143	EZH2	29.1625
144	ARID1A	29.152499999999996
145	GRSF1	29.058000000000003
146	TP53BP1	28.895
147	FASTKD2	28.764499999999998
148	TOP2B	28.752
149	CTNNB1	28.6555
150	MTIF2	28.6475
151	C12orf65	28.455000000000002
152	SMARCC2	28.449
153	CUL3	28.065999999999995
154	SMAD2	27.956
155	TACO1	27.8495
156	GFM2	27.815999999999995
157	C17orf80	27.653
158	NOA1	27.275
159	MTG1	27.224
160	MTERF3	26.964999999999996
161	TEFM	26.9135
162	ACAD9	26.747000000000003
163	CS	26.6505
164	VWA8	26.545500000000004
165	PPARA	26.28
166	HNRNPK	26.271500000000003
167	HNRNPR	26.2565
168	MAPK3	26.196500000000004
169	MRPS12	26.055500000000002
170	SPI1	26.036
171	NONO	25.926
172	XRCC5	25.827499999999997
173	DHX9	25.787
174	EWSR1	25.703999999999997
175	NGRN	25.6615
176	C6orf203	25.2545
177	MTRF1L	25.1405
178	MRPL11	25.051
179	MTRF1	25.0385
180	DHX30	24.97
181	GFM1	24.9515
182	LARP7	24.9025
183	RXRB	24.777
184	HINT2	24.648000000000003
185	SMARCD2	24.551499999999997
186	RARB	24.551
187	TRUB2	24.463
188	MYB	24.413999999999998
189	RPUSD4	24.361
190	PMPCA	23.9335
191	PDHA1	23.65
192	METTL15	23.4565
193	MDH2	23.445999999999998
194	PRKDC	23.421
195	HNRNPA0	23.28
196	RPUSD3	23.060499999999998
197	NFATC1	23.054000000000002
198	FASTKD5	23.049
199	FHL2	23.0265
200	MATR3	22.762
201	DNMT1	22.7495
202	CTBP1	22.2535
203	TSFM	22.242
204	TRMT61B	22.044999999999998
205	CCDC109B	21.9175
206	METTL17	21.754
207	AUH	21.7435
208	SMARCD1	21.643
209	ACOT2	21.6065
210	TFAM	21.518
211	ELAC2	21.4005
212	C8orf82	21.207
213	CCDC90B	21.201
214	HNRNPA2B1	21.0705
215	NFE2L2	20.8585
216	CDC5L	20.726
217	NDUFA6	20.7015
218	PUF60	20.637
219	VARS2	20.603
220	MRPS36	20.5095
221	FLI1	20.436500000000002
222	MRRF	20.344
223	AARS2	20.3125
224	RNF31	20.0965
225	FCAMR	20.0
226	HNRNPU	19.9815
227	SRSF3	19.9745
228	TBL1XR1	19.8465
229	MDC1	19.631
230	KAT2A	19.6285
231	NUPR1	19.557499999999997
232	SYNCRIP	19.552
233	PLCE1	19.497
234	GTF2I	19.439
235	SMARCD3	19.3435
236	MEF2C	19.2945
237	CIITA	19.256
238	C21orf33	19.243000000000002
239	EIF4A3	19.0385
240	ZBED4	18.999000000000002
241	ACTL6A	18.948
242	ACOT1	18.904000000000003
243	EED	18.720499999999998
244	PMPCB	18.72
245	U2SURP	18.6695
246	CREB1	18.624000000000002
247	TRMT10C	18.605
248	SF3A1	18.5995
249	ZNF839	18.5905
250	CCND1	18.565
251	HNRNPF	18.546
252	SF3B4	18.488999999999997
253	NFATC2	18.419999999999998
254	PDK1	18.413
255	U2AF2	18.3605
256	NXF1	18.2985
257	YBX1	18.238
258	RBBP4	18.2375
259	SART1	18.2215
260	NR2C2	18.220999999999997
261	ING1	18.1415
262	HNRNPA3	17.9635
263	TBRG4	17.924500000000002
264	EFTUD2	17.849
265	MMAB	17.4035
266	AKT1	17.334
267	THRA	17.244
268	MAFK	17.236
269	SNRNP200	17.233
270	MRM1	17.23
271	SNW1	17.1315
272	RBM27	17.0875
273	SNRPD2	17.044
274	PTBP1	16.959
275	RBBP5	16.944499999999998
276	MTIF3	16.927500000000002
277	ACTC1	16.916999999999998
278	RBM14	16.8415
279	HNRNPH3	16.475
280	DDX28	16.4675
281	MTG2	16.436500000000002
282	MRPS21	16.2595
283	DHX15	16.2495
284	CITED2	16.216
285	ZNF707	16.180500000000002
286	PRPF8	16.1375
287	RBM39	16.084
288	DDB1	16.022
289	CARS2	15.948500000000001
290	TRA2B	15.928
291	C1QBP	15.9185
292	MRPL2	15.852500000000001
293	E2F4	15.8125
294	MIR107	15.782
295	RARG	15.732
296	FANCD2	15.722999999999999
297	LONP1	15.7025
298	ALYREF	15.581999999999999
299	EPAS1	15.528
300	KDM1A	15.448500000000001
301	CUL2	15.377
302	SNRPD1	15.363999999999999
303	HSPD1	15.3445
304	DDX1	15.2835
305	SS18	15.229500000000002
306	RPA3	15.129499999999998
307	TUFM	15.115
308	DDX17	15.0595
309	ELAVL1	14.994499999999999
310	HEXIM1	14.838999999999999
311	TAF6	14.74
312	MRPL44	14.635
313	SMARCA5	14.623500000000002
314	HNRNPH2	14.540000000000001
315	SNRPD3	14.428999999999998
316	FASTKD3	14.387
317	PPARGC1B	14.190999999999999
318	SOX2	14.147
319	OGDH	13.906
320	CDK2	13.9035
321	TP73	13.8535
322	MTA2	13.818999999999999
323	MRPL41	13.634
324	MRPL43	13.632499999999999
325	SRRM2	13.4355
326	RTCB	13.4345
327	UFL1	13.250499999999999
328	MRPL45	13.142500000000002
329	CIC	13.125
330	DDX3X	13.041
331	TFAP2A	13.0245
332	MRPL21	12.932999999999998
333	MRPL50	12.641
334	SS18L1	12.637
335	MCUR1	12.5765
336	MRPL20	12.431999999999999
337	SP3	11.74
338	PBRM1	11.7315
339	DPF2	11.5325
340	NDUFV3	11.506
341	SNRPA	11.458
342	HMGB1	11.443000000000001
343	AHR	11.3435
344	DDIT3	11.2205
345	RBMX	11.041500000000001
346	MRPL37	11.031
347	RELB	10.716
348	GSK3B	10.6065
349	POLR2A	10.5835
350	SUMO1	10.531
351	DPF1	10.518
352	AAR2	10.432500000000001
353	CUL7	10.347
354	HNRNPC	10.3445
355	MRPL46	10.3265
356	AURKAIP1	10.312000000000001
357	RNF2	10.23
358	EXD2	10.209
359	SF3B2	10.1795
360	PNPT1	10.1075
361	ETFB	10.1045
362	MRPL4	10.038
363	GATA3	10.0125
364	CIT	9.7205
365	NDUFV1	9.702
366	MRPL19	9.6295
367	MRPL12	9.6235
368	CAND1	9.554
369	YY1	9.437000000000001
370	NDUFS8	9.4055
371	MRPL28	9.2395
372	NDUFA12	9.208499999999999
373	TMEM70	9.111500000000001
374	PCBP1	9.058499999999999
375	PHB	9.0425
376	MRPL24	9.0345
377	MRPL49	9.0285
