rank	node	rank_score
1	ACTN3	180.1
2	ACTN2	179.1995
3	DUX1	177.899
4	DUSP18	177.79850000000002
5	MYOM2	176.198
6	RSPH6A	175.29749999999999
7	RYR1	169.997
8	MYBPC2	168.392
9	NEB	167.793
10	HSPB2	167.69549999999998
11	MYPN	167.595
12	TSPAN33	167.5925
13	MYBPC3	166.796
14	LATS1	166.48899999999998
15	DYSF	165.791
16	MYBPC1	164.5895
17	ANKRD1	163.29000000000002
18	TULP3	161.5915
19	CAV3	160.9905
20	TCAP	160.69400000000002
21	MYH8	158.08499999999998
22	UBE2I	158.077
23	MECOM	157.4855
24	MYH2	156.18400000000003
25	TRIM63	155.988
26	MYH4	155.4845
27	MYOM1	154.7885
28	MYLPF	153.686
29	MYH3	153.6835
30	ABTB2	153.38299999999998
31	SGCG	153.1865
32	TNNT3	152.7875
33	ZNF354C	152.59650000000002
34	CKM	150.5825
35	PYGM	150.28199999999998
36	TLE3	149.2815
37	FLNC	149.18699999999998
38	MYH1	148.881
39	ASAH2	148.3805
40	MYL1	145.07999999999998
41	LZTR1	145.079
42	TRIM55	144.778
43	TMEM260	144.0795
44	FKBP6	143.17849999999999
45	CLIP4	142.7765
46	SLC6A13	141.6775
47	SLC39A3	140.37550000000002
48	PDLIM3	138.6945
49	ACTA1	138.475
50	TNNI2	135.376
51	MYOZ2	134.8935
52	TNNI1	133.7745
53	PIAS2	132.36599999999999
54	TPM2	132.2735
55	AGRN	131.274
56	CMYA5	131.169
57	CAPN3	130.2685
58	TPM1	128.8725
59	ENO3	128.667
60	TNNT1	128.072
61	SNAPIN	127.5675
62	ACTN4	125.57300000000001
63	ACTN1	123.97150000000002
64	CFTR	122.5705
65	MYH13	121.57000000000001
66	LDB3	120.771
67	LACTB2	120.06949999999999
68	CCDC69	112.5655
69	TPM3	111.16100000000002
70	TPM4	108.96199999999999
71	MYO18A	108.3635
72	PPP1CB	108.26050000000001
73	SVIL	107.763
74	FGD5	105.8625
75	CAPZA2	105.15950000000001
76	MYH9	104.95900000000002
77	MYO19	103.55850000000001
78	IQGAP1	103.46
79	SRF	102.56649999999999
80	DBN1	102.15799999999999
81	SYNPO	101.8575
82	FLNA	98.556
83	LIMA1	98.457
84	SSH2	97.15650000000001
85	TMOD1	95.75450000000001
86	TPRN	95.0525
87	NEXN	94.955
88	COBL	94.1555
89	MYO5C	92.053
90	AFAP1	91.452
