rank	node	rank_score
1	SP1	177.6995
2	CASP8	174.899
3	BCL2	172.695
4	RELA	172.296
5	CASP7	172.0985
6	IKBKB	169.69400000000002
7	CHUK	166.3945
8	CREBBP	163.99349999999998
9	ETS1	163.185
10	MAPK8	162.8885
11	HSPB1	162.79749999999999
12	ARNT	155.7795
13	MAPK14	155.27
14	NCOA3	153.98899999999998
15	PPARG	153.3865
16	EP300	152.9855
17	VDR	151.8915
18	MYC	150.097
19	PML	148.67849999999999
20	UBE2I	148.0925
21	NCOR1	147.783
22	HDAC3	147.6825
23	NCOR2	145.7875
24	HDAC1	145.6815
25	SMAD3	141.18800000000002
26	NCOA1	140.7835
27	RXRA	136.579
28	E2F1	135.476
29	BCL3	133.875
30	KAT2B	132.372
31	KLF5	132.1895
32	SIRT1	131.984
33	NCOA6	128.4845
34	MAFK	127.3955
35	FOS	127.2805
36	STAT1	127.27449999999999
37	RARA	127.078
38	AKT1	126.561
39	AR	124.96849999999999
40	SMARCA4	124.8735
41	BTRC	123.69099999999999
42	BRCA1	122.977
43	HNF4A	122.38600000000001
44	GSK3B	121.74099999999999
45	MDM2	121.47550000000001
46	ESR1	121.17999999999999
47	CTNNB1	120.56649999999999
48	RUNX2	119.5645
49	NFE2L2	118.981
50	FOXO3	118.492
51	TBP	118.07750000000001
52	HDAC4	116.657
53	CDKN2A	116.4725
54	SPI1	115.97049999999999
55	SRF	111.65799999999999
56	CEBPA	111.171
57	ATF3	111.05900000000001
58	CDKN1A	110.9555
59	PLAGL1	110.748
60	PGR	108.46599999999998
61	NR4A1	107.6585
62	KAT5	107.0575
63	HSP90AA1	105.74300000000001
64	PIAS1	105.56300000000002
65	ZBTB16	104.16749999999999
66	PRKDC	104.15599999999999
67	HDAC2	103.569
68	TP73	102.751
69	HSPA8	102.44449999999999
70	NCOA2	98.2695
71	ETV1	98.167
72	NR1H3	97.849
73	CASP10	96.498
74	NR3C1	95.5625
75	CCND1	94.12899999999999
76	RUNX1	92.374
77	ZBTB7A	91.1655
78	NR0B2	90.2595
79	SMAD2	89.762
80	NR1H2	89.26050000000001
81	HSPA4	89.0375
82	CSNK2A1	88.4325
83	STUB1	87.444
84	PPARGC1A	86.07300000000001
85	VHL	84.9355
86	TDG	83.7615
87	ETS2	82.68199999999999
88	CREB1	82.236
89	CDK1	81.9235
90	HSF1	81.737
91	MYOD1	80.4425
92	CIITA	79.965
93	PIAS2	79.854
94	E2F4	79.119
95	ATF2	78.634
96	SQSTM1	77.2335
97	NR1H4	76.1765
98	DNMT1	76.0435
99	PIN1	75.7195
100	FOXO1	74.05499999999999
101	SMARCA2	73.364
102	AHR	73.1635
103	NR1I2	71.668
104	NRIP1	71.5515
105	SKP2	71.539
106	POU2F1	71.4405
107	EZH2	70.9475
108	ABL1	70.7995
109	SMAD4	68.95450000000001
110	TRIM28	68.635
111	SUMO1	67.20599999999999
112	DAXX	66.94200000000001
113	XRCC5	65.0525
114	SPIB	62.3355
115	XRCC6	62.04549999999999
116	HSP90AB1	59.9215
117	THRB	59.3365
118	SMARCC1	58.952
119	CTBP1	57.4505
120	SIN3A	57.43050000000001
121	YY1	57.045
122	SP3	56.846500000000006
123	CCNE1	56.5025
124	CDK6	56.2395
125	ELAVL1	55.290499999999994
126	EPAS1	54.753
127	HDAC6	51.638
128	CARM1	51.3495
129	PHOX2A	48.878
130	SRC	48.5735
131	NFATC1	47.7415
132	CDK2	47.7255
133	PKM	46.5095
134	STAB2	46.496500000000005
135	TP63	45.4425
136	PPARD	45.3535
137	VCP	44.5715
138	NR2C1	44.4565
139	NR4A2	44.4345
140	CIC	44.4285
141	DDX5	44.323
142	MED1	44.131
143	TRIM25	42.46
144	GTF2I	42.2315
145	HIST1H4A	42.2275
146	CDK4	41.928
