rank	node	rank_score
1	PAPD4	178.3995
2	APOBEC3B	173.0
3	MIR9-2	172.3915
4	HNRNPH2	169.49650000000003
5	HNRNPA1	168.094
6	MSI2	165.5955
7	MIR9-1	163.8985
8	MATR3	163.696
9	RBFOX2	161.693
10	HNRNPH3	160.8895
11	MIR9-3	159.3865
12	HNRNPA0	158.3875
13	MIR29B1	157.8855
14	HNRNPF	157.487
15	MIR122	156.4545
16	MIR29C	153.5975
17	HNRNPA2B1	152.086
18	HNRNPA3	152.0795
19	MIR451A	150.689
20	HNRNPK	149.88
21	HNRNPR	149.4815
22	HNRNPM	148.388
23	HNRNPH1	148.0925
24	FUS	147.17849999999999
25	IGF2BP3	146.7845
26	MIR200A	146.3825
27	RTCB	146.2945
28	MIR141	145.192
29	MIR138-1	145.064
30	MIR29B2	143.97
31	MIR1-1	143.548
32	DDX1	143.08350000000002
33	SYNCRIP	142.57049999999998
34	MIR140	142.279
35	MIR199A2	142.169
36	TAF15	141.781
37	MIRLET7C	141.39000000000001
38	IGF2BP2	140.6655
39	MIR16-1	140.27100000000002
40	MIR145	139.76500000000001
41	PTBP1	138.0755
42	LARP7	137.984
43	MIR128-1	137.953
44	MIR429	137.8775
45	PUF60	137.683
46	MIR363	137.297
47	MIR143	136.182
48	ZNF385A	135.09949999999998
49	MIR18A	134.152
50	RBM14	131.378
51	TRA2B	131.0685
52	SFPQ	130.072
53	RTCA	129.732
54	IGF2BP1	129.0645
55	DDX3X	128.06300000000002
56	MIR15B	127.67350000000002
57	MIR16-2	125.777
58	YBX3	125.26050000000001
59	MIR106A	124.27649999999998
60	MIR10B	123.4635
61	MIR20A	122.8885
62	MIR21	122.795
63	MIR19A	122.57249999999999
64	MIR15A	121.44749999999999
65	MIRLET7F2	120.98499999999999
66	SF3B1	120.674
67	MIRLET7B	118.8615
68	RBM4	117.79099999999998
69	MIR205	115.57449999999999
70	MIR7-3	115.144
71	EIF2AK2	113.95900000000002
72	UTP20	113.8625
73	EPRS	111.8525
74	MIR19B2	111.5495
75	NONO	111.07150000000001
76	MIR199A1	110.157
77	DHX36	110.1455
78	MIR20B	110.076
79	MIR7-2	109.25750000000001
80	MIR18B	109.05050000000001
81	MIR128-2	108.38050000000001
82	MIR221	107.85999999999999
83	MIR200B	107.76100000000001
84	MIR1-2	107.1555
85	MIR31	106.05499999999999
86	SF3B3	105.9665
87	MIR92A1	105.3375
88	LIN28A	104.25
89	MIR29A	101.36949999999999
90	FAM98A	99.566
91	MIR7-1	99.373
92	DARS	99.35650000000001
93	MIR98	99.2365
94	MIR138-2	98.075
95	UPF1	98.0395
96	YBX1	97.5515
97	MIRLET7A3	96.8585
98	MIR19B1	96.36800000000001
99	MIR93	96.256
100	QARS	94.74600000000001
101	PDCD11	94.2595
102	DDX21	94.149
103	RARS	92.4485
104	MIR17	90.854
105	MARS	89.2535
106	MIR200C	88.962
107	PTBP3	88.64
108	MIR25	87.5675
109	IARS	87.1465
110	MIR92A2	86.3415
111	ZNF346	86.034
112	SF3B2	85.7405
113	MIRLET7A1	84.35799999999999
114	HNRNPL	83.8905
115	MIR214	83.84349999999999
116	MIRLET7I	83.767
117	MIR206	82.637
118	MIR34A	81.742
119	CELF1	79.738
120	MIRLET7F1	79.5445
121	MIR107	78.74300000000001
122	MIRLET7E	78.239
123	ZFR	75.426
124	MIRLET7G	73.651
125	NOL6	73.04249999999999
126	STRBP	73.0255
127	MIRLET7A2	72.841
128	KARS	72.14500000000001
129	YBX2	70.63
130	MIR106B	70.3385
131	MIRLET7D	69.747
132	TRA2A	68.2355
133	CELF2	65.798
134	SF3B4	65.43350000000001
135	PURA	65.02799999999999
136	RBMS2	62.814
137	SUGP2	62.69349999999999
138	PRMT1	62.03150000000001
139	LIN28B	61.427499999999995
140	LRPPRC	59.130500000000005
141	U2SURP	58.836
142	NUDT21	57.3325
143	C9orf114	57.0345
144	G3BP2	56.735
145	LARS	56.63099999999999
146	ADARB1	56.424
147	KNOP1	55.43299999999999
148	DHX37	55.32899999999999
149	PUM1	51.62950000000001
150	C1QBP	51.3285
151	AIMP2	47.427
152	AIMP1	46.9245
153	PLOD1	46.3235
154	MSI1	45.1135
155	SF3A1	44.9265
156	CPSF1	41.025
157	ERAL1	40.523
158	AQR	39.121
159	ESRP1	37.099000000000004
160	NUDT16L1	36.922000000000004
161	NUFIP2	35.8175
162	ATXN2L	35.1225
163	GRSF1	32.22
164	SYMPK	31.621500000000005
165	MYEF2	31.616499999999995
166	RBM39	30.3205
167	SNRNP70	30.0185
168	RC3H1	26.419
169	ZC3H18	25.4115
170	STAU1	24.5145
171	CAND1	23.81
172	RIOK1	22.617
173	PHB	21.0085
174	WWP2	20.819499999999998
175	EDC4	19.316
176	RC3H2	19.110500000000002
177	CUL3	18.5125
178	NR2C2	17.518
179	RBM45	15.8075
180	PUM2	15.4155
181	SF3A3	15.113
182	CPSF6	14.507
183	DDX23	14.4215
184	CDC5L	13.912
185	ILF2	10.208
186	RBMS1	8.203999999999999
187	HNRNPC	8.001999999999999
188	BIRC3	6.6045
189	PURB	6.409000000000001
190	CHD3	6.3149999999999995
191	MEPCE	6.207
192	TARDBP	6.0095
193	EFTUD2	5.8035
194	CRTAP	5.622
195	U2AF2	5.503
196	PABPC5	4.506
197	FZR1	4.404999999999999
198	HNRNPUL2	4.301
199	DDRGK1	4.3004999999999995
200	CUL1	3.6215
201	ELAVL2	3.0075
