rank	node	rank_score
1	FGFR4	176.99949999999998
2	ABCB5	175.7
3	CDKN2C	175.395
4	CDKN2B	173.398
5	MAP2K5	172.49349999999998
6	GRM1	171.7965
7	CBLC	171.29850000000002
8	CDK6	171.096
9	EPHA2	170.399
10	CCND2	169.097
11	MET	168.493
12	HGF	167.89749999999998
13	GLIS2	166.5955
14	LATS2	166.2945
15	CDK4	165.592
16	MAP2K3	164.88899999999998
17	AKT1	163.5905
18	NF2	163.3915
19	MAP2K6	162.294
20	RASSF1	161.5925
21	ARNT	161.5885
22	CD44	161.09099999999998
23	BECN1	160.1875
24	TERT	159.19
25	TEAD2	158.1865
26	KDELR2	157.888
27	CCNE1	155.7895
28	CDKN2A	155.487
29	PDGFRA	154.48600000000002
30	MAP3K5	151.584
31	ARAF	150.8845
32	TTYH2	148.1855
33	MYC	147.7835
34	HIF1A	147.583
35	KAT2A	147.3825
36	MDM4	147.08499999999998
37	TSC1	146.8795
38	FZR1	146.382
39	MAPK14	142.88150000000002
40	GLIS1	142.06900000000002
41	RELA	140.781
42	AURKA	140.68
43	HSP90AA1	140.4785
44	SOX4	137.376
45	HSP90AB1	136.774
46	IGF1R	134.8665
47	SOX3	133.478
48	NFIC	132.868
49	HSPA1A	131.47150000000002
50	CDC37	131.1745
51	STUB1	127.67550000000001
52	BRAF	127.56500000000001
53	MAPK3	125.5575
54	HSPA4	125.272
55	CTNNB1	123.4695
56	HSPA5	122.6525
57	SRC	121.5625
58	MAPK1	119.94300000000001
59	MAP2K1	117.96100000000001
60	MAPK7	117.75999999999999
61	YWHAZ	116.671
62	HSPA8	115.96199999999999
63	GSK3B	114.0705
64	MDM2	106.6685
65	WHSC1L1	103.273
66	AR	101.3545
67	TUBB	101.1765
68	HSPA9	100.54549999999999
69	YWHAE	99.4605
70	HSPA6	99.45
71	ABL1	94.928
72	HSPB1	94.575
73	DNAJA1	91.55699999999999
74	SP1	90.753
75	SHC1	88.03450000000001
76	DACH1	85.0735
77	EGFR	84.46549999999999
78	CAD	83.356
79	BRCA1	83.0325
80	NAT2	82.1775
81	DNAJA2	81.75550000000001
82	CSK	80.949
83	RB1	80.39
84	PRKCZ	77.958
85	PTK2	77.837
86	PTK6	76.759
87	SMAD3	74.38050000000001
88	PTEN	71.9435
89	HSPH1	71.93199999999999
90	CBL	71.045
91	CDKN1A	70.5445
92	MAPT	69.02950000000001
93	HDAC6	67.451
94	RASA1	65.148
95	SOCS1	64.455
96	JUN	63.959
97	CCND1	63.7385
98	GRB10	63.730500000000006
99	IKBKB	63.6725
100	GAPDH	63.641
101	MATK	62.6515
102	ELK1	60.944
103	JUP	60.0415
104	GBP6	59.599000000000004
105	MAP2K2	57.1255
106	PKM	55.85850000000001
107	MAPK8	55.6475
108	FOXO3	54.763
109	TUBB4B	54.6485
110	LCK	54.42999999999999
111	BAG2	54.137
112	ERBB3	52.5425
113	PIK3R1	52.1355
114	GRB2	52.1275
115	YAP1	51.8405
116	FKBP5	51.560500000000005
117	MAP3K2	50.3615
118	HUWE1	48.364
119	MAP3K11	48.1595
120	CDKN1C	47.366
121	ARRB1	47.251999999999995
122	PTPN11	46.4385
123	YWHAQ	46.426
124	IRS4	46.419
125	CDK1	44.2585
126	HIF3A	44.242
127	PARK2	44.14
128	CDK9	43.436
129	FOXM1	42.8675
130	EP300	42.7425
131	EEF2	42.5565
132	E2F1	41.3485
133	TP73	40.257999999999996
134	STAT3	40.2325
135	VHL	40.153999999999996
136	VCP	39.524
137	CDK2	39.3135
138	HCK	38.1445
139	FASN	36.7375
140	UBC	36.61
141	CYLD	35.2235
142	FUS	34.146
143	SNCA	34.019999999999996
144	FAF1	33.906
145	KAT2B	33.539
146	DNAJA4	32.2545
147	CRK	31.234500000000004
148	CYLC2	30.9735
149	CREBBP	30.5435
150	USP11	30.127
151	ATXN3	29.811500000000002
152	SKP2	29.753999999999998
153	JAK2	29.633
154	PRKDC	28.726499999999998
155	NPM1	28.635
156	SIRT1	28.351499999999998
157	CYP17A1	28.26
158	HDAC1	28.247500000000002
159	TCP1	28.223000000000003
160	CDKN1B	27.346500000000002
161	ERBB4	26.6265
162	ATP5A1	26.334000000000003
163	TGFB1	26.262999999999998
164	PHB	25.922000000000004
165	RPS6KA1	25.4555
166	NCOA3	25.1595
167	PPP6C	24.633
168	ILK	24.4295
169	TUBA1C	23.8365
170	CCT2	23.821
171	HNRNPL	23.6995
172	MCM2	23.538999999999998
173	PRKCE	23.2505
174	TUBG1	22.7175
175	TRIM28	21.903
176	METTL3	21.704500000000003
177	BRD4	21.601499999999998
178	IRS1	21.528
179	PIK3CA	21.5225
180	CCT4	21.5205
181	STIP1	21.5185
182	CHUK	21.244
183	TRIM25	21.2395
184	FGR	21.032999999999998
185	SLC25A5	20.944499999999998
186	ESRRB	20.651999999999997
187	PSMC5	20.121000000000002
188	YWHAG	20.0055
189	APP	19.95
190	LTK	19.9405
191	MAP3K3	18.764499999999998
192	EFTUD2	18.6155
193	PTPRR	18.558
194	ABL2	17.7185
195	NTRK1	17.3475
196	HSP90AB3P	16.7245
197	CEBPB	16.655
198	PXN	16.642000000000003
199	FYN	16.3385
200	RIN3	16.3125
201	PPARG	16.232999999999997
202	SQSTM1	15.9465
203	HSPA1L	14.614500000000001
204	CDK5	14.513
205	ESR1	14.4555
206	HNRNPK	14.413999999999998
207	PLCG1	14.41
208	CCT6A	14.314499999999999
209	SLC25A3	13.838
210	PRPF8	13.7315
211	PML	13.726499999999998
212	SH2D2A	13.7255
213	EEF1A1	13.6495
214	CDK5R1	13.566999999999998
215	CCDC117	13.3595
216	PIK3R2	13.0245
217	CCT8	13.016
218	BAD	12.835500000000001
219	RPS6KA3	12.7615
220	ZAP70	12.634
221	BCL2	12.562999999999999
222	TUBB6	12.2215
223	SMAD2	12.0395
224	PARP1	12.025
225	SOCS3	12.018
226	PPP1CA	11.921
227	MAPK8IP3	11.8605
228	PRKCG	11.750499999999999
229	NOS2	11.7035
230	HSPD1	11.7005
231	RUNX2	11.516
232	SNAI1	11.318000000000001
233	FLT3	11.234
234	CUL1	11.2095
235	PDPK1	11.0315
236	CCT5	10.019499999999999
237	HEXIM1	9.428999999999998
238	BTRC	9.053
239	UBE2I	8.951
240	YWHAB	8.626000000000001
241	CUL4A	8.3275
242	BCL3	8.2365
243	RNF207	7.955
244	CCT7	7.910500000000001
245	YES1	7.6455
246	AAR2	7.619
247	SH2B3	7.5424999999999995
248	ETS1	7.537999999999999
