rank	node	rank_score
1	CDK2	180.1
2	AAR2	178.599
3	PGK1	178.5985
4	PARK7	177.49949999999998
5	PARK2	176.39749999999998
6	DDX39B	174.397
7	CALR	171.09650000000002
8	SOD1	169.7925
9	ANXA5	169.29500000000002
10	ALDOA	168.59
11	TPI1	168.293
12	U2AF2	166.9945
13	PPIB	165.69400000000002
14	HSPE1	164.5905
15	PFN1	163.292
16	SUMO2	162.9915
17	PDIA3	160.8895
18	CALM1	160.3885
19	MCM2	159.49349999999998
20	ANP32B	156.488
21	ENO1	156.4875
22	UBE2M	155.38400000000001
23	RPS27	151.496
24	GAPDH	148.8765
25	HSP90B1	147.6825
26	AGR2	146.4805
27	TRIM24	146.09099999999998
28	CFL1	143.87550000000002
29	PTMS	142.98899999999998
30	PRDX1	142.475
31	HUWE1	141.47899999999998
32	RBM39	141.47449999999998
33	PRPF8	141.276
34	LDHA	141.077
35	MARCKS	140.4865
36	PTMA	139.487
37	BIRC3	139.3775
38	NEDD4	139.286
39	P4HB	138.8795
40	IQGAP1	138.26399999999998
41	ANP32A	138.1845
42	PDIA4	137.98499999999999
43	HNRNPA1	137.2735
44	HMGN1	137.1855
45	PRDX3	137.072
46	PPIA	136.07150000000001
47	FKBP3	134.9835
48	EFTUD2	134.374
49	PSMA3	133.678
50	CKB	132.67849999999999
51	RBM8A	132.5815
52	NACA	132.581
53	CUL7	132.46300000000002
54	PRKCSH	132.382
55	ATPIF1	132.083
56	EEF2	132.0725
57	PCBP1	132.0695
58	HSPB1	131.298
59	HSP90AB1	130.7705
60	METTL14	129.071
61	HSP90AA1	128.773
62	CFTR	128.48
63	ATP5A1	127.76849999999999
64	YAP1	126.96900000000001
65	HSPA9	126.7675
66	PINK1	125.0655
67	FUS	124.86800000000001
68	LDHB	123.867
69	HEXIM1	121.47
70	PIH1D1	121.3665
71	YWHAQ	121.06500000000001
72	FASN	119.4635
73	BRD4	118.16599999999998
74	HNRNPK	114.9615
75	HNRNPA2B1	114.46199999999999
76	CTNNB1	112.5625
77	VCAM1	111.5605
78	FANCD2	110.6645
79	RPL12	109.79549999999999
80	TARDBP	109.4595
81	MYH9	108.25349999999999
82	PCBP2	107.75999999999999
83	EIF4A3	105.3525
84	GNB2L1	96.659
85	HSPA5	95.9555
86	ITGA4	95.446
87	BTF3	93.8545
88	NPM1	93.453
89	RPL7	93.25399999999999
90	YWHAE	92.357
91	ATP5B	92.15599999999999
92	RPS15A	91.661
93	SLC25A5	90.8515
94	RPS3A	89.35
95	TFCP2	89.0475
96	HSPA8	88.95750000000001
97	RPS4X	88.549
98	CDK9	88.455
99	RPS3	88.1505
100	RPSA	84.6495
101	PHGDH	83.65799999999999
102	LGALS9	83.547
103	RPL21	83.447
104	RPS7	81.648
105	RPS9	81.6445
106	HNRNPU	81.3485
107	RPL10A	79.9455
108	NCL	79.545
109	UFL1	79.152
110	ZC3H18	77.65650000000001
111	RPL18	77.144
112	RPL24	76.3465
113	HSD17B10	76.17150000000001
114	RPS23	76.0435
115	RPL5	75.74300000000001
116	RPL23	73.7405
117	RPL9	71.9395
118	RPS25	71.7415
119	CUL1	71.338
120	RPS18	70.94200000000001
121	RPS13	69.7375
122	RPL27A	69.4425
123	RPS5	69.441
124	RPS11	67.939
125	RPS16	66.74
126	RPS2	65.737
127	RPS8	64.0365
128	RPL8	63.7385
129	RPL11	62.834500000000006
130	RPL14	61.235
131	RPL22	60.23299999999999
132	RPL38	59.736000000000004
133	RPLP2	58.533500000000004
134	RPLP0	57.834
135	CAND1	56.428
136	RPL27	55.532
137	VCP	54.35699999999999
138	RPS12	54.0355
139	RPL18A	53.731500000000004
140	RPS26	53.63250000000001
141	CDC73	53.55499999999999
142	RPL15	53.230999999999995
143	RECQL4	52.927499999999995
144	ANXA2	52.152
145	RPL7A	51.23
146	RPL30	50.6295
147	RPL23A	50.1305
148	RPS20	49.729
149	TAGLN2	48.656
150	RPL4	48.128499999999995
151	MSN	46.4555
152	RPS28	45.727
153	RPL17	45.4265
154	JUP	44.9565
155	RPS21	42.826
156	HNRNPD	41.8585
157	RPS17	41.423
158	RPS24	40.925
159	RPLP1	40.923500000000004
160	RPL36	39.1245
161	RPS6	38.820499999999996
162	RPS10	38.624
163	UBL4A	38.5225
164	RPL10L	37.5255
165	RPS19	36.022000000000006
166	RPL19	33.721500000000006
167	RPL37A	33.321000000000005
168	LOC101929876	32.82
169	RIN3	31.812
170	RPL34	30.6195
171	RPL13	30.517500000000002
172	RPS15	30.219
173	RPL13A	30.018
174	RPL31	29.3185
175	RPLP0P6	28.115999999999996
176	WWP2	27.214499999999997
177	RPL35	26.817
178	MEPCE	26.413999999999998
179	DUX4	24.4135
180	RPL32	24.2155
181	RPL10	23.615000000000002
182	PABPC1	23.410500000000003
183	DDRGK1	22.316499999999998
184	PRDX6	21.0545
185	ILF3	20.4125
186	LARP7	20.213
187	HMGB1	17.9115
188	PRC1	16.411
189	ITFG1	15.909
190	CHD4	14.91
191	RPL35A	14.5095
192	TXN	11.461
193	HNRNPM	11.108500000000001
194	SNRNP70	10.408
195	NTRK1	9.954
196	PPP1CC	9.803999999999998
197	CHD3	9.506
198	WDR5	9.351
199	ILF2	9.0075
200	NFX1	8.206999999999999
201	RPL29	8.003499999999999
202	RPL26	7.405500000000001
203	CYLD	7.3065
204	KIF23	5.803
205	RIOK1	5.6049999999999995
206	CHMP4C	5.100499999999999
207	STAU1	3.7045000000000003
208	RPS27L	3.7009999999999996
209	RPL28	3.1015
210	RPS27A	2.502
211	PAN2	1.9024999999999999
212	FBP1	0.301
213	PPT1	0.054000000000000006
214	TUBB	0.052000000000000005
215	EEF1G	0.0485
216	EEF1B2	0.0475
217	HNRNPA3	0.0455
218	ECT2	0.012
219	NOP56	0.010499999999999999
220	MYBBP1A	0.0095
221	DDX21	0.009
222	ANLN	0.0085
223	RRS1	0.008
224	CIT	0.007000000000000001
225	FBXW7	0.006500000000000001
226	AURKB	0.006
227	RPL26L1	0.0055
228	NOP2	0.005
229	CUL3	0.0045
230	DHX9	0.004
231	GRWD1	0.003
232	COPS5	0.0025
233	MATR3	0.002
234	RSL1D1	0.0015
235	VRK1	0.001
236	NR2C2	0.0005
