rank	node	rank_score
1	RUNX2	172.1995
2	SMAD3	171.1875
3	DNMT3L	164.48600000000002
4	JUN	164.0865
5	ATF3	163.587
6	CREBBP	162.9905
7	RUNX3	162.5935
8	ATF2	162.49200000000002
9	JUNB	161.193
10	HDAC1	159.6885
11	RYR1	157.6
12	EP300	156.395
13	CEBPB	155.07999999999998
14	FOSL1	154.084
15	SMAD2	153.2925
16	DDIT3	153.285
17	JDP2	151.8845
18	NFATC1	149.378
19	ATF7	145.17649999999998
20	YY1	145.094
21	CTNNB1	144.76100000000002
22	CEBPA	144.1815
23	PML	143.67849999999999
24	SRA1	143.596
25	RUNX1	143.369
26	MDM2	142.179
27	CEBPG	141.3725
28	NCOR2	139.7695
29	GHSR	139.0985
30	ATF4	138.8855
31	KLF5	137.6715
32	ZEB2	136.19099999999997
33	ETS1	135.8895
34	SMARCA4	135.475
35	NCOA6	134.56599999999997
36	NCOR1	133.3705
37	UBE2I	133.2835
38	SP1	133.083
39	PPARG	126.372
40	HDAC3	126.367
41	NFE2L2	126.27000000000001
42	NFKB1	125.25999999999999
43	BATF	124.66199999999999
44	SMAD4	123.47449999999999
45	HIST1H4A	123.44650000000001
46	TGIF1	119.982
47	RXRA	119.26500000000001
48	EGR1	119.176
49	RYR2	117.19749999999999
50	TP53	115.8735
51	RB1	115.45900000000002
52	CEBPE	115.373
53	KAT2B	114.171
54	RELA	113.56649999999999
55	FOSL2	111.9395
56	CTBP1	110.66300000000001
57	HIF1A	109.46549999999999
58	AR	108.1475
59	VDR	107.9605
60	NCOA1	105.15799999999999
61	PIAS1	105.0675
62	NCOA3	104.3595
63	SRF	103.95450000000001
64	TBP	103.449
65	CEBPD	103.2805
66	HSP90AA1	101.5965
67	RARA	101.55550000000001
68	BCL6	101.374
69	STAT3	100.864
70	MYOD1	98.9485
71	KIAA1429	98.24449999999999
72	BATF3	97.2795
73	NR1H2	97.25399999999999
74	NR0B2	96.86449999999999
75	SIRT1	96.7565
76	SPI1	96.13199999999999
77	HDAC2	94.8755
78	SMARCC1	93.5385
79	HNF4A	93.351
80	ETS2	92.853
81	MAFK	92.73150000000001
82	ZBTB7A	91.8535
83	PPARGC1A	91.655
84	NRIP1	89.556
85	KAT5	88.4625
86	GCM1	88.188
87	PARP1	87.239
88	SMARCA2	86.9515
89	SIN3A	86.3345
90	MAPK1	84.34400000000001
91	GATA1	82.43050000000001
92	NCOA2	82.34700000000001
93	NR1H3	82.2585
94	NR1I2	80.9615
95	ESR1	80.94300000000001
96	E2F1	80.4495
97	NR4A1	77.8575
98	APP	77.19449999999999
99	STAT1	76.752
100	BRCA1	76.012
101	TDG	75.648
102	SMARCB1	75.236
103	SMARCE1	75.133
104	SMARCC2	73.624
105	NOTCH4	72.76849999999999
106	GAPDHP1	72.5955
107	CARM1	71.14200000000001
108	ARID1A	70.0435
109	DDX58	69.981
110	BRD4	67.5355
111	SKI	67.53099999999999
112	SMAD7	66.45
113	EZH2	66.1525
114	DBP	66.0505
115	DNMT1	65.14099999999999
116	EPAS1	63.535000000000004
117	BCL3	63.339999999999996
118	ZBTB16	60.9375
119	NFIX	60.668499999999995
120	NFATC2	59.7325
121	GTF2I	59.023
122	DDX5	58.826
123	PGR	58.60850000000001
124	UCN	58.297000000000004
125	MYC	56.9265
126	MEF2A	56.768499999999996
127	BATF2	56.7635
128	TP73	56.54600000000001
129	SMURF2	56.045
130	SMAD6	55.497
131	MEN1	52.714999999999996
132	FLI1	49.3135
133	AKT1	48.738
134	SMARCD1	48.7175
135	CIC	45.8065
136	PLAGL1	45.357
137	CIITA	45.327999999999996
138	MED1	43.1415
139	MYB	42.3285
140	GSK3B	42.124
141	ACTL6A	41.9055
142	NR4A2	41.2255
143	SP3	41.145500000000006
144	PRKDC	40.327
145	FOXO3	40.010000000000005
146	CAMTA2	39.8995
147	NEDD4	39.899
148	POU2F1	39.621500000000005
149	MAFF	39.565
150	CSNK2A1	39.4145
151	SUV39H1	39.140499999999996
152	GRIP1	38.8235
153	PPARD	38.748000000000005
154	SMARCD2	38.513
155	ATF1	37.9865
156	MAPK8	37.133500000000005
157	NR2C1	36.4225
158	HNRNPL	35.498000000000005
159	TBL1XR1	35.4195
160	SS18	35.015499999999996
161	KDM1A	34.9205
162	XRCC6	34.511
163	KAT2A	33.7365
164	ETV1	33.3665
165	CCND1	33.335
166	RBBP5	33.1065
167	SFPQ	33.005
168	KMT2A	31.328999999999997
169	TP53BP1	31.322000000000003
170	SOX2	31.214
171	HCFC1	30.7235
172	TRIM28	30.6045
173	SMARCD3	28.919
174	ELAVL1	28.8245
175	GATA3	28.602999999999998
176	RBBP4	28.021000000000004
177	THRB	26.922500000000003
178	SS18L1	26.9125
179	PIAS2	26.806
180	FHL2	26.6495
181	XRCC5	26.018
182	YAP1	25.330000000000002
183	MIR302A	24.6815
184	NR1H4	24.5245
185	TFAP2A	24.503999999999998
186	FOXO1	23.434
187	KDM2A	23.207
188	RXRG	23.143
189	E2F4	22.8105
190	RARB	21.436500000000002
191	ING1	20.832
192	RELB	20.502
193	DPF2	20.500999999999998
194	DAXX	20.4025
195	PLEKHA4	19.6935
196	KCTD16	19.681
197	AHRR	19.5985
198	HTR1D	19.5915
199	MIR183	19.4775
200	KLF12	19.288
201	AKAP6	18.8905
202	COPS5	18.4565
203	HSPA4	18.325
204	ESRRA	18.205000000000002
205	SETD7	18.1295
206	NFIL3	17.683500000000002
207	KLF8	17.59
208	MTA2	17.319499999999998
209	ARID1B	17.3035
210	GABBR2	17.092
211	ASH2L	16.709
212	PRDM2	16.309
213	PRMT1	16.0105
214	USP7	15.618500000000001
215	KLF4	15.530000000000001
216	THRA	15.251
217	TRIB1	14.6835
218	SMARCA5	14.019
219	ARID2	13.936000000000002
220	ARNT	13.111500000000001
221	IKZF2	13.023500000000002
