rank	node	rank_score
1	MSI2	179.7
2	CDC42	138.999
3	RARS	136.99949999999998
4	IARS	116.89850000000001
5	DARS	96.89500000000001
6	PTBP1	96.8875
7	HNRNPA2B1	96.386
8	KARS	96.296
9	MARS	96.0945
10	EPRS	95.394
11	LARS	94.4935
12	AIMP1	94.49199999999999
13	HNRNPA1	94.47999999999999
14	MIR15A	93.49
15	QARS	93.39099999999999
16	MIR34C	92.2895
17	MIR199A1	91.689
18	AIMP2	91.09049999999999
19	MIR7-2	90.6885
20	MIR20B	90.188
21	MIR138-2	88.887
22	C1QBP	88.5265
23	IGF2BP3	88.485
24	HNRNPH2	88.479
25	MIR128-1	88.1865
26	MIR451A	88.1815
27	MATR3	88.1775
28	MIR9-3	87.884
29	MIR214	86.9855
30	EIF2AK2	86.8835
31	FUS	86.4725
32	MIR205	85.9845
33	HNRNPA0	85.7785
34	HNRNPH3	85.381
35	HNRNPA3	85.1765
36	MIR19B2	84.683
37	MIRLET7F1	83.38250000000001
38	HNRNPK	83.176
39	TAF15	82.6705
40	DDX1	82.375
41	RTCB	82.273
42	HNRNPM	81.2715
43	MIRLET7C	81.174
44	IGF2BP2	80.68199999999999
45	MIR106A	80.5795
46	MIR122	79.7755
47	MIR128-2	79.6735
48	MIRLET7A2	79.18050000000001
49	MIR25	78.272
50	HNRNPF	78.152
51	SFPQ	76.369
52	AR	75.997
53	YBX3	75.666
54	MIRLET7A3	75.071
55	MIR140	74.5655
56	MIR29C	74.277
57	MIR200A	74.268
58	MIR107	72.178
59	HNRNPR	71.6575
60	MIR7-3	71.3745
61	MIR7-1	71.26849999999999
62	SYNCRIP	69.8535
63	MIR34A	69.77000000000001
64	MIR221	69.1695
65	MIR18A	68.6625
66	APOBEC3B	68.5635
67	HNRNPH1	67.0325
68	LARP7	66.85650000000001
69	MIR199A2	65.66
70	RBM14	65.265
71	MIR31	65.159
72	MIR19B1	65.06700000000001
73	MIR93	64.464
74	MIR17	63.257999999999996
75	MIRLET7E	63.064499999999995
76	UTP20	62.8605
77	FAM98A	62.263
78	MIRLET7F2	61.362
79	MIR9-1	60.6555
80	DDX3X	60.55499999999999
81	MIR18B	60.157
82	IGF2BP1	60.15599999999999
83	FAM110C	59.4995
84	SF3B1	59.359500000000004
85	MIR143	59.053
86	MIR206	58.966499999999996
87	MIR34B	58.85850000000001
88	HSPA4	58.798
89	MIR1-2	58.653999999999996
90	ABL2	58.3965
91	ERBB3	58.295
92	MIR21	58.150999999999996
93	MIRLET7A1	58.061
94	EGFR	57.7975
95	JUP	57.638
96	HSP90AA1	57.298500000000004
97	TRA2B	57.0615
98	MIR10B	56.3515
99	MIR20A	55.45450000000001
100	EEF1E1	55.3925
101	CIAPIN1	54.491499999999995
102	MIR16-2	54.15
103	PUF60	53.849000000000004
104	SF3B3	53.5505
105	MIR15B	52.7495
106	MIR138-1	52.2525
107	NONO	51.7675
108	MIRLET7I	50.940999999999995
109	MIR29A	50.048500000000004
110	DHX36	49.947500000000005
111	MIR363	49.947
112	MIR141	49.748000000000005
113	MIR92A2	48.546
114	SHC1	47.987
115	MIR222	47.845
116	PDCD11	47.746500000000005
117	GRB2	47.697
118	LIN28A	46.8455
119	NOL6	46.4445
120	MIR200C	45.8435
121	MIR1-1	45.743
122	MIR19A	45.144
123	RBM4	44.441500000000005
124	RTCA	44.432
125	HSP90AB1	44.263999999999996
126	UPF1	44.2425
127	MIR155	44.042
128	MIR29B1	43.3405
129	MIR429	42.8395
130	SF3B2	41.638999999999996
131	MIR29B2	41.637
132	RBFOX2	40.44
133	MIR92A1	40.036500000000004
134	MIR106B	40.036
135	YBX1	39.7385
136	DDX21	39.5375
137	SLC16A3	39.298
138	PTBP3	39.1355
139	ERBB2	39.0945
140	MIR16-1	37.735
141	MATK	37.5935
142	FES	37.292500000000004
143	MET	37.093
144	MIR9-2	36.934000000000005
145	MIRLET7G	36.838
146	SRC	36.492
147	ERBB4	36.391
148	SHB	36.2915
149	TRA2A	36.1345
150	SH2D1B	36.0905
151	RASA1	35.5805
152	SF3B4	35.533
153	PIK3R1	35.39
154	GAB1	35.084500000000006
155	HCK	35.082499999999996
156	ZAP70	34.8895
157	ITK	34.888
158	SUGP2	34.8335
159	PLCG1	34.7875
160	DOK1	34.2855
161	LCP2	34.189
162	CBL	33.8885
163	KIT	33.8865
164	IGF1R	33.867
165	C9orf114	33.7315
166	SOS1	33.18300000000001
