rank	node	rank_score
1	IGFBP3	179.3995
2	TF	178.8985
3	IGF2	157.3985
4	MBNL1	156.697
5	LCP1	155.69650000000001
6	C3	153.29749999999999
7	KLK10	152.8955
8	GNG8	151.1945
9	UBE2U	148.3865
10	AGPAT1	146.781
11	PHF11	145.3835
12	FGA	144.78400000000002
13	CFH	143.97449999999998
14	ITIH4	143.4685
15	SERPING1	142.469
16	FGG	142.1815
17	HPX	141.793
18	HP	141.5925
19	CP	140.994
20	ALB	140.283
21	CCR1	139.474
22	CFB	139.1805
23	ORM1	138.99200000000002
24	APOA1	138.9905
25	GC	138.7935
26	ITIH1	138.77100000000002
27	SERPINA1	137.895
28	P2RX6	137.19099999999997
29	NOV	136.1975
30	FGB	136.1875
31	MATN2	134.57999999999998
32	SERPINA3	134.49
33	SARAF	134.4845
34	EGFL8	133.9915
35	CIR1	131.182
36	GDPD1	130.587
37	IGHG2	127.979
38	RHBDD1	127.2705
39	IGHG1	126.27799999999999
40	PPP2R2B	126.07249999999999
41	SNX27	125.98600000000002
42	FNDC1	125.47849999999998
43	ORM2	123.86949999999999
44	PDE6D	123.67750000000001
45	IGKC	123.07649999999998
46	IGHG3	122.67350000000002
47	SCGB1D1	122.57950000000001
48	HBB	120.388
49	ST6GALNAC6	119.977
50	IL23A	119.7
51	IGLL5	119.276
52	STX17	119.275
53	IGHG4	116.86599999999999
54	A2M	116.273
55	IGLC2	115.57000000000001
56	PRR4	115.189
57	SSUH2	114.56649999999999
58	HRG	113.394
59	SFXN4	112.27150000000002
60	LCN1	112.0895
61	ITLN2	111.97550000000001
62	CERS3	111.96549999999999
63	IGHM	111.86749999999999
64	TTR	109.772
65	STATH	108.9885
66	HCN1	108.36449999999999
67	DDX31	107.36800000000001
68	LCN2	106.26500000000001
69	PLA2G4D	104.9635
70	C18orf21	103.66399999999999
71	IGHA1	103.367
72	GOT1	102.46
73	EBF2	101.463
74	EVPL	100.15950000000001
75	FNDC5	98.361
76	SERPINB3	98.26050000000001
77	FABP1	97.999
78	MSN	96.9965
79	OR2A4	95.957
80	SULT2B1	95.15650000000001
81	IVL	95.053
82	POF1B	94.954
83	CALML5	93.6525
84	RIPPLY3	92.5535
85	DDX19B	91.65599999999999
86	LGALS7B	91.3545
87	SERPINB4	91.351
88	RNF115	90.248
89	TREX2	89.1515
90	ANXA8	88.2465
91	TYMP	88.05550000000001
92	PPL	87.2495
93	SSBP2	86.35
94	IL1RN	84.549
95	HAL	83.15799999999999
96	NDRG2	82.9485
97	PIGT	82.4505
98	ALDH3A1	81.85900000000001
99	CDK15	81.452
100	IL36RN	80.7475
101	IL36G	80.05499999999999
102	A2ML1	80.047
103	S100A7A	78.74449999999999
104	SDR16C5	78.44
105	ENDOU	77.546
106	PTDSS1	77.542
107	KLHL11	76.9455
108	SERPINB7	76.045
109	NRSN1	75.7435
110	SLC37A4	74.244
111	GSDMA	73.44300000000001
112	TGM1	72.5415
113	TBC1D22B	71.741
114	PINK1	71.1425
115	TRIM29	69.4405
116	S100A9	66.6395
117	GM2A	66.5355
118	PLA2G4E	65.9365
119	NCCRP1	64.535
120	GABPA	64.337
121	S100A7	62.5385
122	SLC25A6	62.23350000000001
123	BPHL	61.5345
124	ALOX12B	61.236000000000004
125	PAPL	60.532999999999994
126	CALML3	60.03150000000001
127	AZGP1	58.962
128	GUCY1A3	58.338
129	AKR1B10	58.331999999999994
130	TNP1	57.498000000000005
131	C1orf35	57.034000000000006
132	ACPP	56.7325
133	SDR9C7	56.529500000000006
134	CASP14	55.138999999999996
135	SERPINB13	54.630500000000005
136	DSG3	53.813
137	ZC3HC1	51.729
138	TGM3	49.7275
139	HMOX1	49.331
140	S100A8	49.0375
141	PKP1	48.8255
142	FTH1	47.628
143	FLG	47.325
144	NUDT3	46.83
145	SH2D3A	46.628499999999995
146	APTX	46.427
147	FCF1	45.8235
148	MOGAT3	44.726
149	CPA4	44.326499999999996
150	SBSN	43.322
151	KIR3DS1	42.8245
152	PRSS16	42.623000000000005
153	KLK7	41.9225
