rank	node	rank_score
1	SPIC	180.1
2	GHR	179.1995
3	CXCL3	118.899
4	CASP7	117.999
5	PLA2G4B	117.39850000000001
6	IKBKB	97.6765
7	CHUK	97.47999999999999
8	CASP3	97.09700000000001
9	GZMB	95.7955
10	UBC	95.17
11	CASP2	94.9965
12	BID	94.99600000000001
13	CASP10	94.6975
14	BAX	94.2945
15	MAPK8	93.595
16	BAK1	92.591
17	ARHGDIA	92.19300000000001
18	CASP9	91.694
19	XIAP	91.0925
20	BIRC2	90.286
21	TNFRSF1A	89.887
22	FADD	89.59
23	FASLG	88.9885
24	FAS	88.388
25	TNFRSF10B	87.8875
26	MSN	87.3865
27	CFLAR	87.189
28	RIPK1	85.5855
29	TNFSF10	85.58500000000001
30	RIPK3	84.183
31	TRAF2	83.884
32	NOD1	83.592
33	CASP6	83.3915
34	CASP1	83.19800000000001
35	TRADD	82.08250000000001
36	RIPK2	81.78450000000001
37	TNFAIP3	80.7805
38	TRAF1	80.5815
39	TRAF3	80.482
40	TICAM1	80.08099999999999
41	TRAF6	78.977
42	CUL5	77.89750000000001
43	IKBKG	77.279
44	TLR3	76.976
45	BIRC3	76.36800000000001
46	NOD2	76.1745
47	MAP3K14	75.67949999999999
48	IKBKE	75.4785
49	UBE2D1	74.146
50	TANK	74.078
51	CRYAB	73.6935
52	TNF	73.1775
53	BCL10	72.9715
54	MAP3K7	72.475
55	RNF31	71.4735
56	RBCK1	71.173
57	TAB2	70.8755
58	SHARPIN	70.074
59	TNIP1	69.272
60	SPATA2	69.1725
61	RHOA	68.8885
62	TAB1	68.56949999999999
63	UEVLD	67.771
64	MALT1	66.8705
65	TAB3	66.5685
66	CARD11	66.269
67	CASP12	65.3835
68	SQSTM1	65.067
69	TBK1	64.7665
70	TRAF3IP2	64.066
71	TNFRSF1B	63.86749999999999
72	OPTN	63.763999999999996
73	MAVS	62.765
74	IRF3	62.665499999999994
75	TRAF5	62.1645
76	CALCOCO2	61.7635
77	USP2	61.063
78	TAX1BP1	60.5625
79	ULK3	60.462
80	RNF11	60.0615
81	BLID	59.1985
82	ZC3H12A	58.861000000000004
83	TCEB1	58.596500000000006
84	TNFRSF11A	58.4605
85	RNF7	58.397000000000006
86	WSB1	58.196000000000005
87	DFFA	57.996
88	TCEB2	57.795500000000004
89	PELI1	57.660000000000004
90	CD40	57.55799999999999
91	DIO2	57.19500000000001
92	MYD88	57.0595
93	RAB40B	56.793499999999995
94	IRAK1	56.559000000000005
95	RAB40C	56.49300000000001
96	LTBR	56.4575
97	RAB40AL	56.192499999999995
98	IRF7	56.0585
99	RAB40A	55.891999999999996
100	SOCS3	55.5945
101	EPOR	55.49400000000001
102	ASB11	55.29
103	SOCS4	54.9895
104	PCMTD2	54.6865
105	AZI2	54.657
106	AMBRA1	54.491499999999995
107	TRAF4	54.25599999999999
108	ASB8	54.190999999999995
109	ASB13	53.890499999999996
110	NGFR	53.755500000000005
111	CBLB	53.55499999999999
112	ARIH2	53.187
113	SPSB2	53.089
114	CD40LG	52.856500000000004
115	WSB2	52.6875
116	DDA1	52.3885
117	ANKRD9	52.088
118	SPSB4	51.4855
119	TMEM173	51.35450000000001
120	ASB9	51.186
121	SPSB1	51.185
122	ITCH	50.951
123	UBE2E3	50.827999999999996
124	ASB3	50.6845
