rank	node	rank_score
1	HIST1H4A	152.9835
2	HIST1H3A	145.77849999999998
3	KMT2A	138.3965
4	KAT8	137.69850000000002
5	MCRS1	137.09949999999998
6	ATN1	135.799
7	PHF20L1	135.498
8	PHF20	134.697
9	ZNF608	134.5975
10	SETD1B	134.196
11	KANSL2	133.4955
12	CXXC1	133.494
13	KANSL3	132.79500000000002
14	RERE	131.7945
15	HCFC2	130.7935
16	HIST2H3C	130.1805
17	KANSL1	130.09300000000002
18	KMT2B	129.0925
19	DPY30	128.88600000000002
20	CSRP2BP	128.392
21	ZZZ3	127.4915
22	MBIP	126.59099999999998
23	RBBP5	126.28899999999999
24	HCFC1	125.99000000000001
25	YEATS2	125.8905
26	KDM6A	125.8895
27	MEN1	123.2885
28	ASH2L	122.2875
29	TADA3	122.18800000000002
30	HIST1H2BB	121.25399999999999
31	KMT2C	120.88699999999999
32	WDR5	120.7865
33	LPPR3	120.1
34	FOXK2	119.67999999999999
35	BUB3	119.1855
36	KMT2D	118.285
37	BOD1L1	117.5845
38	HIST1H2AB	117.049
39	NCOA6	116.88400000000001
40	WDR82	115.583
41	PAXIP1	114.88250000000001
42	PAGR1	114.18199999999999
43	CCDC101	113.48150000000001
44	HIST3H3	113.165
45	ZNF609	112.78099999999999
46	TERF2IP	111.17750000000001
47	TADA2B	108.478
48	SUPT3H	107.17699999999999
49	SUPT7L	106.27649999999998
50	TAF9	105.275
51	DR1	104.876
52	SUPT20H	104.87550000000002
53	KAT2A	104.07350000000001
54	TADA1	103.274
55	TAF9B	103.1745
56	TAF6L	102.373
57	KAT2B	101.872
58	TAF5L	101.77250000000001
59	H2AFX	101.2485
60	TRRAP	99.471
61	ATXN7L3	98.9715
62	TP53	97.3545
63	TADA2A	96.7675
64	TAF6	96.7645
65	ENY2	96.67
66	TAF10	96.26849999999999
67	USP27X	96.1705
68	BRD2	96.1575
69	WDR37	95.666
70	ATXN7L2	95.4695
71	BRD4	95.255
72	RPL37A	95.0795
73	EDC4	95.0655
74	UTY	94.87899999999999
75	TAF12	94.569
76	ATXN7	93.968
77	USP22	92.86699999999999
78	USP51	91.9665
79	MYC	89.7635
80	ESR1	89.55550000000001
81	TAF4	87.964
82	H2AFY	87.9185
83	TBP	87.763
84	H2AFZ	86.5195
85	TAF5	86.4625
86	TAF1	85.962
87	TAF7	85.0615
88	SIN3A	84.352
89	SPATA25	83.961
90	TAF8	83.56
91	TAF13	83.4605
92	TAF11	82.2595
93	TAF3	81.559
94	SMARCA5	80.9315
95	TAF7L	80.8585
96	TAF2	80.15799999999999
97	HDAC1	79.0445
98	BRD3	78.856
99	EZH2	78.446
100	TAF4B	77.857
101	MED26	77.7565
102	ASF1A	76.4165
103	TP53BP1	75.853
104	CDK8	75.2525
105	MED1	74.6535
106	SUZ12	72.1415
107	CDC27	71.8515
108	BPTF	69.8425
109	ESR2	69.651
110	CHD8	69.65
111	SMAD2	68.9465
112	SMARCA4	68.519
113	CREBBP	67.2475
114	MYB	66.047
115	MTA1	65.24300000000001
116	SMARCC1	65.01599999999999
117	GATAD2A	64.73949999999999
118	RBBP4	64.339
119	MTA2	63.738
120	SMARCC2	63.515499999999996
121	SMARCA2	63.445499999999996
122	SMARCB1	62.94500000000001
123	MDC1	61.84349999999999
124	GATAD2B	60.6385
125	C17orf49	60.44
126	PBRM1	60.412
127	SMARCA1	59.4345
128	CHD7	59.314
129	PRKDC	59.299
130	MBD3	58.640499999999996
131	HMGXB4	58.4375
132	MAD2L1	58.2495
133	KDM2A	57.348
134	MBD2	56.537
135	MTA3	55.840999999999994
136	PARP1	55.814499999999995
137	RBBP7	54.432500000000005
138	SMARCD2	54.0005
139	ARID1A	53.9105
140	POLR2A	52.946000000000005
141	SAP130	52.9365
142	BRMS1L	51.735
143	HIST1H2BG	51.61800000000001
144	LIN9	51.5355
145	SUDS3	51.234
146	PWWP2A	50.533500000000004
147	ZNF512B	50.4305
148	XRCC6	49.81
149	SIN3B	49.636
150	SAP30	49.132999999999996
151	KDM1B	48.8505
152	CHAF1A	48.7245
153	KPNA1	47.842
154	HAT1	47.5265
155	CDK2AP1	46.532
156	MYBL2	46.131
157	CBX3	46.1175
158	SHPRH	46.03
159	CHAF1B	44.922000000000004
160	MTF2	44.729
161	BCL11A	44.3295
162	LIN37	42.4285
163	CEBPB	41.742000000000004
164	HDAC2	41.425
165	GATAD1	40.928
166	ARID4B	40.927499999999995
167	PHF1	40.326
168	WHSC1L1	40.308
169	SMARCE1	40.111000000000004
170	CHD5	39.126999999999995
171	XRCC5	39.101
172	CENPA	38.3115
173	HIST1H3E	37.2085
174	PHF12	36.4255
175	CHD3	36.224000000000004
176	EED	34.3215
177	WIZ	32.907
178	NCOR1	32.805
179	BCL11B	31.923000000000002
180	EHMT2	31.9075
181	CBX5	31.6065
182	ZNF219	31.4235
183	LIN52	29.722500000000004
184	MED16	29.2505
185	ZMYND8	28.619999999999997
186	HJURP	28.420499999999997
187	ARID2	28.335
188	CBX1	28.003999999999998
189	H3F3A	27.903499999999998
190	EHMT1	27.8045
191	ZNF296	27.021000000000004
192	CIC	23.7135
193	BAZ1A	21.1025
194	ADNP	20.8125
195	SOX2	20.512999999999998
196	NDFIP1	20.0995
197	WWP1	19.899
198	NKX2-1	19.497999999999998
199	SSRP1	18.793
200	LIG3	18.497
201	APLF	18.3945
202	XRCC1	18.197499999999998
203	PARP2	18.096
204	EMX2	17.9965
205	XPC	17.894
206	CHD1L	17.7925
207	DNMT1	17.7095
208	SUPT16H	17.691499999999998
209	RNF146	17.592
210	POLB	17.494999999999997
211	HIST2H2AA4	17.29
212	HIST2H2AB	17.188499999999998
213	RPA2	17.0895
214	CETN2	16.887
215	HIST1H3B	16.7875
216	WDR76	16.5855
217	ING1	16.417
218	TCF20	16.409
219	HMGN4	16.384
220	H2AFY2	16.283
221	HIST1H2AE	16.1815
222	HIST1H2BA	16.0825
223	TONSL	15.982
224	MMS22L	15.881
225	SMAD3	15.841
226	H3F3B	15.7775
227	MCM4	15.678
228	HIST2H2AC	15.5835
229	HIST1H4I	15.4785
230	HIST1H2BJ	15.38
231	HIST1H2BI	15.279499999999999
232	PPM1G	15.1805
233	PHF14	15.078999999999999
234	HIST1H2AM	14.873500000000002
235	GON4L	14.773
236	MIER1	14.6725
237	HIST1H2BE	14.5745
238	HIST2H3PS2	14.476499999999998
239	MCM2	14.375499999999999
240	HIST1H3I	14.277000000000001
241	HIST1H2AG	14.175
242	HIST1H3F	14.075999999999999
243	HIST3H2BB	13.972
244	CFDP1	13.871500000000001
245	C16orf87	13.77
246	MIER3	13.6695
247	CDYL	13.568999999999999
248	ATRX	13.166999999999998
249	HIST1H4K	13.065999999999999
250	HIST1H4F	12.9665
251	ING2	12.215
252	ZNF644	12.158
253	HIST1H4L	12.0655
254	ASF1B	11.9645
255	HIST1H4B	11.764
256	MCM6	11.671
257	MCM7	11.563500000000001
258	ZBTB7A	11.406
259	NFATC2	11.4015
260	HIST1H3J	11.356
261	HDGF	11.2545
262	HIST1H3H	11.1575
263	NASP	11.056999999999999
264	DDB1	10.9055
265	HIST2H4A	10.855500000000001
266	DAXX	10.754999999999999
267	HIST1H4C	10.454
268	TRIM24	10.352
269	HIST1H3G	10.253
270	IPO4	10.1525
271	HIST1H3C	10.0515
272	DNAJC9	9.951
273	ITGA4	9.863
274	RIOK1	9.750499999999999
275	HIST4H4	9.65
276	ZCCHC10	9.545
277	CHAMP1	9.4495
278	MCM5	9.3705
279	POGZ	9.2485
280	HIRA	9.148
281	HMG20A	4.3235
282	ZNF330	3.8205
283	ZBTB2	3.3175
284	SUV39H1	2.414
285	EP400	2.3135000000000003
286	UHRF1	2.209
287	DNMT3B	2.1079999999999997
288	DNMT3A	2.0085
289	BAZ2A	1.9075
290	PYHIN1	1.8045000000000002
291	RSF1	1.7055
292	BAZ1B	1.605
293	TFAP4	1.6019999999999999
294	RAD18	1.502
295	TOP2A	1.4095
296	CD3EAP	1.3125
297	NR2C2	1.3119999999999998
298	TOP2B	1.103
299	RFC1	1.0115
300	CIT	0.9039999999999999
301	TRIM28	0.8065
302	WHSC1	0.7070000000000001
303	ANP32E	0.6105
304	EP300	0.5005
305	KDM1A	0.40599999999999997
306	RNF2	0.31
307	GIPC1	0.0995
308	NDFIP2	0.098
309	XRCC4	0.096
310	RFC4	0.0465
311	SIRT6	0.046
312	E2F1	0.044
313	SMARCD1	0.034499999999999996
314	RAD21	0.013000000000000001
315	SMC1A	0.011
316	GTF2I	0.0035000000000000005
317	NR2C1	0.003
318	RPA1	0.0015
319	TOP1	0.001
