rank	node	rank_score
1	NR0B2	180.0
2	RXRG	138.7995
3	NR1H3	137.899
4	RXRA	137.8985
5	NR1H2	136.698
6	RARA	136.6975
7	NCOA3	135.197
8	NCOA1	134.0955
9	VDR	133.796
10	NCOR1	133.09650000000002
11	PPARA	132.994
12	RXRB	132.2945
13	RARG	131.695
14	NCOR2	130.99349999999998
15	PPARD	129.493
16	NCOA6	128.99200000000002
17	NR1H4	128.8915
18	NCOA2	128.1925
19	THRB	127.09099999999998
20	PPARGC1A	126.3905
21	NRIP1	125.69000000000001
22	HNF4A	124.7895
23	ESRRA	124.48899999999999
24	RARB	122.8885
25	THRA	122.6865
26	PSMC5	122.388
27	HDAC3	119.4835
28	UBE2I	119.2855
29	CREBBP	118.78400000000002
30	EP300	118.48150000000001
31	SRF	117.383
32	SP1	116.282
33	AR	115.38250000000001
34	RELA	115.181
35	NFKB1	114.38050000000001
36	JUN	114.38
37	PML	112.57849999999999
38	CEBPB	112.4795
39	KLF5	111.279
40	FOS	110.8765
41	STAT1	109.577
42	PIAS1	109.4775
43	HDAC1	108.176
44	SMAD3	107.07249999999999
45	ETS1	105.571
46	CEBPA	104.97350000000002
47	NR3C1	103.978
48	MDM2	102.875
49	TBP	102.67550000000001
50	RB1	102.274
51	TP53	102.07300000000001
52	E2F1	101.2745
53	ATF3	101.2715
54	HIF1A	101.27000000000001
55	KAT2B	100.7705
56	STAT3	100.4695
57	SMARCA4	100.172
58	RUNX2	99.96900000000001
59	HDAC4	98.36449999999999
60	ESR1	96.167
61	TDG	96.16499999999999
62	KAT5	95.3665
63	MAPK1	95.0675
64	NR4A1	94.96849999999999
65	MYOD1	93.7655
66	MED1	92.687
67	BCL3	92.066
68	ZBTB16	90.0615
69	SMARCA2	89.56800000000001
70	DNMT3L	89.5635
71	CREB1	89.364
72	PARP1	89.161
73	CDKN1A	88.2595
74	FOXO1	87.35900000000001
75	CARM1	87.26
76	PGR	86.463
77	BRCA1	85.8095
78	HDAC2	85.55850000000001
79	CCND1	85.062
80	CTNNB1	85.026
81	POU1F1	84.386
82	TP73	83.85799999999999
83	SUMO1	80.857
84	ZBTB7A	80.654
85	DAXX	79.7565
86	SMAD4	79.6555
87	E2F4	79.4515
88	SP3	79.0575
89	AKT1	79.0545
90	PLAGL1	78.856
91	ATF2	77.1625
92	DNMT1	76.45349999999999
93	PIAS2	76.155
94	RUNX1	74.851
95	CTBP1	74.252
96	SMAD2	74.25
97	NFATC1	71.3505
98	SMARCC1	70.0495
99	ARID1A	69.049
100	NR1I3	68.7875
101	SMARCC2	67.9485
102	SMARCE1	67.248
103	SMARCD3	66.1465
104	SIN3A	65.5475
105	SMARCB1	65.047
106	EZH2	63.945499999999996
107	FLI1	63.746
108	RELB	63.745000000000005
109	SMARCD2	61.74400000000001
110	SS18	61.2435
111	SS18L1	60.343
112	SMARCD1	59.5425
113	DDIT3	58.241499999999995
114	ACTL6A	57.840999999999994
115	DPF1	57.3405
116	FHL2	56.94449999999999
117	MYC	56.93150000000001
118	POU2F1	56.1605
119	ARID1B	55.239
120	ARID2	55.2385
121	TBL1XR1	54.04200000000001
122	DPF3	53.939499999999995
123	GLTSCR1	53.2375
124	BCL7A	53.138
125	DPF2	52.637
126	BRD9	51.6365
127	PHF10	51.236000000000004
128	PBRM1	51.0355
129	BCL7C	49.535000000000004
130	TP53BP1	49.132
131	STK11IP	48.834500000000006
132	BCL7B	48.034000000000006
133	CIITA	47.7685
134	SS18L2	47.3335
135	EPAS1	46.533
136	TRIM28	46.506
137	ING1	46.04
138	TEX13B	45.6325
139	HDAC5	44.523
140	BRD4	43.6365
141	HIST1H4A	42.0315
142	KMT2A	41.722
143	NR2C1	40.923500000000004
144	PRDX1	39.899
145	TANGO2	39.2995
146	NFE2L2	39.1295
147	KDM1A	39.0215
148	XRCC6	38.313
149	RBBP4	37.9225
150	SOX2	37.023
151	TOP2B	36.727999999999994
152	KPNA2	36.230000000000004
153	YY1	35.028499999999994
154	NR4A2	34.685
155	SFPQ	34.626
156	VCP	31.8385
157	KPNA1	30.127499999999998
158	GATA1	29.6305
159	HIST1H3A	29.215999999999998
160	GTF2I	28.825
161	MTA2	28.519
162	SUZ12	27.714999999999996
163	CHD7	26.314
164	SMARCA5	25.6175
165	NFATC2	25.419999999999998
166	PRKDC	24.218
167	CEBPD	23.253999999999998
168	BRD7	22.726499999999998
169	CIC	22.517000000000003
170	RBBP7	22.3125
171	MTA1	21.2135
172	CHD3	20.3155
173	GSK3B	20.258499999999998
174	JUND	20.227
175	DAZAP1	19.8975
176	PRDX2	19.798
177	GAPDH	19.5985
178	FUS	19.541999999999998
179	CFL1	19.397
180	PPIA	19.195
181	XRCC5	19.1185
182	PRDX5	19.0955
183	LDHA	18.8945
184	ASH2L	18.824
185	ENO1	18.7915
186	LDHB	18.692500000000003
187	PKM	18.596
188	CHD4	18.512999999999998
189	PPT1	18.4345
190	YWHAQ	18.3965
191	PRPF8	18.293
192	PARK7	18.1935
193	TPI1	18.092
194	UBE2M	17.9905
195	PRDX6	17.89
196	YWHAZ	17.731
197	PGK1	17.689
198	HUWE1	17.551499999999997
199	KAT2A	17.5165
200	AGR2	17.4895
201	TKT	17.391
202	ALDOA	17.2885
203	PIH1D1	17.184
204	EFTUD2	17.072
205	AAR2	16.988
206	HSD17B10	16.8835
207	TAGLN2	16.7845
208	RBBP5	16.7225
209	TAF6	16.712
210	MBD3	16.7115
211	SPR	16.687
212	TBL1X	16.631
213	MIF	16.5865
214	GATAD2A	16.5105
215	PCMT1	16.4715
216	HCFC1	16.4185
217	NME1	16.3405
218	EEF2	16.2535
219	MCM2	16.174
220	SAP30	16.11
221	ITGA4	16.0245
222	PINK1	15.972999999999999
223	PARK2	15.881499999999999
224	TXN	15.782
225	DNM1L	15.655000000000001
226	PAICS	15.4495
227	HIST1H2BB	15.414499999999999
228	CDK2	15.370500000000002
229	HSPE1	15.286000000000001
230	BPTF	15.2095
231	ATXN3	15.139500000000002
232	PFN1	15.069999999999999
233	FASN	14.947
234	HSP90AA1	14.838
235	VCAM1	14.629499999999998
236	HSP90AB1	14.5415
237	HNRNPA1	14.437000000000001
238	PHB	14.341
239	HSPA9	14.248500000000002
240	PCBP1	14.128499999999999
241	HEXIM1	14.05
242	BIRC3	13.958000000000002
243	PRDX3	13.8625
244	STIP1	13.780000000000001
245	RECQL4	13.6375
246	EEF1G	13.533000000000001
247	NPM1	13.4235
248	SIN3B	13.4085
249	EEF1B2	13.3305
250	YWHAE	13.228
251	YAP1	13.146
252	RBM39	13.0435
253	ATP5A1	12.9355
254	MDH2	12.857499999999998
255	PSMA3	12.736
256	NAA40	12.6695
257	ATP5B	12.535
258	EEF1A1	12.4265
259	GATAD2B	12.409
260	HNRNPK	12.329
261	TFCP2	12.243
262	SETD7	12.157
263	CCT8	12.1125
264	LGALS9	12.019
265	HMGXB4	11.9075
266	CCT3	11.806999999999999
267	HDAC6	11.722
268	EIF4A1	11.621500000000001
269	HSPD1	11.539
270	HSPA4	11.34
271	BRD2	11.211
272	TCP1	11.208499999999999
273	CCT2	11.1105
274	TUBB	11.011
275	METTL14	10.945
276	CUL7	10.727
277	HSPA5	10.644
278	U2AF2	10.5525
279	HSPA8	10.434000000000001
280	TARDBP	10.33
281	DDX39B	10.2675
282	UFL1	10.020999999999999
283	CCT4	9.908
284	CDC73	9.8255
285	PHGDH	9.724
286	DDRGK1	9.617
287	RIN3	9.3155
288	SMARCA1	9.006499999999999
289	HSPH1	8.949
290	HNRNPA2B1	8.8275
291	FAF1	8.714
292	RPS3	8.6145
293	MTA3	8.608
294	MBD2	8.607
295	SAP130	8.605500000000001
296	CUL1	8.416500000000001
297	SUDS3	8.405
298	RPS4X	8.315000000000001
299	SUMO2	8.268
300	FOXK2	8.216
301	CUL3	8.1065
302	C17orf49	8.106
303	NTRK1	7.9475
304	CKB	7.856999999999999
305	HIST3H3	7.717499999999999
306	SLC25A5	7.705500000000001
307	CAND1	7.618
308	RPS15A	7.403499999999999
309	MEPCE	7.3015
310	RPSA	7.218500000000001
311	ASF1A	7.1155
312	RPL9	7.101999999999999
313	RPS3A	7.003
314	NDN	6.907500000000001
315	RPL7	6.8025
316	RPL12	6.601000000000001
