rank	node	rank_score
1	GRIN1	180.0
2	GRIN2A	179.099
3	GRIN2B	177.9985
4	GRIN3A	177.498
5	NETO1	176.39749999999998
6	GRIN3B	175.397
7	DLG4	174.2965
8	DLG2	172.09449999999998
9	DLG3	170.995
10	DLGAP1	170.594
11	DLG1	168.2935
12	GUCY1A2	168.193
13	KCNJ12	166.692
14	LIN7A	165.69099999999997
15	KCNJ4	164.7895
16	LIN7B	163.88899999999998
17	CASK	162.99
18	DLGAP2	162.5915
19	DLGAP4	161.2905
20	LIN7C	160.3885
21	APBA1	159.488
22	ARHGEF26	158.3875
23	PXDC1	157.887
24	KCNA4	156.1925
25	MPP7	155.6865
26	KIF26B	155.186
27	SNTB2	154.6855
28	MTMR2	153.185
29	SNTA1	152.2845
30	BAI1	151.38400000000001
31	DUSP10	146.38299999999998
32	ERBB4	146.08350000000002
33	NOS1	142.379
34	DMD	141.5785
35	SNTB1	141.078
36	DTNB	139.8775
37	SNTG2	138.977
38	UTRN	138.07649999999998
39	DTNA	137.076
40	PLEKHA2	135.77550000000002
41	SNTG1	135.775
42	TAGAP	134.6745
43	CTNNAL1	133.574
44	TNS1	132.57350000000002
45	TNS3	131.273
46	SHANK2	131.18
47	ADRA1D	130.872
48	TENC1	130.3725
49	SPZ1	128.871
50	MPP3	126.66749999999999
51	GRIN2C	125.7655
52	EPB41L4A	124.67049999999999
53	MPP5	122.77000000000001
54	MPDZ	122.06949999999999
55	ERBB2IP	120.46700000000001
56	INADL	119.369
57	FLOT1	117.668
58	OCLN	115.76399999999998
59	C11orf52	115.4625
60	PARD3	114.16300000000001
61	PLEKHA1	113.4635
62	CAV1	112.06599999999999
63	RHOB	111.6645
64	LYN	109.2615
65	FAM171B	108.76199999999999
66	MARK2	107.9605
67	FAM171A1	107.061
68	DNAJC5	106.75999999999999
69	MLLT4	105.15650000000001
70	PKP4	104.752
71	CTNNA1	103.6575
72	CXADR	102.259
73	USP6NL	101.85499999999999
74	MARCKS	100.65599999999999
75	SCRIB	100.644
76	KIAA0754	100.4585
77	FYN	100.196
78	GAB1	99.957
79	EFR3B	99.55550000000001
80	FRS2	99.1575
81	GJA1	98.05799999999999
82	KRAS	97.45450000000001
83	MAGI2	96.9805
84	KCNA3	96.68199999999999
85	KCNA5	96.4825
86	DLGAP3	95.67949999999999
87	PHACTR4	94.9455
88	ZDHHC5	94.354
89	ANKRD26	93.051
90	RAB35	92.8515
91	LPHN2	89.3535
92	ZFPL1	88.25
93	GRASP	87.9995
94	DIRAS3	87.053
95	PTK2B	86.3955
96	LCK	86.047
97	LAMTOR1	84.3485
98	STX7	84.1445
99	CDC42BPA	84.049
100	C15orf59	83.0745
101	RPS6KA1	82.7715
102	ZGPAT	82.474
103	SLC19A1	80.4505
104	MARK3	80.441
105	KCNA2	79.5815
106	NUMB	79.3425
107	KCNA1	79.08099999999999
108	STX6	78.2435
109	PSD3	78.0525
110	UNC5B	77.24300000000001
111	PRKCA	76.8965
112	NRAS	76.44500000000001
113	LLGL1	75.8475
114	EFR3A	74.7495
115	FAM171A2	74.146
116	TMEM17	72.84200000000001
117	PALM2	72.6285
118	CPNE8	71.9405
119	FAM129B	69.94149999999999
120	CTNND1	69.33500000000001
121	ARF6	69.24
122	SLC6A8	67.8395
123	EBAG9	67.2385
124	SNAP23	66.737
125	STX4	66.63550000000001
126	GJD3	66.4375
127	PTPN13	64.7595
128	SLC6A15	64.339
129	HRAS	64.034
130	SLC38A2	62.43299999999999
131	ADD3	62.129999999999995
132	RASAL2	61.938
133	KIRREL	61.834500000000006
134	PALM	61.548
135	FAM135A	61.431
136	LAMP1	60.63250000000001
137	DSC2	59.8335
138	PPFIBP1	59.136
139	DSG2	58.82950000000001
140	APLP1	58.297000000000004
141	EFNB2	56.93150000000001
142	PLCH1	55.846500000000006
143	ROR2	55.528
144	LSR	55.032
145	WWC1	53.867000000000004
146	RAB2A	52.630500000000005
147	CRHR1	52.3685
148	ATP2B1	51.629
149	EZR	49.006
150	RAB11A	48.927499999999995
151	VANGL2	48.536500000000004
152	SLC4A7	47.725
153	SLC38A1	46.025999999999996
154	PEAK1	45.2055
155	VANGL1	44.8255
156	MARVELD2	44.527
157	PVRL2	44.0265
158	SLC7A5	43.623000000000005
159	LAMP2	43.424
160	ATP2B4	41.964999999999996
161	SLC39A14	40.1245
162	LMAN1	39.423500000000004
163	CDCA3	39.0205
164	SLC30A1	38.522000000000006
165	SCAMP1	37.822500000000005
166	LAMP3	35.22
167	RAB5A	35.0215
168	FAM83B	34.42100000000001
169	ADRB1	32.4745
170	STEAP3	32.1195
171	RAB9A	31.418
172	KIDINS220	30.8025
173	DNAJC5B	29.819
174	WDR6	29.7185
175	EPHA2	28.615999999999996
176	SPRY4	28.4175
177	RAB5C	27.716499999999996
178	FERMT2	27.617
179	EFNB1	25.3155
180	SLC39A6	23.913999999999998
181	FLOT2	19.9115
182	GRM7	19.196
183	GRIP1	19.0955
184	DEPDC1B	18.509
185	GRIK2	18.3915
186	SLC3A2	18.11
187	B3GAT1	17.911
188	RPS6KA2	17.313
189	PANX1	17.112000000000002
190	SLC39A10	16.5135
191	GRIA1	15.881499999999999
192	CACNG2	15.781
193	GRIA2	15.6805
194	NUMBL	15.500499999999999
195	GRID2	15.2775
196	GRIK5	15.177000000000001
197	TGOLN2	14.9095
198	RAB4A	14.4085
199	TMEM2	14.315000000000001
200	ABLIM1	13.5695
201	MPP2	13.4665
202	CD99	13.210500000000001
203	PCDH7	13.13
204	ITGB1	12.6065
205	YKT6	12.0075
206	CDH1	10.501999999999999
207	GPRIN1	9.947
208	RELL1	9.9145
209	YES1	9.2015
210	VAMP2	9.008
211	CASKIN2	8.743
212	SLC1A5	8.0045
213	TMEM216	7.906999999999999
214	VPS45	6.005
215	MCAM	5.7125
216	VAMP3	5.603
217	RAB3B	5.204
218	CPD	4.8035
219	PKP2	2.718
220	KIAA1549	2.401
221	BASP1	2.1079999999999997
222	ACBD3	2.0065
223	ADCY9	1.903
224	ARHGAP1	1.8060000000000003
225	EHBP1	1.8054999999999999
226	CTDSPL	0.8045
227	ESYT2	0.6035
228	JPH1	0.6025
229	UBIAD1	0.6015
230	SLC20A2	0.10200000000000001
231	GRIK1	0.0945
232	MPP6	0.0665
233	CNTNAP2	0.066
234	RHPN1	0.0655
235	ERBB2	0.063
236	PLEKHA5	0.033
237	FLVCR1	0.0005
