rank	node	rank_score
1	JUN	174.29749999999999
2	KLF5	174.1
3	NCOA1	173.19650000000001
4	PPARGC1A	172.3955
5	NCOA6	172.297
6	NCOA3	172.199
7	CREBBP	171.3985
8	HNF4A	168.993
9	RXRA	168.0915
10	VDR	167.0895
11	NCOR1	165.4905
12	NCOA2	165.298
13	NCOR2	163.891
14	SMAD3	163.5685
15	SP1	163.4845
16	EP300	162.196
17	PPARG	162.0865
18	NR0B2	160.4855
19	FOS	158.7935
20	ETS1	157.8945
21	RARA	157.6885
22	NRIP1	151.7815
23	TBP	150.092
24	PML	149.4755
25	RELA	147.27
26	PIAS1	146.683
27	UBE2I	146.2825
28	HDAC3	146.174
29	NR1H2	146.0875
30	RB1	144.065
31	HDAC1	142.9705
32	SIRT1	142.2795
33	NFKB1	142.17350000000002
34	SRF	142.161
35	NR3C1	141.686
36	ETS2	139.695
37	NR1H4	139.6925
38	KAT2B	139.685
39	NR1H3	139.3805
40	HIF1A	137.96800000000002
41	NR4A2	137.689
42	SMARCA4	137.673
43	MDM2	134.675
44	ZBTB16	132.2625
45	STAT3	131.767
46	TDG	131.156
47	MED1	131.084
48	E2F1	131.08350000000002
49	HDAC4	129.676
50	MYOD1	128.171
51	RUNX2	126.25900000000001
52	STAT1	125.27649999999998
53	BRCA1	122.3655
54	KAT5	121.46
55	PPARD	119.9675
56	SMARCA2	118.172
57	RXRG	117.388
58	SPI1	117.29
59	HDAC2	117.1635
60	ATF3	116.853
61	ZBTB7A	116.851
62	CREB1	115.6605
63	THRB	115.487
64	CIITA	115.277
65	PARP1	113.96199999999999
66	SP3	111.86300000000001
67	CARM1	110.949
68	BCL3	110.769
69	SIN3A	109.747
70	ESRRA	109.2725
71	RUNX1	108.87150000000001
72	HIST1H4A	105.7485
73	TP73	105.5565
74	PGR	104.7515
75	PPARA	99.681
76	CTNNB1	99.136
77	RARB	98.58
78	PLAGL1	97.3615
79	SMAD4	92.04650000000001
80	CDKN1A	91.952
81	CTBP1	91.926
82	DAXX	91.1425
83	EZH2	90.058
84	NR4A1	89.64200000000001
85	SMARCC1	89.545
86	DNMT1	89.1505
87	FOXO1	86.4405
88	MYC	85.755
89	SUMO1	84.55550000000001
90	SMARCE1	84.4365
91	DNMT3L	84.4295
92	KDM1A	81.7475
93	GSK3B	81.22749999999999
94	NFATC1	80.14099999999999
95	FHL2	80.0205
96	NR2C1	79.6525
97	CCND1	78.0595
98	MSL3P1	77.89
99	SMAD2	76.554
100	SMARCC2	75.44300000000001
101	ARID1A	74.744
102	SMARCB1	72.8445
103	E2F4	72.8305
104	TP53BP1	72.52799999999999
105	TBL1XR1	71.735
106	NFE2L2	70.0495
107	THRA	69.5395
108	GTF2I	68.9605
109	BRD4	68.43350000000001
110	AKT1	68.038
111	ETV1	67.894
112	GATA3	67.62899999999999
113	BCL6	66.27250000000001
114	RXRB	65.97749999999999
115	YY1	65.902
116	ANIB1	64.89099999999999
117	XRCC6	64.71549999999999
118	HDAC5	63.029999999999994
119	KAT2A	61.8255
120	SOX2	59.41700000000001
121	AHR	58.92100000000001
122	SFPQ	57.309000000000005
123	TRIM28	56.218
124	MYB	56.004999999999995
125	POU2F1	55.65
126	HIST1H3A	55.323
127	CEBPD	54.064499999999995
128	PIN1	53.5535
129	SMARCD2	52.73299999999999
130	PHOX2A	52.465999999999994
131	SMARCD1	51.841499999999996
132	RBBP4	51.748000000000005
133	ATF2	50.126999999999995
134	KMT2A	49.3435
135	FLI1	47.0325
136	PRKDC	46.503499999999995
137	ARNT	44.924
138	PIAS2	44.4535
139	EPAS1	44.3245
140	SMARCA5	43.316500000000005
141	SMARCD3	43.138999999999996
142	CIC	43.108
143	CHD3	43.022000000000006
144	SRY	42.959500000000006
145	XRCC5	42.915
146	GATA1	42.628499999999995
147	TAF6	41.946
148	POU1F1	41.182
149	NR1I3	40.564
150	ERCC2	40.0995
151	CSNK2A1	39.957499999999996
152	GPS2	39.6695
153	EDF1	39.499
154	ACKR3	38.8
155	SS18	37.923500000000004
156	MAFK	36.9545
157	SREBF1	36.278
158	HSP90AA1	36.1125
159	ACTL6A	34.6225
160	PRDM2	34.4215
161	HCFC1	34.326499999999996
162	TOP2B	34.052499999999995
163	PRMT1	33.242000000000004
164	SPIB	33.178999999999995
165	FOXO3	31.9455
166	SUZ12	31.2305
167	PSMC5	30.178499999999996
168	NFATC2	30.025
169	RBBP7	28.610500000000002
170	RELB	28.5385
171	ASH2L	28.103499999999997
172	SS18L1	28.0125
173	MTA2	27.145
174	DDIT3	27.131
175	USP7	26.339999999999996
176	DPF2	25.32
177	CHD4	25.3045
178	TFAP2A	25.1445
179	NFYB	24.05
180	RBBP5	23.8065
181	DDX5	23.505000000000003
182	TRIM25	22.8285
183	HIST3H3	21.5005
184	TFAP2C	21.131
185	ING1	20.5375
186	JUND	20.1285
187	SETD7	20.0265
188	FOXO4	19.5345
189	FOXK2	19.301499999999997
190	MTA1	19.238
191	TADA3	19.006
192	ROBO4	18.682
193	ARID2	18.413
194	DPF1	18.412
195	PBRM1	17.819499999999998
196	NR2F6	17.4955
197	GLTSCR1	17.008499999999998
198	CITED2	16.514
199	MBD3	16.0275
200	ARID1B	16.014499999999998
201	RARG	15.6745
202	SIN3B	15.428
203	DDB1	15.404
204	BPTF	15.323500000000001
