rank	node	rank_score
1	AKT1	179.7
2	HSP90AB1	178.49949999999998
3	CTNNB1	178.4985
4	SRC	177.299
5	STUB1	175.998
6	ERBB2	175.1975
7	RAF1	173.397
8	HSP90AA1	173.096
9	ARNT	170.7955
10	HSPA4	170.19650000000001
11	MAP2K3	169.995
12	MAP2K5	168.794
13	CDK6	168.6935
14	EPHA2	167.193
15	CDKN2B	165.49200000000002
16	GLIS2	165.3915
17	STK11	164.39249999999998
18	HGF	164.19099999999997
19	CDK4	162.5895
20	FGFR4	162.19
21	CCND2	160.0885
22	TERT	159.4905
23	TEAD2	159.089
24	BECN1	157.08800000000002
25	RASSF1	157.087
26	CDKN2A	156.9875
27	GRM1	155.3865
28	NF2	155.38600000000002
29	CD44	154.3855
30	KDELR2	152.3845
31	PDGFRA	151.0825
32	HSPA1A	150.59449999999998
33	CDKN2C	150.183
34	CBLC	150.08350000000002
35	MAP3K5	149.48499999999999
36	CCNE1	149.182
37	MAP2K6	147.88400000000001
38	FZR1	146.7815
39	MYC	145.68099999999998
40	CDC37	145.0795
41	ARAF	144.78050000000002
42	KAT2A	144.18
43	TSC1	142.579
44	IGF1R	141.476
45	AURKA	141.27849999999998
46	MAPK14	140.578
47	HSPA8	138.775
48	TP53	138.177
49	RELA	138.17649999999998
50	GSK3B	131.574
51	HSPA5	129.754
52	MAPK3	129.473
53	SP1	129.17350000000002
54	MDM2	127.6745
55	MAPK1	127.17249999999999
56	EEF2	126.56949999999999
57	MAP2K1	125.07150000000001
58	HSPA9	122.6605
59	MDM4	121.67750000000001
60	TUBB	120.97
61	TTYH2	119.87550000000002
62	HDAC6	113.256
63	SHC1	113.069
64	HSPB1	109.146
65	HSPA6	108.6665
66	CAD	107.8145
67	DNAJA2	107.26849999999999
68	PRKCZ	106.3635
69	PTEN	106.019
70	PTK6	105.96100000000001
71	DNAJA1	103.8655
72	YWHAE	101.3115
73	HSPH1	100.86749999999999
74	BRCA1	100.56649999999999
75	YWHAZ	98.438
76	LCK	93.866
77	TUBB4B	86.5535
78	PKM	84.271
79	SMAD3	83.8705
80	VCP	83.8465
81	GAPDH	83.32000000000001
82	CBL	80.7585
83	EGFR	79.1615
84	JUP	77.7505
85	ABL1	77.261
86	CSK	76.065
87	SOCS1	74.963
88	ERBB3	70.9595
89	MAPK7	67.6215
90	USP11	67.225
91	MAPT	64.52950000000001
92	PTK2	63.972
93	YWHAQ	63.414
94	FASN	62.9005
95	HUWE1	62.112
96	HSPA1L	61.508500000000005
97	YAP1	61.1375
98	GRB2	60.654999999999994
99	CDKN1A	60.46900000000001
100	ARRB1	60.41949999999999
101	RB1	60.272000000000006
102	RASA1	58.3645
103	RIN3	57.71
104	PXN	57.064
105	PARK2	56.411
106	PIK3R1	54.856500000000004
107	RPS6KA1	54.612
108	CCND1	53.964999999999996
109	ATXN3	53.0125
110	FYN	52.851
111	ATP5A1	52.508500000000005
112	CRK	52.056
113	NPM1	52.0095
114	GRB10	50.852
115	TUBA1C	50.602
116	JAK2	50.552499999999995
117	CDK1	49.8685
118	PHB	49.818
119	PSMC5	48.935500000000005
120	PIK3CA	48.8555
121	IRS1	47.1515
122	METTL3	46.507999999999996
123	PIK3R2	46.2495
124	ESRRB	44.6015
125	SLC25A3	44.301
126	IRS4	41.947500000000005
127	SNAI1	41.7235
128	RPS6KA3	41.321
129	PRPF8	41.213499999999996
130	BAG2	40.958
131	CCT2	40.832499999999996
132	TCP1	40.134
133	MATK	39.3485
134	EEF1A1	38.821000000000005
135	CCT8	38.33
136	HDAC1	37.9655
137	CCT4	37.8315
138	ERBB4	37.549
139	CCT6A	37.5295
140	ZAP70	36.647000000000006
141	PLCG1	34.9465
142	KIT	34.6445
143	CCT5	34.628
144	SYK	34.5455
145	STAT3	34.064499999999995
146	VAV1	33.745999999999995
147	TUBG1	33.2065
148	MCM2	32.9245
149	HEXIM1	32.726
150	CCT3	32.6265
151	EFTUD2	32.5025
152	TUBA1B	32.036500000000004
153	CCT7	31.7255
154	CYLD	30.6305
155	TRIM28	30.628499999999995
156	PPP6C	30.526999999999997
157	TUBA4A	29.827499999999997
158	TUBB6	29.225
159	SOX4	28.9735
160	FUS	28.831
161	CDK2	28.5525
162	PSMA3	27.221500000000002
163	RPS3	27.2075
164	UBE2M	27.115
165	CDK9	27.027499999999996
166	HCK	26.744
167	TUBA1A	26.432
168	RUVBL1	26.313
169	NME1	25.619
170	SLC25A5	25.532999999999998
171	PTK2B	25.0435
172	PLCG2	24.945
173	TUBB2A	24.5225
174	AXL	24.4285
175	CBLB	24.343
176	YES1	24.3425
177	RUVBL2	24.017000000000003
178	HSPD1	23.910500000000003
179	AAR2	23.8185
180	ITK	23.641
181	CRKL	23.242
182	SPRTN	23.118000000000002
183	GAB1	22.9415
184	GAB2	22.9405
185	LYN	22.94
186	SLC25A1	22.717000000000002
187	PCBP1	22.610500000000002
188	DOK1	22.339499999999997
189	RBM39	22.304
190	SOCS3	21.838
191	FGR	21.538999999999998
192	BLK	21.5375
193	FAF1	21.405
194	RPS4X	21.106
195	NOS2	20.521
196	HDAC5	20.415
197	PIK3R3	19.837
198	BTK	19.8345
199	TEC	19.734
200	ABL2	19.636000000000003
201	HSP90AB3P	19.535
202	PDGFRB	19.435499999999998
203	CLTC	19.110500000000002
204	SH2D2A	19.0365
205	PRKDC	18.8365
206	UBC	18.801
207	ILK	18.722
208	TUBB4A	18.1235
209	JAK1	17.932499999999997
210	TFCP2	17.904500000000002
211	CSF1R	17.831
212	SLA	17.828
213	SOS1	17.7315
214	BLNK	17.5335
215	PINK1	17.502000000000002
216	PTPN6	17.133
217	PECAM1	16.6275
218	NCK1	16.5305
219	RPL23	16.216
220	LCP2	16.130000000000003
221	TNK2	15.9295
222	RECQL4	15.005500000000001
223	BCR	14.732
224	CUL1	14.7215
225	PIH1D1	14.613499999999998
226	SHB	14.328999999999999
227	LARP7	14.301499999999999
228	SQSTM1	14.047
229	PPP2R1A	13.7035
230	HNRNPK	13.626
231	EEF1G	13.609
232	NEDD4	13.0255
233	BRD4	12.9345
234	KHDRBS1	12.626
235	RET	12.4265
236	NTRK1	12.4225
237	EEF1B2	12.209999999999999
238	ANKRD55	12.2075
239	DDX5	11.747499999999999
240	CUL3	11.7095
241	ATP5B	10.8195
242	LRRK1	10.725
243	CAV1	10.624500000000001
244	ENO1	10.604
245	TARDBP	10.309000000000001
246	SNCA	10.306999999999999
247	LDHA	10.2025
248	FRS2	10.0205
249	INSR	9.9235
250	RPS15A	9.8035
251	GNB2L1	9.709999999999999
252	INPPL1	9.623000000000001
253	MAPK8	9.462
254	WAS	9.427000000000001
255	CREBBP	9.3675
256	JUN	9.166
257	CDH1	8.8155
258	HNRNPA1	8.7065
259	RPS3A	8.6005
260	YWHAB	8.516
261	FBXO6	8.3085
262	YWHAG	8.116499999999998
263	IRS2	7.9174999999999995
264	SH3KBP1	7.5200000000000005
265	RPS6KB2	7.424000000000001
266	ARHGAP32	6.917
267	PRDX2	6.715999999999999
268	DDX17	6.4245
269	METTL14	6.015
270	WDR5	5.807
271	PCBP2	5.3095
272	MEPCE	4.805
273	NCL	4.4055
274	HNRNPD	3.8239999999999994
275	CAND1	3.6060000000000003
276	TP73	3.1635
277	RPS16	3.0065
278	CUL2	2.81
279	RPL7	2.7045000000000003
280	RPL12	2.4035
281	EP300	2.3625
282	RPL24	2.104
283	RPL5	1.802
