rank	node	rank_score
1	HSP90AA1	180.1
2	AKT1	178.59949999999998
3	STAT3	178.299
4	TP53	176.8985
5	HSPA4	175.4975
6	MAP2K3	174.597
7	MAP2K5	171.8965
8	CDKN2B	170.5955
9	SIRT1	169.698
10	LATS2	168.7945
11	EPHA2	168.195
12	HGF	167.494
13	GLIS2	166.5935
14	STK11	165.293
15	SMAD3	164.696
16	ARNT	163.99
17	CDKN2A	163.4925
18	FGFR4	162.29149999999998
19	CCND2	161.8895
20	TEAD2	161.49200000000002
21	BECN1	161.2905
22	HSPA1A	160.7815
23	CDK4	160.59099999999998
24	NF2	159.589
25	ERBB2	158.18699999999998
26	RAF1	156.888
27	CDKN2C	156.1885
28	GRM1	155.1875
29	CDK1	154.178
30	RASSF1	153.9865
31	CD44	153.086
32	CBLC	153.0855
33	CCNE1	151.9845
34	RB1	151.97750000000002
35	KDELR2	151.685
36	HSP90AB1	150.28050000000002
37	MAP3K5	149.08350000000002
38	KAT2A	148.18400000000003
39	MAP2K6	147.683
40	MAPK14	147.5825
41	ARAF	146.281
42	CDKN1A	144.077
43	RELA	143.982
44	CDC37	143.68
45	AURKA	140.9795
46	CTNNB1	138.4785
47	FZR1	138.17649999999998
48	IGF1R	136.374
49	SP1	135.27550000000002
50	HSPA8	134.87449999999998
51	AR	134.576
52	MDM2	134.375
53	GNB2L1	134.368
54	STUB1	132.3735
55	EP300	130.56900000000002
56	SRC	126.76399999999998
57	SMARCA4	126.372
58	HDAC1	126.07249999999999
59	JUN	124.06949999999999
60	VHL	123.96599999999998
61	TSC1	123.479
62	CREBBP	122.46849999999999
63	E2F1	120.7675
64	TP73	119.6635
65	KAT2B	119.2655
66	PRKDC	117.773
67	HSPB1	116.17150000000001
68	SKP2	115.16199999999999
69	HDAC3	114.665
70	IKBKB	113.96300000000001
71	RUNX2	113.9615
72	DDX5	112.76700000000001
73	CHUK	112.061
74	CSNK2A1	111.556
75	CCND1	111.1625
76	PPARG	106.55799999999999
77	BRCA1	106.2595
78	UBE2I	105.9505
79	STAT1	105.5495
80	MAPK1	103.55850000000001
81	NCOA3	102.55999999999999
82	YWHAZ	102.17
83	CEBPB	102.157
84	GSK3B	100.6705
85	NCOR2	99.65650000000001
86	PIAS1	99.35
87	HSPA9	98.75750000000001
88	RARA	98.35900000000001
89	EZH2	97.7665
90	ABL1	96.148
91	KAT5	94.453
92	E2F4	93.15450000000001
93	DNMT1	92.75399999999999
94	PARP1	92.149
95	ESR1	91.5515
96	HDAC2	91.155
97	PKM	90.971
98	PIN1	90.1555
99	NFKB1	88.9465
100	SMAD2	87.6445
101	TRIM28	87.452
102	KLF5	87.444
103	RXRA	86.045
104	HDAC4	83.84549999999999
105	XRCC6	83.5485
106	PCNA	82.651
107	ATF3	79.542
108	SQSTM1	78.74
109	NFKBIA	78.546
110	MYOD1	77.7645
111	VDR	77.5405
112	NR4A1	77.143
113	CUL4A	76.947
114	MAPT	74.935
115	HSPA5	74.73400000000001
116	XRCC5	73.941
117	YAP1	73.639
118	PGR	72.9425
119	CEBPA	72.44149999999999
120	HDAC6	71.236
121	SMARCA2	69.8385
122	SOX4	68.369
123	SMARCC1	67.3355
124	EGFR	64.7365
125	RBBP4	61.338
126	FUS	60.5345
127	NCOA1	58.629999999999995
128	FOS	58.229
129	DDB1	57.84349999999999
130	NCOA6	57.029500000000006
131	HNRNPD	56.83299999999999
132	YY1	54.724000000000004
133	CDK9	53.223
134	GAPDH	52.932500000000005
135	BCL3	51.528
136	HDAC5	51.230999999999995
137	CDKN1C	50.7605
138	TP63	50.332
139	HIST1H4A	50.1235
140	PPP1CA	49.4205
141	VCP	49.2315
142	RUVBL2	49.221000000000004
143	MAPK3	48.827
144	TUBB	47.0265
145	USP7	46.937
146	CDKN1B	46.5475
147	PRKCZ	45.525999999999996
148	BAG2	45.5255
149	NPM1	45.1245
150	NCL	43.922000000000004
151	DDX17	43.419
152	HNRNPK	40.0225
153	DHX9	38.6175
154	PRPF8	38.2195
155	EEF1A1	38.117000000000004
156	HUWE1	36.92
157	SNAI1	36.5185
158	COPS5	35.9285
159	CUL1	35.721500000000006
160	USP11	35.715999999999994
161	MAP2K1	35.3275
162	CIC	35.3155
163	PTEN	34.7115
164	CHEK1	32.23350000000001
165	EEF2	31.216499999999996
166	ZBTB7A	31.033499999999997
167	CCNA2	30.452499999999997
168	RBL1	28.353499999999997
169	UHRF2	26.9395
170	RUVBL1	26.508500000000005
171	METTL3	26.4125
172	PHB	24.314
173	TARDBP	23.915
174	CAD	23.911
175	YWHAQ	23.818
176	ETS1	22.532999999999998
177	SFPQ	20.9055
178	PCBP1	19.8095
179	UBC	19.5145
180	WDR5	18.713
181	PARK2	18.310499999999998
182	DNAJA1	18.2135
183	EFTUD2	17.5065
184	TUBB4B	17.307499999999997
185	U2AF2	17.105
186	RBM39	16.407
187	NFIC	15.877
188	GLIS1	15.776
189	HNRNPM	15.601499999999998
190	MATR3	14.504500000000002
191	ATP5A1	14.012
192	BRAF	13.875499999999999
193	CHD4	12.4095
194	PTBP1	12.4035
195	NONO	12.4005
196	HSF1	12.325
197	ATXN3	12.009
198	BTRC	11.5305
199	RPA1	11.406
200	HNRNPA1	11.404
201	EWSR1	10.602
202	HNRNPA2B1	10.601
203	POLR2A	7.8155
204	NBN	7.6235
205	YWHAE	7.608
206	FOXO3	7.5375
207	CUL4B	7.402500000000001
208	MCM2	6.9030000000000005
209	RPA2	6.6075
210	DAXX	6.526999999999999
211	FANCD2	5.3004999999999995
212	HIST1H3A	5.2275
213	SMARCA5	5.1295
214	CREB1	4.931
215	ATM	4.817
216	SUMO2	4.5135
217	HIST1H2BB	4.0245
218	H2AFX	3.9215000000000004
219	MCM7	3.715
220	DDX3X	3.0085
221	MCM5	2.8055
222	CHD3	2.6100000000000003
223	HNRNPU	2.6045000000000003
224	MRE11A	2.524
225	SMARCC2	2.3280000000000003
226	RPS3	2.31
227	HEXIM1	2.109
228	SNRNP200	2.005
229	ILF3	1.807
230	TAF15	1.5055
231	SMC1A	1.4064999999999999
232	FASN	1.306
233	SNW1	0.9125
234	SIN3A	0.8285
235	PABPC1	0.8039999999999999
236	WWP2	0.712
237	SMC3	0.706
238	DHX15	0.4035
239	HNRNPR	0.30300000000000005
240	FBXW7	0.10049999999999999
241	TTYH2	0.079
242	NFATC1	0.0305
243	HNF4A	0.028999999999999998
244	TOP2A	0.026000000000000002
245	HCFC1	0.0165
246	MSH2	0.0115
247	ERCC6	0.009
248	TOP2B	0.0075
249	TOP1	0.003
250	CAND1	0.0025
251	ILF2	0.001
252	EED	0.001
