rank	node	rank_score
1	GJA3	180.0
2	CNST	179.09949999999998
3	TFE3	177.899
4	TFEC	176.9985
5	TFEB	176.098
6	GPNMB	174.9975
7	PSG2	156.597
8	GJC1	154.59650000000002
9	SLC18A1	153.596
10	MFSD6	133.19549999999998
11	APOL3	113.495
12	GPR152	113.19449999999999
13	LHFPL5	111.394
14	GJA8	110.48949999999999
15	SLC39A2	110.3905
16	MS4A13	109.79099999999998
17	LAT	109.292
18	SLC16A2	109.2915
19	TMEM237	107.29249999999999
20	PNLIPRP1	107.29
21	TMEM60	107.08899999999998
22	GPR42	106.7885
23	SMCO4	105.78800000000001
24	SLC30A2	104.18699999999998
25	SLC38A7	103.8865
26	FFAR2	102.8875
27	YIPF6	101.786
28	SLC35C2	100.88250000000001
29	SSMEM1	100.7835
30	TMEM86A	100.584
31	LEPROTL1	98.783
32	FAM209A	97.58500000000001
33	AQP2	97.1855
34	EBP	96.2805
35	FXYD3	96.1815
36	CXCL16	95.3845
37	AQP6	94.8785
38	MFSD5	94.78
39	CD79A	94.5775
40	LPAR3	93.3765
41	CREB3L1	93.181
42	FXYD6	92.37899999999999
43	PQLC2	91.8905
44	ERGIC3	89.7755
45	SLC10A6	89.17150000000001
46	TMEM218	87.265
47	TMEM14B	86.676
48	TMEM128	86.6735
49	MFF	86.172
50	BTN2A2	85.968
51	TMEM203	85.6745
52	CD53	85.2655
53	TSPO2	85.0625
54	SMIM1	84.473
55	RTP2	84.2695
56	TUSC5	83.854
57	JAGN1	83.3725
58	TMEM86B	83.17
59	CCDC167	82.477
60	TMEM52B	82.46900000000001
61	CNIH1	81.2645
62	CYB561	81.174
63	TMEM107	80.6685
64	NRM	79.56
65	TMEM97	79.067
66	CLDN7	77.764
67	GPX8	76.7675
68	FCER1G	76.6545
69	PAPPA2	76.5985
70	NINJ2	76.55850000000001
71	CCL4L2	76.37950000000001
72	CPLX4	75.8605
73	C17orf62	75.259
74	BIK	74.062
75	ARL13B	73.861
76	GPR151	73.853
77	PLP1	72.87100000000001
78	TMEM229B	72.8595
79	TMX2	72.6665
80	KIR2DL3	72.55799999999999
81	TMEM42	72.275
82	GPR37L1	71.5635
83	IGFBP5	71.563
84	SLC35B4	69.2935
85	PLN	69.25750000000001
86	TMEM254	69.1615
87	STX8	68.5705
88	PDZK1IP1	68.056
89	TMEM243	67.457
90	TMEM31	66.45349999999999
91	ELOVL4	65.7565
92	TMEM239	65.478
93	FAXDC2	65.35499999999999
94	HSD17B13	64.75550000000001
95	PLP2	63.7525
96	ITGAM	61.5495
97	CDIPT	61.3515
98	CLDND2	59.749
99	SLC7A1	58.6395
100	C14orf1	57.9505
101	FAM134C	57.751999999999995
102	MUC1	57.05
103	GIMAP5	56.04449999999999
104	SERP1	54.9365
105	BMP10	54.6315
106	SLC30A8	54.045
107	THBD	53.9485
108	UPK1B	53.38199999999999
109	NAT8	52.8375
110	SERP2	52.4465
111	TMEM14C	52.347
112	LMNA	51.74300000000001
113	CREB3	51.5475
114	TMEM11	51.444
115	APOD	51.141
116	GIMAP1	51.038
117	MGST3	50.8415
118	SCN3B	50.745999999999995
119	GJB5	50.028499999999994
120	AIG1	49.94
121	FAM3C	49.8425
122	CYP4F2	49.048
123	C14orf180	48.951
124	UNC50	48.0385
