rank	node	rank_score
1	DARS	179.7
2	RARS	178.2995
3	EPRS	177.998
4	MARS	176.799
5	IARS	176.79850000000002
6	QARS	175.1975
7	LARS	174.297
8	KARS	173.3965
9	AIMP2	172.496
10	AIMP1	170.69549999999998
11	MIR15A	168.49349999999998
12	MIR34C	168.1925
13	IGF2BP3	166.3875
14	DDX1	165.6885
15	HNRNPA2B1	165.193
16	MIR7-2	164.6905
17	MIR199A1	163.9915
18	RTCB	162.685
19	MIR20B	160.189
20	MIR107	159.3895
21	MATR3	159.0865
22	MIR138-2	158.186
23	MIR122	158.08800000000002
24	FUS	157.987
25	YBX3	157.38299999999998
26	PTBP1	155.59
27	MIR128-1	155.4835
28	DDX3X	154.572
29	MIR205	153.682
30	HNRNPA0	153.092
31	MIR451A	152.2855
32	HNRNPM	151.2845
33	MIR9-3	148.88400000000001
34	HNRNPK	147.791
35	MIR214	147.5805
36	MIR106A	147.578
37	HNRNPA1	146.1815
38	HNRNPH2	145.88
39	MIRLET7F1	145.779
40	MIR19B2	144.7795
41	HNRNPH3	144.381
42	MIRLET7A2	142.075
43	HNRNPF	141.77849999999998
44	MIR140	141.5825
45	MIRLET7C	139.37449999999998
46	MIR31	138.677
47	HNRNPR	138.376
48	HNRNPA3	137.6775
49	SYNCRIP	135.274
50	MIR128-2	134.27249999999998
51	SFPQ	133.9755
52	MIR7-3	132.07049999999998
53	TAF15	131.4735
54	MIR200A	130.7685
55	MIR29C	130.2765
56	MIR25	130.07150000000001
57	IGF2BP2	130.071
58	MIR138-1	127.973
59	MIR1-2	125.968
60	IGF2BP1	125.36949999999999
61	EIF2AK2	125.36599999999999
62	MIRLET7A3	124.4665
63	RBM14	123.2675
64	MIR221	122.369
65	MIR92A2	121.77000000000001
66	LARP7	121.56700000000001
67	MIR7-1	120.56500000000001
68	UTP20	118.36449999999999
69	MIR93	116.7625
70	MIR19B1	116.26399999999998
71	MIR199A2	114.9615
72	SF3B1	114.86100000000002
73	CIAPIN1	113.995
74	TRA2B	113.862
75	APOBEC3B	113.85900000000001
76	MIR9-1	111.55999999999999
77	MIR17	110.8605
78	MIRLET7F2	108.96549999999999
79	MIR18B	108.8585
80	MIRLET7E	108.66300000000001
81	FAM98A	108.3635
82	PUF60	108.15950000000001
83	MIR29A	105.65799999999999
84	SF3B3	104.4555
85	MIR21	104.155
86	MIR143	103.75750000000001
87	NONO	103.15450000000001
88	MIR20A	102.856
89	MIR10B	100.65650000000001
90	DHX36	100.25699999999999
91	MIR34B	97.9525
92	MSI2	96.753
93	MIR16-2	96.454
94	MIR29B2	95.644
95	MIR15B	94.3535
96	PDCD11	94.05199999999999
97	MIR92A1	93.2415
98	NOL6	92.8515
99	LRPPRC	91.237
100	SF3B2	90.9485
101	MIR363	90.8505
102	MIR1-1	90.45
103	MIRLET7I	89.951
104	LIN28A	88.849
105	MIR141	88.146
106	MIR200C	88.0495
107	MIRLET7A1	87.7475
108	YBX1	85.647
109	UPF1	85.54650000000001
110	MIR155	84.548
111	MIR19A	84.44500000000001
112	MIR222	81.24549999999999
113	RBM4	81.1445
114	PTBP3	78.843
115	MIR106B	78.7435
116	MIR29B1	77.6425
117	DDX21	76.84200000000001
118	EEF1E1	75.59400000000001
119	MIR16-1	75.14099999999999
120	RBFOX2	74.6405
121	MIRLET7G	73.239
122	TRA2A	72.34
123	MIR9-2	71.73949999999999
124	SUGP2	71.4385
125	C9orf114	69.638
126	U2SURP	68.7375
127	G3BP2	67.6365
128	SF3B4	66.436
129	ZNF346	65.7355
130	DHX37	64.535
131	RTCA	63.734500000000004
132	KNOP1	62.3325
133	NUDT21	62.134
134	CELF1	61.73350000000001
135	PRMT1	60.43299999999999
136	HNRNPH1	59.331999999999994
137	YBX2	58.43150000000001
138	ZFR	57.230999999999995
139	PUM1	56.93050000000001
140	C1QBP	55.73
141	PURA	54.82950000000001
142	LIN28B	53.928999999999995
143	STRBP	53.028499999999994
144	SF3A1	52.128
145	HNRNPL	51.2275
146	ADARB1	50.1265
147	PLOD1	49.626999999999995
148	CPSF1	48.525999999999996
149	ERAL1	47.6255
150	AQR	46.625
151	NUDT16L1	45.423500000000004
152	ESRP1	45.224000000000004
153	ATXN2L	44.2245
154	NUFIP2	43.123000000000005
155	MYEF2	41.722500000000004
156	RBMS2	41.022000000000006
157	SYMPK	40.9215
158	MSI1	39.621
159	RBM39	38.820499999999996
160	GRSF1	36.918
161	CAND1	35.7175
162	RC3H1	34.619
163	WWP2	34.3195
164	PAPD4	34.12
165	SNRNP70	34.1185
166	STAU1	33.717
167	PHB	32.116
168	ZC3H18	30.916499999999996
169	CUL3	29.015499999999996
170	EDC4	28.7125
171	CPSF6	28.615
172	RC3H2	26.5135
173	RIOK1	25.211000000000002
174	HNRNPC	25.1145
175	CDC5L	21.81
176	NR2C2	21.313
177	U2AF2	18.910500000000003
178	ILF2	18.807499999999997
179	DDRGK1	18.314
180	RBM45	16.707
181	UFL1	16.5115
182	RBMX	16.4095
183	PUM2	16.305
184	TARDBP	15.909
185	PCBP1	15.907999999999998
186	ELAVL2	15.306000000000001
187	FAM98B	15.112
188	HNRNPUL2	14.8065
189	EFTUD2	14.008500000000002
190	PABPC1	11.7055
191	FAM120A	11.6045
192	FZR1	11.203
193	ILF3	8.003499999999999
194	SRSF3	7.203999999999999
195	MKRN1	4.9025
196	RALY	3.5015
197	HNRNPD	3.3004999999999995
198	CUL7	2.8035
199	SF3A3	2.6100000000000003
200	SRSF1	2.6025
201	DHX9	2.602
202	DDX5	1.9045
203	OBSL1	1.301
204	HNRNPU	0.40199999999999997
205	CUL1	0.3115
206	SRC	0.0945
207	CHD3	0.001
208	COPS5	0.001
209	SRRM2	0.0005
210	EIF4A3	0.0005
