rank	node	rank_score
1	GSN	173.8985
2	CAPZA2	172.098
3	MYO1C	171.89749999999998
4	IQGAP1	171.3995
5	MYH9	170.699
6	DBN1	168.3965
7	MYO19	166.4925
8	SYNPO	166.0955
9	NEXN	165.7905
10	FLNA	164.993
11	ARHGAP11A	164.196
12	LIMA1	162.8915
13	TMOD3	162.48600000000002
14	AFAP1	159.3795
15	MYO18A	158.7945
16	MYO5C	158.788
17	ACTC1	158.579
18	TPRN	157.092
19	PPP1CB	156.689
20	COBL	156.28699999999998
21	PLEKHG3	155.69
22	SSH2	153.2935
23	KIF14	152.38150000000002
24	SIPA1	146.19099999999997
25	SVIL	145.8875
26	MYO1B	145.7895
27	ECT2	144.6825
28	ACTR2	143.483
29	TMOD1	143.1885
30	ACTB	142.881
31	CAPZB	142.2855
32	SPECC1	140.98
33	NUPR1	139.97150000000002
34	CFL2	139.276
35	AKAP2	137.9675
36	ARPC5L	137.17649999999998
37	MYO1E	135.175
38	FLII	134.977
39	CHMP4B	134.685
40	ARPC3	134.482
41	SORBS2	131.994
42	PPP1CC	131.484
43	LRRFIP2	130.5805
44	ARPC4	130.571
45	PPP1R12A	130.16500000000002
46	FGD5	129.874
47	LUZP1	127.9835
48	MPRIP	127.773
49	RAI14	125.96549999999999
50	ARPC2	125.67350000000002
51	ARPC1B	124.772
52	ACTR3	123.9775
53	KIF20A	123.36399999999999
54	CIT	123.2635
55	PAN2	122.36949999999999
56	SH3BGRL	119.67
57	SPTAN1	119.5865
58	CAPZA1	119.57449999999999
59	PDLIM7	117.3665
60	BTF3	117.0755
61	MYO5A	116.769
62	PPP1CA	115.957
63	CTTN	113.95900000000002
64	KIF23	113.6415
65	MISP	112.2645
66	GPRC5A	111.76599999999999
67	SPTBN1	111.46700000000001
68	VMP1	110.96100000000001
69	FLNB	110.6685
70	ABRA	110.27849999999998
71	KIAA1429	109.0845
72	CORO1B	107.56800000000001
73	CORO1C	107.3625
74	TRIM37	106.578
75	CFL1	104.4605
76	CDK9	103.4585
77	LMO7	103.149
78	SPECC1L	102.86300000000001
79	ABLIM1	102.55999999999999
80	WDR1	101.3575
81	DAPK3	99.433
82	CDK2	99.262
83	PRC1	96.747
84	SEPT9	95.1405
85	MAPRE1	93.2475
86	TPM4	92.856
87	ESR2	91.955
88	CORO2A	91.8615
89	PLEC	91.045
90	CDH1	91.0445
91	TES	89.239
92	DDX39B	88.4595
93	MYL6	87.9525
94	ACTN1	86.841
95	ACTG1	86.5565
96	MYO6	86.5355
97	USP14	84.85799999999999
98	CTNNB1	84.8555
99	TPM1	84.744
100	CLTC	83.834
101	ISG15	83.45349999999999
102	PPP1R18	83.3365
103	ARHGAP21	80.9285
104	MYL12B	80.338
105	SSFA2	79.054
106	MYL6B	79.048
107	CALM1	78.9495
108	MYO5B	78.8705
109	SSH1	78.1985
110	TWF1	76.651
111	DSG2	76.546
112	TPM2	76.1465
113	EZR	75.74300000000001
114	TJP1	75.44
115	ARHGEF17	75.297
116	TMPO	73.8385
117	PPP1R9A	72.1725
118	TPM3	71.5395
119	CPM	70.36
120	CHMP4C	69.9485
121	RPA1	69.85
122	BMP2K	69.225
123	SPTBN2	68.8265
124	RDX	67.3515
125	FLOT1	67.13250000000001
126	ANXA2	66.9505
127	PPP1R9B	66.6455
128	AHNAK	66.0435
129	STON2	65.505
130	CFTR	64.242
131	BASP1	62.152
132	NUDCD2	60.129999999999995
133	EGFR	60.0
134	AP2A1	59.935
135	CD55	59.7
136	YAP1	58.0345
137	TRIM25	56.8035
138	KIAA1671	56.410000000000004
139	ESR1	54.75450000000001
140	MYH11	53.137
141	KIAA1211	49.917
142	SCARB2	47.118
143	SIPA1L3	46.832
144	CALD1	45.827999999999996
145	CLTA	45.531
146	PLEKHA4	44.8055
147	SEC16A	43.0245
148	GNG12	42.7315
149	TMOD2	41.515499999999996
150	DYRK1A	41.329
151	ARPC5	40.153
152	RAD18	40.1225
153	EFTUD2	39.613
154	REG3A	39.397000000000006
155	KCTD9P2	37.6985
156	AR	37.5305
157	CLINT1	37.126999999999995
158	RPA2	35.733
159	JUP	35.423
160	CLTB	35.027499999999996
161	ACTBL2	34.034000000000006
162	ZBTB20	33.793
163	VIM	33.706
164	RPA3	28.319499999999998
165	AP2B1	28.2125
166	CD59	27.336000000000002
167	CLEC4D	27.121500000000005
168	EPS15	27.106
169	NAA40	27.0115
170	LIMCH1	26.8425
171	MYH14	26.222
172	DST	25.903499999999998
173	AURKB	25.32
174	OBSL1	24.737000000000002
175	AP2M1	23.224
176	MYL9	22.4095
177	EFHD2	22.315
178	DAB2	21.221
179	PICALM	20.603
180	MMP9	20.0995
181	FAM186A	19.9975
182	BLID	19.799500000000002
183	MME	19.299500000000002
184	C2orf61	18.593
185	AP2A2	18.5045
186	DHX15	18.502
187	DIXDC1	18.294999999999998
188	KBTBD3	17.8975
189	SQSTM1	17.720499999999998
190	MYC	17.4025
191	MACF1	16.805500000000002
192	PRPF8	16.7085
193	PACSIN3	16.520500000000002
194	CCDC8	16.209
195	MYL12A	16.0375
196	YWHAE	15.306999999999999
197	HSPB1	15.219
198	FLOT2	14.309999999999999
199	PIK3C2A	14.219
200	RBM39	13.502500000000001
201	SRRM2	13.004500000000002
202	ARPC4-TTLL3	12.825999999999999
203	DHX9	12.8065
204	HSP90AB1	12.501
205	MYO1D	12.0205
206	VCP	11.7115
207	GAK	11.32
208	DSTN	11.005500000000001
209	PRKDC	10.617
210	ZYX	10.515
211	PINK1	9.709
212	YWHAB	9.6155
213	LIMD2	9.462
214	LRRK2	8.813500000000001
215	TJP2	8.1145
216	CLEC4E	7.8255
217	DSP	7.601999999999999
218	ACTA1	7.3215
219	NACA	7.001
220	ATP5A1	6.414499999999999
221	CUL7	6.1105
222	TFCP2	5.904
223	HIST1H4A	5.6125
224	RPL12	5.5009999999999994
225	PCBP2	5.3015
226	TWF2	5.276
227	IFITM3	5.218500000000001
228	GAPDH	5.1125
229	OCLM	4.8295
230	MCM2	4.6075
231	DDX17	4.507
232	G3BP1	4.4005
233	YWHAQ	4.1165
234	TP53	4.107
235	RUVBL2	3.415
236	PFN1	3.1225
237	CD109	2.8175
238	MSN	2.808
239	BRCA1	2.7235
240	XRCC5	2.714
241	PRDX1	2.5025
