rank	node	rank_score
1	IRS1	169.8945
2	AKT1	164.69
3	SOCS3	147.2825
4	GRB2	146.6995
5	PTPN11	140.6935
6	IGF1R	133.7835
7	PIK3R1	133.28699999999998
8	SOCS1	130.268
9	EGFR	129.8865
10	ERBB2	127.38050000000001
11	CBL	126.48499999999999
12	SHC1	125.28400000000002
13	JAK2	124.88550000000001
14	SRC	122.981
15	PRKCD	121.69500000000001
16	JAK1	120.875
17	AR	119.66900000000001
18	NCF1	119.199
19	STAT3	119.07750000000001
20	CSF2RB	119.04749999999999
21	EPOR	117.8915
22	PTK2B	117.38
23	HSP90AA1	115.471
24	SH2B1	111.69850000000001
25	PTK2	110.18299999999999
26	PLCG1	110.18199999999999
27	SYK	108.476
28	KIT	106.772
29	PTPN6	105.579
30	ABL1	104.9695
31	ERBB4	102.97350000000002
32	MET	102.87550000000002
33	TEC	102.2715
34	ERBB3	102.0795
35	LCK	101.9595
36	GRB10	101.929
37	DOK1	101.565
38	CSK	101.3465
39	HSPA4	101.34049999999999
40	CSF1R	100.76599999999999
41	PLCG2	99.8705
42	VAV1	99.36699999999999
43	GAB1	98.5765
44	PIK3R2	97.974
45	LYN	97.373
46	FLT3	96.7505
47	SH2B2	96.498
48	RASA1	96.26849999999999
49	GSK3B	95.606
50	IL6ST	95.277
51	FYN	94.363
52	FCGR2B	93.0975
53	HCK	92.262
54	ZAP70	92.061
55	ITK	91.8625
56	BLNK	91.3725
57	PIK3R3	91.36449999999999
58	SHB	91.2585
59	LCP2	90.5525
60	PTK6	90.039
61	CRKL	89.2745
62	CBLB	89.16749999999999
63	YWHAZ	88.74249999999999
64	PIK3CA	86.99300000000001
65	CRK	86.664
66	CDC37	86.4315
67	PDGFRB	85.678
68	SH3BP2	84.558
69	HSP90AB1	84.034
70	SHC4	83.786
71	VAV3	83.6615
72	SH2D2A	83.46549999999999
73	ABL2	82.9665
74	FGR	82.15650000000001
75	NCK1	81.856
76	YES1	81.6635
77	TEK	81.5455
78	HSPA8	81.5165
79	SOS1	80.66
80	ELF1	79.1
81	PPP2R4	78.5965
82	BTK	78.5605
83	MAPT	78.238
84	KHDRBS1	77.85900000000001
85	FGFR1	77.3575
86	SLA	76.941
87	MTOR	75.8925
88	EP300	75.59700000000001
89	WAS	73.8555
90	CTNNB1	73.43050000000001
91	IL2RB	73.4075
92	THEMIS	73.093
93	TNK2	72.647
94	GAB2	70.949
95	INPP5D	70.8875
96	MATK	70.751
97	HSPB1	68.9365
98	RAF1	68.628
99	HSP90AB3P	67.533
100	FES	66.9485
101	HSPA9	66.6415
102	HSPA1A	66.227
103	LAT	65.94449999999999
104	STUB1	65.9115
105	GHR	65.21000000000001
106	SH2B3	64.95349999999999
107	HSH2D	64.845
108	MST1R	64.2285
109	NCK2	63.657
110	HSPA5	63.13199999999999
111	PXN	61.64200000000001
112	PRKCZ	61.612
113	BCR	61.043000000000006
114	GRAP2	60.946000000000005
115	NTRK1	60.089
116	INPPL1	59.537
117	GLTPD2	59.1995
118	SH3KBP1	58.95399999999999
119	PRKCA	58.396
120	NTRK2	57.036
121	KDR	56.6235
122	SOCS2	56.23
123	BLK	55.834500000000006
124	TP53	55.8005
125	RET	55.278499999999994
126	CHUK	54.694
127	YWHAG	53.907
128	HSPA6	53.4175
129	SH2D1A	52.74400000000001
130	LTK	52.581500000000005
131	HDAC6	51.633500000000005
132	VCP	51.202999999999996
133	NEDD4	51.019
134	CSF3R	49.283500000000004
135	PIK3CB	48.155
136	SLA2	48.1225
137	TUBB	47.826
138	DOK2	47.748000000000005
139	ARHGAP32	47.0495
140	LRRK1	46.9255
141	CAV1	46.8515
142	TRAF6	45.707499999999996
143	PECAM1	45.35
144	FASLG	44.852999999999994
145	MAPK3	44.818
146	FRS2	44.7435
147	PTPN12	43.8245
148	MAPK7	42.7025
149	PLEKHA4	42.519999999999996
150	BCAR1	42.2295
151	STAT5A	41.9505
152	GAB3	38.726
153	GCKR	38.596500000000006
154	STAP1	38.435
155	TXK	37.831
156	PDPK1	37.2895
157	MAP3K11	34.793
158	VAV2	34.2545
159	RASGRP3	34.090999999999994
160	RPS6KA3	33.513
161	FLT1	33.4215
162	MAP2K1	32.3185
163	STAT1	31.860500000000002
164	YWHAE	30.873
165	IRS4	27.93
166	PRKCE	26.0135
167	SKAP2	25.6125
168	BRAF	25.6055
169	MAPK1	24.223
170	SH2D1B	24.005000000000003
171	FGFR2	23.8145
172	KIAA1429	23.669999999999998
173	SHC3	23.5325
174	CDH1	23.0065
175	PAG1	22.539499999999997
176	GAREM	22.44
177	GNB2L1	22.4025
178	ITGB3	22.2105
179	STAT5B	21.842
180	ARAF	21.304
181	YWHAB	21.0655
182	BAG2	20.4095
183	ATP5A1	20.301
184	ASAP1	20.222
185	PTPN20B	20.142500000000002
186	UBASH3B	19.9285
187	SIRPA	19.7065
188	DTX1	19.694499999999998
189	PPP1CA	19.4945
190	TNS1	19.438499999999998
191	DDX58	19.397
192	LINC01558	19.2905
193	ESR1	19.091
194	TP73	19.0845
195	DMRTC1	18.9975
196	CDK1	18.621
197	ELAVL1	18.5955
198	ZDHHC23	18.592
199	GJA9	18.499000000000002
200	NFYB	18.494
201	SGK1	18.4805
202	ZDHHC18	18.288
203	APP	17.999000000000002
204	YWHAQ	17.9685
205	MAP3K5	17.9585
206	PRKCQ	17.892500000000002
207	NFYA	17.8855
208	IKBKB	17.794
209	SRY	17.683
210	AKAP12	17.607499999999998
211	FCGR1B	17.5845
212	CD247	17.535
213	JAK3	16.865000000000002
214	IL4R	16.69
215	JUP	16.225
216	ALK	16.1085
217	MAP3K3	15.827000000000002
218	MDM2	15.776999999999997
219	UBC	15.7015
220	GAS5	15.688999999999998
221	SQSTM1	15.3205
222	HSPH1	15.304499999999999
223	AXL	14.515
224	FRK	13.806999999999999
225	TUBB4B	13.761000000000001
226	EPHA2	13.7195
227	CAD	13.6755
228	FER	13.612
229	IKBKG	13.228
230	GRB14	13.136500000000002
231	SOCS6	12.823500000000001
232	PRRG4	12.803
233	TRPV4	11.4045
234	MAP2K3	11.3825
235	OLIG1	11.1495
236	MYC	10.666
237	BRCA1	10.5235
238	STAP2	10.4075
239	PAK1	10.3045
240	TNFRSF1A	9.511
241	PAK2	8.8035
242	SGK223	8.77
243	NEDD9	8.7375
244	EFS	8.614
245	KRAS	8.524000000000001
246	BMX	8.048
247	TNS3	8.0275
248	PRKDC	7.228
249	NPM1	7.202000000000001
250	PTEN	7.0329999999999995
251	SHC2	6.808
252	SLC25A5	5.9350000000000005
253	GAPDH	5.8549999999999995
254	CBLC	5.821
255	SNCA	5.786499999999999
256	HRAS	5.652
257	MAPK8	5.6385000000000005
258	SFN	5.4055
259	ERRFI1	5.4005
260	ROS1	5.2885
261	DNAJA1	5.279
262	MAP2K5	5.276999999999999
263	TRBC2	5.144
