rank	node	rank_score
1	GGH	175.199
2	ERBB2	155.397
3	LACTBL1	137.6995
4	FGFR4	132.695
5	PDGFRA	130.897
6	PISD	119.79850000000002
7	SLC7A4	116.59349999999999
8	ABCB5	115.79549999999999
9	GRM1	109.98899999999999
10	TTYH2	97.8795
11	OR9G1	97.299
12	EPHA2	93.3945
13	CDKN2B	93.196
14	CDKN2A	92.798
15	IGF1R	92.668
16	MAP2K5	91.6895
17	HGF	90.89349999999999
18	CCND2	90.893
19	MYC	90.4105
20	RAF1	89.59
21	RASSF1	88.2905
22	MAP2K6	88.2885
23	MET	87.983
24	LATS2	87.892
25	GLIS2	87.6925
26	CDKN2C	87.6875
27	MAP2K3	87.686
28	CDK6	87.0845
29	BECN1	84.8835
30	KDELR2	84.788
31	TERT	84.69149999999999
32	CTNNB1	84.545
33	HSPA5	84.3965
34	ARNT	84.28150000000001
35	NF2	84.18199999999999
36	STK11	83.991
37	CDK4	83.685
38	AKT1	83.4825
39	CBLC	83.384
40	TEAD2	82.4865
41	HSP90AB1	82.184
42	MDM4	81.7855
43	CCNE1	81.287
44	GLIS1	79.1765
45	OTOA	78.6
46	KAT2A	78.5805
47	MAP3K5	77.481
48	TSC1	77.1775
49	FZR1	75.979
50	AURKA	75.577
51	HIF1A	74.9755
52	ARAF	74.775
53	SOX3	73.876
54	BMP8A	73.797
55	RELA	73.46900000000001
56	MAPK14	73.08
57	HSP90AA1	71.3745
58	NFIC	70.3715
59	AR	70.015
60	CDC37	69.571
61	BRAF	68.26849999999999
62	TP53	67.6785
63	ITK	67.47
64	HSPA1A	64.567
65	DNAJA2	64.0725
66	HSPA4	62.465999999999994
67	STUB1	61.9695
68	THRSP	61.4735
69	SRC	60.065
70	SHC1	59.766
71	HSPB1	59.383500000000005
72	FBXO2	58.39
73	WHSC1L1	57.6605
74	NPIPB15	56.8985
75	HSPA9	56.761
76	HSPA8	55.6635
77	SOX4	55.472
78	RB1	52.1645
79	PTK6	52.160000000000004
80	HSP90AB3P	50.7705
81	TUBB	50.4555
82	DNAJA1	49.963
83	HSPA6	48.551
84	CDK1	47.7555
85	IKBKB	47.665499999999994
86	GSK3B	47.6575
87	EGFR	46.964
88	BRCA1	45.938
89	MDM2	45.8675
90	CSK	45.849000000000004
91	SOCS1	45.653499999999994
92	CDKN1A	44.833
93	ABL1	44.637
94	YWHAE	44.333
95	NAT2	43.273
96	SP1	42.4485
97	HSPH1	42.251999999999995
98	PRKCZ	41.5435
99	CDKN1C	40.8805
100	DDB1	40.074
101	PTK2	39.661500000000004
102	LEPREL2	38.896
103	INSR	38.895500000000006
104	MAP2K1	38.648
105	BAG2	38.5565
106	LCK	38.452999999999996
107	ROS1	38.0925
108	LGALS1	37.597500000000004
109	VCP	36.6225
110	PRKDC	36.0905
111	YWHAZ	35.4055
112	CYP17A1	35.259
113	HUWE1	34.836
114	CAD	34.0395
115	JUP	33.769999999999996
116	FGFR3	32.693
117	CDK9	32.361000000000004
118	RASA1	31.5445
119	ESR1	31.1255
120	FOXO3	30.363
121	CBL	28.542
122	MAPK3	27.662
123	PSMC3IP	27.566999999999997
124	PI15	27.4945
125	EEF2	27.455000000000002
126	DNAJA4	26.85
127	HDAC6	26.717000000000002
128	PPP2R1A	26.058500000000002
129	MATK	25.548
130	YAP1	25.2275
131	PIK3CA	25.1235
132	PTPN11	24.924500000000002
133	MAP2K2	24.75
134	TRIM25	24.7215
135	TUBB4B	24.64
136	DACH1	24.162
137	PPP1CA	23.943
138	PTEN	23.9405
139	UBC	23.811
140	CCT2	23.6505
141	GRB2	23.432
142	SMAD3	22.953
143	GRB10	22.430500000000002
144	FASN	21.216
145	EFTUD2	21.1115
146	IRS4	21.103
147	ERBB3	20.3495
148	PARK2	20.2595
149	PIK3R1	20.247
150	GAPDH	20.235
151	PHB	20.019
152	PON2	19.711000000000002
153	NANOS3	19.6995
154	NPM1	19.5325
155	IQGAP1	19.3705
156	KIF20A	19.198
157	RPRML	18.895500000000002
158	CNTNAP4	18.894
159	LYZL1	18.7865
160	CCND1	18.7015
161	KIF14	18.686
162	METTL3	18.625999999999998
163	PLEKHA4	18.616
164	LRFN3	18.5985
165	FBLL1	18.592
166	PABPC1L2A	18.488999999999997
167	DNAJB9	18.467
168	ECT2	18.378
169	VHL	18.31
170	PABPC1L	18.2895
171	HS6ST2	18.231
172	FLNA	18.19
173	NAGLU	18.18
174	PRG2	18.0935
175	TRIM75P	18.0595
176	STAG3	17.985
177	STIP1	17.936500000000002
178	LY86	17.8905
179	CCT6A	17.8245
180	KIF23	17.791
181	ARSK	17.692500000000003
182	MYO1E	17.677
183	CYLD	17.657
184	LAMC3	17.596
185	CIT	17.595
186	SDF2L1	17.493000000000002
187	TOP1MT	17.474
188	TLL2	17.387
189	ANXA2	17.3815
190	DBN1	17.273500000000002
191	LIMA1	17.172
192	CFL2	17.064
193	GPR110	17.0145
194	YWHAQ	17.005000000000003
195	ANLN	16.987000000000002
196	MYH9	16.8865
197	CHST14	16.8825
198	RPL13AP3	16.7825
199	BMP1	16.768
200	SEMA6B	16.689
201	PPP1CB	16.657
202	CCT8	16.630000000000003
203	AFAP1	16.556
204	POMGNT2	16.546
205	LUZP1	16.4515
206	SEMA4G	16.429
207	MISP	16.3715
208	LOXL2	16.3695
209	USP11	16.326
210	MYO19	16.2615
211	DNASE1L1	16.256
212	KIAA1429	16.2035
213	MYO5C	16.158
214	P4HTM	16.101
215	SPECC1	16.064500000000002
216	TMEM106A	16.034
217	SYNPO	15.965
218	SLURP1	15.9475
219	PLXNA1	15.873
220	CFL1	15.8445
221	ART5	15.690999999999999
222	CHMP4B	15.6805
223	CCDC117	15.644499999999999
224	TCP1	15.631499999999999
225	CRLF1	15.594
226	MYO18A	15.5625
227	PRSS56	15.475
228	SEMA4B	15.4285
229	PKM	15.414499999999999
230	CDC20	15.4065
231	CBLN4	15.375
232	CAPZA2	15.36
233	C1orf54	15.261000000000001
234	WDR1	15.254
235	FGR	15.234
236	TOR1B	15.1685
237	NCR3	15.0815
238	TPRN	15.0685
239	CCT4	15.026499999999999
240	CCT5	15.021
241	MYO1C	14.9635
242	SEMA3C	14.943000000000001
243	BDNF	14.875499999999999
244	COBL	14.860499999999998
245	MFAP4	14.7775
246	GPR56	14.6835
247	NEXN	14.653
248	LAMA5	14.553999999999998
249	MYO1B	14.5505
250	BTNL2	14.458000000000002
251	NUPR1	14.449000000000002
252	RPS6KA3	14.4295
253	METRNL	14.374500000000001
254	PPP1R12A	14.3435
255	TMOD3	14.263
256	SFTPC	14.232499999999998
257	IDUA	14.163999999999998
258	AKAP2	14.15
259	TTC13	14.056999999999999
260	SSH2	14.029499999999999
261	PPP6C	14.029
262	GUSB	13.975999999999999
263	RAI14	13.9405
264	ACTR2	13.854499999999998
265	HCK	13.844999999999999
266	ATXN3	13.838999999999999
267	PRF1	13.8375
268	CHST12	13.736500000000001
269	TTC17	13.6595
270	SVIL	13.657499999999999
271	PPP1CC	13.5655
272	FKBP5	13.552000000000001
273	TUBA1C	13.5255
274	IL5RA	13.479
275	ABLIM1	13.4215
276	MAN2B2	13.379499999999998
277	CHUK	13.360499999999998
278	SIRPD	13.26
279	FLOT1	13.232
280	NAGA	13.181000000000001
281	CHMP4C	13.178999999999998
282	CILP2	13.077000000000002
283	DYTN	12.965
284	ARPC4	12.945500000000001
285	FIBIN	12.8625
286	SPTBN1	12.8265
287	MAPT	12.8205
288	PCSK6	12.7715
289	PLEKHG3	12.747
290	RUVBL1	12.691500000000001
291	ARHGAP21	12.628499999999999
292	GALNT5	12.628
293	CFC1	12.568999999999999
294	HSP90AB2P	12.5385
295	TMOD1	12.536
296	FBXO6	12.4855
297	GSN	12.4565
298	ACTN4	12.3665
