rank	node	rank_score
1	NCOR2	179.4
2	SOCS3	178.3995
3	STAT3	148.5925
4	AKT1	139.299
5	SIRT1	127.89850000000001
6	NCOA3	118.59099999999998
7	ZDHHC18	116.8975
8	ZDHHC23	116.297
9	MAPK1	107.628
10	PIK3CA	107.296
11	MTOR	98.19800000000001
12	NCOA1	97.096
13	RXRA	94.994
14	PPARG	94.7905
15	NCOA2	94.192
16	NCOA6	93.09349999999999
17	NR1I2	92.99249999999999
18	STAT1	92.822
19	HNF4A	92.7955
20	PPARGC1A	92.39500000000001
21	VDR	91.588
22	RARA	89.19
23	NCOR1	88.9865
24	NR1H2	88.889
25	EP300	88.3915
26	RXRG	87.48949999999999
27	NR0B2	87.4885
28	NR1H3	86.6875
29	CREBBP	86.1815
30	PPARD	85.687
31	RELA	85.0805
32	SP1	85.079
33	SMAD3	84.776
34	HDAC3	84.184
35	NFKB1	83.978
36	UBE2I	83.4825
37	SRF	83.2795
38	CEBPB	83.0775
39	PML	82.97999999999999
40	NRIP1	82.4855
41	JUN	82.4785
42	CTNNB1	82.2375
43	KLF5	82.1765
44	CHUK	81.8955
45	PIAS1	81.68199999999999
46	ETS1	80.7745
47	KAT2B	79.575
48	FOS	78.4755
49	PGR	77.056
50	NR3C1	75.2675
51	HDAC4	74.9735
52	RUNX2	74.171
53	HDAC1	73.2705
54	HIF1A	73.0715
55	RB1	72.77000000000001
56	MDM2	72.372
57	TDG	71.662
58	TBP	71.569
59	BCL3	71.4725
60	E2F1	71.2695
61	SMARCA4	70.468
62	ATF3	69.36699999999999
63	TP53	69.0685
64	CEBPA	68.9665
65	CREB1	67.966
66	KAT5	67.7655
67	MYOD1	66.865
68	ESR1	66.0625
69	FOXO1	63.6605
70	ZBTB7A	63.0615
71	DNMT3L	62.863
72	PARP1	62.7565
73	ZBTB16	62.45550000000001
74	NR1H4	60.293000000000006
75	SMAD4	59.361000000000004
76	CARM1	58.95450000000001
77	SMARCA2	58.229
78	INSR	57.895
79	PTPN11	57.49400000000001
80	GRB2	57.393499999999996
81	HDAC2	57.2525
82	PIK3R1	57.0945
83	CDKN1A	56.951499999999996
84	JAK2	56.791999999999994
85	THRB	56.585
86	DAXX	56.349000000000004
87	TP73	56.1505
88	SOCS1	56.089999999999996
89	GHR	55.991
90	SH2B1	55.9885
91	JAK1	55.7915
92	IGF1R	55.790499999999994
93	CCND1	55.751999999999995
94	E2F4	55.6635
95	MED1	55.24249999999999
96	NR5A2	54.983000000000004
97	PTK2	54.8895
98	CTBP1	54.754
99	SP3	54.3495
100	ERBB2	54.289
101	CBL	53.988
102	IL6ST	53.965999999999994
103	FHL2	53.9575
104	PIK3R2	53.885000000000005
105	SMAD2	53.85799999999999
106	RUNX1	53.852999999999994
107	RARG	53.7845
108	DNMT1	53.75
109	RXRB	53.686
110	NFATC1	53.3535
111	FOXO3	52.564
112	CEBPD	52.46
113	PLCG1	52.3865
114	SHC1	52.38099999999999
115	PIN1	52.247
116	PTK2B	52.1875
117	SRC	52.187
118	PIK3R3	51.986000000000004
119	PTPN6	51.98199999999999
120	HSP90AA1	51.76649999999999
121	MET	51.3855
122	SYK	51.3845
123	BRCA1	51.251
124	THRA	50.98350000000001
125	EPOR	50.979
126	KIT	50.884
127	GSK3B	50.6595
128	TEC	50.4805
129	ERBB3	50.383
130	GAB1	50.38
131	SH2D2A	49.883500000000005
132	ERBB4	49.6825
133	PLCG2	49.479499999999994
134	VAV1	48.9785
135	SIN3A	48.64
136	BLNK	48.178
137	LYN	47.8775
138	LCP2	47.576499999999996
139	SPI1	47.338499999999996
140	SHB	47.277
141	SMARCC1	47.03
142	ZAP70	46.9755
143	ABL1	46.675
144	DOK1	45.9745
145	RASA1	45.773
146	BCL6	45.738
147	CRK	45.574
148	CRKL	44.972
149	ITK	44.876
150	CBLB	44.7735
151	NCK1	44.472500000000004
152	HCK	44.269999999999996
153	ABL2	44.17100000000001
154	SMARCC2	44.126999999999995
155	PDGFRB	43.871500000000005
156	VAV3	43.770500000000006
157	SH3BP2	43.367
158	FYN	42.9695
159	CSF1R	42.5685
160	SOS1	42.469
161	ATF2	42.3585
162	ARID1A	42.326
163	YES1	42.068
164	FGFR1	41.5675
165	SMARCE1	41.5235
166	LAT	40.9655
167	GATA1	40.823
168	NFE2L2	40.7475
169	SMARCB1	40.6255
170	SLA	40.564
171	SH2B2	40.5545
172	GAB2	40.4645
173	LCK	40.265
174	GRAP2	40.061
175	POU2F1	40.057
176	YY1	39.845
177	HSPA5	39.842
178	CSNK2A1	39.340999999999994
179	WAS	39.062
180	BTK	38.7615
181	FLT3	38.5635
182	FGR	38.4625
183	SOCS2	38.363
184	KHDRBS1	38.1605
185	SFPQ	37.932
186	RELB	37.8155
187	NCK2	37.559000000000005
188	TNK2	37.260000000000005
189	PIAS2	37.255
190	PLAGL1	36.748000000000005
191	NTRK2	36.6585
192	SUMO1	36.548500000000004
193	SH2D1A	36.257
194	MYC	35.8415
195	SHC4	35.693
196	FASLG	35.6565
197	SMARCD2	35.621500000000005
198	RET	35.556
199	NR2C1	35.2315
200	PTK6	34.7595
201	HSPA4	34.737
202	DDIT3	34.6205
203	FLI1	34.616
204	SMARCD3	34.51649999999999
205	SMARCD1	34.42
206	EZH2	34.1295
207	SH3KBP1	34.049
208	DDX5	33.6455
209	CSK	33.558
210	MATK	33.4815
211	TFAP2A	33.443
212	HSH2D	33.251
213	ACTL6A	33.015
214	DOK2	32.955
215	FES	32.8505
216	SOX2	32.325
217	SS18	32.314499999999995
218	HSP90AB1	32.2575
219	FRS2	32.2555
220	INPP5D	31.8495
221	HSP90AB3P	31.654000000000003
222	BLK	31.653499999999998
223	INPPL1	31.648500000000002
224	STAT5A	31.646500000000003
225	SS18L1	31.6135
226	TXK	31.351499999999998
227	XRCC6	31.2435
228	GRB10	31.052
229	PECAM1	31.05
230	BCR	30.6475
231	PRKDC	30.5445
232	SKAP2	30.452999999999996
233	IL2RB	30.145999999999997
234	NFYA	30.139
235	TBL1XR1	29.921000000000003
236	STAT5B	29.845
237	LRRK1	29.548000000000002
238	ARID1B	29.5125
239	DPF1	29.511000000000003
240	JAK3	29.444499999999998
241	CD247	28.744
242	DPF2	28.713
243	TP53BP1	28.522000000000002
244	PXN	28.447000000000003
245	CDC37	28.3525
246	NFATC2	28.3225
247	NFKBIA	28.264499999999998
248	SLA2	28.2435
249	ARID2	28.0105
250	DPF3	27.809500000000003
251	EPAS1	27.7275
252	XRCC5	27.644
253	GTF2I	27.640499999999996
254	PBRM1	27.2115
255	TP63	27.039499999999997
256	KDM1A	26.927999999999997
257	GLTSCR1	26.909000000000002
258	BRD9	26.608500000000003
259	KDR	26.528499999999998
260	BCL7A	26.508
261	SH2D1B	26.443
262	OLIG1	26.041500000000003
263	ITGB3	25.925
264	PAG1	25.740999999999996
265	KAT2A	25.642000000000003
