rank	node	rank_score
1	BRCA1	180.1
2	MCM7	177.3995
3	MCM6	177.299
4	PPP1CA	177.098
5	CDK2	175.4985
6	MYL6	173.1945
7	CFL1	172.6975
8	HSP90AB1	172.19549999999998
9	JUP	171.89600000000002
10	MCM5	170.297
11	FZR1	169.695
12	DDX39B	169.1935
13	XRCC6	165.8915
14	EEF2	164.2895
15	DDX5	163.7885
16	MYH10	161.791
17	PCBP1	160.7875
18	FN1	160.5905
19	DHX9	158.788
20	EP300	158.5865
21	BRD4	157.88899999999998
22	LDHA	157.393
23	GSK3B	155.0925
24	AR	154.88400000000001
25	TKT	154.087
26	XRCC5	153.9855
27	ALDOA	153.885
28	MCM2	153.0845
29	FUS	152.2835
30	PCNA	150.88600000000002
31	GNB2L1	149.881
32	PARK2	149.5825
33	PRKDC	148.28199999999998
34	RPL12	148.07999999999998
35	DDX17	145.483
36	ANXA2	144.179
37	ATP5A1	142.87550000000002
38	HNRNPA1	142.2775
39	HIST1H4A	142.17950000000002
40	U2AF2	142.178
41	RBM39	141.8805
42	TARDBP	139.076
43	HNRNPM	138.37449999999998
44	TRIM28	138.274
45	HNRNPK	137.773
46	PABPC1	135.1715
47	RPA1	134.567
48	PRPF8	134.075
49	MCM3	133.29000000000002
50	DHX15	132.2695
51	HNRNPA2B1	130.0725
52	EFTUD2	129.8765
53	MSN	129.692
54	YWHAQ	127.37849999999999
55	METTL14	126.47350000000002
56	HNRNPD	126.0675
57	TOP1	124.97049999999999
58	CUL1	124.8595
59	PPIA	124.072
60	NPM1	124.06800000000001
61	CDK9	123.862
62	HNRNPF	121.56599999999999
63	AAR2	121.471
64	RPS4X	121.4585
65	BIRC3	121.06649999999999
66	MATR3	120.3655
67	RPA2	119.5645
68	HNRNPU	119.26500000000001
69	ITGA4	113.37
70	HNRNPA3	112.2625
71	PTBP1	111.35999999999999
72	NDN	108.26399999999998
73	SNRNP200	106.9605
74	NCL	105.356
75	ILF2	105.25699999999999
76	RPS3	102.85349999999998
77	RPS18	99.951
78	TMPO	99.059
79	RPS23	97.55199999999999
80	CHD4	97.353
81	RPL10A	94.8555
82	RPS15A	94.2465
83	RPL9	93.9525
84	RPL21	93.0495
85	STAU1	92.75750000000001
86	BTF3	92.3445
87	HSPH1	92.194
