rank	node	rank_score
1	CREBBP	180.1
2	PML	179.1995
3	PPP2CA	178.199
4	STAT1	177.29850000000002
5	MYC	143.08350000000002
6	NBN	142.4595
7	PCNA	130.053
8	EP300	129.6645
9	DDB1	129.55349999999999
10	CTNNB1	125.07649999999998
11	PRKDC	125.05250000000001
12	XRCC6	124.2515
13	XRCC5	121.84099999999998
14	CDK2	121.4625
15	RPA1	119.44449999999999
16	TRIM28	117.55499999999999
17	BRD4	112.651
18	DDX5	109.3575
19	HDAC1	109.06800000000001
20	CHEK1	107.8475
21	HIF1A	102.19300000000001
22	CDK9	100.361
23	SUMO2	99.5415
24	RPA2	99.236
25	HDAC2	98.749
26	RAF1	97.798
27	PARP1	97.5405
28	CDKN2A	97.2975
29	MRE11A	97.226
30	DDX17	96.3425
31	FANCD2	96.029
32	CDK6	95.1965
33	STK11	94.99600000000001
34	CDKN2B	93.994
35	CDK4	93.69500000000001
36	ARNT	93.392
37	GLIS2	92.5925
38	DHX9	92.035
39	FGFR4	91.0915
40	TEAD2	91.091
41	MAP2K3	91.09049999999999
42	HGF	90.8895
43	MAP2K5	90.78999999999999
44	RASSF1	90.09349999999999
45	HSP90AB1	89.19550000000001
46	EPHA2	89.089
47	MAP2K6	88.3885
48	ERBB2	87.9875
49	LATS2	87.688
50	CDKN2C	87.287
51	NF2	86.7865
52	HIST1H4A	86.5275
53	GRM1	86.186
54	BECN1	85.6855
55	HSPA4	85.178
56	PDGFRA	85.08500000000001
57	ATM	85.04549999999999
58	KDELR2	84.384
59	CD44	84.28450000000001
60	CCND1	84.26849999999999
61	CBLC	82.88250000000001
62	ARAF	82.583
63	FZR1	82.276
64	RELA	81.8815
65	HNRNPK	81.54400000000001
66	MDM4	81.38199999999999
67	AURKA	80.78099999999999
68	TSC1	79.9795
69	NCL	79.7355
70	KAT2A	79.579
71	MAPK14	79.47999999999999
72	HSP90AA1	79.38050000000001
73	MAP3K5	79.1785
74	PMS2	78.598
75	TOPBP1	78.1975
76	FUS	77.2485
77	SMAD3	76.8775
78	SP1	76.777
79	HNRNPD	76.74549999999999
80	RAD50	76.647
81	SMAD2	75.4635
82	STUB1	74.474
83	CDK1	74.3755
84	CDKN1A	73.673
85	SRC	73.475
86	E2F1	73.16499999999999
87	NPM1	72.34700000000001
88	EFTUD2	72.33099999999999
89	PCBP1	72.134
90	RFC1	71.248
91	VCP	70.897
92	JUN	70.769
93	IGF1R	70.3745
94	PRPF8	70.0365
95	AR	69.7705
96	KAT2B	69.5655
97	MDM2	69.4675
98	TP73	69.3665
99	RUVBL2	68.539
100	HSPA8	68.47200000000001
101	RPA3	68.4145
102	RB1	68.26599999999999
103	CHD4	67.622
104	GSK3B	67.4695
105	RBM39	67.4285
106	GNB2L1	67.27000000000001
107	HNRNPM	66.8315
108	MATR3	65.92999999999999
109	SIRT1	65.862
110	POLR2A	65.637
