rank	node	rank_score
1	PTGS2	179.9
2	COPS3	174.399
3	COPS7A	172.9985
4	COPS8	171.996
5	COPS5	170.49949999999998
6	COPS7B	168.9955
7	COPS2	166.193
8	ERCC8	165.9975
9	MYEOV2	165.398
10	GPS1	164.695
11	COPS4	162.9945
12	DDB2	162.894
13	LRR1	161.9855
14	FBXO17	160.18699999999998
15	COPS6	159.49099999999999
16	DDB1	158.392
17	SKP1	158.1885
18	DCAF11	157.69650000000001
19	UBE2M	156.797
20	DET1	155.888
21	NEDD8	155.7925
22	CUL5	155.2895
23	RFWD2	155.0905
24	VPRBP	150.79149999999998
25	DCAF4	150.686
26	ANKRD39	148.87849999999997
27	DCUN1D1	148.7935
28	DDA1	148.3865
29	CUL4B	147.689
30	TCEB2	147.581
31	KLHL18	146.98
32	PHIP	142.785
33	FBXW4	142.77100000000002
34	FEM1B	141.57750000000001
35	UBXN7	141.17350000000002
36	CUL2	140.983
37	CUL3	139.6825
38	BTBD2	138.4815
39	CRBN	137.89000000000001
40	PTGS1	137.696
41	DCUN1D2	135.776
42	IGHV3OR15-7	133.0805
43	DCAF4L2	129.882
44	SNRPD1	123.478
45	TCEB1	122.9645
46	RPL7AP9	122.67699999999999
47	HNRNPA2B1	121.369
48	HNRNPK	121.27649999999998
49	DTL	120.5875
50	KIAA1429	117.6
51	CAND1	116.974
52	RECQL4	116.373
53	ASB6	115.175
54	RPL36AP37	112.079
55	DDX5	110.04549999999999
56	HSPA5	107.5565
57	PCBP1	107.061
58	FUS	106.8525
59	HSP90AA1	106.56199999999998
60	BTBD1	106.55050000000001
61	RPSAP12	105.3845
62	PABPC1	104.5575
63	HNRNPD	97.356
64	NPM1	95.268
65	ARIH2	94.8605
66	DHX9	94.75399999999999
67	WDR5	94.4285
68	RBM39	90.644
69	TP53	89.564
70	HNRNPAB	89.249
71	RPL7AP27	88.9755
72	UBC	88.5495
73	HNRNPF	88.051
74	RPL21P19	86.5655
75	RPL7P32	85.9725
76	NCL	85.7675
77	HNRNPDL	85.753
78	TAF15	85.4515
79	KLHL13	84.36800000000001
80	PWP1	82.8715
81	HNRNPA1	80.2415
82	HNRNPU	79.8385
83	SLC25A5	79.35650000000001
84	PHB	78.634
85	RPLP2	77.76
86	EWSR1	77.565
87	LRRC14	76.7595
88	FBXW2	76.595
89	RNF7	75.7745
90	ILF3	75.657
91	MATR3	75.543
92	DCUN1D4	74.772
93	FANCD2	74.24449999999999
94	EFTUD2	73.3315
95	BRD4	72.66749999999999
96	RBM45	71.646
97	KLHDC3	71.48400000000001
98	KLHL42	71.46849999999999
99	RPS4X	71.3395
100	HNRNPA3	70.1485
101	HNRNPM	69.64099999999999
102	TARDBP	68.9435
103	PRPF8	67.84700000000001
104	U2AF2	64.95450000000001
105	DCUN1D3	62.06700000000001
106	SNRNP70	61.754999999999995
107	RPS7	61.439
108	HNRNPR	61.345000000000006
109	HSPA1B	61.076499999999996
110	CDK2	60.404999999999994
111	METTL14	60.335
112	AAR2	59.7355
113	ITFG1	57.745000000000005
114	HNRNPH3	57.4405
115	KLHL10	56.275
116	RPS26P54	56.0615
117	SKP2	55.5635
118	HNRNPA0	55.54200000000001
119	RPL21P16	54.364
120	RPS8	54.129999999999995
121	APBB3	53.366
122	PTBP1	52.626999999999995
123	SNORD36A	52.295500000000004
124	DDX17	52.239999999999995
125	ILF2	51.742000000000004
126	EEF1A1	51.448
127	RPS3	51.1205
128	RPS25	50.137
129	PCBP2	49.6175
130	RPL18	48.95
131	RPL6	47.6275
132	ASB2	46.3545
133	RPS3A	46.025999999999996
134	HOXB4	44.372
135	HNRNPH2	43.839999999999996
136	RPL8	43.3335
137	RPL12	43.225
138	RPL24	42.8295
139	RPL11	42.5305
140	RPS15A	41.826499999999996
141	SYNCRIP	41.3405
142	DHX15	39.931
143	RPL9	39.629000000000005
144	MYB	39.198
145	RPS23	39.132999999999996
146	ARIH1	38.864999999999995
147	HNRNPUL1	38.751999999999995
148	RPL7	38.722
149	HSP90AA2P	37.7555
150	HIST1H4A	37.635000000000005
151	PLEKHA4	37.4585
152	RPL15	37.036500000000004
153	HSPA8	36.567
154	WDR77	36.3375
155	HEXIM1	36.209
156	RPL5	35.5245
157	RPS14	35.132
158	CHD4	35.0025
159	SNRPD2	33.634
160	CUL7	33.327999999999996
161	FBXO9	32.5955
162	FBXO44	32.283500000000004
163	RPS20	32.222500000000004
164	PRDX1	30.555500000000002
165	RPLP1	30.028
166	RPS2	29.915
167	RPS16	29.834500000000002
168	FBXO7	29.453999999999997
169	SNRPA	29.336000000000002
170	RPL27	29.253499999999995
171	IRF5	28.4625
172	RPL10A	27.9115
173	RPS5	27.524
174	MEPCE	27.412
175	RPS11	26.721000000000004
176	RPL22	26.4255
177	BTRC	26.357
178	RPL21	26.2175
179	RPS18	25.4235
180	DCAF8	25.179499999999997
181	RPL4	24.942500000000003
182	RPL14	24.416500000000003
183	PKM	23.669999999999998
184	RPSA	23.5155
185	RHOBTB1	22.963
186	CHD3	22.8105
187	RPSAP55	21.964
188	RPS13	21.327
189	HNRNPH1	20.947499999999998
190	SNRPC	20.8505
191	PABPN1	20.2425
192	SNRPE	20.157999999999998
193	RPL19	19.913999999999998
194	VHL	19.857999999999997
195	RPLP0	19.819499999999998
196	FAF2	19.799
197	EEF2	19.648000000000003
198	KHSRP	19.643
199	RPL27A	19.6215
200	FBXO31	18.896
201	HIST1H2AK	18.7645
202	CENPW	18.5965
203	FBXO3	18.4985
204	RPS27	18.4125
205	FN1	18.232
206	MCM2	18.136000000000003
207	RPL23A	17.4185
208	FBXL14	17.380000000000003
209	STAU1	17.216
210	HNRNPC	16.923000000000002
211	FZR1	16.738
212	RPL23	16.710500000000003
213	RPS9	16.7085
214	RBMX	15.7195
215	TCEB1P3	14.846
216	RPL7A	14.7135
217	ZC3H18	14.711000000000002
218	PCNA	14.6525
219	GNB2L1	14.602
220	SNRPD3	14.45
221	YBX1	13.419999999999998
222	RPL3	13.2055
223	RPL18A	13.117
224	RPL30	12.518
225	RPL31	12.4075
226	FBXL15	12.0505
227	RPS24	12.016
228	RPS21	11.822999999999999
229	RPS17	11.713
230	DNAJC10	11.6465
231	FAF1	11.254000000000001
232	RIOK1	11.0145
233	TRIM28	10.968
234	RPA2	10.941500000000001
235	QPCT	10.27
236	CDT1	10.268
237	TIA1	10.259
238	RPS6	10.213
239	POLR2A	10.159
240	RPS26	10.114500000000001
241	REST	10.014
242	WWP2	10.008500000000002
243	RAB40A	9.958
244	RPL10P16	9.86
245	RPL35	9.703999999999999
246	BIRC3	9.3215
247	CYLD	9.2065
248	DUX4	9.0335
249	KLHL12	8.76
250	RPS12	8.708
251	PRC1	8.7055
252	AHCY	8.6705
253	RPL38	8.619
254	LARP7	8.525
255	PARK2	8.4025
256	RPA1	7.638
257	RPS10	7.411
258	RPS28	7.406000000000001
259	RBM3	7.2620000000000005
260	PIH1D1	7.220000000000001
261	NR2C2	6.705500000000001
262	NTRK1	6.533499999999999
263	ITGA4	6.526000000000001
264	SF3A2	6.125
265	RPL10L	5.8100000000000005
266	DDRGK1	5.801
267	ELAVL1	5.6235
268	RPL10	5.601
269	RPL13	5.512
270	IL7R	5.443
271	LOC101929876	5.309
272	BTF3	4.904999999999999
273	RPL37A	4.6034999999999995
274	UFL1	4.419
275	RPL17	3.9015
276	RPL13A	3.807
277	VRK1	3.8020000000000005
278	EIF4A3	3.7165
279	RPL36	3.7095
280	RPS19	3.403
281	EED	3.2185
282	RPL32	3.2064999999999997
283	UBL4A	2.5004999999999997
284	RPLP0P6	1.7149999999999999
285	RPL35A	1.5045
286	PDIA3	0.099
287	GRIN2D	0.098
288	HIPK2	0.0975
289	FBXL5	0.0965
290	PTMA	0.096
291	LOC652276	0.0955
292	OPA6	0.0945
293	FBXO22-AS1	0.0945
294	LILRB1	0.094
295	CSN1S1	0.092
296	PRKDC	0.0905
297	TUBB	0.076
298	KRT9	0.073
299	RNMT	0.06949999999999999
300	KRT75	0.0665
301	GLMN	0.0665
302	HSPA9	0.065
303	RPSAP15	0.0625
304	GAPDH	0.0615
305	RANBP2	0.061
306	SNORA67	0.0605
307	TUBB4B	0.06
308	ENO1	0.0595
309	CDKN1B	0.056999999999999995
310	USP11	0.056999999999999995
311	CCT2	0.056499999999999995
312	PCMT1	0.05600000000000001
313	UBE2D1	0.05500000000000001
314	CCT5	0.053500000000000006
315	EEF1D	0.053500000000000006
316	ERCC6	0.052500000000000005
317	XRN2	0.051000000000000004
318	ERG	0.0495
319	SOX9	0.046
320	RPA3	0.0445
321	BRD7	0.044
322	HSPD1	0.043
323	WSB1	0.041499999999999995
324	DDX3X	0.04
325	DAZAP1	0.04
326	KHDRBS1	0.037
327	ADAR	0.037
328	DENR	0.036
329	DDX1	0.036
330	HSP90AB1	0.0355
331	ATP5A1	0.034
332	TRIM25	0.0325
333	SFPQ	0.0315
334	MYC	0.0315
335	MIR9-3	0.03
336	MCM5	0.0295
337	SNAI1	0.028999999999999998
338	ZNF326	0.026000000000000002
339	MTF1	0.026000000000000002
340	YAP1	0.025500000000000002
341	PPIE	0.025
342	SNRNP200	0.0245
343	METTL3	0.024
344	SRSF3	0.024
345	TOP1	0.024
346	SNRPB	0.0225
347	CIT	0.020999999999999998
348	SRSF1	0.020499999999999997
349	PABPC4	0.02
350	RPS15	0.017
351	SF3B3	0.015
352	TMPO	0.0125
353	RPL34	0.0115
354	GRWD1	0.01
355	HMGB1	0.0095
356	VCAM1	0.009
357	PAN2	0.008
358	RPL26L1	0.007000000000000001
359	RPL26	0.006
360	RPS27L	0.0045
361	RRS1	0.004
362	NFX1	0.0035000000000000005
363	ECT2	0.0015
364	CHMP4C	0.0005
