rank	node	rank_score
1	ERBB2	175.393
2	EPHA2	172.594
3	CTNNB1	171.49949999999998
4	EGFR	154.285
5	PIK3R1	146.198
6	PIK3CA	139.09650000000002
7	PHLDB1	138.79850000000002
8	LYN	136.4905
9	LATS2	136.296
10	SHC4	135.099
11	CYFIP1	127.59700000000001
12	GAB1	116.59349999999999
13	NF2	109.87750000000001
14	KIAA1429	104.29099999999998
15	IRS4	102.18350000000001
16	LCK	101.77950000000001
17	IGF1R	100.1935
18	HSP90AB2P	98.9
19	YES1	96.425
20	TANC1	95.4845
21	JUP	94.38
22	RASSF1	92.0965
23	PLCG2	92.09
24	CBL	88.761
25	CAV1	87.181
26	PIK3R2	85.8885
27	GAB2	84.3945
28	FRS2	83.5855
29	YWHAZ	81.773
30	AKT1	79.1925
31	CBLC	78.2805
32	GRB2	77.96000000000001
33	RAF1	77.3915
34	HSP90AA1	74.67
35	CDK6	74.1865
36	PARD3	73.49249999999999
37	CDKN2B	73.3945
38	MAP2K5	72.4875
39	SRC	71.5725
40	HSP90AB1	71.1655
41	TEAD2	71.083
42	MAP2K3	70.68350000000001
43	FGFR4	70.489
44	CDK4	69.88550000000001
45	SH2B1	69.6985
46	GLIS2	69.6905
47	CDKN2C	69.48150000000001
48	ARAF	68.791
49	CCND2	68.28999999999999
50	TP53	68.274
51	GRM1	68.187
52	CD44	68.1845
53	STK11	67.886
54	PPFIBP1	67.4645
55	TERT	67.285
56	ARHGAP32	66.6825
57	ARNT	66.5895
58	CDKN2A	66.18199999999999
59	GNB2L1	66.1745
60	KDELR2	65.488
61	SHC1	65.1585
62	SHB	64.88050000000001
63	AR	64.863
64	ERBB4	64.7475
65	PDGFRA	64.3885
66	BECN1	64.284
67	CCNE1	63.878
68	MAP2K6	63.579499999999996
69	CDC37	62.463499999999996
70	MAP3K5	61.979
71	TSC1	61.779999999999994
72	BRAF	61.565
73	IRS1	61.45
74	SOCS1	61.354
75	RASA1	60.7595
76	HSPA1A	60.26700000000001
77	ABL1	59.8645
78	MDM4	59.567499999999995
79	MAP2K1	59.565999999999995
80	SOX3	59.369499999999995
81	KAT2A	58.277
82	PTK2	57.951
83	FZR1	57.4785
84	YWHAE	57.366499999999995
85	MAPK14	57.2715
86	HIF1A	57.080999999999996
87	ERBB3	56.848
88	AURKA	56.076
89	HSPA8	55.768499999999996
90	TTYH2	55.682500000000005
91	MLLT4	54.4895
92	USP6NL	54.2755
93	PLCG1	54.253499999999995
94	PPP2R1A	54.172000000000004
95	HSPB1	54.149
96	C11orf52	53.687
97	ITGB1	53.484
98	CTNND1	52.669000000000004
99	KIT	52.244499999999995
100	OCLN	52.088
101	CRK	51.847
102	PKP4	51.5955
103	CSK	51.159000000000006
104	CXADR	50.983000000000004
105	HSPA4	49.669
106	JAK2	49.4615
107	FLOT1	49.274
108	MAPK3	49.2555
109	DSG2	49.07899999999999
110	ABL2	48.9625
111	MARCKS	48.876999999999995
112	MATK	48.358
113	GJA1	48.1785
114	RAB35	47.977999999999994
115	FYN	47.6495
116	CDH1	47.367000000000004
117	EFR3A	46.686
118	HCK	46.6465
119	CDC42BPA	46.2675
120	MARVELD2	46.1565
121	DNAJC5	46.073
122	INSR	46.071000000000005
123	DLG1	46.071
124	CCDC88A	45.8745
125	STUB1	45.7755
126	LAMTOR1	45.6695
127	RHOB	44.9815
128	DIRAS3	44.963
129	HSPA6	44.7455
130	PHACTR4	44.666
131	TUBB	44.446
132	GRB10	44.3605
133	KIRREL	44.345
134	STX7	44.1625
135	ZAP70	43.942
136	MARK3	43.861000000000004
137	PIK3CG	43.591499999999996
138	ERBB2IP	43.295
139	ABCB5	42.875
140	FAM171A1	42.7735
141	ARF6	42.565
142	SYK	42.333
143	PLEKHA1	42.0715
144	EFR3B	41.975
145	ZDHHC5	41.9705
146	ZFPL1	41.876
147	CRKL	41.8335
148	EPB41L4A	41.7575
149	FAM129B	41.0635
150	DOK1	40.7415
151	PXN	40.737
152	TNK2	40.721000000000004
153	PSD3	40.6135
154	MAPK1	40.5395
155	PTK2B	39.832499999999996
156	RASAL2	39.760000000000005
157	MPP7	39.5685
158	FAM171B	39.558499999999995
159	RASA4	39.3975
160	HEPH	39.3775
161	LLGL1	39.2765
162	CPNE8	39.2525
163	ELAVL1	39.0945
164	STX6	38.668
165	SLC7A5	38.6475
166	BTK	38.6225
167	LOC101928728	38.2685
168	LAMP1	38.263999999999996
169	RELA	37.2735
170	CTNNA1	37.2725
171	AFD1	37.199
172	GJD3	37.059000000000005
173	SOS1	36.653
174	LPHN2	36.560500000000005
175	DSC2	36.4555
176	SOCS3	36.4345
177	SNAP23	36.241
178	TEC	36.2115
179	MDM2	35.9705
180	SLC38A2	35.9445
181	HSPA9	35.857
182	SLC12A2	35.747
183	SHC3	35.718
184	RET	35.7085
185	STX4	35.67
186	UNC5B	35.557
187	ATP2B1	35.456
188	GLIS1	35.378
189	MARK2	35.15
190	PIK3R3	35.116499999999995
191	SLC19A1	34.7545
192	FAM135A	34.658
193	STAT3	34.5355
194	YWHAB	34.457499999999996
195	EBAG9	34.4535
196	MPZL2	34.393
197	CBLB	33.832
198	TMEM17	33.548500000000004
199	CSF1R	33.538
200	PLEKHA5	33.359500000000004
201	RAB11A	33.349000000000004
202	RAB2A	33.148
203	GPRIN3	33.13
204	CASKIN2	32.866499999999995
205	SLC3A2	32.8425
206	HSPA5	32.756
207	SCRIB	32.5875
208	ITK	32.445
209	FGR	32.3155
210	LSR	32.251999999999995
211	IRS2	32.064
212	MAPT	32.0305
213	PEAK1	31.9515
214	JAK1	31.915999999999997
215	ANKRD26	31.655
216	PPFIA1	31.353999999999996
217	YWHAG	31.252
218	EFNB2	30.9615
219	PLCH1	30.472
220	VAV1	30.4375
221	BCR	30.424500000000002
222	NUMB	30.0385
223	KIAA0754	29.9655
224	CDK1	28.7435
225	SLC6A15	28.432
226	CAD	28.415
227	PDGFRB	28.3285
228	PTPN6	28.0205
229	LAMP2	27.942
230	KIDINS220	27.8435
231	ROR2	27.345499999999998
232	FERMT2	26.9355
233	EZR	26.744
234	PECAM1	26.73
235	PTK6	26.424
236	BLNK	26.325499999999998
237	SLC4A7	26.2495
238	SLC30A1	26.145999999999997
239	RAB5A	26.137999999999998
240	STEAP3	26.134500000000003
241	PTEN	26.1145
242	LAMP3	25.732999999999997
243	SH2D2A	25.4185
244	LMAN1	25.3375
245	LCP2	25.3215
246	FGFR1	25.226
247	SLC6A8	25.1415
248	PAK4	25.017500000000002
249	RAB5C	24.834
250	NCK1	24.817500000000003
251	NFIC	24.79
252	EEF2	24.4095
253	PCDH7	24.107
254	WDR6	23.953
255	YWHAQ	23.841
256	TUBB4B	23.813499999999998
257	VANGL2	23.5365
258	HDAC6	23.52
259	PVRL2	23.424
260	PRKCE	23.413
261	RAB9A	22.9395
262	SLC1A5	22.743000000000002
263	ADD3	22.736
264	KIAA1549	22.319
265	SLC38A1	22.137
266	BRCA1	22.055
267	GPRIN1	21.862000000000002
268	RELL1	21.816
269	CDCA3	21.7335
270	PKP2	21.4465
271	VANGL1	21.14
272	TMEM2	21.1315
273	FAM83B	20.935
274	TGOLN2	20.722
275	SLC39A14	20.6405
276	SCAMP1	20.531
277	DNAJC5B	20.339
278	RPS6KA2	20.2305
279	KHDRBS1	20.201
280	FLOT2	20.125999999999998
281	SH2D1A	19.7295
282	MCAM	19.714
283	DNAJA1	19.629
284	EPOR	19.5365
285	BCL9L	19.4985
286	SLC39A10	19.4295
287	TRPV2	19.374000000000002
288	HSP90AB3P	19.214
289	SLC2A3	19.194
290	INPPL1	19.134
291	ARRB1	19.0045
292	EFNB1	18.432499999999997
293	NUMBL	18.1225
294	PRKCZ	17.710500000000003
295	FES	17.528
296	SPRY4	17.22
297	SH3BP2	17.0275
298	RAB4A	16.928
299	VCP	16.826999999999998
300	NEDD4	16.7315
301	FLT3	16.6045
302	HLA-A	16.527
303	ROBO1	16.4155
304	CACHD1	16.2055
305	PANX1	16.1285
306	SH2B3	15.934000000000001
307	HSPH1	15.325
308	SOX4	15.255500000000001
309	PIK3CB	15.238
310	WHSC1L1	15.084
311	XPR1	14.615
312	SLA	14.611
313	ESYT2	14.428999999999998
314	B3GAT1	14.3245
315	DEPDC1B	14.323500000000001
316	CTDSPL	14.111500000000001
317	YKT6	14.0255
318	SQSTM1	14.023500000000002
319	HSH2D	13.9225
320	EPB41L5	13.8265
321	CPD	13.818000000000001
322	ARHGAP1	13.713
323	SOCS2	13.709
324	RAB3B	13.421000000000001
325	BLK	13.4155
326	TMEM216	13.217000000000002
327	ITCH	13.115
328	RHBDF1	13.052000000000001
329	BASP1	12.912
330	DST	12.8125
331	SH3KBP1	12.724
332	PALM2	12.6505
333	CD99	12.5275
334	SLC39A6	12.4205
335	CSF3R	12.4065
336	SFN	12.3545
337	F2RL3	12.166500000000001
338	VAMP2	12.0215
339	SH2B2	11.923
340	GAB3	11.477500000000001
341	TFRC	11.4185
342	LNPEP	10.7165
343	TRIM28	10.603
344	VAV2	10.4155
345	RB1	10.362
346	VPS45	10.119499999999999
347	SLC20A2	9.711
348	VAMP3	9.323
349	ACBD3	9.2095
350	BET1	9.11
351	EHBP1	8.609
352	GAPDH	8.004
353	PTPN12	8.001
354	EFTUD2	7.9485
355	GOLGB1	7.910500000000001
356	DAB2IP	7.8469999999999995
357	WAS	7.4515
358	TUBG1	7.360499999999999
359	RPS6KA3	7.1235
360	UBIAD1	6.903499999999999
361	SIRPA	6.7565
362	ZFYVE9	6.508500000000001
363	JPH1	6.508
364	SP1	5.743
365	CLTC	5.7225
366	IQGAP1	5.5424999999999995
367	RPS6KA1	5.2765
368	LRRK1	5.129
369	ERGIC1	5.006
370	ATP5A1	4.9055
371	IGF2R	4.8075
372	YWHAH	4.8035
373	MST1R	4.7219999999999995
374	SNX6	4.504
375	LRRK2	4.1195
376	PAK2	4.0115
377	NISCH	3.601
378	CYLD	3.312
379	GSK3B	3.308
380	FLT1	3.007
381	ELOVL5	2.908
382	ABCC1	2.9015
383	EEF1A1	2.7079999999999997
384	SNAP29	2.7024999999999997
385	KDR	2.5164999999999997
386	NOTCH2	2.4145
387	DNAJA2	2.4074999999999998
388	FLVCR1	2.3065
389	CALM1	2.168
390	BAG2	1.9355
391	CSF2RB	1.9135000000000002
392	METTL7A	1.8030000000000002
393	TMEM87A	1.7075
394	USP11	1.7045000000000001
395	CKAP4	1.7015
396	TBC1D10B	1.682
397	SCAMP3	1.506
398	ESYT1	1.5005000000000002
399	MAPK7	1.412
400	PHB	1.403
401	PKM	1.4015
402	KCNB2	1.317
403	ADCY9	1.2029999999999998
404	HDAC4	1.1115
405	EMD	1.002
406	PTPN1	0.901
407	PAK1	0.7030000000000001
408	GORASP2	0.40499999999999997
409	SCFD1	0.303
410	TNS3	0.20099999999999998
411	CNP	0.0985
412	MARCKSL1	0.0975
413	UACA	0.097
414	CORO1C	0.0955
415	GPR158	0.095
416	KCTD9P2	0.095
417	PNCK	0.0935
418	JAM3	0.092
419	FCGR2B	0.092
420	KIAA1462	0.089
421	SLC23A2	0.089
422	ZNF573	0.0885
423	USP31	0.0865
424	ARAP2	0.08199999999999999
425	ZDHHC8	0.0805
426	VAV3	0.0795
427	RUVBL1	0.0765
428	COL15A1	0.071
429	IL6ST	0.06949999999999999
430	GRAP2	0.0675
431	GTSF1	0.0665
432	NAT2	0.0645
433	FAM171A2	0.064
434	PSMC3IP	0.0635
435	IKBKB	0.062
436	SMAD2	0.06
437	NCK2	0.059
438	SLA2	0.058499999999999996
439	CYP17A1	0.057499999999999996
440	RHOBTB2	0.05600000000000001
441	PTPN13	0.051000000000000004
442	FOXO3	0.051000000000000004
443	LAT	0.0505
444	TRIM25	0.05
445	PAG1	0.049
446	CD5	0.047
447	BCAR1	0.0465
448	IL2RB	0.043
449	DOK2	0.041999999999999996
450	INPP5D	0.040999999999999995
451	AXL	0.04
452	LTK	0.0395
453	DUSP18	0.0385
454	FASLG	0.037
455	SH2D1B	0.036
456	APP	0.034
457	MS4A2	0.033
458	PTPRA	0.0325
459	TEK	0.031
460	SGK223	0.028999999999999998
461	MAPK8	0.028000000000000004
462	TXK	0.026000000000000002
463	BMX	0.025500000000000002
464	KIF14	0.025500000000000002
465	CSNK1A1	0.025
466	RAPGEF1	0.023
467	ASAP1	0.022
468	NEDD9	0.020499999999999997
469	CREBBP	0.02
470	CDKN1A	0.0195
471	PALM	0.0185
