rank	node	rank_score
1	HSP90AA1	178.7
2	CDC37	176.799
3	SRC	171.8955
4	AKT1	171.0985
5	HSP90AB1	169.994
6	EGFR	168.8965
7	ITK	167.89600000000002
8	MET	165.29000000000002
9	ERBB2	162.497
10	CSK	158.8595
11	BTK	158.2605
12	FGR	154.1855
13	HSPA1A	151.78699999999998
14	AR	151.78400000000002
15	HSP90AB3P	149.0505
16	PTK6	147.5895
17	ERBB4	147.092
18	SOCS1	142.289
19	TNK2	139.663
20	KIT	138.8805
21	PIK3R1	137.8885
22	FES	137.0465
23	CBL	136.9865
24	DOK1	136.8875
25	PTK2	136.875
26	HSP90AA5P	136.59949999999998
27	SHC1	135.57999999999998
28	SYK	135.48600000000002
29	RASA1	134.783
30	FLT3	134.6815
31	GRB2	134.471
32	GAB1	133.879
33	ABL1	133.28199999999998
34	ABL2	132.6905
35	IGF1R	132.1915
36	PDIK1L	130.6925
37	YES1	130.3835
38	CRK	128.768
39	FYN	127.87249999999999
40	PLCG1	126.981
41	LYN	126.67849999999999
42	LCK	124.376
43	PIK3R2	121.5755
44	PLCG2	121.1645
45	ZAP70	119.36949999999999
46	PTPN11	118.97150000000002
47	TEC	117.76700000000001
48	PIK3R3	117.572
49	JAK2	117.27649999999998
50	CBLB	117.26599999999999
51	CRKL	116.374
52	SH2D2A	114.8655
53	BLK	113.8575
54	LCP2	113.55699999999999
55	HSPA8	112.18800000000002
56	SOCS3	111.17699999999999
57	PDGFRB	110.0685
58	BLNK	109.76100000000001
59	NCK1	109.6585
60	VAV1	109.1625
61	HSH2D	108.951
62	IRS1	108.3525
63	SH2D1B	106.5495
64	HSPA5	106.465
65	FGFR1	106.0705
66	HSPA4	105.24449999999999
67	SLA	104.273
68	PTK2B	103.6825
69	SHB	102.96900000000001
70	CSF1R	102.27950000000001
71	PTPN6	101.9615
72	SHC4	101.564
73	SH2D1A	101.53299999999999
74	SH2B3	100.878
75	STAT3	100.4735
76	MAPT	100.3475
77	WAS	100.25800000000001
78	SOS1	97.9675
79	SH3BP2	97.753
80	HSPA9	94.0485
81	PRKCZ	93.3305
82	PXN	91.4555
83	BCR	91.24249999999999
84	GAB2	89.95
85	LAT	89.9435
86	STUB1	88.3355
87	RAF1	88.155
88	EPOR	86.97
89	AXL	86.8845
90	NCK2	86.5405
91	SH3KBP1	86.4665
92	INPPL1	86.4455
93	HSPA6	86.3415
94	VAV3	84.962
95	KHDRBS1	82.75450000000001
96	SH2B1	81.749
97	JAK1	81.65599999999999
98	GRB10	79.46000000000001
99	GRAP2	78.44800000000001
100	PECAM1	78.159
101	HSPB1	77.4565
102	TUBB	77.43350000000001
103	INSR	77.346
104	INPP5D	76.454
105	RET	76.2385
106	PSKH2	75.795
107	LRRK1	75.24
108	PIK3CB	74.624
109	SLA2	73.3125
110	IL6ST	70.834
111	FKBP5	69.89
112	CTNNB1	67.99449999999999
113	NTRK2	67.038
114	CALM1	66.19800000000001
115	PTPN12	62.638999999999996
116	NTRK1	62.13199999999999
117	IRS2	61.44200000000001
118	DOK2	61.3535
119	SOCS2	60.92999999999999
120	SH2B2	60.8375
121	DNAJA1	59.028999999999996
122	PIK3CA	58.437
123	GHR	57.8015
124	STAP1	57.3775
125	TXK	57.2395
126	MUC4	57.09349999999999
127	FER	56.395
128	YWHAQ	54.523
129	GRB14	54.34400000000001
130	GAB3	53.5385
131	TP53	53.008500000000005
132	AKT3	51.9935
133	TRAF6	49.531
134	HDAC6	48.635000000000005
135	UBASH3B	48.536
136	FASLG	47.1315
137	FCGR2B	45.8635
138	IRS4	45.812
139	HSP90AB2P	45.4895
140	VAV2	44.940999999999995
141	YWHAZ	43.927499999999995
142	ARHGAP32	41.714
143	BAG2	40.626
144	MAP2K3	39.6205
145	ASAP1	39.5175
146	SGK1	39.30800000000001
147	BRAF	39.2255
148	SKAP2	39.116
149	PRKG2	38.9975
150	BCAR1	38.928
151	APP	38.536
152	KIAA1429	38.085
153	FRS2	37.733
154	IKBKG	37.5875
155	YWHAE	36.4365
156	NEDD4	36.427
157	LTK	36.0105
158	CDKL4	35.9925
159	CAD	35.929500000000004
160	MYLK4	34.6865
161	KDR	34.6515
162	CDH1	34.019999999999996
163	PTEN	33.902499999999996
164	EPHA2	33.827
165	ALK	33.616
166	MAP2K5	33.312
167	MAPK3	32.722500000000004
168	HSPH1	32.221500000000006
169	CSF3R	31.946500000000004
170	CSF2RB	31.145
171	PRKCE	30.622500000000002
172	STK35	30.486
173	SNCA	29.322000000000003
174	BMX	28.392500000000002
175	YWHAB	28.125
176	MAPK1	27.806
177	ESR1	27.347
178	TUBB4B	26.8245
179	MAP2K1	26.5195
180	ARAF	25.518
181	RNF207	25.31
182	YWHAG	25.1235
183	IL2RB	24.6265
184	SIRPA	24.613
185	IQGAP1	24.1165
186	UBC	23.71
187	MAPK7	23.213
188	GAREM	23.0205
189	FLT1	22.752000000000002
190	MAP2K2	22.503
191	STIP1	21.517500000000002
192	CAV1	21.503999999999998
193	PAK1	21.432499999999997
194	TEK	21.305
195	MST1R	21.1165
196	ATP5A1	20.4185
197	STK32B	19.893
198	STK36	19.697
199	CD247	19.418
200	SHC3	19.3125
201	FAM47B	19.183
202	SOCS5	19.0805
203	CBLC	18.9315
204	HIF1A	18.5045
205	SGK2	18.283
206	AMHR2	18.281
207	KRAS	18.0395
208	PAG1	17.832
209	ITPKA	17.693
210	SH2D5	17.6815
211	CD5	17.555500000000002
212	TSSK6	17.479499999999998
213	ITGB3	17.221
214	ARRB1	17.217000000000002
215	CCDC117	16.525
216	CDK4	16.355
217	RPS6KA3	16.2075
218	JUP	15.8285
219	HSP90AB4P	15.782499999999999
220	HRAS	15.0095
221	STAT5A	14.543000000000001
222	FKBP4	14.011000000000001
223	DNAJA2	13.7035
224	CDK9	13.401999999999997
225	STAP2	12.874500000000001
226	SQSTM1	11.4275
227	EEF1A1	10.9115
228	CLTC	10.504999999999999
229	GAPDH	10.408
230	ERRFI1	10.0095
231	NEDD9	9.7155
232	VCP	9.5135
233	SLC25A5	8.815999999999999
234	CCT2	8.7015
235	SORBS1	8.61
236	HEATR4	8.4845
237	YAP1	8.409
238	OLIG1	7.6145
239	FGFR2	7.113499999999999
240	PRPF8	6.215
241	LINC01139	6.0785
242	STAT5B	6.014
243	ACTG1	5.809
244	TUBA1C	5.8085
245	CD84	5.7515
246	TNS1	5.218999999999999
247	TCP1	5.1005
248	HDAC4	4.9185
249	DUSP18	4.6345
250	ILK	4.6049999999999995
251	SFN	4.401000000000001
252	TUBA1B	4.3095
253	EPHB2	4.1145
254	SLC25A3	4.104
255	PARK2	4.0104999999999995
256	MAP4K1	3.8215000000000003
257	PLEKHA4	3.6710000000000003
258	NPM1	3.521
259	HSPA1L	3.215
260	RIN3	3.1135
261	GSK3B	3.004
262	NEDD4L	2.907
263	RPS6KA1	2.403
264	PHACTR4	2.301
265	ACTB	2.2055
266	HEXIM1	1.8035
267	PTPRR	1.616
268	PRPSAP2	1.5074999999999998
269	PDPK1	1.42
270	PTPRA	1.4075
271	PAK2	1.011
272	TUBA1A	0.9380000000000001
273	CSNK1A1	0.6065
