rank	node	rank_score
1	XPA	177.0975
2	SPTA1	176.397
3	RAD52	176.09949999999998
4	HSP90AA1	159.9
5	BRCA1	157.488
6	ERCC2	155.7965
7	GTF2H1	155.196
8	ERCC5	153.994
9	GTF2H5	153.195
10	POLR2A	152.59
11	GTF2H2C_2	152.0955
12	GTF2H3	152.09449999999998
13	GTF2H2	150.6935
14	GTF2H2C	150.09300000000002
15	GTF2H4	149.2925
16	CDK7	148.292
17	MNAT1	147.6915
18	CCNH	146.791
19	GTF2E1	145.9905
20	GTF2F1	144.9895
21	PRDM11	143.88899999999998
22	PRMT2	142.4885
23	ERCC6	141.314
24	AR	140.7875
25	TP53	139.8835
26	E2F1	138.68699999999998
27	RB1	137.4865
28	SP1	133.685
29	CCNE1	128.68400000000003
30	MYC	127.68199999999999
31	TBP	123.98600000000002
32	ARNT	122.9845
33	TP73	121.776
34	CCND1	119.7775
35	SMARCA4	119.157
36	NOD1	118.799
37	HIF1A	116.381
38	RELA	115.898
39	JUN	115.68299999999999
40	KAT2B	113.46549999999999
41	EP300	110.86449999999999
42	CREBBP	110.064
43	MDM2	109.05900000000001
44	HDAC1	108.7635
45	UVSSA	106.4885
46	SMAD3	105.86100000000002
47	AHR	104.7855
48	CEBPB	103.155
49	CDKN1A	102.8735
50	PML	100.5565
51	SMARCA2	100.438
52	NCOR2	99.758
53	TP53BP1	98.6265
54	CDK2	96.67699999999999
55	CEBPA	94.4555
56	E2F4	94.265
57	HDAC3	93.0575
58	VDR	92.554
59	KAT5	91.95599999999999
60	PPARG	91.45450000000001
61	SIRT1	90.45349999999999
62	NCOA3	90.3495
63	CDK1	90.2785
64	UBE2I	89.7515
65	FOS	87.55
66	NCOA1	87.249
67	PCNA	85.267
68	AKT1	84.9605
69	NCOR1	84.84400000000001
70	HNF4A	84.551
71	PARP1	84.0385
72	NCOA6	83.44300000000001
73	CDKN1C	83.0795
74	VHL	82.4595
75	MAPK1	81.7465
76	RARA	81.4455
77	RXRA	81.44449999999999
78	NCOA2	81.3425
79	KLF5	80.64500000000001
80	NFKB1	79.84349999999999
81	ETS1	79.742
82	STAT3	79.14750000000001
83	CDK6	78.9805
84	TAF1	78.51599999999999
85	CCNB1	78.0755
86	ESR1	77.637
87	CCNA2	77.3745
88	SKP2	77.0765
89	CDK8	77.0155
90	CDK4	76.88
91	CTNNB1	76.853
92	BRD4	76.747
93	STAT1	76.146
94	RBL2	75.474
95	HDAC2	75.2375
96	PIAS1	74.9395
97	RBL1	74.872
98	DNMT1	73.85249999999999
99	CDKN1B	72.975
100	SRF	72.2405
101	NR0B2	71.639
102	TFDP1	71.3715
103	PIN1	71.3505
104	BCL3	70.8415
105	SMARCB1	70.521
106	PPARGC1A	69.92699999999999
107	UHRF2	69.152
108	NR1H2	67.34
109	MYOD1	66.83250000000001
110	RUNX2	65.848
111	DDB1	65.825
112	CDC27	65.66749999999999
113	NR1H3	64.241
114	SP3	64.2365
115	NFYB	63.763
116	TFAP2A	63.4825
117	FOXM1	63.278
118	ZBTB16	62.036
119	CDK3	61.273
120	RPA1	61.019000000000005
121	SMARCC1	60.722
122	EPAS1	60.62049999999999
123	SMAD2	59.435
124	TAF6	59.222500000000004
125	CCNA1	58.571000000000005
126	CKS2	57.77
127	KAT2A	57.5255
128	FOXO3	57.46
129	DDX5	57.431
130	TRIM28	57.331500000000005
131	RUNX1	57.234
132	CDT1	57.170500000000004
133	CCNO	57.169000000000004
134	CARM1	57.10799999999999
135	CKS1B	56.9695
136	CCND2	56.879
137	XRCC6	56.8285
138	CDC6	56.2725
139	ZBTB7A	56.128
140	GMNN	55.96849999999999
141	EZH2	55.93299999999999
142	NRIP1	55.720000000000006
143	SMARCC2	55.71849999999999
144	CDC20	54.568000000000005
145	E2F5	54.162
146	TFDP2	53.661500000000004
147	BCL6	53.6275
148	SIN3A	53.524
149	XBP1P1	53.287
150	E2F3	52.6625
151	CDK5	52.565999999999995
152	FZR1	52.0665
153	PGR	51.928999999999995
154	HDAC4	51.6355
155	MED1	51.626
156	RBBP4	51.3245
157	XRCC5	50.5175
158	NR3C1	49.42
159	HIST1H4A	49.2195
160	CTBP1	48.0465
161	CREB1	46.912
162	KMT2A	45.9215
163	NR1I2	44.161500000000004
164	NR2C1	42.2235
165	MCM7	40.7305
166	FHL2	40.3335
167	TUBB4B	39.798500000000004
168	CSNK2A1	39.517
169	TDG	39.3035
170	RPA2	38.811
171	FOXO1	38.3485
172	HIST1H3A	36.8135
173	FANCA	36.4975
174	SMARCA5	36.313
175	FANCG	36.286
176	PRKDC	36.218
177	FANCC	35.684000000000005
178	NR4A1	35.4165
179	HCFC1	31.523000000000003
180	YY1	31.03
181	NFATC1	30.7075
182	MRE11A	29.414499999999997
183	TOP2B	29.0105
184	GTF2I	28.707
185	SFPQ	28.0005
186	HIST1H2BB	27.415
187	CCNE2	26.5685
188	NFATC2	26.4065
189	CCND3	25.766
190	PPARA	23.6525
191	SMARCE1	23.4435
192	ARID1A	23.4415
193	THRA	23.0535
194	NBN	22.4115
195	ATM	21.8125
196	MSH2	21.41
197	CHUK	20.3345
198	MARCH9	19.799
199	SMAD4	19.232
200	CHD3	19.102
201	BLM	17.5015
202	FANCD2	17.4065
203	RAD50	17.403
204	KDM1A	17.204500000000003
205	CHD4	16.716
206	SOX2	16.702
207	POU2F1	16.6495
208	HMGB1	16.529500000000002
209	WRN	16.4045
210	GTF2F2	16.3815
211	CIC	15.901499999999999
212	RPA3	15.702000000000002
213	TERF2IP	15.501499999999998
214	MDC1	15.501
215	RFC1	15.3095
216	TOP2A	14.8085
217	MTA2	14.803999999999998
218	ATRX	14.505
219	ING1	13.716
220	H2AFX	13.7045
221	SNW1	13.4025
222	MTA1	13.2055
223	MBD3	12.806000000000001
224	SUMO2	12.703999999999999
225	RBBP7	12.4035
226	SKP1	12.3635
227	HIST1H2AB	11.4035
228	HSPA8	11.1585
229	SAP30	10.801
230	USP7	10.5075
231	MTA3	10.2005
232	DHX9	9.404
233	GTF2B	9.353
234	DAXX	9.109
235	HDAC5	8.203
236	SUV39H1	8.004999999999999
237	SUZ12	7.509
238	NKX2-1	7.0065
239	EED	6.901999999999999
240	SIN3B	6.813
241	MYB	6.806
242	GATAD2B	6.414
243	SUDS3	6.412000000000001
244	DNMT3L	6.3100000000000005
245	DDX17	6.2425
246	GATAD2A	6.213500000000001
247	HIST3H3	6.208
248	BPTF	6.0125
249	BCL11B	5.710500000000001
250	SAP130	5.71
251	MEN1	5.7065
252	MBD2	5.611
253	LIN9	5.2095
254	MYBL2	5.0115
255	ARID4B	4.8085
256	C17orf49	4.609
257	PWWP2A	4.2075000000000005
258	MTF2	4.206
259	SMARCA1	3.908
260	BCL11A	3.9065
261	BRMS1L	3.7045000000000003
262	HMGXB4	3.507
263	LIN37	3.1055
264	CDK2AP1	3.105
265	RBBP5	2.9105
266	PHF1	2.804
267	GATAD1	2.6035
268	SHPRH	2.403
269	UHRF1	2.207
270	CHD5	2.0015
271	ZNF512B	1.9024999999999999
272	HAT1	1.201
273	PHF12	1.2005
274	ZNF219	1.0025
275	CHAF1B	0.3005
276	CHAF1A	0.20099999999999998
277	HSP90AB1	0.099
278	FGFR3	0.0985
279	CARD6	0.098
280	CLIC4	0.098
281	FANCF	0.095
282	HES1	0.0945
283	FANCE	0.094
284	FANCB	0.0935
285	APITD1	0.093
286	STRA13	0.0925
287	FANCM	0.092
288	FANCL	0.0915
289	C1orf86	0.091
290	C19orf40	0.0905
291	C17orf70	0.09
292	RMI1	0.0895
293	RMI2	0.0885
294	TOP3A	0.088
295	ETAA1	0.0865
296	ATR	0.08549999999999999
297	SPTAN1	0.08449999999999999
298	ATRIP	0.08399999999999999
299	REV1	0.08299999999999999
300	RAD51	0.08249999999999999
301	POLN	0.08199999999999999
302	SPIDR	0.08149999999999999
303	TOPBP1	0.081
304	RAD9A	0.08
305	SLX4	0.078
306	HUS1	0.0775
307	MUTYH	0.077
308	RAD1	0.0765
309	MSH3	0.076
310	MSH6	0.0755
311	CHEK1	0.0735
312	CLSPN	0.073
313	BRIP1	0.0725
314	BRCA2	0.0715
315	MLH1	0.071
316	PMS2	0.0705
317	BARD1	0.06999999999999999
318	RBBP8	0.06949999999999999
319	TERF2	0.0665
320	RAD17	0.0655
321	TRIM29	0.064
322	MDM4	0.0635
323	RFC2	0.0635
324	RECQL5	0.063
325	MCPH1	0.0625
326	RFC5	0.0615
327	ORC1	0.061
328	RFC4	0.061
329	UIMC1	0.059
330	RNF8	0.057499999999999996
331	USP37	0.056999999999999995
332	RFC3	0.05600000000000001
333	ATAD5	0.05500000000000001
334	MCM9	0.05450000000000001
335	SMC1A	0.054000000000000006
336	POLA1	0.053500000000000006
337	CUL1	0.053000000000000005
338	NCL	0.053000000000000005
339	LMNA	0.052000000000000005
340	HLTF	0.051500000000000004
341	NUMA1	0.051000000000000004
342	SMARCAD1	0.0505
343	CDC5L	0.0495
344	RAD21	0.048
345	TRAIP	0.0475
346	POLD1	0.046
347	MCM5	0.0455
348	MCM3	0.045
349	MCM4	0.044
350	SS18L1	0.043
351	MCM6	0.043
352	SMC3	0.041999999999999996
353	RASSF1	0.041499999999999995
354	HIST1H3E	0.040999999999999995
355	SSRP1	0.0405
356	MCM2	0.04
357	SUPT16H	0.039
358	CDK9	0.0385
359	HNRNPU	0.038
360	EFTUD2	0.0375
361	ILF2	0.037
362	TOP1	0.0355
363	BIRC3	0.034
364	SMARCD2	0.033
365	RBM39	0.033
366	ASF1A	0.032
367	WDR76	0.032
368	FEN1	0.0315
369	HIST1H2BG	0.031
370	LIG3	0.0305
371	BRD7	0.03
372	JUND	0.0295
373	CBX3	0.0295
374	CENPA	0.028999999999999998
375	BAZ1B	0.028499999999999998
376	SMARCD1	0.028000000000000004
377	IFI16	0.028000000000000004
378	TBL1XR1	0.027500000000000004
379	GTF3C4	0.027500000000000004
380	ATF2	0.027000000000000003
381	ACTL6A	0.026500000000000003
382	HDGF	0.026000000000000002
383	HMGA1	0.025500000000000002
384	STAU1	0.025500000000000002
385	TAF9	0.025
386	NIPBL	0.025
387	HIRA	0.0245
388	NOP56	0.024
389	HNRNPA2B1	0.0235
390	HNRNPD	0.023
391	OBSL1	0.022
392	NPM1	0.0215
393	U2AF2	0.020999999999999998
394	HNRNPK	0.020499999999999997
395	HNRNPR	0.02
396	SF3B1	0.0195
397	FUS	0.019
398	SCARNA22	0.0185
399	SF3A1	0.018
400	DHX15	0.017499999999999998
401	TRRAP	0.017
402	HNRNPC	0.017
403	CUL7	0.0165
404	SNRNP200	0.016
405	MATR3	0.0155
406	HNRNPA1	0.015
407	TAF15	0.014499999999999999
408	PCBP1	0.014000000000000002
409	PRC1	0.013500000000000002
410	HNRNPM	0.013000000000000001
411	RBM14	0.0125
412	TMPO	0.012
413	DDX1	0.0115
414	NUPR1	0.011
415	CIT	0.010499999999999999
416	PRPF8	0.01
417	ILF3	0.0095
418	PHB	0.009
419	CHEK2	0.0085
420	SRSF1	0.0085
421	SF3B3	0.008
422	SART1	0.0075
423	PRPF6	0.007000000000000001
424	THRAP3	0.006500000000000001
425	BTF3	0.006
426	SUMO1	0.0055
427	NR2C2	0.0055
428	SRRM2	0.005
429	ADAR	0.0045
430	TARDBP	0.004
431	LIN52	0.0035000000000000005
432	HNRNPA3	0.0035000000000000005
433	FOXK2	0.003
434	KIF20A	0.003
435	DNMT3B	0.0025
436	DPY30	0.0025
437	PTBP1	0.0025
438	HNRNPA0	0.002
439	HNRNPAB	0.0015
440	ZC3H18	0.001
441	SYNCRIP	0.0005
