rank	node	rank_score
1	PCNT	180.1
2	ALMS1	179.1995
3	CEP192	178.299
4	SASS6	177.3985
5	CEP131	176.398
6	NEDD1	175.4975
7	OFD1	174.897
8	NIN	173.3965
9	CEP350	173.296
10	CCDC14	171.3955
11	PCM1	170.995
12	CEP85	170.192
13	NDC80	169.794
14	SDCCAG3	168.4795
15	SSX2IP	167.59300000000002
16	CEP128	166.5925
17	KIAA0753	165.2935
18	CCDC138	165.1915
19	RPGRIP1L	163.891
20	TCHP	162.8945
21	SPICE1	162.1905
22	CSPP1	160.99
23	KRT19	159.0895
24	CEP162	157.98899999999998
25	MPHOSPH9	155.3875
26	CEP290	154.488
27	KRT8	153.7885
28	AMOT	153.6745
29	CNTRL	152.8855
30	PIBF1	152.78400000000002
31	MED4	152.3835
32	ODF2	152.283
33	CCDC77	150.1825
34	CEP120	149.482
35	HAUS8	149.387
36	KIF7	148.28
37	TBC1D31	148.186
38	NINL	147.5785
39	HAUS6	147.481
40	HAUS3	146.785
41	KRT18	145.9865
42	CEP89	145.28050000000002
43	MIB1	144.3845
44	HAUS4	143.9815
45	HAUS7	140.079
46	HAUS2	138.97750000000002
47	FGFR1OP	138.678
48	POC5	137.177
49	HAUS5	137.17649999999998
50	CEP72	135.87550000000002
51	KIAA1671	135.575
52	HAUS1	135.376
53	CCDC18	133.174
54	TNRC6B	131.8725
55	CEP170	131.07350000000002
56	LATS1	130.56900000000002
57	NME7	130.473
58	FAM184A	130.272
59	LCA5	129.2715
60	LUZP1	127.571
61	CCDC66	126.97
62	CEP55	125.9695
63	CEP104	125.5705
64	SYNE3	123.1685
65	CCP110	120.668
66	CNTROB	120.36749999999999
67	LZTS2	120.367
68	GPATCH1	119.7665
69	CEP44	118.1645
70	TPTE2	116.66199999999999
71	LRRC49	116.1635
72	CCDC96	116.1625
73	CEP97	115.36500000000001
74	CAMSAP1	114.86399999999999
75	RQCD1	114.2655
76	PLEKHG1	113.06599999999999
77	TTK	112.46300000000001
78	ANAPC2	110.8615
79	LATS2	110.36100000000002
80	C17orf59	108.96
81	TP53BP2	108.8605
82	TNRC6A	107.5595
83	BICD1	104.9585
84	DLG5	103.85900000000001
85	IFT74	103.657
86	PXN	102.15650000000001
87	SEPT10	101.95599999999999
88	SMG7	101.655
89	WRAP73	100.6535
90	TNRC6C	100.55550000000001
91	TBK1	100.25750000000001
92	GOLGA1	98.25399999999999
93	MAP7D3	96.8545
94	C2CD3	96.65799999999999
95	ANKRD26	95.6525
96	ERC1	95.453
97	CAMSAP2	91.8515
98	TRIM37	91.652
99	SPAG5	90.4495
100	DCTN2	90.449
101	DUSP16	90.051
102	MAPRE1	88.1505
103	KIAA0355	87.04549999999999
104	NCKAP5L	86.95
105	TRIM36	86.648
106	DCTN1	85.4485
107	MAPRE3	84.9475
108	SPATA2	84.845
109	WHAMMP3	83.646
110	SIPA1L2	82.5445
111	SAMD4B	82.04400000000001
112	CEP170B	81.747
113	BICD2	81.3465
114	TDRD3	78.94300000000001
115	VPS33B	78.6425
116	KIF14	77.0415
117	CAMSAP3	76.542
118	EXOC4	75.0435
119	SIPA1L3	74.941
120	CC2D1A	73.2405
121	FBF1	71.239
122	CCDC85C	71.14
123	SQSTM1	70.4395
124	VASP	66.7385
125	PPP1R13B	65.538
126	EIF4ENIF1	64.134
127	TJP2	63.5375
128	TJP1	63.237
129	CNOT1	62.6355
130	ZYX	62.336
131	SCLT1	61.82950000000001
132	SEC16A	61.035000000000004
133	XRN1	60.834500000000006
134	PATL1	60.23350000000001
135	CNOT10	58.73299999999999
136	FAM120C	56.831999999999994
137	WDR83	56.337
138	N4BP2	56.330999999999996
139	TBKBP1	56.2325
140	APC	55.93150000000001
141	RNF214	53.93050000000001
142	EGLN3	51.729
143	PLK1	51.527499999999996
144	CEP250	51.33
145	ANKRD28	50.4285
146	CEP295	49.827999999999996
147	SIPA1L1	47.3335
148	FAM193A	46.6265
149	ZFP36	41.525999999999996
150	HOOK3	41.427
151	ZC3H7A	40.0225
152	GIGYF1	39.6015
153	CPEB4	38.3235
154	CNOT2	37.323
155	SMG5	36.724000000000004
156	MEX3B	36.222
157	CKAP2	36.036500000000004
158	CNOT3	34.721500000000006
159	RASSF8	33.9245
160	HELZ	33.721000000000004
161	CNOT6L	32.1205
162	CNOT7	30.1195
163	CNOT11	29.7185
164	YTHDF3	29.6175
165	TEX9	29.526999999999997
166	VIM	29.325
167	RNF219	28.219
168	KIAA0430	28.119999999999997
169	YTHDF2	28.016499999999997
170	ANKRD17	27.718
171	CDC14A	26.0255
172	PRRC2B	25.817
173	AGO2	25.316
174	R3HDM2	24.0155
175	DCP1A	23.306
176	UBAP2L	22.1145
177	PUM1	21.515
178	AGO1	20.714
179	PRRC2A	19.7135
180	FUBP3	18.6125
181	MKRN2	17.913
182	AGO3	17.111
183	LSM14A	16.311500000000002
184	SECISBP2	15.212
185	NAV1	13.624
186	YTHDF1	13.410500000000003
187	RBMS1	13.41
188	XPO1	13.2035
189	DAZL	12.809000000000001
190	ALG13	11.8095
191	OTUD4	10.608500000000001
192	KNSTRN	10.425999999999998
193	SMAP2	9.708
194	R3HDM1	8.6075
195	AP2B1	8.522499999999999
196	LIMD1	8.322
197	UNK	7.706999999999999
198	DDX6	5.8055
199	TOP3B	5.7065
200	KRT38	4.5225
201	ATXN2	4.2045
202	PAN3	3.6019999999999994
203	FXR2	2.803
204	IGF2BP2	2.605
205	RC3H1	1.8024999999999998
206	PUM2	1.504
207	UPF1	1.501
208	CELF1	0.5005
209	IFT57	0.024
210	CCDC22	0.0235
211	CYLD	0.0225
212	ANKHD1-EIF4EBP3	0.001
213	PABPC1	0.0005
214	FMR1	0.0005
215	PRRC2C	0.0005
