rank	node	rank_score
1	DLG4	180.1
2	CAV1	178.999
3	PIK3R1	178.09949999999998
4	SRC	177.3985
5	MAPK1	176.098
6	SHC1	174.597
7	STAT3	174.29749999999999
8	HSP90AA1	173.796
9	CTNNB1	173.2965
10	STAT1	172.4955
11	RXRA	169.9945
12	RET	169.6935
13	JAK2	168.995
14	PTK2B	167.09300000000002
15	ERBB2	166.4925
16	ABL1	164.892
17	SYK	164.49099999999999
18	MAPT	164.3915
19	PLCG1	163.6905
20	PTK2	162.0895
21	AKT1	161.98899999999998
22	IRS1	159.988
23	FYN	158.89000000000001
24	PTPN11	158.8875
25	CBL	158.78699999999998
26	PIK3R2	156.6865
27	EGFR	156.1885
28	IGF1R	152.283
29	SNCA	152.0855
30	SHC4	151.885
31	SOCS1	151.6845
32	CRK	150.8835
33	KIT	150.584
34	PLCG2	148.88600000000002
35	SOS1	147.0825
36	CSF1R	147.0805
37	LYN	145.68099999999998
38	JAK1	144.482
39	SHB	144.38150000000002
40	MATK	143.8645
41	NCK1	142.77849999999998
42	GAB1	142.378
43	SH2B1	140.46949999999998
44	RASA1	138.4795
45	ZAP70	138.18
46	TEC	137.97750000000002
47	ITK	137.8765
48	LCP2	137.379
49	DOK1	137.177
50	FRS2	136.37550000000002
51	GAB2	136.176
52	LCK	134.874
53	SOCS3	134.175
54	CBLB	130.67350000000002
55	KHDRBS1	129.872
56	CRKL	129.0745
57	VAV1	127.773
58	PIK3R3	125.96700000000001
59	AR	125.1665
60	ABL2	125.16599999999998
61	STUB1	125.16
62	SP1	124.79400000000001
63	HCK	124.2675
64	INSR	123.87150000000001
65	SH2D2A	123.86500000000001
66	EPOR	123.37249999999999
67	IRS2	122.17
68	IL6ST	122.0685
69	HSPA8	120.9565
70	TNK2	120.7655
71	BLNK	117.8635
72	CSK	116.86399999999999
73	STAT5A	115.37100000000001
74	GHR	115.17049999999999
75	SH3BP2	115.168
76	BTK	113.16300000000001
77	YES1	112.6605
78	PECAM1	112.061
79	IL2RB	110.769
80	NCK2	108.4625
81	VAV3	108.357
82	FASLG	106.76199999999999
83	FLT3	106.65799999999999
84	SLA	106.35900000000001
85	LAT	105.75750000000001
86	PXN	103.95599999999999
87	FGR	102.8585
88	BCR	102.4555
89	WAS	102.2595
90	CDC37	100.45450000000001
91	LRRK1	100.454
92	SH2D1A	99.4615
93	STAT5B	98.852
94	YWHAZ	98.4525
95	BLK	96.1535
96	FCGR2B	94.955
97	ARRB1	94.853
98	HSP90AB1	92.9515
99	SOS2	92.04249999999999
100	NEDD4	89.7495
101	TRAF6	89.0505
102	RPS6KA1	87.449
103	INPP5D	85.451
104	FLT1	85.44200000000001
105	BAIAP2	85.441
106	EPHA2	84.648
107	RAF1	83.646
108	FES	80.6485
109	CALM1	80.54650000000001
110	ARNT	80.04549999999999
111	DAB1	78.545
112	HSH2D	77.84349999999999
113	C11orf52	75.94
114	ILKAP	74.5475
115	SQSTM1	72.9355
116	PRKCD	72.4385
117	RAC1	71.6445
118	MAP3K11	70.04400000000001
119	KRAS	66.939
120	SH2B2	66.85
121	EPHB2	65.84049999999999
122	CDK6	63.2365
123	INPPL1	61.736000000000004
124	PTK6	61.6395
125	HSPA4	59.934000000000005
126	CDK4	59.535000000000004
127	CBLC	59.129999999999995
128	RB1	58.943000000000005
129	HSPB1	58.8375
130	NF2	57.63199999999999
131	MAP3K5	57.532999999999994
132	HIF1A	54.93050000000001
133	SIRPA	53.4335
134	SH3KBP1	52.5415
135	HDAC6	50.929500000000004
136	HRAS	49.531
137	RHOB	48.237
138	CDKN2B	43.527
139	CDKN2A	43.4245
140	CDK1	42.9285
141	EZR	42.347
142	SH2D1B	41.337
143	BCL2L1	40.9345
144	MAP2K5	40.527499999999996
145	PDGFRA	39.0235
146	MAP2K3	38.2265
147	CDH1	38.1145
148	PAK1	38.009
149	JAK3	36.315999999999995
150	CD44	36.1255
151	BECN1	36.024
152	FGFR4	34.322500000000005
153	STK11	33.925
154	TERT	33.4205
155	JUP	32.1135
156	GRAP2	32.1045
157	MAP2K1	32.017
158	HGF	31.721500000000002
159	FER	31.65
160	MAP2K6	31.622000000000003
161	TGM2	31.311500000000002
162	CDKN2C	31.22
163	GLIS2	30.821000000000005
164	LATS2	30.323
165	RASSF1	28.7195
166	CCNE1	27.819
167	CREBBP	27.012999999999998
168	TEAD2	26.817500000000003
169	RPS6KA3	26.229000000000003
170	HSPA6	25.625999999999998
171	BRAF	25.6185
172	HSP90AB3P	25.0325
173	GAPDH	23.505000000000003
174	HSPA5	23.4155
175	CTNND1	23.128
176	MAPK8IP1	22.3315
177	KDELR2	22.118000000000002
178	GJA1	21.902
179	MDM2	20.515
180	MDM4	20.512
181	ARAF	19.4125
182	PARD3	18.008
183	PHACTR4	16.6055
184	DNAJC5	15.503
185	SMAD3	15.211000000000002
186	IRS4	14.9005
187	YWHAE	14.7085
188	ERBB2IP	14.510499999999999
189	YWHAQ	13.906
190	MLLT4	13.8095
191	CTNNA1	13.607499999999998
192	CDKN1A	13.6065
193	PPARG	12.813999999999998
194	MAP4K1	12.738499999999998
195	TUBB	12.709999999999999
196	ASAP1	11.538
197	OCLN	11.401
198	APP	10.6045
199	PPID	10.334999999999999
200	PAK4	10.3035
201	SORBS1	7.706999999999999
202	PEAK1	7.6265
203	CASKIN2	7.4295
204	DTNA	7.3205
205	TSC1	6.919
206	GNB2L1	6.6125
207	CXADR	5.619
208	USP6NL	5.4174999999999995
209	EPHA3	5.2235
210	PARK2	5.104
211	GPRIN1	5.016
212	MARCKS	5.011
213	RAB35	4.6135
214	MAP4K5	4.523
215	ITGB1	4.4085
216	FLOT1	4.317
217	NRAS	4.314
218	MARK3	4.204
219	PPFIBP1	4.115
220	FAM129B	4.1045
