rank	node	rank_score
1	HINT2	165.4
2	HRH3	157.098
3	C21orf33	142.77849999999998
4	CS	132.885
5	TSFM	129.5755
6	MDH2	128.67950000000002
7	AARS2	124.2905
8	GFM1	123.68050000000001
9	PDHA1	123.477
10	CLPP	122.67649999999999
11	PMPCA	122.17249999999999
12	TACO1	121.07750000000001
13	AGPAT2	118.499
14	NTRK1	117.69500000000001
15	MTIF2	117.37899999999999
16	GHSR	117.297
17	APP	116.798
18	PLK1	116.79650000000001
19	MTRF1L	116.0865
20	C6orf203	114.3685
21	TRAP1	112.89000000000001
22	MTRF1	112.082
23	FASTKD5	111.8835
24	LRPPRC	111.86500000000001
25	ABCB7	111.79650000000001
26	VWA8	108.98949999999999
27	ELOVL1	108.194
28	MRPS26	107.874
29	ACAD9	107.47350000000002
30	ETFB	105.768
31	FASTKD2	104.564
32	TRMT61B	103.671
33	AUH	103.56649999999999
34	TUFM	103.56300000000002
35	MRPS36	100.17999999999999
36	TBRG4	98.5655
37	C17orf80	98.4585
38	THEM4	95.9845
39	ICT1	94.16749999999999
40	VARS2	94.07000000000001
41	MRRF	92.76
42	PDK1	92.67150000000001
43	SSBP1	90.473
44	TRUB2	90.258
45	MTERF3	89.159
46	SLIRP	87.2535
47	NFS1	87.04549999999999
48	LONP1	86.9935
49	ACOT1	86.7565
50	PMPCB	86.657
51	GLS	84.8605
52	GATB	84.58250000000001
53	CARS2	84.5745
54	GRSF1	84.249
55	NDUFA6	83.5515
56	METTL17	83.454
57	HADH	82.663
58	C1QBP	81.9595
59	MRPL11	81.74600000000001
60	OGDH	81.6875
61	ACOT2	81.35499999999999
62	TFAM	79.55
63	MMAB	79.3425
64	MTG2	79.2415
65	ATP5J2-PTCD1	78.72049999999999
66	PDK3	78.072
67	TMEM70	77.99449999999999
68	HSPD1	76.25550000000001
69	KIAA1429	76.1995
70	NDUFAF2	75.748
71	MCUR1	75.0815
72	RNF4	73.7985
73	METTL15	72.3505
74	COX8A	72.26700000000001
75	PNPT1	71.675
76	NDUFS6	71.166
77	NDUFS7	70.6635
78	HSPE1	70.5565
79	NDUFV2	70.3495
80	PGM1	70.292
81	ATPAF1	69.0475
82	EXD2	68.35249999999999
83	ALDH4A1	67.069
84	MRPS12	65.7335
85	TRMT10C	65.3445
86	RPUSD4	65.0435
87	MTIF3	63.352999999999994
88	MRM1	62.650999999999996
89	PPA2	62.477999999999994
90	LARS2	61.645
91	CCDC90B	61.632999999999996
92	C12orf65	60.536500000000004
93	C8orf82	60.136
94	MRPL37	58.727999999999994
95	NDUFA12	58.047000000000004
96	COX4I1	57.4465
97	NDUFA2	56.734500000000004
98	PYCR2	56.552
99	TEFM	55.934000000000005
100	LYRM4	55.75450000000001
101	DHX30	55.74300000000001
102	MRPS6	55.327
103	CCDC109B	54.731500000000004
104	ENO3	53.5625
105	NGRN	52.82950000000001
106	QRSL1	52.1645
107	NDUFV3	52.0395
108	BCS1L	50.7625
109	PYCR1	50.428999999999995
110	ELAC2	49.53
111	TPI1	49.491
112	MRPS16	48.8245
113	NDUFS1	48.439
114	NDUFS4	48.338499999999996
115	TIMM44	48.269
116	ME2	47.8695
117	NDUFV1	47.3485
118	NDUFA7	47.035000000000004
119	IBA57	46.862
120	NDUFS8	46.739999999999995
121	IARS2	45.4325
122	NDUFS2	44.742000000000004
123	DDX28	44.425
124	PPIF	44.156
125	MRPS28	44.116499999999995
126	NDUFS3	44.037
127	PDE12	43.984
128	LYRM7	43.183
129	MRPS24	42.7265
130	NDUFA9	41.8375
131	MRPL10	41.701
132	OTC	41.617
133	MRPL43	41.403
134	MRPL21	41.2235
135	MRPS14	41.1225
136	NDUFA5	40.532
137	PDPR	40.1575
138	ETFA	40.141
139	ELAVL1	39.789
140	MRPS2	39.721500000000006
141	MTFMT	39.6135
142	CRYZ	39.416
143	MRPL41	38.805
144	MRPS17	38.419
145	HSDL2	38.381
146	COL22A1	38.294
147	MRPL24	37.802
148	PLEKHA4	37.786
149	FASTKD3	37.310500000000005
150	GFM2	37.222
151	HSPA9	37.0785
152	MRPL45	36.824
153	ACO2	36.6845
154	RTN4IP1	36.676
155	MRPL44	35.907
156	MRPS33	35.1175
157	NME4	34.7285
158	ACN9	34.4785
159	MRPS27	34.4195
160	RPUSD3	34.2305
161	SOD1	33.971500000000006
162	PRDX6	33.576499999999996
163	AK4	33.359
164	ENO1	33.283500000000004
165	PARK7	33.187
166	NNT	33.0855
167	MRPS22	32.718
168	MRPS23	32.621
169	MRPL48	32.32
170	GPI	32.270500000000006
171	MRPS25	32.213
172	MRPS9	32.0185
173	MRPL12	31.430500000000002
174	MRPS34	31.32
175	MRPL4	31.0015
176	EARS2	30.9935
177	SUPV3L1	30.9095
178	GSTO1	30.552999999999997
179	MRPS18B	30.415499999999998
180	MTG1	30.409000000000002
181	ARCN1	29.974
182	FDX1L	29.771000000000004
183	PRDX5	29.7605
184	MRPL50	29.306
185	MRPL46	29.123
186	MRPS31	29.014
187	MRPS10	29.011000000000003
188	FDX1	28.777499999999996
189	PGLS	28.772000000000002
190	GRHPR	28.3825
191	GCSH	28.377999999999997
192	CLIC1	28.075
193	GUF1	28.0705
194	NDUFAF4	27.835500000000003
195	PRDX2	27.764
196	MRPL19	27.702499999999997
197	CLIC4	27.3875
198	GSTP1	27.082
199	MRPS5	26.915
200	CMPK1	26.886000000000003
201	MRPL20	26.817
202	NDUFAB1	26.7755
203	HSCB	26.526
204	MRPS35	26.2255
205	UCHL1	25.4725
206	CFL2	25.397
207	HINT1	25.3865
208	SPR	25.384999999999998
209	SUCLA2	25.338
210	ERAL1	25.311500000000002
211	GLOD4	25.2745
212	PDP1	25.193
213	GLRX5	24.588
