rank	node	rank_score
1	CORT	180.1
2	PTPRA	179.1995
3	ERBB2	176.9975
4	FRS2	176.699
5	HSP90AA1	176.498
6	GAB1	169.497
7	STAT3	149.3725
8	PIK3R1	144.4945
9	PDGFRB	136.07999999999998
10	HCK	124.37550000000002
11	MET	123.093
12	SHC1	122.2935
13	EGFR	122.09549999999999
14	PLCG1	121.09400000000001
15	ABL1	120.48899999999999
16	GRB2	119.79249999999999
17	ITK	118.19650000000001
18	CBL	117.79
19	SYK	117.49600000000001
20	ERBB4	117.39099999999999
21	AR	117.2695
22	DOK1	115.995
23	SOCS1	114.383
24	VAV1	114.09049999999999
25	ZAP70	113.3895
26	ERBB3	113.388
27	RASA1	113.176
28	CRK	112.6875
29	JAK2	112.6825
30	PTPN11	112.082
31	KIT	111.48499999999999
32	FYN	111.2835
33	LCP2	110.292
34	SHB	110.0915
35	TEC	108.9845
36	SHC4	108.8815
37	SH3BP2	107.7885
38	PTPN6	107.08699999999999
39	PTK2	105.675
40	SOS1	105.1865
41	ABL2	105.17350000000002
42	PLCG2	104.4855
43	EPOR	103.97849999999998
44	CBLB	102.7805
45	NCK1	102.377
46	CRKL	101.87899999999999
47	PIK3R2	101.681
48	BLNK	99.48400000000001
49	LYN	99.078
50	IGF1R	98.9645
51	FGFR1	98.6765
52	CSF1R	97.7795
53	SOCS3	97.2715
54	PIK3R3	95.57300000000001
55	IRS1	95.265
56	LCK	95.172
57	JAK1	94.567
58	SH2D2A	93.77000000000001
59	GAB2	92.3775
60	FGR	92.3705
61	YES1	91.971
62	LAT	90.786
63	FLT3	90.474
64	WAS	89.069
65	TNK2	88.5685
66	BTK	88.36800000000001
67	NCK2	88.0675
68	CTNNB1	87.631
69	SLA	86.2745
70	CSK	83.4605
71	AKT1	82.3425
72	SH2D1A	80.2655
73	FES	79.7625
74	GRAP2	79.2635
75	HSP90AB1	78.852
76	VAV3	78.664
77	KHDRBS1	78.663
78	SH3KBP1	77.962
79	INSR	77.361
80	PECAM1	76.759
81	PTK6	76.75699999999999
82	BCR	75.8615
83	IL6ST	75.4665
84	HSH2D	75.066
85	INPP5D	72.7595
86	GRB10	72.7475
87	SOCS2	72.65650000000001
88	DOK2	72.36
89	BLK	71.9585
90	CDC37	71.149
91	GHR	70.056
92	HSP90AB3P	69.2515
93	STAT1	67.92699999999999
94	PIK3CA	67.34349999999999
95	INPPL1	66.5535
96	PAG1	66.15799999999999
97	FASLG	65.3555
98	PXN	65.15299999999999
99	MATK	64.9525
100	TXK	64.75750000000001
101	SH2B1	64.65450000000001
102	KDR	64.648
103	SH2B2	64.354
104	MAPK1	64.319
105	LRRK1	62.851
106	SKAP2	62.55499999999999
107	EPHA2	60.7395
108	FLT1	59.4465
109	IRS2	59.246
110	GRASP	58.9985
111	RAF1	58.5415
112	PTPN12	58.1485
113	NEDD4	56.443000000000005
114	HSPA1A	55.04549999999999
115	SH2D1B	53.6495
116	IL2RB	53.144499999999994
117	STAT5A	52.745000000000005
118	CBLC	51.934000000000005
119	SLA2	51.6505
120	NTRK1	51.538
121	HIF1A	51.202999999999996
122	PRRG4	50.340999999999994
123	STAT5B	49.140499999999996
124	HSPA4	49.129
125	ASAP1	48.847
126	OLIG1	48.8365
127	CD247	48.744
128	FGFR2	48.64
129	VAV2	48.6385
130	ARHGAP32	47.837
131	SHC3	47.1375
132	ITGB3	46.742000000000004
133	ARNT	46.607
134	CAV1	46.535000000000004
135	RELA	45.702999999999996
136	PDGFRA	45.222
137	SHC2	45.032
138	PIK3CB	44.8355
139	HSPA8	43.6265
140	ALK	42.736000000000004
141	TYK2	42.5325
142	HSPA6	42.43
143	MAPK3	42.223
144	JAK3	41.9345
145	STUB1	41.516
146	BCAR1	40.933
147	IRS4	39.3295
148	CEBPG	39.298500000000004
149	MAP2K3	38.1175
150	MAP2K5	37.1125
151	AXL	36.0305
152	MAPT	35.5195
153	NEDD9	35.1315
154	CSF2RB	34.73350000000001
155	NF2	34.5115
156	IKBKB	34.298
157	HSPA5	33.9255
158	CDKN2B	33.9105
159	HSPA9	33.425
160	SH2B3	33.15
161	CDK4	32.910000000000004
162	MAP3K5	32.5045
163	CHUK	32.432
164	TNFRSF1A	32.116499999999995
165	STK11	31.4095
166	SIRPA	30.826
167	CCND2	30.508500000000005
168	CD44	30.107999999999997
169	FGFR4	30.107499999999998
170	CDK6	29.7065
171	TERT	29.5055
172	JUP	29.22
173	TEK	28.722500000000004
174	SMAD3	28.472
175	GLIS2	27.905
176	BCL3	27.851999999999997
177	ARAF	27.811
178	SP1	27.7695
179	LATS2	27.506
180	TNS3	27.428499999999996
181	HGF	27.003999999999998
182	MAPK8	26.972500000000004
183	SOCS6	25.839
184	RPS6KA3	25.721500000000002
185	CDH1	25.624000000000002
186	TNS1	25.527
187	TP53	25.249000000000002
188	CTNND1	24.521
189	CDKN2A	24.4025
190	RB1	24.3635
191	MDM2	24.3615
192	UBASH3B	23.3275
193	BMX	23.0245
194	RASSF1	22.801
195	CDKN2C	22.6005
196	TEAD2	22.502000000000002
197	BRAF	22.409
198	MAP2K6	22.2035
199	MAPK14	20.7015
200	MAP4K1	19.728
201	KDELR2	19.404
202	ATF2	19.393
203	ATF3	19.2965
204	BATF	19.1935
205	CEBPE	19.095
206	DDIT3	18.991999999999997
207	KAT2A	18.912
208	BATF3	18.894
209	MYC	18.819
210	ATF7	18.788999999999998
211	FOSL1	18.691
212	TRAF6	18.6115
213	ATF4	18.5925
214	HSPH1	18.5155
215	JUNB	18.490000000000002
216	CEBPA	18.3915
217	BATF2	18.2895
218	DBP	18.1905
219	JDP2	18.0885
220	CREB5	17.988
221	FOSB	17.8875
222	TRIB1	17.7865
223	DNMT3L	17.687
224	FOSL2	17.586000000000002
225	CCNE1	17.5025
226	SRA1	17.4855
227	RFWD2	17.384999999999998
228	DET1	17.282
229	STK40	17.1815
230	NFE2L2	17.0845
231	CEBPB	16.984
232	GOPC	16.8835
233	CREBBP	16.683
234	ETS2	16.5825
235	ETS1	16.481
236	CREB1	16.3805
237	ATF1	16.178
238	NFIL3	16.080000000000002
239	DNAJA1	16.0135
240	MAFF	15.979
241	TTYH2	15.902000000000001
242	MAFG	15.879499999999998
243	BACH2	15.7785
244	BACH1	15.677000000000001
245	MAF	15.5775
246	SPI1	15.473500000000001
247	ETV1	15.373
248	MAFK	15.1745
249	MAP2K1	15.1005
250	EGR1	14.875499999999999
251	NFATC2	14.775
252	PTEN	14.713999999999999
253	NFATC1	14.675999999999998
254	EP300	14.568999999999999
255	HDAC1	14.470500000000001
256	SHD	14.323500000000001
257	YWHAZ	14.215
258	EPAS1	14.071000000000002
259	SMARCA4	13.9715
260	GATA1	13.868
261	HDAC3	13.767500000000002
262	PML	13.6655
263	BCL6	13.566999999999998
264	NCOR1	13.466
265	NCOR2	13.366499999999998
266	RUNX1	13.264500000000002
267	RUNX2	13.165000000000001
268	NCOA3	13.058000000000002
269	PGR	12.950999999999999
270	VDR	12.863999999999999
271	PPARG	12.762
272	RARA	12.661
273	NCOA1	12.558499999999999
274	KAT2B	12.3605
275	NCOA6	12.26
276	RXRA	12.1595
277	MYOD1	12.0625
278	NFKB1	11.9575
279	KLF5	11.859
280	SRF	11.754000000000001
281	SIRT1	11.663
282	HDAC4	11.5535
283	CEBPD	11.4135
284	UBE2I	11.3545
285	NR1H2	11.253
286	NR1H3	11.0475
287	HNF4A	10.855500000000001
288	PIAS1	10.548
289	NR0B2	10.4485
290	NR1I2	10.3505
291	PPARGC1A	10.25
292	PPARD	10.147
293	NCOA2	10.0495
294	TBP	9.754999999999999
295	KAT5	9.6515
296	E2F1	9.544
297	NR3C1	9.446
298	RPS6KA1	9.418000000000001
299	HDAC2	9.244499999999999
300	ZBTB7A	9.1435
301	NRIP1	9.043000000000001
302	ZBTB16	8.941500000000001
303	PARP1	8.8405
304	POU2F1	8.7455
305	THRB	8.61
306	SMARCA2	8.440000000000001
307	BRCA1	8.3425
308	SMARCC1	8.2395
309	SORBS1	8.2205
310	CARM1	8.139
311	STAP2	8.128499999999999
312	ESR1	8.041
313	SIN3A	7.9375
314	SMARCC2	7.837999999999999
315	ARID1A	7.7385
316	SMARCE1	7.6370000000000005
317	PTPRR	7.600999999999999
318	SMARCB1	7.536499999999999
319	NR4A1	7.436
320	FLI1	7.333499999999999
321	CTBP1	7.1345
322	PIAS2	6.933
323	SOX2	6.8315
324	YWHAE	6.8015
325	SMAD2	6.734999999999999
326	FCGR2B	6.715999999999999
327	TFAP2A	6.617
328	ILKAP	6.517
329	AHR	6.514
330	SMARCD3	6.43
331	EZH2	6.32
332	SMARCD1	6.2284999999999995
333	HDAC6	6.213
334	SMARCD2	6.1305
335	SS18	6.029
336	SS18L1	5.9295
337	ARID1B	5.8275
338	ACTL6A	5.728
339	DPF1	5.627000000000001
340	ARID2	5.5265
341	DPF3	5.426
342	GLTSCR1	5.325
343	DPF2	5.223
344	BCL7A	5.124499999999999
345	PHF10	5.0255
346	BRD9	4.924
347	PBRM1	4.8235
348	BCL7C	4.7225
349	STK11IP	4.622
350	SS18L2	4.521
351	BCL7B	4.4215
352	TEX13B	4.3205
353	CAD	4.311999999999999
354	RELB	4.2195
355	YY1	4.1185
356	HIST1H4A	4.0165
357	TBL1XR1	3.9155
358	SMAD4	3.8145000000000002
359	ING1	3.7159999999999997
360	FHL2	3.618
361	FOXO1	3.5340000000000003
362	SP3	3.4325
363	NR1H4	3.3034999999999997
364	DNMT1	3.2175
365	ERRFI1	3.1185
366	MED1	3.113
367	TUBB	2.807
368	TDG	2.745
369	ARRB1	2.7079999999999997
370	NR2C1	2.6149999999999998
371	BRD4	2.5065
372	TP53BP1	2.4125
373	KPNA1	2.3105
374	EPHB2	2.2239999999999998
375	KDM1A	2.211
376	E2F4	2.131
377	TP73	2.0420000000000003
378	MAPK7	2.0095
379	USP7	1.909
380	CIC	1.8094999999999999
381	GTF2I	1.7085000000000001
382	SMARCA5	1.5074999999999998
383	PRKDC	1.407
384	XRCC5	1.306
385	HDAC5	1.204
386	XRCC6	1.1045
387	THRA	1.0050000000000001
388	CSNK2A1	0.8055
389	SNCA	0.704
390	RBBP4	0.7030000000000001
391	PAK2	0.6144999999999999
392	BRMS1	0.6025
393	NKX2-1	0.5015
394	MTA2	0.40049999999999997
395	PAK1	0.3065
396	HCFC1	0.301
397	SFPQ	0.202
398	DDR2	0.0975
399	MUC1	0.0965
400	ADRBK1	0.096
401	PRKCD	0.096
402	PRKCQ	0.095
403	TNFAIP3	0.0945
404	MDM4	0.08249999999999999
405	FZR1	0.08149999999999999
406	ARIH1	0.081
407	ABCB5	0.081
408	TSC1	0.0785
409	GLIS1	0.0775
410	GTF2A1L	0.0765
411	NFIC	0.0765
412	SOX3	0.076
413	AURKA	0.0755
414	SOX4	0.068
415	DACH1	0.066
416	FKBP5	0.065
417	GSK3B	0.0645
418	PPARA	0.0495
419	RXRG	0.042499999999999996
420	PIK3CG	0.0375
421	CDK1	0.028000000000000004
422	STAP1	0.026000000000000002
423	MST1R	0.017499999999999998
424	CD2AP	0.016
425	CTNNA1	0.015
426	ILK	0.014499999999999999
427	SETD7	0.014000000000000002
428	KRAS	0.0125
429	PRKCZ	0.0125
430	CDKN1A	0.0115
431	GAREM	0.0115
432	DNAJA2	0.011
433	MAP2K2	0.01
434	TUBB4B	0.0085
435	SUMO1	0.008
436	BAG2	0.006
437	PRKCE	0.0055
438	ELK1	0.005
439	CLTC	0.004
440	SQSTM1	0.003
441	HRAS	0.0025
442	YWHAQ	0.002
443	TUBA1B	0.001
444	TOP2B	0.0005
