rank	node	rank_score
1	LMAN1	177.499
2	TBX2	159.7
3	SLC16A1	139.09949999999998
4	RPN1	135.5355
5	ATP1A1	132.535
6	PHB	126.76050000000001
7	SLC25A3	120.2585
8	MTCH2	115.7665
9	UFL1	101.997
10	SSR4	99.0335
11	COIL	98.5985
12	HSD17B12	98.098
13	TECR	96.5965
14	ATP5A1	92.7595
15	DDRGK1	92.73150000000001
16	TOMM22	89.7855
17	AIFM1	88.658
18	ATP5B	81.822
19	SEC61A1	76.89750000000001
20	UQCRC2	75.69550000000001
21	CLN3	75.593
22	DDOST	74.6935
23	CYC1	73.09049999999999
24	VDAC2	72.291
25	ATP5C1	71.7945
26	VDAC3	71.388
27	CANX	71.0885
28	UQCRQ	70.6875
29	TOMM5	69.686
30	TOMM40	69.384
31	COX2	68.787
32	HADHB	68.5865
33	ZNF782	68.4835
34	COX7A2L	67.6845
35	C20orf24	67.183
36	ANKRD34C	66.5805
37	COX7C	66.1815
38	NDUFA4	65.88250000000001
39	NDUFS8	65.582
40	SCCPDH	65.179
41	NDUFS1	64.28099999999999
42	NIPSNAP1	64.17949999999999
43	PHB2	64.1785
44	COA3	63.8775
45	PDHB	62.976
46	COX15	62.8895
47	NDUFV1	62.878
48	UQCRC1	62.7765
49	FKBP8	62.674
50	NDUFA9	62.277
51	NDUFS3	61.2745
52	PDHA1	60.974000000000004
53	COX4I1	60.8755
54	HADHA	60.373000000000005
55	COX7A2	60.173500000000004
56	NDUFS7	60.075
57	HSP90B1	59.885000000000005
58	NDUFS2	58.972500000000004
59	NDUFS5	58.972
60	BAG2	58.8985
61	DNAJC7	58.597500000000004
62	STIP1	57.5955
63	CORO1C	57.471500000000006
64	VDAC1	57.371
65	MYL12A	57.17
66	BCKDHA	57.06949999999999
67	HSPA1A	56.398
68	DNAJB14	56.1965
69	DNAJB12	56.096000000000004
70	ATP6V1A	55.9705
71	DNAJB1	55.6915
72	HSPA8	55.295
73	ST13	55.093
74	HSPA2	54.99249999999999
75	DNAJB8	54.992
76	HSPA4	54.791
77	BAG5	54.790499999999994
78	NDUFA8	54.56849999999999
79	MGST3	54.467499999999994
80	OGDH	53.86800000000001
81	NDUFB8	53.866499999999995
82	IMMT	53.766999999999996
83	DNAJA1	53.494499999999995
84	NDUFB9	53.366
85	DNAJA2	53.288
86	DNAJB5	52.9895
87	COX6C	52.8655
88	HSPA1L	52.786500000000004
89	PCCB	52.464999999999996
90	HPSE	52.29
91	DNAJA4	51.989
92	DNAJB4	51.887
93	MINOS1	51.563
94	DNAJB2	51.384
95	COX5A	51.3645
96	AKAP1	51.294000000000004
97	HSPA6	51.185500000000005
98	MLF2	50.985
99	SFXN1	50.964
100	C3orf38	50.8845
101	HSPH1	50.7885
102	ABHD15	50.486000000000004
103	NDUFB10	50.463499999999996
104	POR	50.2605
105	DNAJB6	50.082499999999996
106	EMC2	49.9615
107	RIPK4	49.5815
108	APOE	49.361000000000004
109	HMOX2	49.2565
110	ENDOG	48.9875
111	CCDC117	48.982
112	GRPEL1	48.681
113	BAG1	48.2805
114	BAG4	47.983000000000004
115	METTL3	47.88
116	HSPA9	47.579499999999996
117	HSPBP1	47.379
118	LRPPRC	47.162
119	HSPA4L	46.778
120	ATP5O	46.659000000000006
121	C15orf48	46.6585
122	METTL21A	46.5785
