rank	node	rank_score
1	RB1	180.1
2	EEF2	179.1995
3	FN1	178.299
4	SLC25A5	176.998
5	CTNNB1	176.29749999999999
6	HSP90AA1	176.19850000000002
7	SP1	174.697
8	AKT1	173.69650000000001
9	CDKN2A	172.796
10	HSPA9	171.5955
11	MAPK14	170.8945
12	MAP2K3	170.79500000000002
13	STK11	169.494
14	ARNT	168.3935
15	HDAC1	166.293
16	NF2	164.7925
17	HIF1A	164.692
18	LATS2	163.0905
19	RELA	160.59099999999998
20	CDK9	160.4915
21	CDKN2C	160.2855
22	CDKN2B	159.786
23	RAF1	159.3865
24	CDK6	158.087
25	MAP2K5	157.7845
26	RASSF1	157.58800000000002
27	GLIS2	155.58499999999998
28	CCND2	154.8835
29	EPHA2	154.183
30	MDM2	152.89000000000001
31	TERT	152.584
32	FGFR4	152.1825
33	HGF	151.882
34	MAP2K6	150.4815
35	GRM1	150.381
36	MET	148.17950000000002
37	BECN1	147.5805
38	MDM4	147.28
39	CBLC	146.279
40	AR	145.4895
41	TEAD2	144.4785
42	ARAF	143.976
43	PDGFRA	143.3775
44	AURKA	142.089
45	KDELR2	141.8765
46	FZR1	141.777
47	CCNE1	140.378
48	HSP90AB1	138.27550000000002
49	PML	137.5885
50	PARK2	136.974
51	CDC37	136.575
52	HSPA1A	134.6745
53	GNB2L1	131.4735
54	IGF1R	130.072
55	PKM	129.169
56	MAP2K1	128.27249999999998
57	PCNA	127.27150000000002
58	FUS	127.168
59	CUL1	126.86949999999999
60	GAPDH	126.7705
61	GSK3B	126.6655
62	EEF1A1	124.5675
63	HDAC6	124.1685
64	CUL4A	124.06700000000001
65	CDKN1A	123.27000000000001
66	PABPC1	121.66599999999998
67	RPS4X	121.06649999999999
68	YAP1	120.965
69	YWHAZ	117.5635
70	ATP5A1	117.36449999999999
71	SRC	116.07300000000001
72	BRD4	115.064
73	RPS3	109.65900000000002
74	TARDBP	108.35799999999999
75	RPS5	102.749
76	RPS27	98.9515
77	HNRNPA1	98.763
78	RPL12	97.85
79	RPL7	96.2495
80	RPL21	95.04650000000001
81	RPS15A	94.147
82	RPS3A	93.9475
83	RPS7	93.548
84	RPS23	93.3485
85	RPL11	93.34549999999999
86	UBL4A	91.74600000000001
87	CUL2	91.45450000000001
88	RPS16	89.644
89	RPS18	88.8445
90	RPL5	86.2435
91	RPL10A	86.24249999999999
92	RPL23	86.045
93	RPS25	85.643
94	RPSA	84.6415
95	RPL24	82.9405
96	BRCA1	82.3575
97	RPS9	81.94200000000001
98	RPS26	81.73949999999999
99	RPS2	80.6375
100	RPLP2	80.541
101	RPL27	79.939
102	RPLP1	78.138
103	RPL6	76.6385
104	RPL9	76.34
105	ABL1	76.1625
106	RPS11	75.737
107	HSPB1	75.3615
108	CYLD	74.35499999999999
109	RPL14	74.03299999999999
110	HUWE1	73.762
111	HSPA4	73.1605
112	HSPA5	72.65950000000001
113	VCP	72.4585
114	NCL	72.3505
115	RPL7A	72.2355
116	RPS20	71.435
117	RPL27A	70.136
118	PCBP1	69.75399999999999
119	TUBB	69.05699999999999
120	RPL22	68.834
121	RPL38	68.83250000000001
122	RPS8	67.53450000000001
123	RPS14	67.3335
124	RPL4	67.33099999999999
125	HNRNPK	66.95599999999999
126	PRPF8	66.2365
127	STUB1	65.56
128	RPL23A	64.22999999999999
129	LOC101929876	64.2295
130	RPS13	63.928999999999995
131	RPL3	62.63199999999999
132	RPS12	62.331500000000005
133	RPL30	61.93050000000001
134	METTL14	60.927
135	EGFR	60.761
136	RPL18A	60.3285
137	CDK1	60.17100000000001
138	RPL10L	59.628
139	PSMA3	57.55650000000001
140	RPLP0	57.3275
141	YWHAQ	56.255500000000005
142	RPL34	55.923500000000004
143	RPS6	54.8255
144	RPLP0P6	54.8245
145	RPL17	54.226
146	HEXIM1	53.952
147	UBE2M	53.8535
148	HNRNPA2B1	53.352999999999994
149	RPL8	52.625
150	MCM2	52.251
151	RPL35	52.223
152	RPL37A	51.1225
153	RPL19	51.024
154	HNRNPU	49.6265
155	RPS10	49.121
156	REST	48.3195
157	RPS24	47.6205
158	RPS28	45.62
159	RPL31	44.619
160	RPS17	43.9185
161	ARIH2	43.918
162	RPL32	43.4215
163	PGK1	42.3525
164	RPL13A	41.8175
165	VRK1	40.617000000000004
166	AAR2	40.522000000000006
167	RPL36	38.616499999999995
168	RPL10	37.416
169	ITFG1	36.3135
170	RBM39	35.3155
171	CAND1	33.4145
172	RPL35A	33.413
173	HMGB1	33.114
174	MEPCE	32.315
175	RPS27L	28.512
176	PAN2	28.208
177	RPL26	27.210500000000003
178	SNRNP70	26.809500000000003
179	LARP7	26.0125
180	ILF3	25.1115
181	PPP1CC	25.11
182	DUX4	24.5045
183	RPL29	24.309
184	TFCP2	24.256999999999998
185	BTF3	20.506
186	WWP2	20.107
187	HNRNPM	19.9055
188	RIN3	19.511000000000003
189	EFTUD2	19.2065
190	CHD3	18.9085
191	RPS27A	18.5075
192	SIRT1	17.9875
193	NR2C2	13.2025
194	RIOK1	13.003
195	RPL28	12.501999999999999
196	RECQL4	6.8035
197	PIH1D1	6.6049999999999995
