rank	node	rank_score
1	HSP90AA1	180.1
2	STUB1	178.199
3	HSPA4	170.4985
4	CDC37	169.894
5	AKT1	162.988
6	HSPA5	161.8935
7	SNCA	160.3835
8	HSPB1	155.7775
9	HSP90AB1	154.9855
10	FKBP4	154.98250000000002
11	MAST1	152.497
12	PKM	151.198
13	HSPA8	150.88400000000001
14	STIP1	150.882
15	CTNNB1	150.17649999999998
16	CDK5	149.696
17	YWHAZ	148.4755
18	LRRK2	147.783
19	YWHAQ	144.778
20	HSPA1A	141.68099999999998
21	HDAC4	140.9795
22	PPP5C	138.579
23	PARK2	136.48499999999999
24	HSPA9	136.47150000000002
25	GAPDH	135.38
26	TUBB	134.6745
27	HDAC6	132.672
28	EEF2	123.39949999999999
29	YWHAE	122.369
30	PRDX2	121.893
31	ATP5A1	118.7705
32	PINK1	118.2805
33	EGFR	113.975
34	PGK1	113.07249999999999
35	UBE2M	111.773
36	ATXN3	111.27000000000001
37	AR	110.577
38	VCP	108.26849999999999
39	HUWE1	107.974
40	HSP90B1	107.06949999999999
41	EEF1A1	106.768
42	ARAF	106.1895
43	PSMA3	104.571
44	YAP1	103.36399999999999
45	FGD5	100.16749999999999
46	IRS1	98.39
47	AHSA1	98.1815
48	PRPF8	98.161
49	MCM2	97.9625
50	TARDBP	97.3655
51	CSK	95.0735
52	HSPH1	94.1635
53	PRKCZ	93.874
54	HNRNPA1	91.965
55	FUS	91.2645
56	RAF1	90.9715
57	CAD	90.7355
58	SGK3	90.1935
59	FAF1	90.066
60	DNAJB1	89.9915
61	LDHA	88.162
62	AAR2	88.0575
63	TCP1	86.6535
64	PPID	85.6865
65	MAP3K11	85.4845
66	PHB	83.85499999999999
67	ALDOA	83.6605
68	DNAJA1	82.56800000000001
69	RBM39	82.45599999999999
70	CFL1	82.3585
71	ACTB	82.267
72	LDHB	82.25800000000001
73	CCT8	81.73949999999999
74	NPM1	81.3555
75	CDC37L1	80.9785
76	HSPD1	79.247
77	EFTUD2	78.454
78	RNF32	77.19449999999999
79	PSEN1	77.095
80	PPIA	76.85900000000001
81	CCT2	76.7405
82	GRB2	76.276
83	CYP2C8	75.692
84	CDK2	75.6515
85	PIH1D1	75.551
86	A2M	75.49249999999999
87	FBXL12	75.091
88	FN1	74.46000000000001
89	ECSIT	74.2905
90	IFIT5	73.7895
91	IFIT3	73.39
92	GCDH	72.989
93	ELAVL3	72.786
94	PRAM1	72.5875
95	EXOC6	72.3885
96	METTL14	72.25450000000001
97	PRDX1	71.848
98	EXOSC1	71.787
99	CCT4	70.638
100	ATP5B	70.263
101	RIN3	69.14750000000001
102	MYC	68.9465
103	TKT	68.6495
104	HNRNPD	67.6975
105	PPT1	66.4615
106	PCBP1	65.85249999999999
107	VCAM1	65.3595
108	SRC	65.29249999999999
109	MAPK7	64.36449999999999
110	AGR2	61.649
111	RECQL4	60.845499999999994
112	BCL2L1	60.48350000000001
113	IGFBP7	59.4995
114	CDC73	58.6725
115	CCT6A	58.133500000000005
116	TUBB4B	58.035000000000004
117	CSNK2A1	57.39300000000001
118	HEXIM1	56.5415
119	RPS3	56.45
120	CCT3	56.1365
121	CCT7	56.0425
122	HDAC5	56.0415
123	PARK7	55.4645
124	CCT5	55.3325
125	PHGDH	55.157500000000006
126	SLC25A5	54.84349999999999
127	LCK	54.07000000000001
128	TFCP2	53.9375
129	U2AF2	53.452999999999996
130	CYP2C18	52.9865
131	CYP2C9	52.486000000000004
132	SOD1	52.477
133	CLTC	51.934000000000005
134	CHUK	50.2935
135	HNRNPA2B1	49.157
136	ITGA4	48.243
137	HNRNPK	48.0565
138	FASN	47.933
139	PDIA3	47.846000000000004
140	EEF1G	47.046
141	BRD4	47.0385
142	TUBA1C	45.338499999999996
143	RPS4X	45.048500000000004
144	P4HB	44.9445
145	CDK9	44.44
146	CUL1	43.141
147	DDX39B	41.844
148	CBL	41.4645
149	RPS15A	41.3425
150	HSD17B10	40.955
151	UFL1	40.802499999999995
152	EEF1B2	40.744
153	PHB2	39.952
154	RPSA	39.942
155	YWHAB	39.923500000000004
156	BIRC3	39.751
157	SLC25A3	39.4365
158	CYLD	38.230000000000004
159	NME1	38.134
160	NDN	36.1365
161	ZDHHC23	35.998000000000005
162	CALR	35.5675
163	EEF1D	35.148
164	NOX5	33.496500000000005
165	MIF	33.263
166	CFTR	32.863
167	RPS3A	31.435000000000002
168	EIF4A1	30.6445
169	GRB10	30.381999999999998
170	PRKCG	30.083000000000006
171	ERBB2	29.770500000000006
172	MATK	29.678499999999996
173	PABPC1	29.244999999999997
174	TUBA1B	28.339
175	TRIM28	28.327999999999996
176	RPL7	27.331
177	CAND1	27.1065
178	SHC1	26.7635
179	UBC	26.607999999999997
180	MEPCE	26.401999999999997
181	ABL1	26.259500000000003
182	RPL23	25.6355
183	MAP2K3	25.073500000000003
184	MAP2K5	25.072
185	BRAF	24.674
186	HNRNPU	24.336000000000002
187	LGALS9	24.141
188	MAP2K2	24.075499999999998
189	PTBP1	24.038999999999998
190	CUL7	23.835
191	NTRK1	23.734
192	BAG2	23.6685
193	PRDX3	23.457
194	PCBP2	23.445
195	HSPA6	23.176499999999997
196	JUP	23.1255
197	RPL9	22.7335
198	WDR5	22.631999999999998
199	MAP2K1	22.47
200	DNAJA2	22.3725
201	RPL12	20.734
202	RPS7	20.037
203	IGFBP3	19.9995
204	GUCY1B3	19.697499999999998
205	PTEN	19.6275
206	HNRNPA3	19.5165
