rank	node	rank_score
1	DLG4	175.39000000000001
2	HSP90AA1	164.589
3	CTNNB1	164.06300000000002
4	NETO1	153.4875
5	GRIN1	152.199
6	YWHAZ	150.297
7	HSPA4	149.5795
8	ABL1	148.7945
9	TFAP2A	148.77249999999998
10	HSP90AB1	148.683
11	LPPR3	148.0
12	HSPA5	143.6935
13	AKT1	142.582
14	CBL	139.1975
15	MAPT	139.0895
16	SRC	136.692
17	SHC1	136.27849999999998
18	EGFR	135.19400000000002
19	GNAO1	134.096
20	IGF1R	133.674
21	PKM	127.407
22	STUB1	125.4805
23	HSPA8	124.3865
24	TNK2	120.881
25	STAT3	120.6665
26	HSPB1	120.4315
27	NTRK1	120.25349999999999
28	APP	118.69650000000001
29	KIAA1429	117.59850000000002
30	MAPK1	117.0195
31	JUP	115.5325
32	CDC37	113.84949999999999
33	IRS1	112.293
34	GRB2	111.39949999999999
35	GSK3B	110.46700000000001
36	PRKCD	107.49549999999999
37	ERBB2	105.3845
38	CITED4	104.085
39	ARRB1	103.6235
40	GRB10	101.2745
41	HSPA9	100.37049999999999
42	MAP2K3	99.22999999999999
43	HDAC6	98.67999999999999
44	FES	97.4675
45	CSK	96.5755
46	HSPH1	95.55850000000001
47	ATP5A1	93.84349999999999
48	LCK	90.7855
49	JAK2	90.577
50	RPS6KA5	90.2905
51	HSPA1A	89.771
52	SQSTM1	89.398
53	PTPN11	84.075
54	ZAP70	80.2825
55	CSNK2A1	80.187
56	MATK	79.576
57	PLCG1	79.1885
58	FER	78.922
59	ERBB4	78.685
60	PTK2	78.16900000000001
61	ERBB3	77.979
62	A2M	77.09349999999999
63	MET	77.07300000000001
64	BCR	77.0595
65	TUBB	76.9105
66	CRK	74.67
67	SOCS1	74.5765
68	ABL2	74.366
69	MYH9	74.14349999999999
70	LRRK1	73.4915
71	CBLB	73.1465
72	HSF1	73.063
73	PLEKHA4	72.99249999999999
74	HSPA6	72.143
75	SYK	69.991
76	PLCG2	69.2715
77	MIR340	69.187
78	SHC4	68.565
79	KIT	68.3735
80	MAP3K5	67.726
81	ITK	65.97200000000001
82	RASA1	65.584
83	IGHV1-2	63.588
84	PRKDC	63.4745
85	STIP1	62.866499999999995
86	PTEN	62.42
87	HIF1A	61.878
88	PIK3R2	61.855999999999995
89	ESR1	60.10699999999999
90	PDGFRB	59.54549999999999
91	GHSR	59.199
92	YWHAE	58.12950000000001
93	GAB2	57.6475
94	BTK	57.5355
95	BRD4	57.259
96	YWHAQ	56.809000000000005
97	GAB3	56.081500000000005
98	CRKL	55.65
99	PGK1	55.480500000000006
100	MAPK7	55.1225
101	YAP1	54.3685
102	RAF1	54.132999999999996
103	CSF1R	53.848
104	MYC	53.052
105	SOCS3	52.168499999999995
106	RNF4	52.088499999999996
107	HCK	51.6635
108	LCP2	51.3725
109	ARHGAP32	51.3515
110	DOK1	51.25750000000001
111	GAB1	51.162
112	GNB2L1	50.5045
113	PXN	50.1645
114	TEC	49.646
115	DNAJA1	49.411
116	CAD	48.219
117	PRKCZ	47.21
118	RELA	46.3575
119	FGR	46.242000000000004
120	SP1	46.0695
121	VAV1	45.445
122	PTK6	45.257
123	ETS1	43.891
124	BLK	43.0385
125	EEF2	42.6145
126	BLNK	41.8525
127	UBC	41.5105
128	LYN	41.354
129	PTPN6	40.951
130	G3BP1	40.8835
131	BRCA1	40.777
132	SH2B3	40.768
133	MCM2	40.669
134	BRAF	40.621500000000005
135	YES1	40.547000000000004
136	SH2B1	39.827999999999996
137	ENO1	39.0475
138	SOS1	38.96
139	VCP	38.9245
140	EPOR	38.4485
141	SHB	38.0775
142	RET	37.416999999999994
143	MAPK3	37.186
144	FGFR1	37.155
145	SH2D2A	36.8605
146	TRIM25	36.313
147	SH3BP2	36.159000000000006
148	PECAM1	36.126999999999995
149	MAP2K1	35.9205
150	NCK1	35.8545
151	FKBP4	35.772000000000006
152	INSR	35.0615
153	JAK1	34.958
154	CDK1	34.458000000000006
155	ZMIZ1	34.373000000000005
156	GRIN3A	34.065999999999995
157	PRPF8	33.7895
158	CDH6	33.291
159	ABHD15	33.2845
160	YWHAB	32.628499999999995
161	CHUK	32.581
162	PCBP1	31.509500000000003
163	FLT3	31.332
164	LINC01485	31.0935
165	GHR	31.065499999999997
166	ARAF	30.615999999999996
167	KHDRBS1	30.54
168	NOX5	30.370500000000003
169	TARDBP	30.3645
170	HSH2D	30.306
171	PIK3R3	29.952999999999996
172	HSP90AB3P	29.828999999999997
173	INPP5D	29.649
174	TRAF6	29.503499999999995
175	PGR	28.671000000000003
176	POU2F1	28.383499999999998
177	MAP2K5	28.205000000000002
178	GRAP2	28.135
179	WAS	27.303999999999995
180	PRKCE	27.208
181	VAV3	27.1415
182	LRRK2	26.851999999999997
183	EFTUD2	26.8425
184	FCGR2B	26.613999999999997
185	FASN	26.2385
186	SLA	26.2365
187	CLTC	25.746500000000005
188	HSPA1L	24.917
189	HNRNPK	24.6235
190	MST1R	24.313499999999998
191	PRDX1	24.014
192	IRS2	23.8265
193	PARK2	22.7545
194	HES5	22.7215
195	NPM1	22.4315
196	ACTB	22.161
197	DSP	22.1465
198	IRS4	22.136000000000003
199	LTK	21.778
200	LAT	21.325
201	INPPL1	20.344
202	ATXN3	20.0375
203	DNAJB1	19.9525
204	VAV2	19.831
205	SH2D1A	19.820999999999998
206	GPRASP1	19.7965
207	SH2B2	19.734
208	PRDX2	19.213
209	NEDD4	19.023
210	CDH1	18.9555
211	TP73	18.738999999999997
212	ARRB2	18.306
213	TMEM223	18.2985
214	RRM2	18.1905
215	TP63	18.121000000000002
216	ALDOA	18.076
217	UBE2M	18.0355
218	SH3KBP1	17.9345
219	PRKCA	17.8895
220	NCOR2	17.4955
221	PDE4D	17.473
222	HTT	17.387
223	BCL3	16.985
224	ZNF839	16.925
225	UBE2I	16.852
226	SIRT1	16.6505
227	HDAC1	16.2275
228	KCNJ3	16.0915
229	EEF1A1	15.9085
230	MAP3K11	15.882
231	SOCS2	15.838
232	NCK2	15.628
233	PTPN12	15.618500000000001
234	PPID	15.166
235	CREBBP	15.161000000000001
236	RPS6KA3	15.016500000000002
237	TUBB4B	14.802000000000001
238	HDAC3	14.751
239	JUN	14.361500000000001
240	BAG2	14.214500000000001
241	EPHB2	14.1775
242	HUWE1	14.1535
243	BCAR1	14.130500000000001
244	FAF1	14.047
245	RUNX2	13.741
246	LDHA	13.6565
247	SH2D1B	13.64
248	PPP5C	13.600999999999999
249	SHC3	13.5945
250	XRCC6	13.213999999999999
251	NCOA6	13.209999999999999
252	IL6ST	13.1505
253	PLAGL1	13.024000000000001
254	MDM2	12.825
255	PPARG	12.659
256	LDHB	12.5415
257	CYLD	12.522499999999999
258	YWHAG	12.4315
259	HDAC4	12.253
260	MUC4	12.1405
261	FOXO3	12.1295
262	NCOR1	12.046
263	KLF5	11.9575
264	FUS	11.8265
265	CEBPB	11.773
266	SMAD3	11.3565
267	CSF2RB	11.333
268	SOCS5	11.272499999999999
269	NCOA1	11.2315
270	PML	10.940000000000001
271	RXRA	10.849
272	PDPK1	10.8375
273	CDC73	10.8285
274	PAG1	10.241
275	VDR	10.216
276	NCOA3	10.076
277	MAP3K3	10.05
278	AHSA1	9.940000000000001
279	RARA	9.9255
280	CFL1	9.8325
281	PIAS1	9.734
282	HSPD1	9.4565
283	MAP3K2	9.437999999999999
284	TDG	9.4115
285	AXL	9.311
286	SLA2	9.2625
287	HNRNPA1	8.936
288	NR1H4	8.927
289	FRS2	8.744499999999999
290	PINK1	8.712
291	CSF3R	8.512
292	MAP2K2	8.436499999999999
293	STAT1	8.4115
294	BGLT3	8.3735
295	CDK2	8.32
296	HEXIM1	8.230500000000001
297	MAPK14	8.2125
298	MS4A2	8.129000000000001
299	SMG1P3	8.09
300	CIC	8.002500000000001
301	RPS6KB2	8.001999999999999
302	FRK	7.9159999999999995
303	PIK3CB	7.327500000000001
304	PIK3CA	7.3255
305	PARP1	7.1129999999999995
306	METTL3	6.907500000000001
307	SUMO2	6.856
308	USP11	6.825999999999999
309	ASAP1	6.7095
310	TFCP2	6.7035
311	PSMA3	6.547999999999999
312	PHGDH	6.456999999999999
313	RPTOR	6.4515
314	DDX5	6.4079999999999995
315	NR3C1	6.3534999999999995
316	CCT8	6.211
317	ACTG1	6.1175
318	TXK	6.111
319	SKAP2	5.9325
320	FN1	5.927
321	UBASH3B	5.8055
322	SORBS2	5.7045
323	TNS1	5.6325
324	ESRRA	5.529999999999999
325	PAK2	5.224
326	CCT6A	5.204
327	CCND1	5.1259999999999994
328	DOK2	5.1155
329	HDAC5	4.801
330	BAD	4.635
331	FZR1	4.133
332	KDR	4.107
333	ITGB3	3.9145000000000003
334	THRB	3.5454999999999997
335	PHB	3.3225000000000002
336	RBM39	3.1055
337	ANXA2	3.0245
338	EEF1B2	2.8155
339	KRAS	2.5149999999999997
340	YY1	2.4965
341	AAR2	2.4395
342	CCT3	2.2065
343	FLNA	2.1055
344	SGK223	2.0025
345	CCT4	1.8165
346	SIRPA	1.81
347	METTL14	1.7114999999999998
348	NXF1	1.5815
349	STAT5A	1.536
350	EEF1G	1.529
351	TCP1	1.5210000000000001
352	RPS6KA1	1.4395
353	CCT2	1.424
354	MCM5	1.416
355	PTPN20B	1.2405
356	HNRNPD	1.2075
357	PIK3C2B	1.1644999999999999
358	PCBP2	0.905
359	ERRFI1	0.9015000000000001
360	CBLC	0.8535
361	GAREM	0.762
362	HNRNPA2B1	0.7205
363	STAP1	0.6575
364	HSP90AB2P	0.637
365	CCT5	0.6134999999999999
366	OLIG1	0.5285
367	RUVBL2	0.41050000000000003
368	TSSK6	0.367
369	FCAMR	0.0985
370	LANCL1-AS1	0.0975
371	GP1BB	0.0975
372	SLC9A9	0.097
373	GLRB	0.096
374	UGT3A2	0.095
375	MOV10	0.095
376	CUL3	0.094
377	PSEN1	0.0935
378	EPHA3	0.092
379	KCNIP4	0.092
380	GAS5	0.0915
381	IL1R1	0.0915
382	CALR	0.0905
383	UCN	0.0895
384	LOC613037	0.0895
385	RNU4-2	0.088
386	GNAI1	0.088
387	HSP90B3P	0.0875
388	AGT	0.0865
389	APOH	0.086
390	NLRP12	0.08449999999999999
391	HNRNPL	0.08399999999999999
392	MKRN2	0.08299999999999999
393	IKBKB	0.08199999999999999
394	PMS2P9	0.081
395	DDX59	0.0805
396	DNM2	0.08
397	PLCE1	0.08
398	EPAS1	0.08
399	PTPRF	0.0795
400	CDKL2	0.0795
401	IDH3B	0.0785
402	LINC01000	0.078
403	ST6GALNAC4	0.0775
404	CITED2	0.0765
405	HIPK3	0.076
406	GUSBP1	0.075
407	DNAI1	0.075
408	SH3YL1	0.074
409	CDK4	0.074
410	KCNQ4	0.0725
411	ARNT	0.072
412	HNF4A	0.071
413	PTGES3	0.06999999999999999
414	CDON	0.06999999999999999
415	SRF	0.06999999999999999
416	HEATR4	0.06949999999999999
417	ISG15	0.06899999999999999
418	AP2B1	0.0685
419	SHD	0.0685
420	CDKN2B	0.0685
421	KAT5	0.068
422	GRASP	0.067
423	TBP	0.067
424	BMX	0.067
425	PTGER2	0.0665
426	RB1	0.0655
427	NUDT16P1	0.064
428	WNK4	0.0625
429	MSN	0.062
430	KIF14	0.0615
431	MYOD1	0.0615
432	LINC01194	0.061
433	EPYC	0.0605
434	FLT1	0.058499999999999996
435	EGLN3	0.057999999999999996
436	SMARCA4	0.057499999999999996
437	GCM1	0.056999999999999995
438	TPI1	0.05550000000000001
439	TUBA4B	0.05500000000000001
440	HIPK2	0.05500000000000001
441	BAG1	0.054000000000000006
442	KAT2B	0.053500000000000006
443	NR4A1	0.052500000000000005
444	RUNX1	0.052000000000000005
445	ATF3	0.051500000000000004
446	PPARGC1A	0.048
447	NCOA2	0.0465
448	SFN	0.046
449	HSPA4L	0.044
450	CARM1	0.044
