rank	node	rank_score
1	HSP90AA1	173.999
2	CYP2C8	170.597
3	KRAS	168.6
4	MAST1	167.49200000000002
5	HSPA5	165.39600000000002
6	EGFR	160.685
7	CTNNB1	145.587
8	CANX	130.19850000000002
9	HSPA8	119.4845
10	HSP90B1	118.725
11	HSPB1	108.87449999999998
12	CALR	104.5705
13	CFTR	103.37249999999999
14	DNAJB12	98.7625
15	TEX101	98.199
16	RNF32	97.1995
17	TRIM25	96.87899999999999
18	IGFBP3	96.0975
19	CYP2C18	93.88550000000001
20	PDIA3	92.995
21	BCAP31	92.7705
22	GAPDH	92.0795
23	STUB1	91.88300000000001
24	PARK2	90.8605
25	MYC	87.4275
26	CDC37	86.8875
27	PHB	80.7535
28	PRDX2	76.181
29	BIRC3	76.163
30	PGAM1	75.9
31	EEF2	74.09
32	ELAVL3	73.38050000000001
33	STIP1	72.7835
34	PINK1	72.4715
35	SNCA	71.87
36	LMAN1	67.9885
37	GJB1	67.5925
38	HSP90AB1	67.584
39	MIF	65.8105
40	YWHAZ	59.657
41	HSPA9	59.647000000000006
42	CRHR2	59.297000000000004
43	IGFBP7	59.198
44	PKM	58.263999999999996
45	ATP5A1	57.964999999999996
46	PGK1	57.761
47	GUCY1B3	57.496500000000005
48	DDOST	55.315999999999995
49	UBE2M	55.25450000000001
50	POR	55.198
51	VCP	54.959500000000006
52	CDK5	54.379
53	DNAJB1	51.775999999999996
54	MARCKS	51.39300000000001
55	IFIT5	51.3865
56	CYP2C9	51.291
57	ELAVL1	50.5945
58	MCM2	50.072
59	RPN1	49.9185
60	AAR2	49.2515
61	HSPA4	46.571000000000005
62	GCDH	46.477999999999994
63	HUWE1	45.677499999999995
64	P4HB	45.161500000000004
65	CDK2	45.121
66	YWHAE	44.958
67	AGR2	43.5395
68	P4HA1	43.26649999999999
69	ALDOA	43.2615
70	PDIA4	43.072500000000005
71	ATF2	42.8555
72	PPIB	42.48350000000001
73	DDX39B	41.602999999999994
74	FAF2	41.188
75	ATP5B	40.739999999999995
76	ACTB	40.2085
77	FUS	40.1385
78	PRPF8	40.048500000000004
79	VTCN1	39.972500000000004
80	HSPH1	39.862
81	EFTUD2	39.742000000000004
82	VDAC1	39.7355
83	GRB2	39.1955
84	PRKCSH	38.881
85	ESR1	38.769
86	MDH2	38.311
87	ATXN3	38.267
88	AKT1	37.553999999999995
89	PRAM1	37.393
90	VAPA	37.3605
91	ECSIT	36.8815
92	SLCO2B1	36.8755
93	DNAJA1	36.869
94	PRDX3	36.813
95	PHACTR4	36.091499999999996
96	KIAA1429	35.693
97	RAF1	35.5735
98	TUBB	35.351
99	ITGA6	34.9975
100	LDHA	34.9525
101	LRRC59	34.9375
102	CAV1	34.697500000000005
103	LANCL1-AS1	34.5785
104	LINC01485	34.290499999999994
105	C6orf106	34.270500000000006
106	CFL1	34.2355
107	HSPD1	34.1345
108	SOD1	34.0785
109	BAG2	33.9765
110	SYVN1	33.96
111	TP53	33.86
112	LRRK2	33.78
113	PHB2	33.726
114	EMC8	33.451
115	ARAF	33.4435
116	SERPINH1	32.7275
117	UQCRC2	32.564
118	LDHB	32.438
119	VDAC2	32.354499999999994
120	PSEN2	31.889499999999998
121	SEC61A1	31.682
122	AR	31.575499999999998
123	LRPPRC	31.4535
124	HSPA1A	31.173000000000002
125	PTMA	30.877499999999998
126	ENO3	30.680500000000002
127	PTMS	30.5875
128	HSPE1	30.2755
129	NEDD4	30.178999999999995
130	SLC6A4	30.168
131	HDAC6	30.046000000000003
132	PPP5C	29.78
133	PPIA	29.5305
134	ANXA5	29.375999999999998
135	YWHAQ	29.2425
136	FN1	29.233000000000004
137	TKT	29.0765
138	LMBR1L	29.0105
139	CSK	28.865999999999996
140	PSMA3	28.764499999999998
141	ATP2A2	28.573500000000003
142	HSD17B10	28.407999999999998
143	DNAJA2	28.055500000000002
144	ANP32B	27.7745
145	STMN1	27.675
146	BRAF	27.655
147	U2AF2	27.314999999999998
148	BASP1	27.278
149	HNRNPA1	27.044
150	PFN1	26.7705
151	PDIA6	26.714
152	PARK7	26.6715
153	SLC25A3	26.540999999999997
154	PEBP1	26.473000000000003
155	BRD4	26.4215
156	YAP1	26.139
157	ELK1	26.088
158	ANP32A	26.070999999999998
159	METTL14	25.826999999999998
160	HMGB1P1	25.761000000000003
161	CAD	25.752
162	RAB7A	25.428
163	DNAJA4	25.149
164	PIH1D1	25.1365
165	HSPA6	25.1315
166	SUMO2	24.472
167	PTPN11	24.4525
168	RBM39	24.345
169	RECQL4	24.235
170	HEXIM1	24.2075
171	NTRK1	23.8495
172	NACA	23.765
173	CKB	23.764
174	TAGLN2	23.752
175	FKBP3	23.07
176	TRIM24	23.069
177	UFL1	22.9465
178	EWSR1	22.836000000000002
179	HNRNPD	22.8325
180	FASN	21.948
181	DDRGK1	21.803
182	EMC1	21.764499999999998
183	TXN	21.7015
184	PRDX1	21.6265
185	ATPIF1	21.2695
186	PHOSPHO1	21.063499999999998
187	TUBB4B	21.0375
188	FABP5	19.7605
189	TCP1	19.624000000000002
190	UBC	19.556
191	RNF4	19.085
192	EMC2	18.95
193	PTEN	18.9335
194	DNAJC7	18.8695
195	TARDBP	18.2575
196	ERBB2	18.169999999999998
197	GSAP	17.984
198	DNAJB14	17.8825
199	EDEM1	17.676
200	CHKA	17.589
201	LRP1	17.4805
202	MSN	17.44
203	YWHAB	17.3905
204	MATK	17.3865
205	ARMC1	17.375
206	AGT	17.0935
207	INHA	16.886000000000003
208	COX2	16.466
209	PTK6	16.3685
210	ATP5C1	16.358
211	STT3A	16.2715
212	HADHB	16.247999999999998
213	PRDX6	16.1225
214	CYP3A4	16.0825
215	CYC1	15.959
216	UQCRB	15.8195
217	MAP2K3	15.7815
218	CCDC38	15.761000000000001
219	COX7C	15.754
220	PDHB	15.6495
221	CBLC	15.645
222	DNAJC30	15.607499999999998
223	MYL12A	15.535
224	APOB	15.49
225	UQCRC1	15.4625
226	LAMP1	15.416
227	NDUFS1	15.357499999999998
228	MAPK7	15.266499999999999
229	NIPSNAP1	15.241
230	TPM3	15.239500000000001
231	FARSA	15.122
232	ATP2B1	15.105
233	MAP2K5	15.084
234	PCCB	15.032
235	NDUFS8	14.9635
236	CCT8	14.917000000000002
237	CDKN2B	14.879
238	TOMM5	14.747499999999999
239	HMOX2	14.743
240	STT3B	14.669999999999998
241	RBM8A	14.667000000000002
242	ANKRD34C	14.644
243	HADHA	14.6405
244	RPN2	14.574000000000002
245	NDUFV1	14.5585
246	CYLD	14.523000000000001
