rank	node	rank_score
1	NTRK1	174.4955
2	TARDBP	174.3985
3	FUS	170.797
4	PCBP1	156.47750000000002
5	HNRNPA1	151.3725
6	CUL3	146.8
7	RBM39	144.9885
8	U2AF2	139.37150000000003
9	HNRNPK	139.26100000000002
10	HEXIM1	138.1975
11	DDX5	136.669
12	CUL1	134.48499999999999
13	PHB	130.3605
14	CAND1	130.2795
15	HNRNPA3	128.66199999999998
16	MCM2	126.494
17	CUL7	125.1555
18	PABPC1	124.44850000000001
19	HNRNPD	119.55050000000001
20	DDX17	118.05900000000001
21	HNRNPAB	115.13050000000001
22	COPS5	114.255
23	RECQL4	114.25399999999999
24	FN1	113.7695
25	PTBP1	113.25
26	EFTUD2	110.87100000000001
27	SFPQ	110.7385
28	NACA	110.69650000000001
29	PGK1	109.0945
30	BIRC3	108.17049999999999
31	DHX9	108.15650000000001
32	PARK2	107.388
33	PRPF8	107.0675
34	CUL2	106.436
35	HNRNPM	101.73400000000001
36	RNU1-1	97.498
37	HNRNPU	95.44300000000001
38	DHX15	93.628
39	CUL4B	92.7755
40	AGR2	92.36699999999999
41	HNRNPDL	92.264
42	UFL1	91.857
43	HNRNPR	90.58
44	PLEKHA4	90.0875
45	PRDX2	89.5815
46	HNRNPH3	88.96849999999999
47	ILF3	88.5375
48	SYNCRIP	88.131
49	STAU1	88.13
50	ILF2	86.8345
51	CUL5	86.82300000000001
52	CKB	86.096
53	PABPC4	85.657
54	NPM1	85.2645
55	PCBP2	84.54249999999999
56	ENO1	82.7915
57	ITGA4	81.8455
58	BRD4	80.338
59	EEF2	79.776
60	HNRNPA0	79.7695
61	WDR5	78.9405
62	HSPA5	78.86
63	HNRNPF	78.269
64	CDC37	77.89750000000001
65	UBE2M	77.283
66	MEPCE	75.4365
67	PPIA	75.387
68	FANCD2	74.7295
69	TTN	74.2995
70	RBM45	71.566
71	ZC3H18	71.009
72	TKT	70.495
73	METTL14	69.45599999999999
74	HNRNPUL1	68.459
75	LDHA	68.389
76	DDX3X	68.1375
77	TXN	68.08099999999999
78	MIF	68.0685
79	TPI1	67.6865
80	VCAM1	67.348
81	MYC	66.013
82	LDHB	65.99
83	CDK2	65.4845
84	EEF1A1	65.042
85	AAR2	64.873
86	HNRNPH2	63.6665
87	PARK7	63.4655
88	CHD4	63.028499999999994
89	SNRPA	62.785000000000004
90	CFL1	61.9785
91	SNRNP70	61.964999999999996
92	SNRPD2	61.734
93	NAA40	61.53150000000001
94	ALDOA	61.38250000000001
95	PKM	60.98350000000001
96	GAPDH	60.5855
97	NCL	60.217000000000006
98	CLDN17	59.891
99	PCMT1	59.586
100	SNRPD1	58.342
101	KIAA1429	58.2925
102	HSPA8	57.064
103	RPS4X	57.044000000000004
104	PSMA6	56.991
105	PHGDH	55.964999999999996
106	LARP7	55.335
107	RPS7	54.8275
108	PRDX1	54.172000000000004
109	OBSL1	54.13250000000001
110	SNRPC	53.9585
111	MTHFD1	53.793000000000006
112	RBMX	53.4785
113	HNRNPC	53.1745
114	XRCC6	52.9525
115	RPL7	52.625
116	SLC25A5	52.4735
117	RPL9	52.32899999999999
118	ENO2	52.184000000000005
119	DDRGK1	51.528
120	PRDX6	51.465999999999994
121	PINK1	51.374
122	ELAVL1	51.289
123	EIF4A1	51.047000000000004
124	TP53	50.49550000000001
125	SNRNP200	49.938
126	FZR1	49.9215
127	YAP1	49.878
128	HSD17B10	49.566500000000005
129	RPL12	49.1335
130	UBC	48.952
131	NR2C2	48.7245
132	DDX1	48.3535
133	RPL18	48.132
134	RPS3A	47.9265
135	DDX39B	47.876999999999995
136	PIH1D1	47.463499999999996
137	HSP90AA1	47.4625
138	PGAM1	46.479
139	HSP90AB1	46.3515
140	SRSF3	45.667500000000004
141	HIST1H4A	45.074
142	HSPE1	44.282
143	HNRNPH1	43.9555
144	SRSF1	43.652
145	DNM1L	43.249
146	BTF3	42.416
147	TAGLN2	42.375
148	EEF1B2	41.94
149	PAICS	41.563
150	RPL6	41.5135
151	EIF4A3	40.744
152	CEP55	39.998000000000005
153	ATP5A1	39.745999999999995
154	HERPUD1	39.3995
155	ESR2	39.0985
156	CDK1	38.794
157	AHCY	37.7765
158	WWP2	37.7165
159	PRC1	37.141
160	NEDD8	37.077
161	CDC5L	36.9315
162	RPS3	36.924
163	SAFB	36.5935
164	ATXN3	36.4615
165	PABPN1	35.98350000000001
166	RPS2	35.9225
167	CHD3	35.532
168	SNRPD3	34.939499999999995
169	YWHAZ	34.489
170	RPL24	34.333
171	RPS8	34.222
172	YBX1	33.6415
173	HUWE1	33.5445
174	PSMA3	32.1475
175	ISG15	31.940999999999995
176	ENO3	31.8805
177	EEF1G	31.657999999999998
178	PPIB	31.059500000000003
179	BRCA1	30.920499999999997
180	RPL5	30.919999999999998
181	RPS23	30.416499999999996
182	RPL10A	30.127
183	RPSA	29.932499999999997
184	DCUN1D1	29.878499999999995
185	GOT2	29.6895
186	RIOK1	29.522000000000002
187	RPLP0	29.518
188	RPLP2	29.412
189	YWHAQ	29.276
190	SRRM2	28.75
191	ARIH2	28.460500000000003
192	RPS16	28.323500000000003
193	RPS25	28.1175
194	CCT8	27.954500000000003
195	RPS15A	27.926
196	CALR	27.557499999999997
197	RPS14	27.521000000000004
198	PDIA3	27.258500000000005
199	TFCP2	27.2435
200	TMPO	27.133499999999998
201	RC3H1	27.0185
202	RPL8	26.913999999999998
203	RALY	26.761000000000003
204	RBM4	26.5725
205	RPL21	26.4185
206	RPA2	26.247500000000002
207	RPS9	26.0195
208	GPI	25.9745
209	RPS11	25.910500000000003
210	CYLD	25.610000000000003
211	KHSRP	25.435
212	EED	25.250999999999998
213	IL7R	25.0665
214	CELF1	24.984
215	C14orf166	24.839
216	SNW1	24.331
217	SF3B1	24.029
218	PRPF19	23.7225
219	HSPA9	23.6535
220	SF3A2	23.552500000000002
221	RPS13	23.1145
222	RPS5	22.008
223	RBM14	21.7455
224	RTCB	21.249000000000002
225	RPA3	21.226499999999998
226	LARP1	21.21
227	SRSF9	21.181
228	CMTR1	21.147
229	RPL27	20.815
230	MCM5	20.6395
231	CIT	20.5305
232	RPL23A	20.512999999999998
233	CTNNB1	19.849
234	NONO	19.829500000000003
235	NDN	19.744999999999997
236	LOC284685	19.68
237	RPL27A	19.619
238	RPL7A	19.606
239	SAP30BP	18.7975
240	DYNC1LI2	18.794999999999998
241	ALYREF	18.7225
242	RPL15	18.6045
243	RPSAP12	18.191
244	KCTD9P3	17.999000000000002
245	RPL11	17.911
246	RPS18	17.811500000000002
247	RPS20	17.807
248	HNRNPUL2	17.5905
249	KIF23	17.442500000000003
250	RNMT	16.9935
251	FUBP1	16.987000000000002
252	TRIM28	16.5485
253	RC3H2	15.831
254	ATP5B	15.5495
255	HDAC5	15.432999999999998
256	FUBP3	15.243500000000001
257	SF3B3	15.2345
258	RPS27	15.2065
259	SART1	14.915000000000001
260	XRN2	14.648500000000002
261	SRRM1	14.535500000000003
262	RPL38	14.2155
263	PDIA6	14.035499999999999
264	PUF60	13.926999999999998
265	FAM120A	13.855500000000001
266	KIF14	13.469999999999999
267	RPL18A	13.2015
268	ANXA5	13.16
269	RBM3	13.072999999999999
270	RPA1	13.0365
271	RPL22	12.608500000000001
272	TRA2B	12.5345
273	CUL4A	12.2935
274	MIR29A	12.26
275	KIF20A	11.6655
276	STIP1	11.4465
277	YWHAE	11.3445
278	RPL14	11.1125
279	EP300	10.9255
280	SRSF7	10.846
281	FAF1	10.653
282	RPL3	10.503
283	RPL19	10.501
284	P4HB	10.4235
285	KHDRBS1	10.0765
286	LGALS9	9.839
287	TOP1	9.821
288	FASN	9.628
289	RPL31	9.216
290	SND1	8.7485
291	RPS24	8.7075
292	PRDX3	8.437000000000001
293	RPL23	8.4205
294	RPS26	8.305
295	RPLP1	8.203999999999999
296	RPS19	8.000499999999999
297	SRSF6	7.910500000000001
298	HSP90B1	7.8575
299	RPL30	7.802
300	RPS12	7.5095
301	RPS6	7.5075
302	TUBB	7.4510000000000005
303	U2AF1	6.4430000000000005
304	CDK9	6.379
305	SNRPA1	5.9455
306	RPL4	5.903499999999999
307	THRAP3	5.031499999999999
308	SNRPE	4.439500000000001
309	TRA2A	4.3255
310	RPS10	4.0015
311	SRSF5	3.54
312	ITFG1	3.3274999999999997
313	SF3A1	3.1385
314	RPL13	3.104
315	PRPF6	3.0355
316	RPS21	3.0004999999999997
317	RPS28	2.9015
318	ECT2	2.605
319	REST	2.502
320	RPL13A	2.4025
321	RPL10	2.002
322	RPS17	0.511
323	DDX21	0.221
324	RNF128	0.099
325	VHL	0.099
326	IFT74	0.0985
327	MOV10	0.0985
328	SCYL2	0.098
329	WAC	0.0975
