rank	node	rank_score
1	PARK2	177.794
2	AAR2	175.4985
3	FN1	174.5885
4	PRPF8	172.5955
5	CDK2	171.2875
6	U2AF2	169.2905
7	PCBP1	168.997
8	PGK1	168.699
9	MCM2	166.196
10	ALDOA	163.09
11	PRDX1	160.087
12	HSP90AB1	159.293
13	LDHA	158.589
14	RBM39	156.288
15	AGR2	156.2855
16	CFL1	156.2815
17	CUL7	155.88
18	FASN	155.2965
19	TPI1	155.07750000000001
20	BRD4	154.4755
21	HEXIM1	153.7745
22	YAP1	152.778
23	EEF2	152.29500000000002
24	UBE2M	151.59099999999998
25	ITGA4	151.467
26	EFTUD2	150.16500000000002
27	GAPDH	149.7825
28	DDX39B	148.68099999999998
29	RPL12	148.3795
30	HUWE1	147.1945
31	FUS	144.9785
32	HSPA9	144.0695
33	HSP90AA1	142.98499999999999
34	HSPB1	141.9665
35	VCAM1	139.971
36	PIH1D1	137.469
37	MSN	136.89749999999998
38	BIRC3	136.3835
39	HSPA8	130.5915
40	METTL14	129.786
41	ATP5A1	129.06599999999997
42	PARK7	128.28050000000002
43	FANCD2	125.38400000000001
44	PSMA3	123.792
45	PPIA	122.582
46	LDHB	119.383
47	UFL1	119.36300000000001
48	SLC25A5	118.2585
49	RPS4X	117.275
50	PCBP2	117.1935
51	RPS27	116.15799999999999
52	EIF4A3	113.4075
53	RPS15A	112.7625
54	TARDBP	112.072
55	CTNNB1	111.6615
56	CDK9	108.8575
57	NPM1	108.65950000000001
58	BTF3	107.579
59	RPL7	107.3685
60	PHGDH	105.67
61	GNB2L1	104.47049999999999
62	SOD1	103.99949999999998
63	HSPE1	103.777
64	PRDX6	103.65349999999998
65	EEF1B2	103.362
66	RECQL4	100.91749999999999
67	RPS7	99.468
68	RPS3	98.8465
69	HNRNPK	97.7765
70	HSD17B10	97.5725
71	RPS11	95.3495
72	RPL21	94.95450000000001
73	RPL10A	94.2655
74	RPL24	94.16
75	RPS3A	94.059
76	JUP	92.5
77	RPL18	92.348
78	YWHAQ	91.583
79	CAND1	91.352
80	P4HB	89.3865
81	CUL1	88.551
82	RPS23	87.4645
83	RPSA	87.1525
84	RPL5	86.34549999999999
85	RPL9	86.047
86	RPS25	84.264
87	CALR	83.6895
88	RPL23	83.15
89	PAICS	83.05449999999999
90	RPS9	82.94500000000001
91	RPS18	82.64750000000001
92	ANXA5	82.57300000000001
93	RPS13	81.854
94	RPS2	81.05699999999999
95	RPS16	80.144
96	RPS8	79.7485
97	RPLP2	78.449
98	RPL27A	78.15650000000001
99	RPL38	77.7435
100	HNRNPU	75.25550000000001
101	RPS5	74.35499999999999
102	LGALS9	73.26050000000001
103	RPL14	73.1515
104	RPL22	72.138
105	RPLP0	71.54249999999999
106	IQGAP1	69.889
107	RPL11	69.0395
108	RPL7A	69.03
109	NCL	68.15299999999999
110	RPL30	67.0385
111	RPL27	66.946
112	RPS12	66.84049999999999
113	RPL18A	66.636
114	CYLD	66.2505
115	RPL15	64.9365
116	RPS26	64.541
117	TFCP2	64.44449999999999
118	RPL8	64.44300000000001
119	PINK1	64.0775
120	RPS20	63.634
121	PABPC1	62.614999999999995
122	EIF4A1	62.563
123	DDRGK1	61.10850000000001
124	PRDX3	60.355999999999995
125	TAGLN2	60.067499999999995
126	RPL23A	60.0415
127	HNRNPA2B1	57.7605
128	PDIA3	56.775999999999996
129	RPL4	56.532500000000006
130	RPS17	56.44
131	RPS21	56.126
132	RPL17	51.5305
133	RPS24	51.230999999999995
134	RPLP1	51.042
135	RPS28	50.4245
136	RPS6	49.435
137	VCP	49.2565
138	WDR5	48.403499999999994
139	CHD4	47.933499999999995
140	RPL13A	47.239
141	ACO2	46.2555
142	RPS10	46.232
143	MEPCE	46.2205
144	RPL10L	46.125
145	UBL4A	45.126999999999995
146	RPL13	44.727999999999994
147	RPL19	44.429500000000004
148	PPIB	44.374
149	RPL31	44.0235
150	RPLP0P6	43.826499999999996
151	RPS19	43.7285
152	RPL37A	43.033
153	RPL36	42.9315
154	RPS15	42.435500000000005
155	STIP1	41.8485
156	MYH9	41.466499999999996
157	MTHFD1	41.458000000000006
158	RPL35	40.9255
159	LOC101929876	40.82899999999999
160	DUX4	38.9215
161	RIN3	38.234500000000004
162	NR2C2	38.1375
163	ILF3	37.817
164	SMTN	37.1925
165	RPL32	36.3275
166	WWP2	36.124
167	RPL34	35.923
168	YWHAE	35.7645
169	RPL10	35.222500000000004
170	COTL1	34.983000000000004
171	HSPH1	33.8685
172	CUL3	33.774
