rank	node	rank_score
1	XCL2	179.99949999999998
2	CXCL5	179.099
3	CXCL1	177.798
4	CCL11	176.89749999999998
5	PF4	175.997
6	CXCL12	175.09650000000002
7	CXCL6	174.196
8	CCL5	173.2955
9	CXCL11	172.395
10	CXCL10	171.19400000000002
11	CXCL14	170.1945
12	CCL28	170.0935
13	XCL1	168.993
14	CXCL17	167.9925
15	CCL13	166.792
16	CCL26	166.29149999999998
17	CCL21	165.19099999999997
18	CXCL9	164.2905
19	PPBP	163.39000000000001
20	CCL8	162.4895
21	PF4V1	161.589
22	CCL2	160.6885
23	CCL25	159.388
24	VCAN	159.1875
25	PPARGC1A	158.9
26	CCL24	158.087
27	CCL17	157.0865
28	CXCR3	155.98600000000002
29	CCL27	155.4855
30	CXCL8	154.385
31	CXCL13	153.4845
32	PPARG	152.5985
33	ACKR4	152.584
34	CCR3	151.6835
35	CCL7	150.783
36	ACKR1	149.6825
37	CCL4L1	148.78199999999998
38	NR0B2	144.1815
39	NR4A1	143.4805
40	NCOA1	141.38
41	NR1I2	140.3795
42	NCOA3	139.379
43	RXRA	139.378
44	RXRG	136.077
45	NCOA2	135.773
46	NR1H3	135.47750000000002
47	PPARD	134.576
48	NR1H2	134.4765
49	NCOA6	133.072
50	VDR	132.2735
51	NCOR2	132.1755
52	RXRB	129.6745
53	THRB	129.5725
54	PPARA	128.675
55	NRIP1	128.174
56	HNF4A	127.2695
57	NCOR1	126.97150000000002
58	NR1H4	125.671
59	RARA	125.37049999999999
60	RARG	123.87
61	EP300	123.2675
62	RARB	121.869
63	THRA	120.367
64	UBE2I	119.3665
65	NR5A2	115.07849999999999
66	PML	113.8615
67	KLF5	113.26500000000001
68	NFKB1	112.86449999999999
69	JUN	112.564
70	HDAC3	112.5635
71	SRF	111.9625
72	SIRT1	111.6655
73	CREBBP	111.061
74	SP1	110.06300000000002
75	RELA	109.46199999999999
76	MDM2	109.056
77	POU1F1	107.95900000000002
78	ESRRA	106.968
79	CEBPB	106.6605
80	NR3C1	105.96
81	GPS2	104.26599999999999
82	TBP	103.4585
83	ETS1	103.15799999999999
84	FOS	102.75699999999999
85	TDG	102.5595
86	ETS2	101.75750000000001
87	MAPK1	98.0565
88	RNF43	97.681
89	SMAD3	97.6535
90	KAT2B	97.05550000000001
91	E2F1	96.25450000000001
92	HDAC1	95.553
93	CEBPA	94.85249999999999
94	AR	94.354
95	PPARGC1B	92.76849999999999
96	RB1	92.55199999999999
97	RUNX2	91.5505
98	STAT3	91.251
99	SPI1	90.8515
100	STAT1	89.8485
101	HIF1A	89.25
102	ATF3	89.149
103	SMARCA4	88.4495
104	SP3	85.644
105	SMARCA2	85.248
106	KAT5	85.1465
107	MYOD1	84.2475
108	CREB1	83.84700000000001
109	BCL3	83.146
110	RUNX1	81.6455
111	PGR	78.155
112	DNMT3L	77.5435
113	TP73	77.14500000000001
114	E2F4	76.543
115	ATF2	74.9425
116	HDAC4	74.94149999999999
117	SIN3A	73.441
118	ZBTB16	72.84
119	HDAC2	72.6405
120	FHL2	71.8395
121	CCND1	71.042
122	PLAGL1	67.5445
123	NFATC1	66.339
124	ACKR2	65.282
125	SMARCE1	60.6375
126	SMARCC1	60.1385
127	CARM1	59.836
128	ESR1	58.032500000000006
129	ARID1A	57.935500000000005
130	SMARCB1	57.837
131	PARP1	57.334500000000006
132	CEBPD	57.2005
133	SMARCD3	56.7365
134	ZBTB7A	56.532999999999994
135	SMARCC2	56.135000000000005
136	NR2C1	54.617000000000004
137	CDKN1A	54.609
138	TBL1XR1	54.334
139	CIITA	54.238
140	SS18L1	53.633500000000005
141	FOXO1	53.206500000000005
142	FLI1	52.63199999999999
143	SS18	52.13099999999999
144	SMARCD1	50.1315
145	SMARCD2	49.7305
146	DDIT3	49.53
147	DPF1	47.82899999999999
148	ACTL6A	47.6295
149	ARID2	45.628499999999995
150	DPF3	45.3275
151	GLTSCR1	44.028
152	ARID1B	43.727
153	BRD9	42.0265
154	PHF10	41.926
155	PBRM1	40.225
156	BCL7A	40.1255
157	DPF2	38.524
158	BCL7C	38.2245
159	STK11IP	37.0235
160	TEX13B	35.723
161	SS18L2	35.0225
162	MED1	35.018
163	BCL7B	34.922000000000004
164	BCL6	32.714999999999996
165	JUND	32.5145
166	RELB	32.3215
167	GATA1	32.0185
168	CTBP1	31.7155
169	SMAD2	31.521000000000004
170	TBL1X	31.219
171	EZH2	30.82
172	TP53BP1	30.817500000000003
173	ING1	30.1205
174	EPAS1	28.6195
175	BRCA1	27.6125
176	POU2F1	27.533499999999997
177	YY1	26.514
178	NFATC2	24.816
179	KPNA1	21.816499999999998
180	SUMO1	21.805
181	JUNB	21.2135
182	EGR1	20.413
183	SMAD4	18.107
184	DNMT1	17.012
185	MEGF6	16.281
186	RFWD3	16.18
187	CTNNB1	16.1115
188	RNF31	15.7805
189	KDM1A	15.209999999999999
190	NFE2L2	13.2075
191	AKT1	12.806000000000001
192	HDAC5	10.211
193	SOX2	10.105500000000001
194	PIAS2	7.8045
195	MYC	6.703999999999999
196	MAPK8	6.2035
197	RBBP4	5.1085
198	HIST1H4A	4.901999999999999
199	AHR	4.508
200	MAFK	4.0015
201	SUV39H1	3.9095
202	RBL1	3.303
203	KAT2A	3.2004999999999995
204	TOP2B	1.9015
205	SETD7	1.2005000000000001
206	ARNT	1.001
207	SMAD1	1.001
208	SATB1	0.8029999999999999
209	TAF6	0.701
210	GTF2I	0.6014999999999999
211	ASH2L	0.5045
212	XRCC6	0.40099999999999997
213	TFAP2A	0.20049999999999998
214	NABP2	0.081
215	CCL14	0.0805
216	BIRC6	0.0805
217	AMZ2	0.08
218	CCL18	0.08
219	ERCC8	0.0795
220	ANG	0.079
221	STAT6	0.077
222	NR1I3	0.076
223	PSMC5	0.067
224	HDAC7	0.010499999999999999
225	RBBP5	0.005
226	CDK8	0.005
227	SREBF1	0.004
228	KPNA2	0.0035000000000000005
229	KMT2A	0.003
230	FUS	0.0025
231	MYB	0.0025
232	XRCC5	0.0015
233	USP7	0.001
234	MEN1	0.0005
