rank	node	rank_score
1	EP300	152.899
2	TP53BP1	150.0885
3	BRCA1	147.182
4	MDC1	145.4975
5	ESR1	142.05349999999999
6	BRD4	134.597
7	PARP1	133.1815
8	MYC	120.9425
9	XCL2	118.39850000000001
10	XRCC6	113.17550000000001
11	HIST1H4A	110.6845
12	TOPBP1	109.0805
13	XRCC5	107.38499999999999
14	GTF2H1	106.8
15	TRIM28	106.56599999999999
16	MRE11A	103.69200000000001
17	HIST1H2BB	102.87899999999999
18	RPA1	102.48600000000002
19	RPA2	102.19800000000001
20	TOP2B	102.1655
21	POLR2A	97.69500000000001
22	CXCL5	96.5965
23	ERCC6	96.384
24	SUMO2	96.0735
25	PRKDC	93.3625
26	RPA3	89.2825
27	CDC5L	88.936
28	WRN	87.8835
29	MSH2	86.8955
30	SMARCA5	86.4605
31	RFC2	86.07300000000001
32	SLX4	85.4715
33	FANCD2	85.372
34	CREBBP	84.6855
35	TOP2A	83.67699999999999
36	XPA	80.1995
37	MEGF6	79.9995
38	SMC1A	78.66
39	KIAA1429	78.299
40	NBN	78.291
41	BARD1	76.78099999999999
42	CHD4	75.744
43	HIST1H3A	75.67
44	CHD3	75.538
45	PPARGC1A	74.09049999999999
46	H2AFX	72.4675
47	BLM	71.47999999999999
48	DHX9	71.1555
49	PML	70.863
50	SMARCA4	70.551
51	RAD50	70.3895
52	DDX5	70.3265
53	SMC3	69.94
54	PDS5A	69.842
55	E2F1	68.288
56	ATM	67.293
57	SFPQ	66.713
58	SNW1	66.1385
59	NUPR1	65.655
60	MSH6	65.1775
61	SMARCAD1	64.7525
62	MAML1	64.5925
63	DDX17	63.5245
64	RAD51	62.072500000000005
65	RFC1	61.979499999999994
66	RAD52	61.274
67	ATRX	60.765
68	LMNA	60.3575
69	MAPK1	59.99300000000001
70	SMARCC2	59.64149999999999
71	EFTUD2	59.356500000000004
72	HDAC1	59.270500000000006
73	PRPF6	58.8035
74	TOP1	58.6465
75	ATR	58.087
76	SIN3A	57.8325
77	FGF22	56.794000000000004
78	SUPT16H	56.6645
79	NIPBL	56.403999999999996
80	UIMC1	56.2745
81	RB1	56.196000000000005
82	TERF2IP	56.06849999999999
83	UBE2I	55.769499999999994
84	MSH3	55.371
85	PCNA	55.275
86	HIST1H2BG	54.75
87	NUMA1	54.64300000000001
88	SPTA1	53.2925
89	STAG2	52.295500000000004
90	EED	52.23199999999999
91	HIST1H2AB	51.866499999999995
92	PRDM11	51.396
93	ANKRD36C	51.298
94	LIG3	50.576
95	PLEKHA4	50.315
96	GTF2H4	49.894
97	SMARCA2	49.321
98	NCOA1	49.090999999999994
99	NCOR2	48.8865
100	RFC4	48.8515
101	NCOR1	47.792500000000004
102	RFC5	47.7505
103	SMARCC1	47.628
104	RECQL5	47.452
105	DDB1	46.959
106	NCOA3	46.28
107	JUN	46.0875
108	MDM2	46.0865
109	EZH2	45.839
110	COPS5	45.6
111	POLA1	45.2635
112	NFATC2	45.047000000000004
113	CIT	45.0375
114	BAZ1B	44.048
115	RFC3	43.1355
116	SNRNP200	42.718
117	HNRNPU	42.662
118	CBX3	42.345
119	FUS	41.307
120	HDAC2	41.158
121	BIRC3	41.141
122	XPC	40.668
123	SMARCE1	40.2435
124	USP7	39.969
125	MAPK3	39.6985
126	CENPA	39.5395
127	NCL	39.1205
128	CARM1	38.844
129	CEBPB	38.6755
130	ERCC2	38.3875
131	RBM39	38.005
132	CDK2	37.583000000000006
133	MNAT1	37.4935
134	CHD1L	37.431
135	CCNH	37.077999999999996
136	SSRP1	36.653999999999996
137	PLAGL1	36.4905
138	ERCC5	36.467
139	SUZ12	36.2405
140	NR3C1	35.781
141	RNF4	35.6995
142	SMG1P1	35.495
143	ETS1	35.186
144	ATAD5	35.119
145	TBP	34.999
146	HNRNPD	33.9765
147	ZBTB7A	33.9445
148	NR2C2	33.6055
149	KLF5	33.3695
150	RNF2	33.3275
151	TDG	33.292500000000004
152	RPA4	33.0945
153	UBC	32.9085
