rank	node	rank_score
1	SP1	180.09949999999998
2	DNMT1	179.2
3	HDAC1	173.696
4	ZBTB7A	171.0925
5	KMT2A	170.39749999999998
6	HDAC2	164.394
7	RBBP4	161.2965
8	EZH2	159.997
9	CTBP1	158.099
10	SIN3A	155.39000000000001
11	SOX2	150.7875
12	MBD3	146.0885
13	RBBP7	144.293
14	MTA2	143.38899999999998
15	MTA1	142.59099999999998
16	BPTF	140.28400000000002
17	SMARCA5	139.1895
18	MBD2	138.286
19	SMARCA4	137.5865
20	GATAD2A	136.8795
21	SAP30	135.57999999999998
22	HDAC4	135.298
23	PWWP2A	135.285
24	C17orf49	133.783
25	LIN9	132.7855
26	GATAD2B	131.4765
27	CDK2AP1	130.882
28	SUDS3	130.3805
29	EED	130.28699999999998
30	BRMS1L	130.2825
31	BCL11A	130.1845
32	ARID4B	129.68099999999998
33	MTA3	128.67849999999999
34	MTF2	128.2815
35	SIN3B	128.175
36	SAP130	127.378
37	PHF1	127.2835
38	HIST1H4A	126.367
39	LIN37	124.7775
40	SMARCA1	124.67550000000001
41	CHD4	124.47049999999999
42	GATAD1	124.179
43	NR2C1	123.68800000000002
44	CHD3	123.47200000000001
45	HMGXB4	122.87449999999998
46	SHPRH	122.676
47	CHD5	122.074
48	MYBL2	121.67699999999999
49	SUZ12	121.5685
50	BCL11B	121.07300000000001
51	ZNF512B	118.47350000000002
52	HIC1	118.19850000000001
53	ZNF219	117.57249999999999
54	HIST1H3A	117.1655
55	HIST3H3	116.55900000000001
56	RYBP	114.99549999999999
57	PHF12	113.171
58	CHAF1B	113.0675
59	CHAF1A	112.968
60	LIN52	112.77150000000002
61	HAT1	112.17
62	SMARCC2	111.753
63	H2AFX	110.1575
64	ZNF296	109.6695
65	H2AFY	109.55799999999999
66	HJURP	108.96900000000001
67	CBX3	107.2585
68	DNMT3B	105.59200000000001
69	DPY30	105.06649999999999
70	FOXK2	104.66599999999998
71	ZMYND8	103.36500000000001
72	CIC	103.16300000000001
73	NCOR1	99.7495
74	ADNP	99.1505
75	PARP1	98.3535
76	ING1	97.6625
77	H2AFZ	97.1555
78	ING2	96.9615
79	BRD4	96.852
80	SMARCC1	96.15450000000001
81	EHMT2	95.644
82	BRD2	95.454
83	ARID4A	95.262
84	CENPA	93.457
85	HIST1H2BG	92.9525
86	TERF2IP	89.8515
87	RNF2	89.74249999999999
88	ASF1A	89.15599999999999
89	CBX1	88.8445
90	CBX5	88.151
91	EHMT1	84.045
92	WIZ	83.34549999999999
93	FOXK1	83.15950000000001
94	PHF20L1	81.4635
95	CHD7	79.05
96	MBD3L2	78.9645
97	SMARCE1	78.4475
98	H3F3A	78.2405
99	MBD3L1	78.064
100	BRMS1	77.761
101	TFAP4	77.4435
102	HCFC1	75.85650000000001
103	SMARCA2	75.6485
104	ZEB2	75.39500000000001
105	MYC	75.236
106	PBRM1	73.94800000000001
107	MGA	73.539
108	NFATC2	72.54650000000001
109	FAM60A	72.3605
110	ESR1	72.147
111	TGIF2LX	71.96000000000001
112	DNMT3A	70.643
113	SMARCB1	68.6375
114	POGZ	68.5385
115	RB1	68.1935
116	DDB1	67.255
117	UHRF1	66.841
118	HIST1H2BB	65.638
119	HIST1H4I	65.23400000000001
120	XRCC6	65.0395
121	HIST1H3E	64.3415
122	KDM1A	63.749
123	CHAMP1	61.834500000000006
124	DAXX	60.73299999999999
125	SUV39H1	60.339999999999996
126	ZNF330	59.44200000000001
127	SIRT1	58.7915
128	HDAC3	58.206500000000005
129	TAF6	56.746
130	BMI1	55.9245
131	HIST1H2AB	55.826
132	ZBTB2	51.237
133	TCF20	50.7355
134	XRCC5	48.928
135	RCOR1	48.0005
136	SMARCD2	47.531
137	USP7	46.711
